"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","216.97","218.35","219.05","215.24","362.37K","-0.34%"
"02/02/2023","217.71","217.08","219.58","214.48","521.33K","-0.30%"
"02/01/2023","218.36","219.44","220.34","217.26","343.79K","-0.99%"
"01/31/2023","220.54","217.31","220.79","216.60","260.58K","1.79%"
"01/30/2023","216.67","219.37","220.46","215.77","292.79K","-0.71%"
"01/27/2023","218.22","218.49","220.44","216.54","244.07K","0.31%"
"01/26/2023","217.54","217.70","220.74","216.40","358.89K","0.31%"
"01/25/2023","216.86","219.30","219.30","211.74","468.88K","-1.49%"
"01/24/2023","220.15","217.51","220.34","213.82","373.65K","1.01%"
"01/23/2023","217.94","219.17","220.99","217.79","384.27K","-0.07%"
"01/20/2023","218.10","218.64","220.20","216.43","356.62K","0.18%"
"01/19/2023","217.71","219.05","220.35","216.65","265.40K","-0.74%"
"01/18/2023","219.33","221.61","221.73","218.09","352.44K","-1.00%"
"01/17/2023","221.55","223.94","226.18","219.29","282.27K","-0.68%"
"01/13/2023","223.07","223.89","225.70","220.29","368.50K","-2.36%"
"01/12/2023","228.47","227.04","230.26","226.58","286.92K","0.63%"
"01/11/2023","227.03","224.52","227.30","222.67","410.75K","1.37%"
"01/10/2023","223.97","222.61","225.91","220.17","452.48K","1.09%"
"01/09/2023","221.56","229.50","229.50","220.67","524.24K","-3.72%"
"01/06/2023","230.11","229.87","232.68","226.50","348.17K","1.39%"
"01/05/2023","226.95","228.17","228.82","224.77","350.53K","-0.53%"
"01/04/2023","228.16","227.07","229.92","225.68","580.01K","-0.08%"
"01/03/2023","228.35","229.68","230.81","227.25","201.85K","-1.01%"
"12/30/2022","230.68","231.27","231.42","227.77","145.33K","-0.13%"
"12/29/2022","230.97","229.71","231.28","228.32","134.14K","0.72%"
"12/28/2022","229.31","231.47","232.52","229.10","162.12K","-1.20%"
"12/27/2022","232.09","230.03","233.18","230.03","308.77K","0.88%"
"12/23/2022","230.07","229.06","231.19","228.77","146.77K","0.45%"
"12/22/2022","229.03","229.43","229.93","225.17","185.71K","-0.60%"
"12/21/2022","230.41","229.54","230.98","228.45","163.46K","0.70%"
"12/20/2022","228.80","229.81","233.04","228.79","220.26K","-0.34%"
"12/19/2022","229.57","230.94","233.70","228.64","251.06K","-0.74%"
"12/16/2022","231.27","226.77","233.22","225.75","1.08M","1.21%"
"12/15/2022","228.51","232.87","234.11","226.93","488.92K","-2.09%"
"12/14/2022","233.38","232.39","236.07","230.44","283.15K","0.62%"
"12/13/2022","231.95","237.93","237.93","231.05","397.12K","-1.48%"
"12/12/2022","235.43","233.13","235.50","231.80","237.41K","0.89%"
"12/09/2022","233.36","235.45","238.33","233.15","189.47K","-0.80%"
"12/08/2022","235.24","238.40","238.80","233.97","287.97K","0.39%"
"12/07/2022","234.32","235.68","239.03","234.24","438.60K","-0.59%"
"12/06/2022","235.71","236.33","236.38","233.44","432.33K","-0.06%"
"12/05/2022","235.84","237.79","238.36","232.68","380.76K","-2.01%"
"12/02/2022","240.68","229.13","241.72","229.13","808.09K","4.24%"
"12/01/2022","230.90","232.99","233.26","228.71","343.51K","-0.46%"
"11/30/2022","231.96","227.79","232.06","225.06","526.77K","1.73%"
"11/29/2022","228.02","229.22","231.65","227.55","386.42K","-0.39%"
"11/28/2022","228.91","228.35","230.32","227.19","504.12K","-0.63%"
"11/25/2022","230.36","229.36","230.46","228.49","115.09K","1.22%"
"11/23/2022","227.58","228.33","231.00","224.71","338.39K","-1.23%"
"11/22/2022","230.41","233.91","234.90","229.36","430.87K","-0.98%"
"11/21/2022","232.69","226.90","234.77","226.48","529.19K","2.37%"
"11/18/2022","227.31","224.72","230.11","224.72","949.92K","1.47%"
"11/17/2022","224.02","222.85","225.03","221.85","630.82K","0.04%"
"11/16/2022","223.94","223.38","225.42","221.72","519.05K","0.33%"
"11/15/2022","223.21","222.37","225.33","219.58","837.55K","0.95%"
"11/14/2022","221.12","227.30","230.69","221.10","738.71K","-2.84%"
"11/11/2022","227.58","236.91","238.00","224.94","790.34K","-6.79%"
"11/10/2022","244.17","243.77","246.06","239.89","295.61K","2.25%"
"11/09/2022","238.79","243.91","244.09","237.53","287.89K","-2.35%"
"11/08/2022","244.53","243.89","246.67","242.54","288.94K","0.08%"
"11/07/2022","244.34","243.50","245.41","240.26","323.12K","0.16%"
"11/04/2022","243.95","244.66","247.95","239.35","361.44K","-0.12%"
"11/03/2022","244.25","245.50","247.10","231.58","820.42K","-3.76%"
"11/02/2022","253.78","255.36","257.16","252.46","477.12K","-1.19%"
"11/01/2022","256.84","257.58","260.02","256.32","292.52K","-0.09%"
"10/31/2022","257.07","255.08","257.98","254.49","294.74K","-0.11%"
"10/28/2022","257.36","255.03","259.82","250.43","408.65K","1.46%"
"10/27/2022","253.65","253.28","256.77","253.12","337.06K","0.95%"
"10/26/2022","251.27","254.12","256.95","250.78","323.37K","-0.57%"
"10/25/2022","252.71","250.58","253.88","250.32","325.96K","0.25%"
"10/24/2022","252.08","251.98","259.47","251.77","777.61K","0.88%"
"10/21/2022","249.89","243.59","251.18","242.05","437.00K","2.83%"
"10/20/2022","243.01","242.44","245.41","241.56","460.68K","-0.05%"
"10/19/2022","243.14","236.94","243.37","236.94","416.19K","1.92%"
"10/18/2022","238.57","230.32","239.02","229.83","437.56K","4.63%"
"10/17/2022","228.01","225.67","231.54","225.04","234.35K","2.17%"
"10/14/2022","223.17","230.78","230.78","220.48","321.37K","-3.25%"
"10/13/2022","230.66","224.22","231.99","223.26","222.27K","1.75%"
"10/12/2022","226.70","232.93","233.43","226.55","344.80K","-3.41%"
"10/11/2022","234.70","235.14","237.63","233.51","339.29K","-0.15%"
"10/10/2022","235.06","234.96","239.14","233.82","238.17K","0.94%"
"10/07/2022","232.88","231.63","233.06","230.15","410.70K","0.46%"
"10/06/2022","231.82","233.12","234.45","231.56","221.26K","-0.51%"
"10/05/2022","233.01","230.76","234.64","229.75","235.09K","0.35%"
"10/04/2022","232.19","228.43","232.26","228.43","304.38K","2.25%"
"10/03/2022","227.08","224.25","228.91","223.49","294.24K","2.52%"
"09/30/2022","221.50","222.15","225.17","220.59","264.97K","-0.82%"
"09/29/2022","223.33","224.69","224.69","219.51","263.10K","-0.90%"
"09/28/2022","225.35","225.67","226.91","221.75","366.31K","0.20%"
"09/27/2022","224.90","228.17","229.66","224.01","325.53K","-0.86%"
"09/26/2022","226.86","229.40","231.79","226.74","285.55K","-1.48%"
"09/23/2022","230.27","233.31","233.70","225.60","295.97K","-2.22%"
"09/22/2022","235.50","233.82","240.35","229.99","530.81K","1.26%"
"09/21/2022","232.58","238.21","242.48","232.49","310.14K","-0.10%"
"09/20/2022","232.81","233.49","233.49","230.79","194.46K","-0.77%"
"09/19/2022","234.61","230.84","234.66","230.46","258.21K","1.08%"
"09/16/2022","232.11","231.59","232.58","227.51","512.06K","-0.08%"
