"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","146.82","145.00","147.68","145.00","1.25M","-0.18%"
"02/02/2023","147.09","148.48","148.70","146.10","1.48M","-0.20%"
"02/01/2023","147.38","144.53","148.24","144.14","1.77M","1.58%"
"01/31/2023","145.09","142.91","145.22","142.41","1.58M","1.52%"
"01/30/2023","142.92","143.19","143.94","142.37","1.62M","-1.24%"
"01/27/2023","144.71","144.06","145.72","143.88","1.11M","0.45%"
"01/26/2023","144.06","143.12","144.27","142.41","1.08M","1.26%"
"01/25/2023","142.27","138.65","142.35","138.01","1.22M","1.45%"
"01/24/2023","140.24","140.00","140.77","138.80","1.19M","0.17%"
"01/23/2023","140.00","138.86","140.34","138.11","1.58M","0.92%"
"01/20/2023","138.72","135.51","139.00","134.69","1.59M","2.71%"
"01/19/2023","135.06","133.17","135.92","133.15","1.28M","0.39%"
"01/18/2023","134.53","137.61","138.22","134.41","1.29M","-1.22%"
"01/17/2023","136.19","136.68","138.08","135.93","1.53M","-0.50%"
"01/13/2023","136.88","134.47","136.89","134.19","1.60M","1.39%"
"01/12/2023","135.00","134.22","136.03","133.23","2.49M","0.42%"
"01/11/2023","134.44","130.58","135.06","130.04","1.89M","3.85%"
"01/10/2023","129.46","128.89","129.64","127.75","983.16K","0.29%"
"01/09/2023","129.08","128.89","130.86","128.87","2.01M","-0.90%"
"01/06/2023","130.25","127.85","130.63","127.29","2.34M","2.69%"
"01/05/2023","126.84","127.13","128.32","126.24","1.27M","-0.78%"
"01/04/2023","127.84","126.47","128.49","126.14","1.88M","2.25%"
"01/03/2023","125.03","127.77","128.49","124.50","1.61M","-1.05%"
"12/30/2022","126.36","125.04","126.50","124.85","1.08M","0.25%"
"12/29/2022","126.04","124.49","126.70","124.49","1.25M","1.63%"
"12/28/2022","124.02","125.75","126.26","123.74","1.15M","-1.37%"
"12/27/2022","125.74","126.50","127.39","125.67","1.04M","-0.55%"
"12/23/2022","126.43","125.53","127.09","125.04","1.01M","0.39%"
"12/22/2022","125.94","126.32","127.13","124.39","1.69M","-1.03%"
"12/21/2022","127.25","130.07","130.63","126.10","3.10M","-1.73%"
