"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","30.51","30.36","30.91","30.33","4.34M","-0.91%"
"02/02/2023","30.79","30.09","31.02","30.00","6.43M","3.08%"
"02/01/2023","29.87","29.04","29.92","28.90","5.68M","2.51%"
"01/31/2023","29.14","28.76","29.14","28.60","5.88M","1.11%"
"01/30/2023","28.82","28.90","29.13","28.77","4.65M","-1.40%"
"01/27/2023","29.23","28.70","29.54","28.63","6.95M","0.76%"
"01/26/2023","29.01","28.98","29.01","28.41","4.20M","1.12%"
"01/25/2023","28.69","28.00","28.84","27.90","4.60M","1.02%"
"01/24/2023","28.40","28.50","28.61","28.27","4.29M","-0.70%"
"01/23/2023","28.60","28.05","28.78","28.05","4.74M","2.47%"
"01/20/2023","27.91","27.02","27.94","26.88","6.69M","3.52%"
"01/19/2023","26.96","27.24","27.31","26.76","5.43M","-2.07%"
"01/18/2023","27.53","27.66","28.02","27.46","5.38M","-0.22%"
"01/17/2023","27.59","27.86","27.91","27.31","6.43M","-1.15%"
"01/13/2023","27.91","28.30","28.31","27.62","7.33M","-2.24%"
"01/12/2023","28.55","28.92","28.96","28.42","6.11M","-0.97%"
"01/11/2023","28.83","29.06","29.09","28.53","6.01M","-0.89%"
"01/10/2023","29.09","28.62","29.10","28.51","4.37M","1.57%"
"01/09/2023","28.64","28.63","29.17","28.48","5.79M","0.99%"
"01/06/2023","28.36","27.52","28.57","27.32","5.50M","4.23%"
"01/05/2023","27.21","27.04","27.42","26.86","4.76M","-0.04%"
"01/04/2023","27.22","27.26","27.69","26.93","5.78M","1.76%"
"01/03/2023","26.75","27.00","27.25","26.58","6.43M","-0.45%"
"12/30/2022","26.87","26.73","26.89","26.52","4.25M","-0.63%"
"12/29/2022","27.04","26.86","27.30","26.85","4.69M","1.88%"
"12/28/2022","26.54","27.07","27.23","26.42","5.35M","-1.96%"
"12/27/2022","27.07","26.77","27.17","26.61","5.32M","1.16%"
"12/23/2022","26.76","26.66","26.80","26.36","4.09M","0.38%"
"12/22/2022","26.66","26.26","26.67","26.08","5.46M","-0.11%"
"12/21/2022","26.69","26.78","27.00","26.65","4.85M","0.30%"
"12/20/2022","26.61","26.50","26.81","26.36","5.34M","0.19%"
"12/19/2022","26.56","26.76","26.94","26.28","5.21M","-0.60%"
"12/16/2022","26.72","26.63","26.88","26.41","17.95M","-0.45%"
"12/15/2022","26.84","27.71","27.87","26.70","10.39M","-5.36%"
"12/14/2022","28.36","28.59","29.05","28.12","6.80M","-1.77%"
"12/13/2022","28.87","29.52","29.73","28.71","7.46M","-0.52%"
"12/12/2022","29.02","28.18","29.04","28.07","7.24M","2.87%"
"12/09/2022","28.21","28.39","28.73","28.20","5.43M","-0.95%"
"12/08/2022","28.48","28.01","28.81","27.91","6.94M","2.34%"
"12/07/2022","27.83","28.00","28.25","27.63","6.82M","-1.70%"
"12/06/2022","28.31","29.17","29.25","28.13","6.35M","-3.08%"
"12/05/2022","29.21","29.41","29.62","29.13","4.86M","-1.45%"
"12/02/2022","29.64","29.44","29.80","29.25","5.26M","-0.74%"
"12/01/2022","29.86","30.11","30.23","29.78","5.76M","-0.60%"
"11/30/2022","30.04","29.00","30.06","28.72","10.29M","4.02%"
"11/29/2022","28.88","29.35","29.61","28.83","7.75M","-1.13%"
"11/28/2022","29.21","29.75","29.79","29.12","6.68M","-3.12%"
"11/25/2022","30.15","29.80","30.74","29.71","5.96M","0.80%"
"11/23/2022","29.91","29.12","30.17","28.31","17.74M","1.80%"
"11/22/2022","29.38","29.23","29.42","28.64","15.11M","0.75%"
"11/21/2022","29.16","29.16","29.30","28.68","10.70M","-1.09%"
"11/18/2022","29.48","29.05","29.61","28.89","9.22M","0.17%"
"11/17/2022","29.43","28.86","29.46","28.31","9.98M","0.48%"
"11/16/2022","29.29","30.20","30.27","28.99","9.15M","-4.16%"
"11/15/2022","30.56","30.90","31.08","30.34","8.49M","0.43%"
"11/14/2022","30.43","30.17","30.91","30.08","8.18M","-0.39%"
"11/11/2022","30.55","29.32","30.68","29.29","11.42M","4.27%"
"11/10/2022","29.30","28.95","29.30","28.63","11.86M","5.40%"
"11/09/2022","27.80","28.50","28.66","27.72","7.57M","-3.64%"
"11/08/2022","28.85","29.00","29.37","28.68","8.72M","0.35%"
"11/07/2022","28.75","28.35","28.92","28.26","8.83M","1.63%"
"11/04/2022","28.29","27.37","28.31","27.22","13.50M","6.11%"
"11/03/2022","26.66","26.70","26.91","26.20","5.42M","-1.19%"
"11/02/2022","26.98","27.78","28.07","26.98","5.79M","-3.12%"
"11/01/2022","27.85","27.94","28.07","27.37","5.11M","0.83%"
"10/31/2022","27.62","27.79","27.89","27.53","5.40M","-1.53%"
"10/28/2022","28.05","27.28","28.12","27.28","8.03M","3.05%"
"10/27/2022","27.22","27.76","27.91","27.11","6.40M","-0.95%"
"10/26/2022","27.48","27.13","28.11","27.04","6.94M","-0.36%"
"10/25/2022","27.58","26.91","27.59","26.84","7.14M","1.92%"
"10/24/2022","27.06","27.00","27.25","26.74","5.64M","1.01%"
"10/21/2022","26.79","25.72","26.83","25.57","7.89M","4.77%"
"10/20/2022","25.57","25.63","26.34","25.49","5.83M","0.31%"
"10/19/2022","25.49","25.26","25.75","25.25","6.06M","-0.23%"
"10/18/2022","25.55","26.33","26.50","25.20","7.50M","-0.54%"
"10/17/2022","25.69","25.87","26.30","25.40","8.84M","0.98%"
"10/14/2022","25.44","26.11","26.35","25.40","10.70M","-2.23%"
"10/13/2022","26.02","24.19","26.33","24.08","11.79M","5.39%"
"10/12/2022","24.69","24.86","25.02","24.62","7.90M","-0.36%"
"10/11/2022","24.78","25.01","25.33","24.60","7.29M","-0.84%"
"10/10/2022","24.99","25.28","25.45","24.60","6.56M","-0.20%"
"10/07/2022","25.04","25.77","25.85","24.90","10.32M","-5.44%"
"10/06/2022","26.48","26.58","27.04","26.45","8.42M","-1.12%"
"10/05/2022","26.78","26.17","26.95","26.12","7.46M","0.53%"
"10/04/2022","26.64","26.38","26.86","26.30","8.85M","2.90%"
"10/03/2022","25.89","25.34","26.11","25.08","8.92M","3.89%"
"09/30/2022","24.92","25.01","25.67","24.87","8.86M","-0.48%"
"09/29/2022","25.04","25.16","25.16","24.74","8.27M","-2.23%"
"09/28/2022","25.61","24.89","25.69","24.86","7.58M","2.52%"
"09/27/2022","24.98","25.38","25.57","24.83","5.95M","0.08%"
"09/26/2022","24.96","25.07","25.50","24.81","8.87M","-1.54%"
"09/23/2022","25.35","25.29","25.47","24.92","8.65M","-1.40%"
"09/22/2022","25.71","25.96","26.23","25.69","8.78M","-1.12%"
"09/21/2022","26.00","26.62","26.94","26.00","8.88M","-1.70%"
"09/20/2022","26.45","26.53","26.62","26.09","9.85M","-1.86%"
"09/19/2022","26.95","26.98","27.32","26.59","9.77M","-1.03%"
"09/16/2022","27.23","26.75","27.37","26.52","39.54M","1.08%"
"09/15/2022","26.94","26.87","27.41","26.62","11.53M","-0.37%"
"09/14/2022","27.04","27.07","27.31","26.73","9.08M","0.30%"
"09/13/2022","26.96","27.39","27.70","26.81","10.38M","-5.44%"
"09/12/2022","28.51","28.45","28.90","28.41","9.39M","0.88%"
