"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","45.24","45.36","45.50","44.65","1.37M","-0.22%"
"02/02/2023","45.34","45.18","45.65","44.80","1.61M","0.00%"
"02/01/2023","45.34","45.07","45.60","45.05","1.48M","0.07%"
"01/31/2023","45.31","44.87","45.31","44.72","3.36M","1.18%"
"01/30/2023","44.78","44.96","45.32","44.66","1.34M","-0.25%"
"01/27/2023","44.89","44.79","44.99","44.52","1.37M","0.29%"
"01/26/2023","44.76","44.63","44.76","44.43","1.42M","0.00%"
"01/25/2023","44.76","44.59","44.78","44.40","1.41M","0.36%"
"01/24/2023","44.60","44.79","44.93","44.36","1.60M","-0.11%"
"01/23/2023","44.65","44.60","44.82","44.51","1.31M","0.16%"
"01/20/2023","44.58","44.52","44.62","44.08","2.12M","0.27%"
"01/19/2023","44.46","44.52","44.67","44.22","1.68M","0.00%"
"01/18/2023","44.46","46.04","46.22","44.42","2.08M","-4.08%"
"01/17/2023","46.35","46.31","46.88","46.19","1.77M","0.54%"
"01/13/2023","46.10","46.31","46.42","45.85","1.10M","-0.92%"
"01/12/2023","46.53","46.93","46.95","46.14","1.65M","-0.62%"
"01/11/2023","46.82","46.19","46.83","46.12","2.05M","1.98%"
"01/10/2023","45.91","46.26","46.36","45.85","1.43M","-0.39%"
"01/09/2023","46.09","46.78","46.90","46.03","2.40M","-1.75%"
"01/06/2023","46.91","46.41","47.03","46.41","1.35M","1.87%"
"01/05/2023","46.05","45.93","46.12","45.56","1.64M","0.35%"
"01/04/2023","45.89","45.83","46.18","45.58","1.65M","0.31%"
"01/03/2023","45.75","45.50","45.94","45.34","1.55M","0.44%"
"12/30/2022","45.55","45.54","45.67","45.20","1.19M","0.09%"
"12/29/2022","45.51","45.47","45.72","45.43","1.20M","0.31%"
"12/28/2022","45.37","45.89","46.04","45.35","1.05M","-1.03%"
"12/27/2022","45.84","45.67","45.99","45.59","937.14K","0.46%"
"12/23/2022","45.63","45.46","45.86","45.35","1.32M","0.48%"
"12/22/2022","45.41","45.31","45.42","44.77","1.47M","0.00%"
"12/21/2022","45.41","45.34","45.64","45.26","1.65M","0.38%"
"12/20/2022","45.24","45.47","45.57","44.87","1.80M","-0.55%"
"12/19/2022","45.49","45.66","45.98","45.20","1.96M","-0.37%"
"12/16/2022","45.66","45.47","45.79","45.37","4.97M","-0.07%"
"12/15/2022","45.69","46.19","46.33","45.44","2.18M","-1.76%"
"12/14/2022","46.51","46.73","47.06","46.30","1.56M","-0.32%"
"12/13/2022","46.66","47.54","47.68","46.64","2.04M","-1.10%"
"12/12/2022","47.18","47.10","47.19","46.65","1.15M","0.34%"
"12/09/2022","47.02","47.60","47.73","46.92","1.93M","-1.32%"
"12/08/2022","47.65","47.59","48.10","47.38","1.61M","0.06%"
"12/07/2022","47.62","47.09","47.68","47.03","1.76M","1.67%"
"12/06/2022","46.84","47.16","47.53","46.78","1.49M","-0.74%"
"12/05/2022","47.19","47.18","47.33","46.66","1.50M","-0.94%"
"12/02/2022","47.64","47.41","47.89","47.28","2.37M","0.11%"
"12/01/2022","47.59","47.00","47.82","46.65","2.48M","1.26%"
"11/30/2022","47.00","47.85","48.19","45.73","5.31M","-2.47%"
"11/29/2022","48.19","48.94","49.03","47.90","2.83M","-1.87%"
"11/28/2022","49.11","49.40","49.46","48.93","1.50M","-0.61%"
"11/25/2022","49.41","49.25","49.41","48.97","783.97K","0.53%"
"11/23/2022","49.15","49.30","49.37","49.03","1.30M","-0.28%"
"11/22/2022","49.29","49.50","49.73","49.10","1.69M","-0.04%"
"11/21/2022","49.31","48.78","49.45","48.54","1.32M","1.34%"
"11/18/2022","48.66","48.41","48.78","48.28","1.25M","1.23%"
"11/17/2022","48.07","47.84","48.28","47.71","1.09M","0.17%"
"11/16/2022","47.99","47.29","48.11","47.29","1.34M","1.80%"
"11/15/2022","47.14","47.33","47.42","46.75","1.51M","0.30%"
"11/14/2022","47.00","47.56","47.94","46.99","1.38M","-0.84%"
"11/11/2022","47.40","47.63","47.63","45.98","1.81M","-0.38%"
"11/10/2022","47.58","47.84","47.91","46.64","1.73M","0.93%"
"11/09/2022","47.14","47.51","47.88","47.08","1.07M","-0.67%"
"11/08/2022","47.46","47.10","47.97","46.94","1.36M","0.96%"
"11/07/2022","47.01","46.20","47.14","46.17","1.45M","2.06%"
"11/04/2022","46.06","46.08","46.36","45.53","926.15K","0.52%"
"11/03/2022","45.82","45.97","46.10","45.54","1.30M","-1.06%"
"11/02/2022","46.31","46.63","47.08","46.26","1.81M","-0.30%"
"11/01/2022","46.45","46.45","46.74","46.28","1.66M","0.00%"
"10/31/2022","46.45","46.90","47.19","46.40","2.39M","-1.09%"
"10/28/2022","46.96","46.13","46.99","46.04","1.60M","2.02%"
"10/27/2022","46.03","45.81","46.29","45.57","2.21M","0.59%"
"10/26/2022","45.76","45.55","46.08","45.20","1.96M","1.33%"
"10/25/2022","45.16","45.04","45.39","44.53","3.05M","0.02%"
"10/24/2022","45.15","45.36","45.80","45.00","1.47M","0.40%"
"10/21/2022","44.97","44.87","45.29","44.60","1.61M","0.18%"
"10/20/2022","44.89","46.23","46.31","44.82","2.07M","-2.67%"
"10/19/2022","46.12","45.87","46.15","45.64","1.30M","0.76%"
"10/18/2022","45.77","45.53","45.90","45.46","994.39K","0.95%"
"10/17/2022","45.34","45.13","45.53","45.08","1.77M","1.00%"
"10/14/2022","44.89","45.92","46.04","44.76","1.50M","-2.37%"
"10/13/2022","45.98","45.23","46.13","45.11","1.64M","0.83%"
"10/12/2022","45.60","46.13","46.41","45.59","1.12M","-0.87%"
"10/11/2022","46.00","45.34","46.28","45.32","1.51M","1.59%"
"10/10/2022","45.28","44.76","45.49","44.76","1.33M","1.66%"
"10/07/2022","44.54","44.85","44.95","44.37","1.78M","-0.82%"
