"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","476.57","491.64","498.63","475.80","1.52M","-2.70%"
"02/02/2023","489.77","499.13","506.51","483.41","2.59M","-4.58%"
"02/01/2023","513.28","506.09","527.78","498.61","1.94M","0.31%"
"01/31/2023","511.70","495.51","513.00","494.21","2.27M","5.52%"
"01/30/2023","484.91","485.25","495.82","484.38","1.51M","0.67%"
"01/27/2023","481.69","498.00","498.30","480.26","1.39M","-3.54%"
"01/26/2023","499.36","502.86","505.26","498.32","821.89K","-0.57%"
"01/25/2023","502.22","496.10","512.50","496.10","851.87K","0.37%"
"01/24/2023","500.35","496.48","502.46","491.20","723.42K","1.17%"
"01/23/2023","494.55","498.37","500.82","493.24","806.43K","-0.55%"
"01/20/2023","497.30","491.66","497.41","490.37","1.88M","1.13%"
"01/19/2023","491.72","487.56","496.85","486.77","675.05K","1.44%"
"01/18/2023","484.75","491.38","493.77","484.08","845.03K","-1.16%"
"01/17/2023","490.46","493.53","494.56","489.36","814.74K","-0.18%"
"01/13/2023","491.36","494.29","504.84","489.38","1.28M","-0.59%"
"01/12/2023","494.29","492.49","495.84","482.57","1.09M","0.26%"
"01/11/2023","493.00","482.28","493.11","480.54","940.71K","2.37%"
"01/10/2023","481.59","484.39","485.80","478.40","997.30K","-0.02%"
"01/09/2023","481.71","495.57","499.84","479.81","1.06M","-2.20%"
"01/06/2023","492.54","490.23","494.66","488.03","977.58K","0.93%"
"01/05/2023","488.02","492.20","493.37","483.71","1.27M","-0.83%"
"01/04/2023","492.12","500.13","501.52","484.75","1.13M","-1.67%"
"01/03/2023","500.49","508.24","511.01","489.67","1.08M","-2.28%"
"12/30/2022","512.19","513.24","513.49","507.10","398.56K","-0.20%"
"12/29/2022","513.20","517.22","517.23","512.04","301.86K","-0.41%"
"12/28/2022","515.31","517.08","520.77","514.41","598.39K","0.18%"
"12/27/2022","514.38","515.68","520.00","512.91","423.29K","0.08%"
"12/23/2022","513.96","510.46","516.00","509.58","357.95K","0.30%"
"12/22/2022","512.43","507.90","512.71","505.05","661.06K","0.85%"
"12/21/2022","508.11","505.00","508.11","499.67","619.73K","1.27%"
"12/20/2022","501.72","504.64","508.06","500.30","629.37K","-0.62%"
"12/19/2022","504.84","503.75","507.32","500.50","822.66K","0.26%"
"12/16/2022","503.53","506.40","506.76","494.85","1.92M","-0.97%"
"12/15/2022","508.44","517.73","517.73","502.31","1.44M","-2.51%"
"12/14/2022","521.51","526.05","526.29","516.90","1.07M","-0.30%"
"12/13/2022","523.06","537.83","537.83","520.18","1.66M","-1.31%"
"12/12/2022","529.99","534.68","536.97","525.38","1.54M","-0.64%"
"12/09/2022","533.42","546.11","546.86","533.00","1.07M","-2.55%"
"12/08/2022","547.36","548.62","553.69","546.17","624.43K","-0.33%"
