"Date";"agilient_tech";"abbvie";"amerisource_bergen";"abbot_labs";"align";"amgen";"baxter";"becton_dickinson";"biogen";"bio_rad_labs";"briston_myers_squibb";"boston_scientific";"cardinal_health";"cigna";"centene";"cooper";"charles_river_laboratories";"catalent_inc";"cvs_health_corp";"quest_diagonistcs";"danaher";"davita";"dexcom";"elevance_health";"edwards_lifesciences";"gilead";"hca";"hologic";"henry_schein";"humana";"idexx_labels";"illumina";"incyte";"iqvia_holdings";"intuitive_surgical";"j_j";"laboratory_america";"eli_lilly";"mckesson";"medtronic";"molina_healthcare";"merck_co";"mettler_toledo";"pfizer";"perkin_elmer";"regeneron_pharma";"steris";"resmed";"stryker";"bio_techne";"teleflex";"thermo_fisher_scientific";"universal_health_service";"united_health";"vertex";"viatris";"waters";"west_pharmaceutical";"dentsply";"zimmer_biomet";"zoetis_inc"
2023-01-20;155,92;149,59;162,21;112,82;243,01;263,24;43,88;253,81;285,77;457,29;74,15;45,62;75,82;308,36;76,15;343,73;243,17;49,45;87;145,43;274,4;80,32;107,86;479,49;79,29;83,01;261,4;79,66;80,86;497,3;488,88;204,39;83,2;223,61;256,77;168,74;255,59;346,07;378,04;80,91;297,45;109,94;1561,53;45,11;137,82;722;234,73;205,11;256,22;81,46;235,69;593,66;149,47;486,72;309,84;11,6;338,75;259,55;36,97;124,09;163,81
2023-01-19;152,87;148,71;162,94;111,8;236,3;262,03;43,64;253,96;280,13;450,55;73,75;45,46;75,48;310,66;75,86;342,39;233,53;49,29;87,48;145,3;270,78;79,53;106,2;480,22;78,47;83,62;256,98;78,76;80,22;491,72;475,13;196,38;83,88;222,29;252,5;169,53;252,59;351,08;378,72;79,52;298,07;109,9;1518,46;44,96;133,01;715,57;229,3;199,17;253,31;80,79;235,2;583,86;146,29;484,36;307,94;11,52;332,04;254,78;36,62;121,95;161,95
2023-01-18;154,07;149,2;162,95;111,51;246,8;264,39;44;253,57;283,47;452,36;72,14;45,09;76,47;308,36;75,09;339,42;234,53;48,18;88,2;145,1;270,62;79,42;106,63;471,71;78,31;83,74;256,76;78,92;80,32;484,75;481,32;205,84;82,27;220,55;256,35;169,76;251,35;352,01;378,4;78,73;295,2;108,79;1539,65;45;132,57;724,55;225,97;195,14;252,02;79,99;236,44;580,05;145,65;476,24;309,86;11,47;328,89;254,51;36,92;122,08;159,97
2023-01-17;155,4;152,83;164,16;113,39;246,04;269,42;44,74;256;289,59;454,92;72,31;46,04;76,42;315;76,74;345,33;236,53;47,96;89,37;147,55;274,92;79,07;109,51;480,96;78,86;85,41;258,32;79,46;80,86;490,46;480,19;206,44;81,26;221,54;261,73;172,36;254,76;357,74;383,47;80,35;299,32;110,45;1531,3;46,08;132,48;728,11;225,38;199,88;256,4;80,85;241,1;587,86;146,55;485,08;311,98;11,84;332,25;253,04;36,82;123,01;159,57
2023-01-13;156,92;153,6;164,28;113,51;239,76;271,73;44,84;255,85;288,04;455,2;72,51;46,53;76,87;314,21;77,04;350,39;232,62;49,08;89,92;147,94;273,62;79,03;108,47;483;78,31;86,27;258,87;79,95;80,37;491,36;479,08;201,11;80,83;222,14;258,9;173,43;251,71;361,62;381,81;80,59;300,25;112,25;1557,78;47,85;133,77;722,13;218,1;202,03;259,82;80,85;240,98;583,84;147,88;489,57;300,94;11,54;339,08;250,7;36,55;123,38;160,92
2023-01-12;156,49;152,22;164,9;111,36;235,58;270,92;45,09;254,6;288,08;451,78;71,6;46,71;76,52;310,22;78,18;349,45;232,25;49,35;89,18;148,12;272,31;78,22;107,14;477,08;77,75;85,72;255,15;79,87;79,51;494,29;469,71;193,75;80,45;219,5;256,94;174;252,33;359,12;380,84;79,85;299,15;111,77;1536,21;47,71;132,16;714,57;214;200,23;256,35;82,17;238,54;581,54;146,18;495,67;296,25;11,66;335,7;248,09;36;123,2;159,91
2023-01-11;158,17;157,17;165,39;113,15;234,16;272,91;45,44;256,15;285,03;461,17;71,94;45,81;76,52;309,23;78,44;350,31;246,94;49,46;89,75;152,84;273,81;79,76;106,16;480,54;77,71;87,19;252,32;81,08;80,62;493;463,02;204,05;79,68;221,53;259,96;174,88;254,22;360,41;380,8;80,32;302,76;111,07;1553,73;47,45;135,53;709,94;214,53;200,69;258,81;86,62;239,77;582,56;144,68;493,4;292,25;11,77;342,66;251,35;35,11;124,32;157,9
2023-01-10;155,23;159,64;167,26;113,85;232,25;273,88;45,74;255,37;281,46;432,92;71,65;46,06;78,13;303,79;76,12;343,85;234,13;48,1;90,65;152,54;266,89;79,78;110,88;470,68;77,02;87,14;250,4;80,57;79,97;481,59;469,11;194,45;79,55;215,51;271,36;175,16;245,29;352,75;382,67;78,89;292;110,81;1520,86;47,62;133,4;698,95;212,68;201,52;263,81;86,54;259,48;568,03;147,5;486;288,75;11,84;335,93;245,93;33,32;125,5;154,36
2023-01-09;147,47;161,66;164,97;112,15;227,67;270,12;44,7;252,45;274,72;425,99;71,01;45,59;77,57;303,04;77,59;344,25;227,75;48,18;91,49;152,93;255,05;78,71;110,06;470,71;76,35;85,1;249,79;79,79;80,53;481,71;448,08;207,31;78,82;208,49;264,93;175,58;243,45;349,83;381,96;77,54;296,4;110,38;1456,41;48,39;133,89;680,49;209,69;190,85;261;83,94;257,15;546,09;148,1;490,06;283,23;12,01;320,4;240,73;32,99;126,05;147,06
2023-01-06;147,67;166,55;165,71;112,33;220,77;275,2;48,45;259,34;279,25;418,68;73;46,33;78,64;302,68;78,66;345,17;219,84;47,66;91,6;155,64;252,49;81,05;115,82;475,48;77,01;88,08;254,52;77,83;81,61;492,54;447,77;201,87;80,87;205,36;270,39;180,25;243,02;362,94;386,05;80,86;301,7;114,84;1449,57;50,92;133,53;737,15;208,89;191,75;256,25;82,52;257,93;535;151,96;490;290,21;12,1;322,21;232,5;33,43;125,7;147,64
