"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","482.41","497.38","497.38","478.21","817.34K","-4.33%"
"02/02/2023","504.22","488.21","504.47","486.04","863.24K","4.35%"
"02/01/2023","483.20","482.01","489.37","478.01","1.14M","0.56%"
"01/31/2023","480.50","483.00","486.22","477.36","555.65K","-0.51%"
"01/30/2023","482.95","483.88","489.02","480.93","414.20K","-0.83%"
"01/27/2023","487.00","483.45","488.27","479.75","435.68K","0.00%"
"01/26/2023","487.00","490.44","492.97","480.27","712.89K","0.38%"
"01/25/2023","485.18","481.09","485.84","473.58","531.83K","-0.31%"
"01/24/2023","486.70","492.37","493.89","484.39","416.26K","-1.90%"
"01/23/2023","496.14","486.77","497.48","485.74","543.20K","1.49%"
"01/20/2023","488.88","475.48","491.07","472.26","562.54K","2.89%"
"01/19/2023","475.13","475.50","479.74","468.17","338.16K","-1.29%"
"01/18/2023","481.32","485.83","494.40","480.33","520.14K","0.24%"
"01/17/2023","480.19","473.02","483.62","469.40","436.68K","0.23%"
"01/13/2023","479.08","466.69","480.73","464.30","484.14K","1.99%"
"01/12/2023","469.71","461.33","470.72","454.52","367.51K","1.44%"
"01/11/2023","463.02","472.58","482.31","461.07","748.07K","-1.30%"
"01/10/2023","469.11","442.80","469.33","442.80","635.79K","4.69%"
"01/09/2023","448.08","451.02","459.49","444.35","886.77K","0.07%"
"01/06/2023","447.77","426.00","448.99","412.31","1.24M","6.82%"
"01/05/2023","419.20","416.24","421.71","410.40","551.02K","-0.76%"
"01/04/2023","422.43","415.17","424.86","414.53","442.15K","4.04%"
"01/03/2023","406.01","409.92","420.14","399.27","394.54K","-0.48%"
"12/30/2022","407.96","405.82","408.12","401.67","297.38K","-0.59%"
"12/29/2022","410.38","403.17","412.91","402.68","397.93K","2.61%"
"12/28/2022","399.93","405.33","413.18","399.43","323.32K","-1.20%"
"12/27/2022","404.80","410.61","412.39","402.58","273.62K","-1.41%"
"12/23/2022","410.58","411.40","413.03","407.83","191.90K","-0.58%"
"12/22/2022","412.96","411.25","413.23","403.22","312.29K","-1.22%"
"12/21/2022","418.06","411.14","422.14","407.87","367.22K","3.04%"
"12/20/2022","405.71","401.42","406.89","395.10","376.04K","0.88%"
"12/19/2022","402.17","406.83","408.78","400.42","355.47K","-1.36%"
"12/16/2022","407.71","411.02","413.35","404.84","990.74K","-1.85%"
"12/15/2022","415.38","420.14","422.05","412.90","447.40K","-3.41%"
"12/14/2022","430.03","432.09","439.60","425.44","559.38K","-1.22%"
"12/13/2022","435.35","446.19","448.01","433.16","620.32K","2.89%"
