"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","229.84","224.77","229.88","224.69","601.32K","1.88%"
"02/02/2023","225.59","229.71","230.20","223.18","765.10K","-0.94%"
"02/01/2023","227.73","239.00","239.00","225.51","904.48K","-4.99%"
"01/31/2023","239.68","234.63","240.15","232.61","535.50K","2.87%"
"01/30/2023","232.99","238.10","238.74","232.61","397.80K","-2.40%"
"01/27/2023","238.73","233.88","239.84","233.85","448.62K","1.96%"
"01/26/2023","234.15","234.53","235.07","231.85","326.28K","0.58%"
"01/25/2023","232.80","230.13","232.86","228.04","242.01K","0.19%"
"01/24/2023","232.35","229.41","234.21","228.38","226.00K","0.65%"
"01/23/2023","230.86","230.77","232.66","229.41","293.24K","-0.15%"
"01/20/2023","231.20","227.50","231.41","225.91","298.24K","2.09%"
"01/19/2023","226.47","233.84","233.84","226.18","425.48K","-3.21%"
"01/18/2023","233.97","238.80","239.85","233.70","349.54K","-1.15%"
"01/17/2023","236.70","239.31","240.09","236.35","205.71K","-0.92%"
"01/13/2023","238.90","235.50","239.20","235.33","262.78K","1.12%"
"01/12/2023","236.25","235.48","237.59","233.73","471.44K","0.33%"
"01/11/2023","235.48","236.19","238.13","235.10","823.31K","0.29%"
"01/10/2023","234.80","233.16","235.68","232.96","213.81K","0.40%"
"01/09/2023","233.86","233.40","237.99","231.90","324.66K","0.74%"
"01/06/2023","232.14","228.64","232.47","227.94","228.12K","2.84%"
"01/05/2023","225.74","228.46","229.40","224.84","441.26K","-1.54%"
"01/04/2023","229.27","231.03","231.88","227.33","352.21K","-0.10%"
"01/03/2023","229.49","229.52","229.82","226.78","429.91K","0.51%"
"12/30/2022","228.33","229.36","230.44","226.18","191.37K","-0.94%"
"12/29/2022","230.50","229.09","231.60","228.27","181.03K","1.47%"
"12/28/2022","227.16","230.73","231.73","227.01","161.50K","-1.26%"
"12/27/2022","230.06","230.20","231.28","228.30","202.20K","0.32%"
"12/23/2022","229.33","229.45","230.57","228.02","187.36K","-0.14%"
"12/22/2022","229.65","230.10","231.04","225.19","291.24K","-1.01%"
"12/21/2022","232.00","230.06","232.16","229.27","384.54K","1.70%"
"12/20/2022","228.12","226.16","229.08","226.16","361.51K","0.82%"
"12/19/2022","226.27","228.04","229.72","225.14","298.28K","-0.75%"
"12/16/2022","227.99","227.47","229.57","226.30","827.98K","-0.69%"
"12/15/2022","229.58","236.14","236.14","229.49","580.74K","-3.76%"
"12/14/2022","238.54","242.03","243.94","237.88","354.93K","-1.45%"
"12/13/2022","242.05","246.14","246.23","240.81","562.31K","0.85%"
"12/12/2022","240.01","235.88","240.02","235.37","445.20K","2.04%"
"12/09/2022","235.21","234.50","236.43","234.18","266.57K","0.46%"
"12/08/2022","234.14","236.93","236.93","233.15","326.79K","-0.39%"
"12/07/2022","235.05","234.12","236.11","234.05","218.49K","0.54%"
"12/06/2022","233.78","237.13","238.20","232.25","222.97K","-1.30%"
"12/05/2022","236.87","238.47","239.14","236.50","346.46K","-2.06%"
"12/02/2022","241.84","238.85","243.51","237.88","500.35K","0.46%"
"12/01/2022","240.74","238.78","240.80","238.07","469.37K","1.37%"
"11/30/2022","237.49","230.23","237.72","229.36","1.12M","2.78%"
"11/29/2022","231.06","231.29","233.29","230.58","286.64K","-0.33%"
"11/28/2022","231.83","235.06","236.44","231.55","249.38K","-2.04%"
"11/25/2022","236.66","234.69","237.77","233.71","132.04K","0.54%"
"11/23/2022","235.40","235.13","236.86","234.73","227.93K","0.25%"
"11/22/2022","234.82","235.13","236.26","233.85","237.63K","0.66%"
"11/21/2022","233.28","232.99","235.26","232.18","383.58K","-0.12%"
"11/18/2022","233.55","234.60","234.60","231.33","268.25K","0.90%"
"11/17/2022","231.47","230.31","231.62","227.91","259.30K","-0.55%"
"11/16/2022","232.74","231.62","234.52","230.82","341.60K","0.48%"
"11/15/2022","231.62","230.01","233.30","229.24","510.56K","1.54%"
"11/14/2022","228.10","229.46","230.61","228.09","403.57K","-0.86%"
"11/11/2022","230.08","234.00","234.62","228.39","431.48K","-1.24%"
"11/10/2022","232.96","229.09","233.29","227.96","362.70K","5.04%"
"11/09/2022","221.79","223.95","225.49","221.28","257.53K","-1.38%"
"11/08/2022","224.89","226.10","228.21","223.01","345.05K","-0.38%"
"11/07/2022","225.75","222.59","225.87","221.48","333.37K","1.42%"
"11/04/2022","222.59","223.67","223.93","220.05","314.24K","0.84%"
"11/03/2022","220.74","216.62","223.50","215.10","396.12K","1.06%"
"11/02/2022","218.42","222.87","225.87","218.13","336.92K","-2.22%"
"11/01/2022","223.37","223.51","224.33","221.04","326.31K","0.48%"
"10/31/2022","222.31","221.25","223.47","221.11","444.37K","-0.27%"
"10/28/2022","222.92","218.29","223.74","217.48","422.62K","2.47%"
"10/27/2022","217.54","221.29","222.53","216.84","587.56K","-1.04%"
"10/26/2022","219.83","215.67","222.06","214.55","803.67K","3.53%"
"10/25/2022","212.34","206.66","213.03","206.53","465.77K","2.53%"
"10/24/2022","207.10","206.15","207.98","204.85","273.88K","1.54%"
"10/21/2022","203.95","200.06","204.40","199.09","556.50K","2.34%"
"10/20/2022","199.29","204.17","204.17","198.99","579.95K","-2.34%"
"10/19/2022","204.06","205.02","206.01","202.40","377.01K","-0.99%"
"10/18/2022","206.11","208.08","209.53","203.82","745.74K","1.24%"
"10/17/2022","203.58","199.69","204.06","199.06","520.25K","3.28%"
"10/14/2022","197.11","204.71","204.71","196.87","571.20K","-3.29%"
"10/13/2022","203.81","196.29","206.16","195.27","524.88K","1.70%"
"10/12/2022","200.40","205.75","205.97","200.35","473.86K","-2.51%"
"10/11/2022","205.56","203.81","207.81","202.19","449.01K","0.92%"
"10/10/2022","203.69","203.38","204.41","201.56","352.82K","0.82%"
"10/07/2022","202.03","205.40","205.52","201.11","270.65K","-2.58%"
"10/06/2022","207.39","209.35","209.82","206.96","484.79K","-0.70%"
"10/05/2022","208.86","208.17","210.90","208.12","325.13K","-0.85%"
