"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","214.26","219.49","221.24","213.18","1.14M","-4.75%"
"02/02/2023","224.94","218.88","225.38","218.32","1.15M","3.89%"
"02/01/2023","216.52","211.73","217.64","208.26","1.29M","1.08%"
"01/31/2023","214.20","211.27","214.49","209.90","958.67K","1.95%"
"01/30/2023","210.10","211.56","214.45","209.13","774.98K","-1.84%"
"01/27/2023","214.03","210.23","215.09","207.83","1.14M","0.59%"
"01/26/2023","212.78","214.28","215.19","210.21","671.67K","0.82%"
"01/25/2023","211.04","210.14","212.10","205.40","624.46K","-1.91%"
"01/24/2023","215.15","215.67","217.98","212.86","1.00M","-0.57%"
"01/23/2023","216.38","205.04","216.90","203.33","1.11M","5.87%"
"01/20/2023","204.39","196.24","204.77","194.68","1.12M","4.08%"
"01/19/2023","196.38","204.88","206.49","196.22","1.07M","-4.60%"
"01/18/2023","205.84","207.59","212.44","204.49","981.55K","-0.29%"
"01/17/2023","206.44","200.68","206.71","198.52","1.27M","2.65%"
"01/13/2023","201.11","191.71","201.64","191.22","1.16M","3.80%"
"01/12/2023","193.75","203.27","203.67","190.07","2.48M","-5.05%"
"01/11/2023","204.05","197.10","204.90","194.87","2.49M","4.94%"
"01/10/2023","194.45","186.21","199.66","182.00","4.05M","-6.20%"
"01/09/2023","207.31","205.57","210.96","204.47","1.06M","2.69%"
"01/06/2023","201.87","204.58","204.58","190.73","1.52M","0.36%"
"01/05/2023","201.15","198.60","203.82","196.34","944.99K","-0.72%"
"01/04/2023","202.61","206.11","208.22","201.00","828.17K","0.87%"
"01/03/2023","200.87","204.93","206.31","198.85","912.29K","-0.66%"
"12/30/2022","202.20","199.29","202.40","197.59","1.00M","0.28%"
"12/29/2022","201.64","193.12","205.32","191.02","1.23M","5.68%"
"12/28/2022","190.81","188.91","192.27","188.09","762.35K","1.08%"
"12/27/2022","188.77","189.76","190.41","185.75","820.05K","-1.29%"
"12/23/2022","191.24","195.04","195.79","190.44","738.71K","-2.32%"
"12/22/2022","195.78","194.70","196.13","190.78","833.52K","-0.85%"
"12/21/2022","197.46","191.76","197.93","190.43","1.05M","3.13%"
"12/20/2022","191.46","190.09","194.61","188.35","1.15M","-0.07%"
"12/19/2022","191.59","199.43","199.43","190.76","1.20M","-3.98%"
"12/16/2022","199.54","206.00","206.18","198.19","2.34M","-3.82%"
"12/15/2022","207.46","206.01","209.97","202.31","1.39M","-1.20%"
"12/14/2022","209.98","209.49","212.64","205.95","1.25M","-0.37%"
"12/13/2022","210.76","216.82","220.61","207.84","1.15M","1.07%"
"12/12/2022","208.52","200.89","208.62","200.86","1.31M","1.41%"
"12/09/2022","205.62","208.35","212.21","205.44","896.67K","-2.28%"
"12/08/2022","210.42","210.83","213.56","207.50","1.09M","0.91%"
"12/07/2022","208.52","206.46","211.12","206.35","932.31K","1.23%"
"12/06/2022","205.98","212.63","214.52","204.84","757.48K","-3.68%"
"12/05/2022","213.86","216.03","220.69","210.49","1.38M","-2.24%"
"12/02/2022","218.76","215.29","219.55","211.00","1.09M","-0.95%"
"12/01/2022","220.86","218.38","225.51","216.93","1.40M","1.27%"
"11/30/2022","218.08","207.42","218.60","203.32","2.52M","4.56%"
