"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","83.61","84.69","85.20","83.38","1.43M","-1.04%"
"02/02/2023","84.49","85.30","85.59","83.54","1.65M","-1.30%"
"02/01/2023","85.60","84.80","85.85","84.53","1.08M","0.54%"
"01/31/2023","85.14","84.06","86.04","84.02","2.11M","1.78%"
"01/30/2023","83.65","85.40","85.73","83.50","1.81M","-2.39%"
"01/27/2023","85.70","85.76","86.08","85.42","931.53K","-0.36%"
"01/26/2023","86.01","85.00","86.29","84.37","1.56M","1.22%"
"01/25/2023","84.97","83.57","84.99","83.44","1.10M","1.59%"
"01/24/2023","83.64","83.48","84.00","83.07","1.30M","0.19%"
"01/23/2023","83.48","83.36","83.79","82.89","974.15K","0.34%"
"01/20/2023","83.20","83.97","84.13","82.81","1.96M","-0.81%"
"01/19/2023","83.88","82.30","83.93","82.17","1.52M","1.96%"
"01/18/2023","82.27","81.09","82.44","80.87","1.35M","1.24%"
"01/17/2023","81.26","80.68","81.92","80.68","1.88M","0.53%"
"01/13/2023","80.83","80.19","81.69","80.19","1.08M","0.47%"
"01/12/2023","80.45","79.67","80.90","78.89","3.82M","0.97%"
"01/11/2023","79.68","79.52","80.02","78.28","1.87M","0.16%"
"01/10/2023","79.55","78.90","80.52","78.86","1.69M","0.93%"
"01/09/2023","78.82","80.89","81.18","78.71","2.28M","-2.53%"
"01/06/2023","80.87","81.00","81.16","80.21","2.78M","0.89%"
"01/05/2023","80.16","78.58","80.83","78.30","4.44M","1.37%"
"01/04/2023","79.08","80.13","80.51","78.83","1.89M","-0.59%"
"01/03/2023","79.55","80.17","80.96","79.15","1.46M","-0.96%"
"12/30/2022","80.32","79.25","80.40","78.87","697.89K","1.06%"
"12/29/2022","79.48","79.59","80.22","79.21","662.03K","0.05%"
"12/28/2022","79.44","79.66","80.28","79.19","924.62K","-0.19%"
"12/27/2022","79.59","81.49","81.68","79.43","730.59K","-2.18%"
"12/23/2022","81.36","80.82","81.41","80.46","1.26M","0.30%"
"12/22/2022","81.12","80.34","81.15","79.94","630.95K","0.75%"
"12/21/2022","80.52","81.36","81.75","80.25","1.15M","-0.68%"
"12/20/2022","81.07","80.46","81.27","80.27","1.72M","0.60%"
"12/19/2022","80.59","81.62","82.38","80.13","1.67M","-1.76%"
"12/16/2022","82.03","81.70","82.42","81.08","3.16M","-0.24%"
"12/15/2022","82.23","81.98","82.52","81.77","1.05M","-0.53%"
"12/14/2022","82.67","82.68","83.01","81.80","1.14M","-0.29%"
"12/13/2022","82.91","82.85","83.45","82.63","1.18M","0.67%"
"12/12/2022","82.36","82.46","82.53","81.65","869.17K","0.02%"
"12/09/2022","82.34","84.15","84.49","82.25","1.46M","-2.10%"
"12/08/2022","84.11","84.21","84.58","83.52","1.02M","0.10%"
"12/07/2022","84.03","82.57","84.13","82.32","1.14M","1.81%"
"12/06/2022","82.54","84.02","84.16","82.24","2.02M","-1.83%"
"12/05/2022","84.08","82.77","84.57","82.60","2.24M","1.14%"
"12/02/2022","83.13","80.28","83.35","80.01","1.65M","3.04%"
"12/01/2022","80.68","80.00","81.00","79.65","1.26M","1.27%"
"11/30/2022","79.67","78.00","79.70","77.45","1.66M","2.40%"
"11/29/2022","77.80","77.90","77.95","77.06","612.86K","-0.04%"
"11/28/2022","77.83","78.30","79.00","77.61","867.86K","-0.55%"
"11/25/2022","78.26","77.33","78.26","77.27","238.80K","0.64%"
"11/23/2022","77.76","78.37","78.90","77.53","1.15M","-0.65%"
"11/22/2022","78.27","78.74","78.74","77.79","819.16K","-0.18%"
"11/21/2022","78.41","77.50","78.84","76.90","1.02M","1.24%"
"11/18/2022","77.45","78.27","78.89","76.94","804.87K","-0.65%"
"11/17/2022","77.96","76.58","78.22","76.27","961.84K","1.63%"
"11/16/2022","76.71","76.85","77.39","76.46","697.82K","0.12%"
"11/15/2022","76.62","78.07","78.07","76.38","1.00M","-0.61%"
"11/14/2022","77.09","77.70","78.37","77.06","1.21M","-0.57%"
"11/11/2022","77.53","77.47","77.77","75.46","1.20M","-0.32%"
"11/10/2022","77.78","79.16","79.19","76.43","2.11M","0.73%"
"11/09/2022","77.22","76.86","78.03","76.68","1.56M","0.69%"
"11/08/2022","76.69","75.84","77.16","75.82","1.05M","1.04%"
"11/07/2022","75.90","77.49","77.85","75.85","1.54M","-1.81%"
"11/04/2022","77.30","77.36","77.85","76.22","2.18M","0.52%"
"11/03/2022","76.90","76.49","77.49","75.24","1.17M","-0.32%"
"11/02/2022","77.15","76.67","78.74","76.26","3.11M","0.26%"
"11/01/2022","76.95","75.52","81.00","75.39","4.14M","3.51%"
"10/31/2022","74.34","73.97","74.71","73.56","2.20M","-0.35%"
"10/28/2022","74.60","73.54","74.64","73.17","1.11M","2.39%"
"10/27/2022","72.86","73.76","73.86","72.56","899.94K","-1.03%"
"10/26/2022","73.62","72.53","74.27","72.53","1.19M","1.66%"
"10/25/2022","72.42","72.49","73.01","71.91","1.05M","-0.07%"
"10/24/2022","72.47","71.26","73.07","70.28","1.92M","2.68%"
"10/21/2022","70.58","68.98","70.97","68.15","4.83M","2.35%"
"10/20/2022","68.96","69.69","70.44","68.72","1.10M","-0.91%"
"10/19/2022","69.59","70.53","70.98","69.07","1.31M","-2.14%"
"10/18/2022","71.11","71.14","71.97","70.86","1.50M","1.07%"
"10/17/2022","70.36","69.72","70.71","69.31","1.42M","1.82%"
"10/14/2022","69.10","69.12","69.64","68.32","1.20M","0.99%"
"10/13/2022","68.42","66.48","69.06","66.33","1.46M","1.35%"
"10/12/2022","67.51","67.35","67.84","66.70","1.03M","0.39%"
"10/11/2022","67.25","67.76","68.16","66.69","1.37M","-0.49%"
"10/10/2022","67.58","68.56","68.63","67.45","987.66K","-1.23%"
"10/07/2022","68.42","69.14","69.40","68.25","1.20M","-1.75%"
"10/06/2022","69.64","69.12","69.92","68.52","1.13M","0.20%"
"10/05/2022","69.50","69.21","69.98","68.51","1.02M","-0.09%"
"10/04/2022","69.56","69.41","69.97","68.64","1.15M","1.06%"
"10/03/2022","68.83","67.13","69.07","66.50","1.37M","3.29%"
"09/30/2022","66.64","66.84","67.91","66.56","1.62M","0.05%"
"09/29/2022","66.61","67.42","67.58","66.14","1.27M","-1.55%"
"09/28/2022","67.66","66.95","67.96","66.60","1.56M","1.84%"
"09/27/2022","66.44","66.48","67.53","65.88","1.80M","0.39%"
"09/26/2022","66.18","66.60","67.26","65.92","1.12M","-1.06%"
"09/23/2022","66.89","67.33","67.33","66.10","1.31M","-0.77%"
"09/22/2022","67.41","66.16","67.90","65.62","1.24M","0.87%"
"09/21/2022","66.83","68.42","68.97","66.83","1.50M","-2.09%"
"09/20/2022","68.26","68.20","68.60","67.55","939.40K","-0.80%"
"09/19/2022","68.81","68.42","68.91","67.19","1.21M","-0.03%"
"09/16/2022","68.83","68.86","69.18","67.75","2.36M","-0.22%"
"09/15/2022","68.98","68.22","69.40","68.00","1.13M","0.82%"
