"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","423.76","440.76","440.91","421.69","1.84M","-6.28%"
"02/02/2023","452.16","443.96","457.94","442.09","1.91M","3.81%"
"02/01/2023","435.55","420.35","437.96","416.01","1.51M","3.05%"
"01/31/2023","422.67","416.45","422.92","415.10","1.17M","1.49%"
"01/30/2023","416.45","416.14","420.53","412.24","1.52M","-1.46%"
"01/27/2023","422.62","408.32","428.70","407.27","1.72M","2.44%"
"01/26/2023","412.55","409.95","413.22","402.08","1.28M","2.65%"
"01/25/2023","401.90","394.30","403.95","385.49","1.12M","0.09%"
"01/24/2023","401.55","410.00","410.00","398.74","1.18M","-2.06%"
"01/23/2023","410.00","400.73","410.51","399.12","2.19M","3.00%"
"01/20/2023","398.07","383.27","400.31","382.55","1.70M","5.14%"
"01/19/2023","378.60","383.14","388.97","378.22","1.08M","-1.93%"
"01/18/2023","386.07","392.10","401.32","385.64","1.60M","-1.06%"
"01/17/2023","390.20","392.00","395.29","386.75","1.64M","-0.77%"
"01/13/2023","393.21","390.00","394.63","386.46","1.31M","-0.88%"
"01/12/2023","396.70","398.27","398.27","386.03","1.10M","0.35%"
"01/11/2023","395.31","388.28","395.83","384.29","1.50M","1.71%"
"01/10/2023","388.68","387.58","394.96","385.53","1.07M","-1.68%"
"01/09/2023","395.34","391.10","402.64","388.16","1.32M","2.28%"
"01/06/2023","386.52","380.24","389.34","370.62","1.31M","2.90%"
"01/05/2023","375.62","386.35","387.47","375.00","1.26M","-4.07%"
"01/04/2023","391.57","397.58","399.72","387.60","1.20M","0.10%"
"01/03/2023","391.18","396.70","404.45","385.22","1.86M","0.50%"
"12/30/2022","389.22","386.01","389.44","382.68","948.92K","-0.42%"
"12/29/2022","390.87","380.38","391.98","377.55","991.04K","3.82%"
"12/28/2022","376.50","385.36","388.50","374.82","842.37K","-1.73%"
"12/27/2022","383.11","383.44","385.34","377.46","822.38K","-0.36%"
"12/23/2022","384.49","383.32","385.43","378.50","705.17K","0.14%"
"12/22/2022","383.95","385.35","387.75","376.76","1.31M","-2.38%"
"12/21/2022","393.33","389.43","396.39","384.26","1.33M","1.61%"
"12/20/2022","387.08","381.87","390.06","380.82","1.32M","0.93%"
"12/19/2022","383.52","388.74","388.74","377.50","1.54M","-0.38%"
"12/16/2022","384.98","392.73","393.99","380.55","3.57M","-2.91%"
"12/15/2022","396.53","410.94","415.16","394.24","1.73M","-5.34%"
"12/14/2022","418.92","426.53","434.23","416.15","1.63M","-2.21%"
"12/13/2022","428.39","432.11","441.98","422.21","3.25M","4.29%"
"12/12/2022","410.78","400.73","410.98","398.33","1.77M","2.74%"
"12/09/2022","399.83","404.19","405.83","399.28","1.06M","-1.36%"
"12/08/2022","405.36","391.60","406.72","389.46","1.52M","4.30%"
"12/07/2022","388.65","388.06","394.19","385.39","965.26K","-0.29%"
"12/06/2022","389.78","395.45","395.49","385.16","1.21M","-1.36%"
"12/05/2022","395.14","401.16","404.20","393.18","1.49M","-3.13%"
"12/02/2022","407.92","401.87","409.17","400.16","1.88M","-1.96%"
"12/01/2022","416.07","407.89","418.22","405.00","1.94M","2.08%"
"11/30/2022","407.59","375.49","411.49","374.00","4.90M","7.34%"
"11/29/2022","379.71","381.63","385.33","377.43","1.72M","-1.54%"
"11/28/2022","385.64","394.38","398.70","383.48","1.69M","-1.74%"
"11/25/2022","392.47","394.85","395.83","391.48","861.77K","-0.85%"
"11/23/2022","395.85","390.42","400.10","390.06","1.49M","0.92%"
"11/22/2022","392.23","379.99","394.00","375.00","2.30M","4.59%"
"11/21/2022","375.00","376.57","380.40","372.16","1.43M","-1.33%"
"11/18/2022","380.07","388.47","389.43","369.94","2.05M","-0.47%"
"11/17/2022","381.88","384.60","388.49","378.02","2.05M","-2.99%"
"11/16/2022","393.66","407.02","407.10","390.83","1.26M","-3.28%"
"11/15/2022","407.02","414.50","416.48","401.78","2.08M","2.35%"
"11/14/2022","397.66","400.05","403.57","391.04","1.80M","-2.54%"
"11/11/2022","408.04","402.26","411.93","398.64","1.72M","1.19%"
"11/10/2022","403.24","397.35","403.75","388.00","3.09M","9.41%"
"11/09/2022","368.55","376.97","379.65","368.13","1.45M","-3.66%"
"11/08/2022","382.57","372.45","391.10","370.13","2.67M","3.37%"
"11/07/2022","370.11","363.56","370.50","357.48","1.65M","2.47%"
"11/04/2022","361.19","371.66","371.66","352.63","3.19M","-1.04%"
"11/03/2022","364.99","375.84","382.62","364.33","3.25M","-5.20%"
"11/02/2022","385.03","402.52","408.99","384.82","2.70M","-2.47%"
"11/01/2022","394.77","433.48","434.14","387.06","4.24M","-7.66%"
"10/31/2022","427.50","427.56","430.80","423.80","1.04M","-0.99%"
