"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","115.23","114.56","116.65","114.56","183.35K","-0.97%"
"02/02/2023","116.36","116.07","118.52","115.69","225.09K","1.36%"
"02/01/2023","114.80","112.32","115.29","111.52","294.80K","2.41%"
"01/31/2023","112.10","110.00","112.28","110.00","225.11K","2.03%"
"01/30/2023","109.87","110.67","111.54","109.62","168.09K","-1.42%"
"01/27/2023","111.45","110.48","111.65","110.12","139.77K","0.52%"
"01/26/2023","110.87","110.96","111.69","110.14","109.89K","0.48%"
"01/25/2023","110.34","109.22","110.53","108.33","157.25K","-0.58%"
"01/24/2023","110.98","110.72","111.56","110.08","269.48K","-0.07%"
"01/23/2023","111.06","107.47","111.14","107.47","332.71K","3.22%"
"01/20/2023","107.60","106.89","107.92","106.43","192.46K","1.30%"
"01/19/2023","106.22","107.05","107.13","104.91","232.08K","-1.30%"
"01/18/2023","107.62","109.28","110.61","107.43","220.32K","-1.16%"
"01/17/2023","108.88","105.94","109.08","105.15","293.31K","2.32%"
"01/13/2023","106.41","107.00","108.24","105.97","237.42K","-1.42%"
"01/12/2023","107.94","106.85","108.10","106.49","208.23K","1.11%"
"01/11/2023","106.76","106.07","107.01","105.45","315.31K","1.17%"
"01/10/2023","105.53","103.32","106.04","103.32","333.05K","1.61%"
"01/09/2023","103.86","104.81","105.72","103.65","314.64K","-0.06%"
"01/06/2023","103.92","101.36","104.70","100.27","399.88K","3.93%"
"01/05/2023","99.99","99.79","101.70","98.89","462.19K","-0.36%"
"01/04/2023","100.35","97.76","100.83","97.75","420.52K","4.00%"
"01/03/2023","96.49","95.86","96.65","94.90","315.94K","1.92%"
"12/30/2022","94.67","93.56","94.93","93.35","203.56K","0.23%"
"12/29/2022","94.45","91.25","95.22","91.25","197.21K","4.62%"
"12/28/2022","90.28","92.07","93.61","90.18","157.27K","-2.75%"
"12/27/2022","92.83","92.98","93.58","92.29","172.25K","-0.12%"
"12/23/2022","92.94","92.17","93.99","91.87","314.34K","0.60%"
"12/22/2022","92.39","91.82","92.61","90.79","252.45K","-0.84%"
"12/21/2022","93.17","93.61","94.28","92.77","265.87K","0.39%"
"12/20/2022","92.81","90.70","94.27","90.25","420.82K","1.99%"
"12/19/2022","91.00","91.94","93.65","89.06","397.59K","-0.51%"
"12/16/2022","91.47","91.36","92.40","89.76","583.49K","-0.75%"
"12/15/2022","92.16","94.00","94.29","92.03","370.56K","-3.28%"
"12/14/2022","95.29","96.67","97.90","94.20","453.26K","-2.29%"
"12/13/2022","97.52","99.41","99.60","96.70","449.54K","1.16%"
"12/12/2022","96.40","93.33","97.39","92.86","289.04K","3.39%"
"12/09/2022","93.24","92.46","95.20","92.02","340.41K","0.76%"
"12/08/2022","92.54","89.98","92.55","89.69","200.33K","3.71%"
"12/07/2022","89.23","88.63","89.66","88.50","199.16K","-0.15%"
"12/06/2022","89.36","90.28","90.33","88.19","336.33K","-0.81%"
"12/05/2022","90.09","91.56","91.56","89.64","151.75K","-2.19%"
"12/02/2022","92.11","91.63","92.25","90.68","145.90K","-0.72%"
"12/01/2022","92.78","91.64","93.22","89.22","135.36K","1.92%"
"11/30/2022","91.03","88.36","91.07","86.46","312.69K","3.02%"
"11/29/2022","88.36","89.15","90.65","88.07","111.68K","-0.90%"
"11/28/2022","89.16","90.35","90.35","88.61","146.71K","-2.23%"
"11/25/2022","91.19","92.25","92.89","91.05","65.53K","-1.30%"
"11/23/2022","92.39","90.77","93.39","90.71","156.62K","1.71%"
"11/22/2022","90.84","89.52","91.29","88.71","263.42K","1.96%"
"11/21/2022","89.09","90.50","90.93","88.05","180.43K","-2.34%"
"11/18/2022","91.22","93.03","93.81","90.28","154.06K","-0.28%"
"11/17/2022","91.48","89.75","91.56","89.17","123.31K","-0.04%"
"11/16/2022","91.52","94.17","94.81","90.95","154.64K","-4.46%"
"11/15/2022","95.79","95.99","97.83","95.39","295.45K","2.10%"
"11/14/2022","93.82","94.03","96.14","93.35","419.56K","-0.86%"
"11/11/2022","94.63","90.21","94.73","89.57","296.99K","5.74%"
"11/10/2022","89.49","88.05","89.90","88.05","211.43K","6.46%"
"11/09/2022","84.06","83.93","85.29","83.82","165.83K","-0.74%"
"11/08/2022","84.69","87.45","87.72","83.46","265.16K","-2.72%"
"11/07/2022","87.06","88.25","88.61","86.60","188.18K","-0.88%"
"11/04/2022","87.83","88.57","89.35","86.01","368.00K","1.15%"
"11/03/2022","86.83","86.12","87.68","85.21","321.20K","-1.22%"
"11/02/2022","87.90","84.85","90.96","84.05","408.40K","2.83%"
"11/01/2022","85.48","82.39","86.15","79.88","601.67K","-0.21%"
"10/31/2022","85.66","87.28","87.28","85.36","296.53K","-1.95%"
"10/28/2022","87.36","85.25","87.61","85.22","231.47K","3.03%"
"10/27/2022","84.79","87.60","87.60","84.36","230.03K","-2.08%"
"10/26/2022","86.59","87.49","88.66","86.57","237.37K","-1.18%"
"10/25/2022","87.62","85.66","88.69","85.66","236.31K","1.67%"
"10/24/2022","86.18","86.42","86.49","84.82","191.94K","0.29%"
"10/21/2022","85.93","84.85","86.14","84.36","277.03K","0.92%"
"10/20/2022","85.15","85.73","87.32","84.40","249.05K","-0.18%"
"10/19/2022","85.30","87.42","87.67","84.00","367.45K","-2.59%"
"10/18/2022","87.57","88.87","89.62","86.72","305.37K","1.09%"
"10/17/2022","86.63","86.09","87.72","85.51","344.46K","2.75%"
"10/14/2022","84.31","86.84","86.84","83.68","302.67K","-2.02%"
"10/13/2022","86.05","80.84","87.06","80.48","330.43K","3.65%"
"10/12/2022","83.02","85.06","85.06","82.32","332.35K","-2.08%"
"10/11/2022","84.78","85.95","86.23","83.76","384.23K","-2.15%"
"10/10/2022","86.64","87.06","87.86","85.26","364.35K","0.02%"
"10/07/2022","86.62","88.86","88.86","86.15","219.78K","-3.98%"
"10/06/2022","90.21","90.04","90.87","89.69","225.33K","0.00%"
"10/05/2022","90.21","90.16","90.46","88.72","354.28K","-1.23%"
"10/04/2022","91.33","90.30","91.55","90.30","403.90K","3.65%"
"10/03/2022","88.11","85.41","88.79","84.57","334.29K","4.46%"
"09/30/2022","84.35","85.55","87.30","84.23","328.98K","-1.83%"
"09/29/2022","85.92","85.74","86.10","84.38","323.54K","-1.28%"
"09/28/2022","87.03","84.81","87.21","84.51","275.63K","2.00%"
"09/27/2022","85.32","84.98","86.75","84.44","268.86K","1.37%"
"09/26/2022","84.17","84.84","86.42","84.12","319.78K","-0.94%"
"09/23/2022","84.97","85.98","86.33","83.50","480.88K","-2.45%"
"09/22/2022","87.10","88.03","88.14","87.00","354.68K","-1.76%"
"09/21/2022","88.66","88.69","91.37","88.43","376.41K","0.60%"
"09/20/2022","88.13","88.20","89.81","87.93","327.55K","-1.07%"
"09/19/2022","89.08","87.76","89.81","87.72","391.41K","1.17%"
"09/16/2022","88.05","86.70","88.56","86.00","1.11M","0.91%"
"09/15/2022","87.26","87.21","89.45","86.98","360.38K","-0.38%"
"09/14/2022","87.59","88.84","88.95","85.93","450.66K","-1.36%"
"09/13/2022","88.80","90.01","90.07","88.46","307.68K","-4.46%"
"09/12/2022","92.95","92.50","94.06","91.84","224.35K","0.84%"
"09/09/2022","92.18","90.69","92.70","90.69","240.65K","2.67%"
"09/08/2022","89.78","88.31","89.80","87.34","202.65K","0.46%"
"09/07/2022","89.37","88.22","89.64","87.10","188.67K","1.02%"
"09/06/2022","88.47","90.20","90.33","88.05","313.93K","-1.10%"
"09/02/2022","89.45","91.52","91.84","88.35","322.34K","-1.13%"
"09/01/2022","90.47","89.14","91.32","89.07","415.71K","-0.13%"
"08/31/2022","90.59","91.36","92.13","89.39","341.69K","-0.81%"
"08/30/2022","91.33","92.78","93.25","90.51","191.64K","-0.70%"
"08/29/2022","91.97","93.64","94.17","91.97","175.17K","-2.17%"
"08/26/2022","94.01","98.34","98.34","93.76","244.61K","-4.10%"
"08/25/2022","98.03","96.74","98.28","96.42","143.16K","1.96%"
"08/24/2022","96.15","95.95","97.32","95.20","171.91K","0.34%"
"08/23/2022","95.82","96.05","97.12","95.64","226.03K","-0.18%"
"08/22/2022","95.99","97.24","98.84","95.63","295.81K","-3.43%"
"08/19/2022","99.40","100.00","100.33","98.67","190.97K","-2.18%"
"08/18/2022","101.62","99.82","102.07","99.40","186.85K","1.36%"
"08/17/2022","100.26","101.00","101.19","98.45","220.17K","-2.26%"
"08/16/2022","102.58","102.97","103.53","101.26","225.13K","-1.35%"
"08/15/2022","103.98","103.96","105.91","102.50","279.09K","-1.14%"
"08/12/2022","105.18","104.12","105.83","103.47","201.32K","2.08%"
"08/11/2022","103.04","103.92","104.83","101.53","265.66K","0.23%"
"08/10/2022","102.80","101.99","102.85","101.07","262.10K","3.93%"
"08/09/2022","98.91","101.20","101.20","97.81","358.13K","-3.18%"
"08/08/2022","102.16","101.74","103.46","101.31","257.30K","0.31%"
"08/05/2022","101.84","101.69","102.74","99.94","222.82K","-1.61%"
"08/04/2022","103.51","103.50","103.89","101.82","229.58K","0.09%"
"08/03/2022","103.42","102.24","104.47","101.54","302.67K","0.76%"
"08/02/2022","102.64","108.46","112.70","102.06","503.30K","-4.66%"
"08/01/2022","107.66","104.96","109.48","104.96","437.35K","1.01%"
"07/29/2022","106.58","105.44","107.19","104.52","418.33K","0.92%"
"07/28/2022","105.61","102.57","105.68","101.33","282.99K","3.27%"
"07/27/2022","102.27","100.04","103.06","99.98","258.79K","2.78%"
"07/26/2022","99.50","99.28","99.90","98.07","279.80K","-0.56%"
"07/25/2022","100.06","99.88","100.53","98.78","245.10K","-0.20%"
"07/22/2022","100.26","102.43","102.43","99.52","383.76K","-2.16%"
"07/21/2022","102.47","101.63","102.60","101.06","248.16K","0.82%"
"07/20/2022","101.64","99.13","101.69","98.02","276.48K","3.03%"
"07/19/2022","98.65","96.65","98.86","96.65","259.56K","3.57%"
"07/18/2022","95.25","96.25","96.72","94.66","297.81K","1.02%"
"07/15/2022","94.29","93.21","94.33","91.68","198.54K","2.31%"
"07/14/2022","92.16","91.96","92.39","90.08","217.66K","-0.51%"
"07/13/2022","92.63","90.80","93.01","90.68","239.07K","-0.54%"
"07/12/2022","93.13","92.24","94.73","92.24","243.76K","1.10%"
"07/11/2022","92.12","92.01","93.40","90.77","312.90K","-1.34%"
"07/08/2022","93.37","93.63","94.23","91.86","194.12K","-0.70%"
"07/07/2022","94.03","92.32","94.82","92.28","277.03K","3.34%"
"07/06/2022","90.99","91.47","92.48","90.21","333.89K","-0.98%"
"07/05/2022","91.89","88.78","91.92","87.50","272.40K","1.04%"
"07/01/2022","90.94","93.35","95.30","89.92","313.30K","-3.39%"
"06/30/2022","94.13","93.27","96.29","92.96","574.14K","-0.36%"
"06/29/2022","94.47","93.79","94.65","92.10","379.32K","0.81%"
