"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","57.11","55.45","57.42","55.38","3.44M","1.96%"
"02/02/2023","56.01","56.12","56.59","55.51","2.82M","0.63%"
"02/01/2023","55.66","55.75","56.17","54.85","3.45M","-0.61%"
"01/31/2023","56.00","55.54","56.23","55.23","2.63M","1.25%"
"01/30/2023","55.31","55.34","55.73","55.13","1.72M","-0.63%"
"01/27/2023","55.66","55.32","56.03","54.95","2.11M","0.23%"
"01/26/2023","55.53","56.24","56.29","53.85","3.74M","-0.75%"
"01/25/2023","55.95","55.72","56.07","54.89","1.43M","-0.76%"
"01/24/2023","56.38","55.50","56.61","54.91","1.69M","0.88%"
"01/23/2023","55.89","55.48","56.21","55.26","2.65M","0.98%"
"01/20/2023","55.35","54.13","55.37","53.90","1.80M","2.73%"
"01/19/2023","53.88","55.63","55.76","53.78","1.88M","-3.61%"
"01/18/2023","55.90","57.04","57.31","55.79","1.66M","-1.58%"
"01/17/2023","56.80","57.50","57.77","56.58","1.75M","-1.27%"
"01/13/2023","57.53","57.18","57.68","57.01","1.26M","0.24%"
"01/12/2023","57.39","56.93","57.60","56.45","2.09M","1.07%"
"01/11/2023","56.78","56.87","57.22","56.25","1.68M","0.62%"
"01/10/2023","56.43","55.66","56.65","55.61","1.58M","1.17%"
"01/09/2023","55.78","55.64","56.53","55.45","2.04M","1.20%"
"01/06/2023","55.12","54.17","55.29","53.57","2.98M","3.24%"
"01/05/2023","53.39","53.37","53.75","52.91","2.09M","-0.48%"
"01/04/2023","53.65","53.40","53.83","52.98","2.54M","1.23%"
"01/03/2023","53.00","52.67","53.10","51.97","2.09M","1.44%"
"12/30/2022","52.25","52.47","52.68","51.86","1.52M","-1.02%"
"12/29/2022","52.79","52.17","53.14","52.11","1.73M","2.03%"
"12/28/2022","51.74","52.69","52.78","51.73","1.04M","-1.62%"
"12/27/2022","52.59","52.42","52.88","52.00","1.69M","0.59%"
"12/23/2022","52.28","52.03","52.40","51.64","2.04M","0.54%"
"12/22/2022","52.00","52.28","52.28","50.75","1.57M","-1.37%"
"12/21/2022","52.72","52.47","53.07","52.20","1.70M","1.58%"
"12/20/2022","51.90","51.09","52.12","50.96","1.87M","1.63%"
"12/19/2022","51.07","51.91","52.27","50.90","2.48M","-1.41%"
"12/16/2022","51.80","51.93","52.33","51.27","3.75M","-1.52%"
"12/15/2022","52.60","53.91","54.02","52.54","3.08M","-3.89%"
"12/14/2022","54.73","55.62","56.05","54.27","3.03M","-1.44%"
"12/13/2022","55.53","56.08","56.25","54.97","3.69M","2.38%"
"12/12/2022","54.24","53.60","54.26","53.10","2.64M","1.86%"
"12/09/2022","53.25","53.50","53.63","53.14","2.31M","-0.02%"
"12/08/2022","53.26","53.06","53.75","52.91","2.34M","0.85%"
"12/07/2022","52.81","52.69","53.54","52.69","2.46M","0.15%"
"12/06/2022","52.73","53.31","53.81","52.38","1.69M","-1.11%"
"12/05/2022","53.32","53.86","53.94","53.05","2.71M","-2.25%"
"12/02/2022","54.55","53.49","54.84","53.31","2.48M","0.48%"
"12/01/2022","54.29","54.34","55.13","53.72","2.86M","0.59%"
"11/30/2022","53.97","52.98","54.15","52.31","5.16M","2.18%"
"11/29/2022","52.82","53.24","53.76","52.62","1.80M","-0.64%"
"11/28/2022","53.16","52.96","53.53","52.80","2.49M","-0.49%"
"11/25/2022","53.42","53.80","54.03","53.35","1.21M","-0.41%"
"11/23/2022","53.64","53.87","54.20","53.51","1.97M","-0.28%"
"11/22/2022","53.79","54.00","54.25","53.36","2.73M","0.35%"
"11/21/2022","53.60","53.51","53.95","53.34","1.90M","-0.19%"
"11/18/2022","53.70","54.50","54.71","53.15","2.73M","-0.17%"
"11/17/2022","53.79","54.07","54.37","52.79","1.91M","-2.18%"
"11/16/2022","54.99","55.29","55.88","54.76","1.97M","-0.94%"
"11/15/2022","55.51","56.00","56.71","55.04","2.07M","0.58%"
"11/14/2022","55.19","55.18","56.27","55.13","2.76M","-0.22%"
"11/11/2022","55.31","54.00","55.73","53.78","6.68M","2.65%"
"11/10/2022","53.88","53.84","54.33","53.31","4.80M","4.16%"
"11/09/2022","51.73","51.80","52.47","51.49","2.04M","-0.98%"
