"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","341.95","344.15","346.83","340.68","402.23K","-1.89%"
"02/02/2023","348.54","350.39","355.95","347.85","596.89K","0.36%"
"02/01/2023","347.28","337.05","348.89","337.05","429.97K","2.70%"
"01/31/2023","338.14","333.74","338.16","332.80","468.89K","1.48%"
"01/30/2023","333.22","329.28","335.76","329.28","429.46K","0.48%"
"01/27/2023","331.62","326.92","333.48","325.93","482.41K","0.82%"
"01/26/2023","328.92","331.52","332.66","325.80","416.97K","0.10%"
"01/25/2023","328.60","328.43","329.53","320.74","346.45K","-1.30%"
"01/24/2023","332.93","329.54","335.52","329.40","342.41K","-0.01%"
"01/23/2023","332.95","333.33","338.41","332.13","383.86K","0.00%"
"01/20/2023","332.96","326.31","333.50","323.84","340.40K","2.62%"
"01/19/2023","324.47","329.20","330.70","324.14","380.69K","-1.85%"
"01/18/2023","330.60","335.32","337.05","327.43","453.24K","-0.99%"
"01/17/2023","333.91","334.61","338.19","332.23","466.22K","-0.62%"
"01/13/2023","335.98","333.33","337.04","331.67","279.87K","0.01%"
"01/12/2023","335.93","340.00","340.55","334.84","334.94K","-0.52%"
"01/11/2023","337.70","333.98","338.31","332.58","320.34K","1.72%"
"01/10/2023","331.99","327.70","332.17","327.70","256.99K","0.86%"
"01/09/2023","329.15","330.43","336.09","327.91","501.10K","0.16%"
"01/06/2023","328.62","327.40","331.01","324.50","439.31K","1.19%"
"01/05/2023","324.77","330.94","332.85","324.61","414.50K","-2.81%"
"01/04/2023","334.15","338.90","341.80","331.72","480.62K","-0.99%"
"01/03/2023","337.49","339.41","342.06","334.23","277.63K","0.40%"
"12/30/2022","336.14","336.24","336.85","332.13","272.18K","-1.20%"
"12/29/2022","340.22","335.59","340.58","332.15","240.32K","2.21%"
"12/28/2022","332.87","336.24","338.27","332.81","225.83K","-0.83%"
"12/27/2022","335.66","336.36","337.89","334.55","209.12K","-0.09%"
"12/23/2022","335.95","333.60","336.15","332.22","165.32K","0.27%"
"12/22/2022","335.04","338.34","338.67","330.67","404.36K","-1.99%"
"12/21/2022","341.84","338.25","343.48","336.64","275.57K","1.82%"
"12/20/2022","335.73","336.86","337.89","331.54","531.09K","-0.98%"
"12/19/2022","339.06","338.70","339.29","334.56","396.44K","0.26%"
"12/16/2022","338.17","339.94","339.94","333.32","1.16M","-0.78%"
"12/15/2022","340.83","341.97","343.26","337.42","441.23K","-1.85%"
"12/14/2022","347.25","351.78","355.24","345.17","319.73K","-1.33%"
"12/13/2022","351.93","358.25","358.25","346.42","411.36K","1.14%"
"12/12/2022","347.96","344.85","348.52","344.36","298.74K","1.36%"
"12/09/2022","343.30","345.05","347.40","341.80","375.38K","-0.89%"
"12/08/2022","346.40","345.23","348.67","343.11","236.30K","1.12%"
"12/07/2022","342.55","346.34","349.27","340.50","346.67K","-1.51%"
"12/06/2022","347.80","349.56","350.29","345.10","418.96K","-0.76%"
"12/05/2022","350.46","348.00","350.75","345.13","388.56K","-0.43%"
"12/02/2022","351.99","351.52","354.78","350.62","474.84K","-1.20%"
"12/01/2022","356.27","351.99","357.40","348.94","410.99K","1.68%"
"11/30/2022","350.37","339.95","350.92","339.10","674.08K","3.03%"
"11/29/2022","340.08","344.11","345.43","338.98","373.00K","-1.43%"
"11/28/2022","345.03","340.29","345.99","340.29","640.84K","0.72%"
"11/25/2022","342.57","344.30","346.26","342.00","337.53K","-0.20%"
"11/23/2022","343.27","342.99","345.93","341.75","193.71K","0.15%"
"11/22/2022","342.76","339.96","343.10","337.89","315.15K","1.33%"
"11/21/2022","338.27","336.58","340.94","335.07","360.91K","0.17%"
"11/18/2022","337.69","336.77","338.51","333.61","307.63K","1.52%"
"11/17/2022","332.62","331.37","333.10","327.55","466.55K","-0.99%"
"11/16/2022","335.95","337.33","342.39","335.21","401.96K","-0.74%"
"11/15/2022","338.44","339.23","343.20","335.54","385.47K","1.21%"
"11/14/2022","334.38","333.01","340.69","332.97","359.74K","-0.26%"
"11/11/2022","335.26","340.69","346.35","334.93","543.49K","-1.65%"
"11/10/2022","340.90","335.07","341.77","333.60","493.55K","5.30%"
"11/09/2022","323.73","324.97","329.42","322.60","359.37K","-1.07%"
"11/08/2022","327.22","319.90","329.62","319.90","414.15K","2.36%"
"11/07/2022","319.68","319.51","321.83","315.75","383.56K","0.06%"
"11/04/2022","319.50","323.47","323.47","313.00","588.71K","0.06%"
"11/03/2022","319.30","317.30","322.67","311.11","516.69K","0.25%"
"11/02/2022","318.51","326.50","330.40","316.48","789.32K","-2.00%"
"11/01/2022","325.00","314.44","327.99","314.16","1.35M","7.64%"
"10/31/2022","301.92","300.85","304.07","298.20","495.12K","-0.03%"
"10/28/2022","302.01","292.46","302.50","292.46","426.35K","3.40%"
"10/27/2022","292.07","294.75","297.63","291.30","602.09K","-0.29%"
"10/26/2022","292.93","296.81","301.93","292.93","542.22K","-2.01%"
"10/25/2022","298.93","293.91","299.86","292.80","589.70K","1.58%"
"10/24/2022","294.27","290.94","294.28","288.35","508.23K","1.56%"
"10/21/2022","289.75","279.06","290.11","277.08","468.50K","3.28%"
"10/20/2022","280.55","287.76","289.08","278.53","368.55K","-2.00%"
"10/19/2022","286.27","288.32","289.16","281.74","416.91K","-1.30%"
