"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","197.89","194.51","198.51","192.53","745.99K","0.27%"
"02/02/2023","197.35","197.21","200.64","196.11","813.83K","0.71%"
"02/01/2023","195.96","189.91","197.19","188.10","991.71K","3.66%"
"01/31/2023","189.05","185.80","189.17","185.40","689.44K","1.75%"
"01/30/2023","185.79","190.20","190.51","185.55","581.24K","-3.04%"
"01/27/2023","191.61","187.47","194.28","187.47","702.76K","1.53%"
"01/26/2023","188.72","190.02","190.18","183.67","520.01K","0.06%"
"01/25/2023","188.61","190.04","190.26","186.75","655.87K","-1.70%"
"01/24/2023","191.88","193.05","196.00","190.11","759.17K","-0.90%"
"01/23/2023","193.62","189.21","195.90","188.23","862.67K","2.39%"
"01/20/2023","189.10","186.68","189.52","184.36","878.27K","2.31%"
"01/19/2023","184.83","183.69","189.28","182.64","1.75M","-0.10%"
"01/18/2023","185.02","177.00","187.11","177.00","2.16M","4.95%"
"01/17/2023","176.29","177.08","178.01","175.39","1.20M","-0.29%"
"01/13/2023","176.80","176.96","177.67","175.07","562.28K","-1.59%"
"01/12/2023","179.65","180.75","181.50","177.20","577.86K","-0.57%"
"01/11/2023","180.68","176.70","181.13","175.79","688.61K","3.02%"
"01/10/2023","175.38","177.64","177.88","174.57","444.92K","-1.27%"
"01/09/2023","177.64","173.87","180.78","173.87","648.80K","0.91%"
"01/06/2023","176.04","169.91","176.58","169.89","765.47K","4.04%"
"01/05/2023","169.20","172.27","172.51","168.25","1.00M","-3.30%"
"01/04/2023","174.98","170.89","176.77","169.72","794.74K","1.38%"
"01/03/2023","172.60","175.66","175.78","170.60","578.66K","-1.01%"
"12/30/2022","174.36","175.85","176.27","172.05","459.01K","-1.36%"
"12/29/2022","176.77","175.12","178.60","174.78","362.40K","1.32%"
"12/28/2022","174.46","178.39","179.28","174.35","240.11K","-2.11%"
"12/27/2022","178.22","177.85","178.96","175.05","354.37K","0.48%"
"12/23/2022","177.36","176.61","177.76","175.08","371.79K","0.52%"
"12/22/2022","176.44","176.26","177.11","173.18","443.41K","-0.86%"
"12/21/2022","177.97","178.41","179.99","175.75","436.52K","1.11%"
"12/20/2022","176.01","178.77","178.86","174.79","743.25K","-1.96%"
"12/19/2022","179.53","179.26","181.60","178.27","830.02K","0.49%"
"12/16/2022","178.65","178.98","181.01","177.91","1.12M","-1.50%"
"12/15/2022","181.37","184.84","185.64","180.55","514.03K","-3.15%"
"12/14/2022","187.27","184.80","189.80","184.80","840.64K","1.64%"
"12/13/2022","184.25","194.73","195.45","182.71","1.07M","-1.42%"
"12/12/2022","186.91","178.84","187.15","178.65","1.07M","5.02%"
"12/09/2022","177.98","177.46","179.70","176.90","628.73K","0.04%"
"12/08/2022","177.91","176.41","179.25","175.53","463.27K","0.91%"
"12/07/2022","176.30","177.63","178.40","175.89","452.43K","-0.78%"
"12/06/2022","177.69","176.84","178.52","175.59","643.59K","0.03%"
"12/05/2022","177.64","181.14","181.43","177.28","595.51K","-2.87%"
"12/02/2022","182.88","180.33","183.73","178.90","400.42K","0.04%"
"12/01/2022","182.81","183.78","184.51","180.53","493.50K","-0.59%"
"11/30/2022","183.89","179.37","184.98","176.57","1.05M","2.26%"
"11/29/2022","179.83","176.70","180.21","176.00","581.25K","2.06%"
"11/28/2022","176.20","181.77","183.97","175.52","647.51K","-3.50%"
"11/25/2022","182.60","181.40","182.71","178.92","254.78K","1.24%"
"11/23/2022","180.36","176.88","181.45","176.88","530.75K","1.97%"
"11/22/2022","176.88","182.71","182.88","176.37","1.38M","-2.66%"
"11/21/2022","181.72","180.50","181.99","178.22","644.50K","0.82%"
"11/18/2022","180.25","181.53","181.73","175.98","615.88K","0.55%"
"11/17/2022","179.27","177.80","179.47","172.21","701.68K","-0.63%"
"11/16/2022","180.41","187.76","187.76","178.94","1.22M","-4.63%"
"11/15/2022","189.17","190.00","190.73","186.02","631.19K","1.56%"
"11/14/2022","186.27","186.12","189.20","185.26","792.32K","0.47%"
"11/11/2022","185.40","185.00","189.21","183.60","991.09K","1.61%"
"11/10/2022","182.47","175.75","183.01","175.70","746.46K","6.93%"
"11/09/2022","170.65","175.52","179.19","170.42","682.74K","-4.05%"
"11/08/2022","177.85","178.53","181.13","175.99","750.27K","0.36%"
"11/07/2022","177.22","174.03","178.40","173.23","701.33K","2.29%"
"11/04/2022","173.25","170.81","173.32","168.21","564.14K","2.67%"
"11/03/2022","168.74","165.32","171.04","164.00","539.68K","0.67%"
"11/02/2022","167.62","171.08","175.24","167.50","873.50K","-2.90%"
"11/01/2022","172.62","172.26","173.27","169.20","557.29K","0.91%"
"10/31/2022","171.07","168.34","172.65","166.88","760.21K","1.16%"
"10/28/2022","169.11","166.96","169.21","165.43","440.20K","1.83%"
"10/27/2022","166.07","171.01","171.66","165.32","561.40K","-2.07%"
"10/26/2022","169.58","168.92","170.45","164.14","718.79K","1.41%"
"10/25/2022","167.23","166.28","168.78","165.24","621.43K","0.60%"
"10/24/2022","166.24","166.69","169.05","164.27","661.13K","0.56%"
"10/21/2022","165.32","160.53","165.43","159.96","851.60K","3.01%"
"10/20/2022","160.49","166.61","168.42","159.83","1.11M","-4.45%"
"10/19/2022","167.96","171.50","171.97","164.51","1.69M","0.04%"
"10/18/2022","167.89","170.04","171.14","164.97","1.26M","1.29%"
"10/17/2022","165.75","166.20","168.25","164.90","973.48K","1.56%"
"10/14/2022","163.20","167.33","167.35","162.16","669.47K","-1.82%"
"10/13/2022","166.22","161.22","167.97","158.66","866.35K","0.43%"
"10/12/2022","165.51","164.96","168.48","162.13","772.21K","1.14%"
"10/11/2022","163.65","160.93","166.41","160.93","727.02K","0.88%"
"10/10/2022","162.23","161.10","164.39","159.58","537.70K","1.36%"
"10/07/2022","160.06","163.13","164.08","159.44","688.53K","-3.06%"
"10/06/2022","165.11","166.85","168.25","164.90","532.76K","-0.83%"
"10/05/2022","166.49","165.66","168.66","165.66","425.97K","-0.91%"
"10/04/2022","168.02","164.35","168.26","163.83","645.42K","3.70%"
"10/03/2022","162.03","158.88","163.58","156.94","1.23M","3.59%"
"09/30/2022","156.42","162.76","165.31","156.28","1.02M","-5.36%"
"09/29/2022","165.28","165.09","166.07","163.96","449.38K","-0.93%"
"09/28/2022","166.83","163.44","167.78","162.34","461.35K","2.46%"
"09/27/2022","162.83","161.84","164.16","160.95","720.86K","0.56%"
"09/26/2022","161.93","160.78","163.52","160.65","583.22K","0.48%"
"09/23/2022","161.16","161.36","162.30","158.67","629.42K","-1.52%"
"09/22/2022","163.64","164.71","166.25","163.55","423.86K","-0.96%"
"09/21/2022","165.22","168.97","169.71","165.15","588.17K","-1.15%"
"09/20/2022","167.15","168.75","169.31","165.15","654.82K","-1.45%"
"09/19/2022","169.61","165.34","171.61","165.24","775.11K","1.89%"
"09/16/2022","166.47","169.41","170.80","163.37","1.72M","-4.34%"
"09/15/2022","174.03","172.67","177.24","172.40","1.55M","0.95%"
"09/14/2022","172.39","171.08","172.52","167.17","969.49K","0.81%"
"09/13/2022","171.00","171.00","172.80","169.87","808.87K","-2.04%"
"09/12/2022","174.56","174.94","175.47","173.32","548.69K","0.29%"
"09/09/2022","174.06","170.95","174.46","170.76","580.85K","2.48%"
"09/08/2022","169.85","169.52","171.47","166.01","667.01K","-0.32%"
"09/07/2022","170.40","167.59","171.12","164.72","710.70K","1.91%"
"09/06/2022","167.21","168.54","170.79","166.05","955.34K","-0.91%"
"09/02/2022","168.74","175.69","175.70","167.74","1.01M","-2.89%"
"09/01/2022","173.77","172.68","174.64","170.66","1.17M","-0.14%"
"08/31/2022","174.02","175.63","175.65","172.46","1.18M","-0.59%"
"08/30/2022","175.05","176.17","176.72","171.76","1.03M","-0.35%"
"08/29/2022","175.67","180.76","180.76","175.30","865.37K","-3.79%"
"08/26/2022","182.59","189.60","189.84","182.26","707.84K","-3.58%"
"08/25/2022","189.36","190.25","190.81","186.96","752.46K","0.35%"
"08/24/2022","188.70","188.99","190.07","187.80","561.27K","-0.07%"
"08/23/2022","188.84","186.74","190.04","186.74","583.71K","0.66%"
"08/22/2022","187.61","188.16","189.00","186.08","498.30K","-1.13%"
"08/19/2022","189.75","191.43","191.43","189.19","538.35K","-1.08%"
"08/18/2022","191.82","188.93","192.15","188.15","440.46K","1.66%"
"08/17/2022","188.68","192.53","193.18","186.21","760.43K","-3.07%"
"08/16/2022","194.65","193.74","197.24","193.54","877.50K","0.27%"
"08/15/2022","194.13","194.63","195.90","193.02","672.90K","-0.51%"
"08/12/2022","195.13","193.17","195.20","192.67","591.60K","1.16%"
"08/11/2022","192.89","191.56","195.97","191.10","690.32K","1.03%"
"08/10/2022","190.92","187.26","191.21","186.58","499.95K","3.54%"
"08/09/2022","184.40","186.52","187.54","183.59","721.86K","-1.43%"
"08/08/2022","187.07","184.01","187.69","183.90","676.80K","1.89%"
"08/05/2022","183.60","179.35","183.75","179.35","331.76K","1.33%"
"08/04/2022","181.19","178.30","181.85","177.56","447.86K","1.46%"
"08/03/2022","178.58","179.98","179.98","177.46","371.29K","-0.07%"
"08/02/2022","178.70","181.45","182.02","178.04","456.42K","-1.58%"
"08/01/2022","181.56","182.48","183.32","180.43","498.93K","-0.93%"
"07/29/2022","183.27","179.50","184.18","178.57","568.44K","2.13%"
"07/28/2022","179.45","171.95","180.18","171.83","771.96K","4.61%"
"07/27/2022","171.55","169.63","172.14","166.97","579.36K","1.23%"
"07/26/2022","169.46","171.73","172.65","167.98","805.04K","-2.23%"
"07/25/2022","173.32","173.75","174.37","172.56","581.57K","-0.25%"
"07/22/2022","173.75","172.92","174.60","171.98","665.17K","1.08%"
"07/21/2022","171.89","173.97","175.46","170.80","894.18K","-0.72%"
"07/20/2022","173.13","170.12","173.73","169.91","1.20M","-0.76%"
"07/19/2022","174.46","168.85","175.04","168.85","1.22M","3.78%"
"07/18/2022","168.10","167.36","171.25","167.36","938.19K","0.31%"
"07/15/2022","167.58","168.59","170.63","167.15","897.25K","1.23%"
"07/14/2022","165.55","161.51","166.18","159.89","725.43K","1.70%"
"07/13/2022","162.78","162.08","163.28","159.91","915.96K","-0.80%"
"07/12/2022","164.10","163.21","167.23","162.49","625.80K","0.02%"
"07/11/2022","164.06","165.18","166.51","163.84","504.79K","-0.99%"
"07/08/2022","165.70","164.90","167.52","163.84","515.58K","-0.30%"
"07/07/2022","166.20","162.61","166.97","161.91","639.63K","2.85%"
"07/06/2022","161.59","160.51","162.35","158.27","657.16K","1.17%"
"07/05/2022","159.72","158.72","159.95","156.81","587.36K","-0.09%"
"07/01/2022","159.87","157.39","160.16","156.07","623.00K","1.52%"
"06/30/2022","157.47","156.39","158.39","154.04","580.57K","0.11%"
"06/29/2022","157.30","157.86","158.63","154.52","383.75K","-0.22%"
"06/28/2022","157.65","161.72","164.38","157.32","438.91K","-2.78%"
"06/27/2022","162.16","163.01","164.63","161.43","530.86K","0.01%"
"06/24/2022","162.15","158.28","164.71","158.10","1.03M","2.95%"
"06/23/2022","157.50","156.55","157.95","155.08","567.58K","1.27%"
