"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","65.72","64.03","65.91","63.85","4.82M","1.78%"
"02/02/2023","64.57","66.25","66.36","64.51","6.48M","-2.70%"
"02/01/2023","66.36","66.25","66.99","64.37","8.16M","-4.61%"
"01/31/2023","69.57","68.56","69.60","68.42","4.92M","1.92%"
"01/30/2023","68.26","68.34","68.98","68.24","2.86M","-0.86%"
"01/27/2023","68.85","68.68","69.30","68.38","2.87M","0.04%"
"01/26/2023","68.82","68.48","68.86","67.75","3.05M","1.06%"
"01/25/2023","68.10","67.45","68.32","66.94","2.44M","0.06%"
"01/24/2023","68.06","66.37","68.39","66.28","2.49M","1.99%"
"01/23/2023","66.73","66.26","66.95","65.78","3.01M","1.03%"
"01/20/2023","66.05","65.34","66.11","65.00","3.00M","1.88%"
"01/19/2023","64.83","65.96","66.25","64.69","3.44M","-2.01%"
"01/18/2023","66.16","68.00","68.13","66.07","4.10M","-2.38%"
"01/17/2023","67.77","68.86","69.15","67.32","4.22M","-1.54%"
"01/13/2023","68.83","67.85","69.07","67.82","2.39M","0.66%"
"01/12/2023","68.38","68.01","68.53","67.26","3.18M","1.17%"
"01/11/2023","67.59","67.89","68.03","67.36","3.08M","0.42%"
"01/10/2023","67.31","66.25","67.37","66.04","2.07M","0.79%"
"01/09/2023","66.78","67.44","68.25","66.72","3.69M","-0.55%"
"01/06/2023","67.15","65.87","67.45","65.32","2.25M","3.26%"
"01/05/2023","65.03","65.55","65.83","64.74","2.50M","-1.17%"
"01/04/2023","65.80","65.45","66.08","64.96","2.47M","1.64%"
"01/03/2023","64.74","64.90","65.54","64.02","2.04M","1.16%"
"12/30/2022","64.00","63.92","64.16","63.31","1.59M","-0.71%"
"12/29/2022","64.46","63.74","64.88","63.74","1.63M","1.96%"
"12/28/2022","63.22","64.48","64.57","63.22","1.27M","-1.68%"
"12/27/2022","64.30","64.18","64.75","63.84","1.16M","0.31%"
"12/23/2022","64.10","64.08","64.33","63.43","1.57M","-0.05%"
"12/22/2022","64.13","63.94","64.14","63.02","3.78M","-0.76%"
"12/21/2022","64.62","63.85","64.76","63.72","2.73M","2.17%"
"12/20/2022","63.25","63.47","63.83","63.15","3.84M","-0.33%"
"12/19/2022","63.46","63.49","64.40","62.98","3.68M","0.17%"
