"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","180.70","180.66","181.22","177.93","445.37K","-0.97%"
"02/02/2023","182.47","181.48","184.18","180.87","464.76K","0.72%"
"02/01/2023","181.16","179.38","182.18","178.46","465.56K","0.59%"
"01/31/2023","180.09","179.19","180.76","178.62","349.47K","0.56%"
"01/30/2023","179.08","180.01","180.73","178.74","311.24K","-0.79%"
"01/27/2023","180.51","180.84","181.57","179.93","322.37K","-0.44%"
"01/26/2023","181.31","179.46","181.91","177.69","378.52K","1.34%"
"01/25/2023","178.92","177.53","179.43","174.26","335.11K","0.27%"
"01/24/2023","178.43","180.78","182.85","178.25","342.58K","-1.12%"
"01/23/2023","180.46","178.86","182.23","178.65","298.78K","0.89%"
"01/20/2023","178.86","177.70","179.09","176.17","457.51K","1.14%"
"01/19/2023","176.84","179.31","179.71","176.66","440.83K","-1.78%"
"01/18/2023","180.05","182.07","182.64","179.70","338.70K","-0.96%"
"01/17/2023","181.79","182.24","183.63","181.42","538.56K","0.02%"
"01/13/2023","181.76","181.32","182.32","179.18","329.52K","0.09%"
"01/12/2023","181.59","180.71","182.30","179.45","289.46K","0.27%"
"01/11/2023","181.10","180.32","181.55","179.71","364.39K","1.53%"
"01/10/2023","178.37","177.46","178.37","176.32","254.36K","0.10%"
"01/09/2023","178.20","177.75","179.97","177.36","548.50K","-0.06%"
"01/06/2023","178.30","175.41","179.19","174.29","248.90K","2.60%"
"01/05/2023","173.78","176.68","176.94","173.44","349.72K","-1.92%"
"01/04/2023","177.19","177.49","178.93","175.90","394.23K","0.62%"
"01/03/2023","176.10","176.83","177.78","174.72","323.34K","0.31%"
"12/30/2022","175.56","176.52","176.75","173.82","358.09K","-1.09%"
"12/29/2022","177.49","177.42","179.06","177.02","324.32K","0.48%"
"12/28/2022","176.64","179.08","180.38","176.57","253.27K","-1.26%"
"12/27/2022","178.90","177.67","179.46","176.48","294.49K","0.88%"
"12/23/2022","177.34","176.64","177.56","175.98","232.48K","0.38%"
"12/22/2022","176.67","177.10","177.39","174.12","279.91K","-0.91%"
"12/21/2022","178.29","176.73","178.89","176.06","377.01K","1.03%"
"12/20/2022","176.47","174.68","176.80","173.82","405.14K","0.63%"
"12/19/2022","175.37","174.70","178.76","174.70","552.18K","-1.23%"
"12/16/2022","177.55","176.47","179.14","175.70","1.44M","-0.21%"
"12/15/2022","177.93","179.36","180.98","176.74","542.02K","-1.47%"
"12/14/2022","180.59","183.42","185.23","179.25","516.89K","-1.36%"
"12/13/2022","183.08","187.06","187.23","180.74","480.17K","0.10%"
"12/12/2022","182.89","182.03","183.26","181.22","371.71K","0.74%"
"12/09/2022","181.54","184.41","184.95","181.25","580.31K","-1.83%"
"12/08/2022","184.92","184.69","185.58","183.10","363.02K","0.08%"
