"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","30.73","31.24","31.24","30.55","7.51M","-2.29%"
"02/02/2023","31.45","31.30","31.69","30.91","6.78M","1.48%"
"02/01/2023","30.99","30.36","31.04","29.69","11.33M","-4.06%"
"01/31/2023","32.30","32.00","32.33","31.67","7.32M","0.53%"
"01/30/2023","32.13","31.85","32.17","31.60","5.23M","0.37%"
"01/27/2023","32.01","32.13","32.31","31.97","3.20M","-0.96%"
"01/26/2023","32.32","32.17","32.42","31.91","1.92M","1.06%"
"01/25/2023","31.98","31.75","32.11","31.58","2.68M","-0.09%"
"01/24/2023","32.01","31.54","32.31","31.34","3.20M","0.50%"
"01/23/2023","31.85","31.64","32.00","31.55","2.25M","1.24%"
"01/20/2023","31.46","31.36","31.50","30.42","4.40M","0.03%"
"01/19/2023","31.45","31.94","32.06","31.44","4.34M","-1.90%"
"01/18/2023","32.06","32.28","33.04","32.03","4.58M","-0.19%"
"01/17/2023","32.12","31.92","32.34","31.92","3.96M","0.56%"
"01/13/2023","31.94","31.36","32.11","31.35","2.29M","0.79%"
"01/12/2023","31.69","32.13","32.19","31.60","2.32M","-1.46%"
"01/11/2023","32.16","31.86","32.35","31.80","2.16M","1.04%"
"01/10/2023","31.83","31.85","32.01","31.68","1.84M","0.00%"
"01/09/2023","31.83","32.01","32.30","31.77","3.33M","-0.38%"
"01/06/2023","31.95","31.48","32.06","31.28","2.02M","2.50%"
"01/05/2023","31.17","31.75","31.80","31.14","3.05M","-2.07%"
"01/04/2023","31.83","32.76","33.08","31.43","5.18M","-2.15%"
"01/03/2023","32.53","32.24","32.74","32.03","3.06M","1.78%"
"12/30/2022","31.96","31.79","32.00","31.70","1.76M","-0.22%"
"12/29/2022","32.03","31.50","32.04","31.50","2.13M","2.14%"
"12/28/2022","31.36","31.82","31.88","31.31","1.42M","-1.32%"
"12/27/2022","31.78","31.74","31.83","31.50","1.64M","0.35%"
"12/23/2022","31.67","31.41","31.69","31.20","2.02M","0.89%"
"12/22/2022","31.39","31.51","31.51","30.99","2.53M","-1.13%"
"12/21/2022","31.75","32.00","32.07","31.68","2.23M","-0.09%"
"12/20/2022","31.78","31.65","31.97","31.64","2.71M","0.35%"
"12/19/2022","31.67","31.68","32.04","31.52","3.48M","-0.35%"
"12/16/2022","31.78","31.80","31.97","31.48","8.25M","-1.58%"
"12/15/2022","32.29","32.72","32.79","32.04","3.40M","-2.39%"
"12/14/2022","33.08","33.10","33.54","32.78","2.66M","-0.15%"
"12/13/2022","33.13","33.90","33.95","32.67","3.71M","0.24%"
"12/12/2022","33.05","32.37","33.08","32.28","2.73M","2.07%"
"12/09/2022","32.38","32.46","32.58","32.22","3.04M","-0.22%"
"12/08/2022","32.45","32.46","32.68","32.22","2.78M","1.50%"
"12/07/2022","31.97","31.98","32.14","31.74","2.79M","-0.56%"
"12/06/2022","32.15","32.52","32.62","31.83","2.34M","-1.17%"
"12/05/2022","32.53","32.59","32.59","32.28","1.73M","-1.00%"
"12/02/2022","32.86","32.57","32.95","32.24","2.68M","-0.18%"
"12/01/2022","32.92","33.27","33.27","32.78","4.02M","-0.96%"
"11/30/2022","33.24","31.58","33.27","31.49","7.44M","4.30%"
"11/29/2022","31.87","31.94","32.23","31.71","3.38M","-0.13%"
"11/28/2022","31.91","31.77","31.95","31.56","2.81M","-0.34%"
"11/25/2022","32.02","32.01","32.15","31.93","1.29M","0.91%"
"11/23/2022","31.73","32.21","32.38","31.62","3.34M","-1.58%"
"11/22/2022","32.24","32.00","32.35","31.99","3.35M","1.16%"
"11/21/2022","31.87","31.44","31.94","31.28","4.37M","0.95%"
"11/18/2022","31.57","30.96","31.70","30.81","5.05M","3.47%"
"11/17/2022","30.51","29.52","30.66","29.50","3.59M","1.94%"
"11/16/2022","29.93","30.30","30.30","29.91","2.80M","-1.74%"
"11/15/2022","30.46","30.57","30.81","30.26","2.72M","0.73%"
"11/14/2022","30.24","30.37","30.91","30.22","2.49M","-0.85%"
"11/11/2022","30.50","30.66","30.66","30.19","2.18M","-0.03%"
"11/10/2022","30.51","29.98","30.51","29.74","3.39M","5.43%"
"11/09/2022","28.94","29.78","29.84","28.83","3.68M","-3.66%"
"11/08/2022","30.04","29.95","30.44","29.68","4.79M","0.74%"
"11/07/2022","29.82","30.26","30.36","29.72","3.55M","-1.00%"
"11/04/2022","30.12","30.29","30.65","29.62","3.76M","0.94%"
"11/03/2022","29.84","29.75","30.02","29.54","2.49M","-0.90%"
"11/02/2022","30.11","30.83","31.29","30.10","4.91M","-2.59%"
"11/01/2022","30.91","30.84","31.09","30.49","3.19M","1.01%"
"10/31/2022","30.60","30.66","30.80","30.36","3.19M","-0.75%"
"10/28/2022","30.83","30.43","30.86","30.06","3.21M","1.82%"
"10/27/2022","30.28","30.28","30.48","29.71","3.44M","0.93%"
"10/26/2022","30.00","30.00","30.50","28.91","6.90M","2.88%"
"10/25/2022","29.16","28.40","29.29","28.33","5.27M","2.35%"
"10/24/2022","28.49","28.77","28.98","28.24","4.31M","-0.94%"
"10/21/2022","28.76","28.64","28.88","27.96","5.68M","4.17%"
"10/20/2022","27.61","27.33","28.10","27.23","5.33M","0.88%"
"10/19/2022","27.37","27.18","27.73","27.06","3.98M","-0.26%"
"10/18/2022","27.44","27.59","27.74","26.97","3.78M","3.12%"
"10/17/2022","26.61","26.36","26.72","26.33","3.42M","3.10%"
"10/14/2022","25.81","26.56","26.80","25.76","4.83M","-1.94%"
"10/13/2022","26.32","25.50","26.51","25.18","7.12M","1.58%"
"10/12/2022","25.91","26.03","26.17","25.81","2.45M","0.39%"
"10/11/2022","25.81","26.14","26.45","25.72","2.70M","-1.97%"
"10/10/2022","26.33","27.05","27.05","26.00","2.77M","-1.53%"
"10/07/2022","26.74","27.23","27.29","26.61","2.32M","-2.90%"
"10/06/2022","27.54","27.50","27.81","27.37","2.44M","-0.15%"
"10/05/2022","27.58","27.27","27.74","27.15","2.13M","-0.18%"
"10/04/2022","27.63","27.03","27.64","27.00","2.39M","3.99%"
"10/03/2022","26.57","26.49","26.91","26.40","3.97M","1.72%"
"09/30/2022","26.12","26.18","26.67","26.10","3.14M","0.04%"
"09/29/2022","26.11","26.41","26.46","25.86","2.67M","-2.14%"
"09/28/2022","26.68","26.15","26.92","26.13","2.77M","2.54%"
"09/27/2022","26.02","26.39","26.53","25.73","2.71M","0.19%"
"09/26/2022","25.97","26.35","26.72","25.96","3.91M","-1.55%"
"09/23/2022","26.38","26.21","26.41","26.00","3.27M","0.19%"
"09/22/2022","26.33","26.27","26.42","26.04","4.28M","-0.11%"
"09/21/2022","26.36","27.03","27.34","26.36","3.43M","-1.93%"
"09/20/2022","26.88","27.07","27.12","26.69","2.98M","-1.57%"
"09/19/2022","27.31","27.17","27.56","26.93","3.81M","-1.09%"
"09/16/2022","27.61","27.72","27.72","27.13","6.62M","-1.32%"
"09/15/2022","27.98","28.05","28.33","27.83","3.08M","-0.25%"
"09/14/2022","28.05","28.01","28.25","27.80","4.03M","0.11%"
"09/13/2022","28.02","28.89","28.94","27.92","2.69M","-4.73%"
"09/12/2022","29.41","29.28","29.75","29.18","2.66M","1.27%"
"09/09/2022","29.04","28.90","29.15","28.78","2.21M","1.22%"
"09/08/2022","28.69","28.00","28.83","27.92","3.25M","1.77%"
"09/07/2022","28.19","27.81","28.20","27.62","2.79M","1.55%"
"09/06/2022","27.76","28.14","28.20","27.48","4.09M","-0.89%"
"09/02/2022","28.01","28.50","28.67","27.85","3.26M","-0.46%"
"09/01/2022","28.14","28.24","28.33","27.64","4.19M","-0.99%"
"08/31/2022","28.42","28.95","29.30","28.37","5.70M","-1.73%"
"08/30/2022","28.92","29.51","29.60","28.81","3.36M","-1.53%"
"08/29/2022","29.37","29.21","29.63","28.90","5.62M","-0.07%"
"08/26/2022","29.39","30.37","30.45","29.30","3.40M","-3.26%"
"08/25/2022","30.38","29.16","30.46","29.15","6.71M","4.79%"
"08/24/2022","28.99","28.99","29.22","28.79","1.55M","-0.10%"
"08/23/2022","29.02","28.96","29.40","28.95","2.00M","0.17%"
"08/22/2022","28.97","29.32","29.41","28.94","1.86M","-2.56%"
"08/19/2022","29.73","30.08","30.15","29.52","2.82M","-1.75%"
"08/18/2022","30.26","29.17","30.27","29.06","4.82M","5.00%"
"08/17/2022","28.82","28.79","29.00","28.46","1.79M","-0.96%"
"08/16/2022","29.10","28.98","29.29","28.85","2.14M","0.21%"
"08/15/2022","29.04","28.65","29.08","28.46","2.81M","0.45%"
"08/12/2022","28.91","28.88","29.32","28.76","1.68M","0.59%"
"08/11/2022","28.74","28.77","29.11","28.53","2.52M","0.07%"
"08/10/2022","28.72","28.28","28.82","28.06","2.58M","3.24%"
"08/09/2022","27.82","28.09","28.11","27.67","2.55M","-1.03%"
"08/08/2022","28.11","28.35","28.40","27.92","2.96M","0.25%"
"08/05/2022","28.04","27.74","28.05","27.51","2.90M","0.43%"
"08/04/2022","27.92","28.28","28.32","27.81","2.86M","-1.03%"
"08/03/2022","28.21","27.78","28.27","27.58","2.74M","1.80%"
"08/02/2022","27.71","27.90","28.02","27.53","4.01M","-0.96%"
"08/01/2022","27.98","27.87","28.20","27.66","3.56M","-0.18%"
"07/29/2022","28.03","27.96","28.25","27.72","4.91M","0.11%"
"07/28/2022","28.00","27.97","28.28","27.63","6.11M","1.05%"
"07/27/2022","27.71","26.24","27.99","26.20","9.77M","-1.28%"
"07/26/2022","28.07","28.42","28.53","27.94","4.99M","-1.23%"
"07/25/2022","28.42","28.73","28.78","28.27","5.74M","-0.66%"
"07/22/2022","28.61","29.25","29.37","28.26","3.70M","-2.15%"
"07/21/2022","29.24","28.59","29.25","28.59","3.63M","2.49%"
"07/20/2022","28.53","28.28","29.01","28.25","7.35M","-2.23%"
"07/19/2022","29.18","28.45","29.21","28.40","3.02M","3.59%"
"07/18/2022","28.17","28.21","28.63","27.65","5.23M","-1.23%"
"07/15/2022","28.52","28.38","28.56","28.12","2.35M","1.75%"
"07/14/2022","28.03","27.89","28.18","27.35","3.09M","0.18%"
"07/13/2022","27.98","27.45","28.24","27.33","3.14M","-1.37%"
"07/12/2022","28.37","28.65","28.90","28.08","2.30M","-1.05%"
"07/11/2022","28.67","28.66","28.86","28.48","2.25M","-0.42%"
"07/08/2022","28.79","28.69","28.96","28.42","2.21M","0.45%"
"07/07/2022","28.66","28.36","28.97","28.36","2.17M","2.03%"
"07/06/2022","28.09","28.05","28.27","27.82","2.89M","0.18%"
"07/05/2022","28.04","27.75","28.07","27.04","5.03M","-0.64%"
"07/01/2022","28.22","28.50","28.59","27.83","2.99M","-0.98%"
"06/30/2022","28.50","28.48","28.83","28.31","3.57M","-1.01%"
"06/29/2022","28.79","28.66","28.85","28.29","2.41M","0.42%"
"06/28/2022","28.67","29.37","29.53","28.63","2.47M","-1.71%"
"06/27/2022","29.17","29.16","29.33","28.85","2.36M","0.07%"
"06/24/2022","29.15","28.49","29.20","28.49","3.66M","3.30%"
"06/23/2022","28.22","28.20","28.41","27.93","3.79M","0.21%"
"06/22/2022","28.16","28.08","28.29","27.80","2.92M","-0.81%"
"06/21/2022","28.39","28.11","28.52","27.98","3.56M","2.75%"
"06/17/2022","27.63","27.57","27.82","27.12","6.83M","-0.07%"
"06/16/2022","27.65","28.00","28.00","27.36","3.30M","-3.25%"
"06/15/2022","28.58","28.51","28.94","28.08","3.35M","0.92%"
"06/14/2022","28.32","28.28","28.95","28.07","3.67M","0.89%"
"06/13/2022","28.07","28.29","28.44","27.91","3.46M","-2.57%"
"06/10/2022","28.81","29.08","29.15","28.62","4.07M","-2.60%"
"06/09/2022","29.58","30.14","30.25","29.57","3.07M","-2.21%"
"06/08/2022","30.25","30.60","30.72","30.24","2.55M","-2.07%"
"06/07/2022","30.89","30.46","30.93","30.32","1.70M","0.62%"
"06/06/2022","30.70","31.09","31.24","30.57","1.87M","-0.32%"
"06/03/2022","30.80","30.95","31.06","30.60","2.43M","-1.19%"
"06/02/2022","31.17","30.59","31.19","30.26","2.22M","1.37%"
"06/01/2022","30.75","30.90","30.99","30.38","3.14M","0.23%"
"05/31/2022","30.68","30.86","30.95","30.41","5.07M","-1.73%"
"05/27/2022","31.22","30.98","31.23","30.77","2.87M","1.96%"
"05/26/2022","30.62","30.19","30.94","30.18","3.48M","1.83%"
"05/25/2022","30.07","29.64","30.40","29.50","4.45M","1.18%"
"05/24/2022","29.72","29.54","29.86","29.02","4.60M","0.37%"
"05/23/2022","29.61","29.13","29.75","28.91","3.34M","2.56%"
"05/20/2022","28.87","29.10","29.13","27.98","5.26M","0.24%"
"05/19/2022","28.80","28.72","29.34","28.22","5.93M","-3.52%"
"05/18/2022","29.85","31.10","31.27","29.47","5.65M","-4.97%"
"05/17/2022","31.41","30.66","31.43","30.60","4.42M","3.77%"
"05/16/2022","30.27","30.55","30.58","30.11","4.72M","-0.62%"
"05/13/2022","30.46","30.00","30.56","29.79","5.68M","2.66%"
"05/12/2022","29.67","30.44","30.50","29.15","7.49M","-2.94%"
"05/11/2022","30.57","30.82","31.42","30.54","3.62M","-1.67%"
"05/10/2022","31.09","31.00","31.32","30.56","3.59M","1.27%"
"05/09/2022","30.70","31.80","31.87","30.64","4.54M","-4.27%"
"05/06/2022","32.07","31.44","32.38","31.44","4.95M","0.91%"
"05/05/2022","31.78","32.50","32.84","31.43","5.32M","-3.46%"
"05/04/2022","32.92","32.27","33.06","32.16","5.50M","1.92%"
"05/03/2022","32.30","32.22","32.85","32.12","4.24M","0.19%"
"05/02/2022","32.24","31.84","32.27","31.53","4.23M","2.28%"
"04/29/2022","31.52","32.48","32.94","31.44","4.53M","-3.55%"
"04/28/2022","32.68","32.17","32.78","31.88","4.69M","2.45%"
"04/27/2022","31.90","32.52","32.60","31.31","7.10M","-5.06%"
"04/26/2022","33.60","34.59","34.81","33.51","4.35M","-2.95%"
