"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","141.09","138.18","142.33","138.13","11.50M","1.55%"
"02/02/2023","138.94","140.00","140.46","138.00","11.78M","-0.47%"
"02/01/2023","139.59","138.21","140.88","138.12","8.82M","-0.26%"
"01/31/2023","139.96","139.88","140.07","138.25","9.19M","0.60%"
"01/30/2023","139.13","139.23","140.09","138.91","6.52M","-0.85%"
"01/27/2023","140.32","140.61","141.26","139.75","7.49M","0.24%"
"01/26/2023","139.98","139.42","140.06","138.36","7.37M","0.62%"
"01/25/2023","139.12","138.05","139.12","137.25","8.93M","0.48%"
"01/24/2023","138.45","140.29","140.29","135.00","6.93M","0.86%"
"01/23/2023","137.27","135.12","137.96","134.82","10.40M","1.62%"
"01/20/2023","135.08","135.16","135.49","133.55","13.09M","0.24%"
"01/19/2023","134.75","135.32","135.90","133.59","13.20M","-1.33%"
"01/18/2023","136.57","138.92","140.73","136.41","13.16M","-3.00%"
"01/17/2023","140.80","141.17","141.54","139.23","14.23M","-1.55%"
"01/13/2023","143.01","135.60","143.49","134.80","20.20M","2.52%"
"01/12/2023","139.49","140.00","140.86","139.22","10.94M","-0.10%"
"01/11/2023","139.63","138.90","139.75","138.10","8.64M","0.74%"
"01/10/2023","138.60","137.79","138.72","137.31","8.99M","0.90%"
"01/09/2023","137.37","138.60","138.88","136.88","8.45M","-0.41%"
"01/06/2023","137.94","136.13","138.38","134.49","10.03M","1.91%"
"01/05/2023","135.35","135.66","135.71","133.70","8.24M","-0.76%"
"01/04/2023","136.38","135.99","137.68","135.57","10.97M","0.93%"
"01/03/2023","135.12","135.24","136.74","133.89","10.88M","0.76%"
"12/30/2022","134.10","132.81","134.33","132.44","9.29M","0.66%"
"12/29/2022","133.22","132.93","133.27","132.31","6.53M","0.57%"
"12/28/2022","132.46","131.85","133.41","131.01","8.75M","0.55%"
"12/27/2022","131.74","131.57","132.22","130.55","5.33M","0.35%"
"12/23/2022","131.28","130.58","131.44","129.64","5.09M","0.47%"
"12/22/2022","130.66","131.10","131.30","128.41","8.60M","-1.13%"
"12/21/2022","132.16","132.18","132.98","131.77","7.96M","1.12%"
"12/20/2022","130.69","130.97","132.05","130.20","8.53M","0.48%"
"12/19/2022","130.06","129.65","131.33","129.09","8.98M","0.60%"
"12/16/2022","129.29","129.15","129.90","128.43","21.13M","-0.62%"
"12/15/2022","130.10","131.15","132.08","129.05","12.00M","-2.48%"
"12/14/2022","133.41","133.78","135.71","132.76","9.97M","-0.50%"
"12/13/2022","134.08","136.88","137.09","133.08","9.72M","-0.10%"
"12/12/2022","134.21","132.40","134.65","131.60","7.14M","1.55%"
"12/09/2022","132.16","132.20","133.76","132.00","7.96M","-0.54%"
"12/08/2022","132.88","132.33","132.98","131.43","8.87M","1.05%"
"12/07/2022","131.50","131.31","133.08","130.33","11.43M","-0.07%"
"12/06/2022","131.59","133.39","135.11","129.87","13.93M","0.17%"
"12/05/2022","131.37","134.24","134.57","130.60","10.01M","-2.80%"
"12/02/2022","135.16","134.49","135.35","133.34","8.93M","-0.79%"
"12/01/2022","136.24","138.18","138.66","135.43","8.86M","-1.40%"
"11/30/2022","138.18","136.09","138.18","133.19","14.76M","1.19%"
"11/29/2022","136.56","134.66","136.64","134.41","7.93M","1.64%"
"11/28/2022","134.35","136.07","136.71","134.19","9.91M","-1.75%"
"11/25/2022","136.74","136.48","137.14","136.05","3.22M","0.19%"
"11/23/2022","136.48","134.94","136.50","134.86","7.32M","1.07%"
"11/22/2022","135.04","134.00","135.27","133.69","9.19M","1.50%"
"11/21/2022","133.05","133.74","134.56","132.75","7.80M","-0.59%"
"11/18/2022","133.84","134.57","134.67","132.28","9.47M","0.98%"
"11/17/2022","132.54","132.00","132.89","131.28","8.82M","-0.44%"
"11/16/2022","133.12","133.00","133.56","132.03","7.89M","0.14%"
"11/15/2022","132.94","134.68","135.71","131.60","14.04M","-0.72%"
"11/14/2022","133.91","134.80","135.73","133.91","11.09M","-1.03%"
"11/11/2022","135.30","135.19","136.17","133.78","10.70M","0.16%"
"11/10/2022","135.08","132.63","135.25","132.53","16.35M","4.12%"
"11/09/2022","129.74","131.32","131.43","129.22","9.49M","-1.30%"
