"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","67.61","67.83","67.98","66.45","2.49M","-0.03%"
"02/02/2023","67.63","67.52","67.86","67.08","2.54M","-0.92%"
"02/01/2023","68.26","68.39","68.67","67.96","2.04M","-0.47%"
"01/31/2023","68.58","68.29","68.59","67.49","2.37M","0.72%"
"01/30/2023","68.09","67.82","68.60","67.77","1.53M","0.72%"
"01/27/2023","67.60","67.42","67.73","66.98","1.65M","0.12%"
"01/26/2023","67.52","67.84","67.84","67.25","1.45M","-0.74%"
"01/25/2023","68.02","67.67","68.43","67.34","1.77M","0.52%"
"01/24/2023","67.67","67.76","67.90","66.78","1.60M","0.56%"
"01/23/2023","67.29","67.57","68.20","67.15","2.24M","-0.31%"
"01/20/2023","67.50","67.44","67.65","66.68","2.28M","0.28%"
"01/19/2023","67.31","67.51","67.88","67.26","1.87M","-0.03%"
"01/18/2023","67.33","69.52","69.62","67.19","3.24M","-3.43%"
"01/17/2023","69.72","70.05","70.25","69.45","1.95M","-0.40%"
"01/13/2023","70.00","70.00","70.44","69.94","1.46M","-0.34%"
"01/12/2023","70.24","70.97","71.09","70.12","1.63M","-0.82%"
"01/11/2023","70.82","70.95","71.36","70.19","1.74M","0.10%"
"01/10/2023","70.75","71.69","71.83","70.47","1.75M","-0.88%"
"01/09/2023","71.38","72.35","72.67","71.25","2.46M","-1.48%"
"01/06/2023","72.45","71.29","72.56","71.29","2.35M","2.53%"
"01/05/2023","70.66","70.86","71.12","69.90","3.23M","-0.10%"
"01/04/2023","70.73","71.27","71.72","70.53","2.03M","-0.76%"
"01/03/2023","71.27","71.08","71.31","70.52","1.83M","0.04%"
"12/30/2022","71.24","71.52","71.65","70.63","1.24M","-0.32%"
"12/29/2022","71.47","71.82","71.85","71.23","1.21M","-0.35%"
"12/28/2022","71.72","72.85","73.06","71.67","1.06M","-1.31%"
"12/27/2022","72.67","72.33","72.75","72.17","1.11M","0.68%"
"12/23/2022","72.18","71.69","72.19","71.59","919.98K","0.71%"
"12/22/2022","71.67","71.73","71.89","71.15","1.24M","-0.19%"
"12/21/2022","71.81","71.21","72.20","70.95","1.17M","1.17%"
"12/20/2022","70.98","71.19","71.65","70.10","1.91M","-0.74%"
"12/19/2022","71.51","71.32","72.34","71.13","2.21M","0.31%"
"12/16/2022","71.29","71.95","72.08","70.71","4.59M","-1.68%"
"12/15/2022","72.51","73.41","73.51","72.06","2.18M","-1.64%"
"12/14/2022","73.72","73.59","74.27","73.22","1.63M","0.08%"
"12/13/2022","73.66","74.16","74.72","72.83","2.04M","-0.51%"
"12/12/2022","74.04","73.06","74.07","72.60","1.85M","2.35%"
"12/09/2022","72.34","73.45","73.61","72.18","2.53M","-1.52%"
"12/08/2022","73.46","73.75","73.96","72.88","1.66M","-0.58%"
"12/07/2022","73.89","73.45","74.08","73.21","1.98M","1.12%"
"12/06/2022","73.07","73.35","74.02","72.52","1.41M","-0.38%"
"12/05/2022","73.35","73.12","73.48","72.68","1.36M","-0.65%"
"12/02/2022","73.83","73.03","73.87","72.91","1.42M","0.86%"
"12/01/2022","73.20","73.12","73.80","72.61","2.27M","0.34%"
"11/30/2022","72.95","71.80","73.38","71.35","6.90M","0.76%"
"11/29/2022","72.40","72.43","72.78","71.93","1.66M","-0.44%"
"11/28/2022","72.72","72.71","73.42","72.60","1.62M","-0.11%"
"11/25/2022","72.80","72.84","72.90","72.46","1.05M","0.40%"
"11/23/2022","72.51","72.20","72.56","71.72","1.53M","0.67%"
"11/22/2022","72.03","72.00","72.34","71.56","1.99M","0.31%"
"11/21/2022","71.81","70.73","71.89","70.38","2.20M","1.70%"
"11/18/2022","70.61","70.40","70.95","70.06","2.00M","0.83%"
"11/17/2022","70.03","70.07","70.62","69.70","1.75M","-0.50%"
"11/16/2022","70.38","69.62","70.83","69.58","1.73M","1.49%"
"11/15/2022","69.35","69.49","69.49","68.39","1.79M","-0.01%"
"11/14/2022","69.36","69.63","70.74","69.33","2.69M","0.55%"
"11/11/2022","68.98","70.63","70.65","68.01","4.26M","-2.87%"
"11/10/2022","71.02","71.80","72.20","68.90","3.92M","0.03%"
"11/09/2022","71.00","71.45","72.67","70.92","1.98M","-0.59%"
"11/08/2022","71.42","71.38","72.22","70.94","1.57M","0.18%"
"11/07/2022","71.29","70.00","71.31","69.85","1.94M","2.05%"
"11/04/2022","69.86","70.01","70.77","68.97","3.45M","0.50%"
"11/03/2022","69.51","74.88","75.38","68.82","8.19M","-8.32%"
"11/02/2022","75.82","75.90","76.84","75.40","3.11M","-0.22%"
"11/01/2022","75.99","76.41","76.80","75.92","2.58M","-1.08%"
"10/31/2022","76.82","76.76","77.17","76.32","2.68M","0.04%"
"10/28/2022","76.79","75.49","76.99","75.18","2.45M","2.02%"
"10/27/2022","75.27","74.21","75.92","74.09","2.68M","1.92%"
"10/26/2022","73.85","74.65","75.08","73.25","2.13M","-0.32%"
"10/25/2022","74.09","72.97","74.31","72.70","1.98M","1.27%"
"10/24/2022","73.16","72.75","73.75","72.58","1.36M","1.27%"
"10/21/2022","72.24","71.80","72.86","71.46","1.31M","0.67%"
"10/20/2022","71.76","73.49","73.56","71.56","1.90M","-2.47%"
"10/19/2022","73.58","73.60","74.09","72.88","1.31M","0.12%"
"10/18/2022","73.49","72.50","73.53","72.46","1.50M","1.76%"
"10/17/2022","72.22","72.26","72.65","71.88","1.79M","0.33%"
"10/14/2022","71.98","73.27","73.96","71.76","1.74M","-1.60%"
"10/13/2022","73.15","71.71","73.41","71.11","1.77M","1.55%"
"10/12/2022","72.03","72.00","72.95","71.95","2.00M","0.10%"
"10/11/2022","71.96","70.95","72.51","70.83","1.71M","1.57%"
"10/10/2022","70.85","69.99","70.92","69.84","2.01M","1.72%"
"10/07/2022","69.65","69.93","70.35","69.22","1.85M","-0.56%"
"10/06/2022","70.04","71.74","71.78","69.61","1.71M","-2.57%"
"10/05/2022","71.89","71.89","72.33","71.15","1.39M","-0.32%"
"10/04/2022","72.12","71.04","72.52","70.85","2.07M","1.48%"
"10/03/2022","71.07","70.07","71.32","69.57","2.14M","2.02%"
"09/30/2022","69.66","71.74","71.94","69.57","2.80M","-2.60%"
"09/29/2022","71.52","72.83","72.87","71.12","1.85M","-1.68%"
"09/28/2022","72.74","72.31","73.08","71.52","2.16M","1.03%"
"09/27/2022","72.00","73.12","74.00","71.86","2.15M","-1.28%"
"09/26/2022","72.93","72.85","73.52","72.29","2.16M","-0.15%"
"09/23/2022","73.04","73.18","73.74","72.09","2.32M","-0.77%"
"09/22/2022","73.61","73.07","74.11","72.82","2.74M","0.96%"
"09/21/2022","72.91","72.22","74.09","72.14","2.98M","2.01%"
"09/20/2022","71.47","71.05","71.64","70.88","2.32M","-0.01%"
"09/19/2022","71.48","71.11","71.49","70.88","1.33M","0.56%"
"09/16/2022","71.08","70.51","71.16","70.12","5.93M","1.05%"
"09/15/2022","70.34","70.63","70.70","69.50","2.14M","-0.24%"
"09/14/2022","70.51","70.78","71.28","70.25","2.43M","-0.44%"
"09/13/2022","70.82","72.48","72.86","70.70","2.20M","-2.51%"
"09/12/2022","72.64","72.14","72.79","71.66","2.19M","0.80%"
"09/09/2022","72.06","72.14","72.76","71.21","2.30M","0.43%"
"09/08/2022","71.75","72.47","72.63","70.71","3.17M","-1.94%"
"09/07/2022","73.17","72.33","73.29","71.99","1.77M","1.25%"
"09/06/2022","72.27","72.69","73.24","71.94","2.01M","-0.59%"
"09/02/2022","72.70","73.56","74.32","72.47","1.61M","-0.87%"
"09/01/2022","73.34","72.59","73.63","72.06","2.08M","0.82%"
"08/31/2022","72.74","72.59","73.47","72.16","2.82M","-0.63%"
"08/30/2022","73.20","74.16","74.17","73.01","2.03M","-1.36%"
"08/29/2022","74.21","73.60","74.54","73.24","1.28M","0.49%"
"08/26/2022","73.85","76.03","76.03","73.83","1.81M","-2.62%"
"08/25/2022","75.84","75.81","76.13","75.43","1.76M","-0.34%"
"08/24/2022","76.10","76.30","76.47","75.88","1.59M","-0.12%"
"08/23/2022","76.19","75.54","76.36","75.40","2.01M","0.75%"
"08/22/2022","75.62","76.64","76.81","75.30","1.88M","-1.37%"
"08/19/2022","76.67","76.08","76.99","75.81","2.58M","1.00%"
