"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","20.02","19.85","20.24","19.83","11.61M","-0.15%"
"02/02/2023","20.05","19.94","20.30","19.78","22.09M","1.26%"
"02/01/2023","19.80","18.98","19.92","18.90","22.51M","3.18%"
"01/31/2023","19.19","18.78","19.20","18.65","17.88M","2.29%"
"01/30/2023","18.76","18.82","18.90","18.68","9.69M","-1.21%"
"01/27/2023","18.99","18.73","19.15","18.67","18.06M","1.39%"
"01/26/2023","18.73","18.47","18.75","18.34","13.95M","2.18%"
"01/25/2023","18.33","17.74","18.40","17.63","13.16M","2.23%"
"01/24/2023","17.93","18.07","18.17","17.83","9.38M","-0.77%"
"01/23/2023","18.07","17.50","18.18","17.39","13.97M","3.61%"
"01/20/2023","17.44","16.59","17.50","16.33","19.08M","6.02%"
"01/19/2023","16.45","17.03","17.11","16.34","25.02M","-4.58%"
"01/18/2023","17.24","17.86","17.94","17.22","21.14M","-4.33%"
"01/17/2023","18.02","18.13","18.16","17.84","10.85M","-0.88%"
"01/13/2023","18.18","18.04","18.25","17.57","11.33M","-0.87%"
"01/12/2023","18.34","18.44","18.56","18.27","9.41M","0.27%"
"01/11/2023","18.29","18.22","18.32","18.15","8.60M","0.44%"
"01/10/2023","18.21","18.19","18.33","18.06","6.68M","0.11%"
"01/09/2023","18.19","18.32","18.40","18.09","8.85M","-0.98%"
"01/06/2023","18.37","17.96","18.43","17.76","8.38M","2.97%"
"01/05/2023","17.84","17.94","17.99","17.66","8.87M","-1.33%"
"01/04/2023","18.08","17.84","18.27","17.78","8.40M","2.67%"
"01/03/2023","17.61","17.63","17.93","17.55","12.44M","1.09%"
"12/30/2022","17.42","17.31","17.50","17.29","3.89M","-0.06%"
"12/29/2022","17.43","17.23","17.46","17.18","4.48M","1.57%"
"12/28/2022","17.16","17.20","17.38","17.09","5.04M","-0.75%"
"12/27/2022","17.29","17.22","17.38","17.05","4.92M","0.64%"
"12/23/2022","17.18","17.09","17.23","17.03","5.32M","0.64%"
"12/22/2022","17.07","16.80","17.08","16.72","8.07M","0.65%"
"12/21/2022","16.96","16.87","17.06","16.86","8.29M","1.98%"
"12/20/2022","16.63","16.56","16.90","16.56","7.26M","-0.12%"
"12/19/2022","16.65","16.67","16.87","16.50","10.11M","0.18%"
"12/16/2022","16.62","16.60","16.79","16.43","19.93M","-1.13%"
"12/15/2022","16.81","16.85","16.95","16.67","12.69M","-1.64%"
"12/14/2022","17.09","17.27","17.48","16.97","13.53M","-1.21%"
"12/13/2022","17.30","17.91","18.00","17.13","13.17M","-1.48%"
"12/12/2022","17.56","17.38","17.57","17.19","10.08M","0.80%"
"12/09/2022","17.42","17.10","17.52","16.98","7.69M","1.40%"
"12/08/2022","17.18","17.35","17.44","17.08","12.29M","-0.46%"
"12/07/2022","17.26","17.09","17.36","16.89","10.21M","0.58%"
"12/06/2022","17.16","17.38","17.50","17.01","16.51M","-1.66%"
"12/05/2022","17.45","18.35","18.41","17.42","15.41M","-5.93%"
"12/02/2022","18.55","18.49","18.66","18.41","10.41M","-0.91%"
"12/01/2022","18.72","18.87","18.99","18.49","10.32M","-0.48%"
"11/30/2022","18.81","18.45","18.82","17.81","15.63M","1.29%"
"11/29/2022","18.57","18.37","18.59","18.19","9.53M","1.31%"
"11/28/2022","18.33","18.67","18.74","18.25","5.72M","-3.68%"
"11/25/2022","19.03","19.06","19.08","18.98","2.84M","0.58%"
"11/23/2022","18.92","18.84","19.02","18.83","6.21M","0.11%"
"11/22/2022","18.90","18.91","19.00","18.78","7.72M","0.80%"
"11/21/2022","18.75","18.54","18.81","18.49","10.59M","0.75%"
"11/18/2022","18.61","18.92","19.09","18.38","20.77M","-0.32%"
"11/17/2022","18.67","18.79","18.79","18.39","9.47M","-1.37%"
"11/16/2022","18.93","19.09","19.22","18.79","9.65M","-1.25%"
"11/15/2022","19.17","19.45","19.70","18.86","11.51M","0.89%"
"11/14/2022","19.00","19.66","19.76","19.00","12.11M","-4.19%"
"11/11/2022","19.83","19.53","20.03","19.52","12.22M","1.95%"
"11/10/2022","19.45","18.55","19.48","18.53","15.58M","8.66%"
"11/09/2022","17.90","18.14","18.20","17.87","9.86M","-2.35%"
"11/08/2022","18.33","18.33","18.49","18.14","6.95M","0.00%"
"11/07/2022","18.33","18.34","18.43","18.09","6.44M","0.55%"
"11/04/2022","18.23","18.10","18.39","17.89","9.81M","2.19%"
"11/03/2022","17.84","17.58","17.97","17.33","11.47M","0.22%"
"11/02/2022","17.80","17.98","18.56","17.80","15.56M","-1.39%"
"11/01/2022","18.05","18.03","18.17","17.90","10.87M","1.01%"
"10/31/2022","17.87","17.98","18.06","17.85","8.12M","-1.27%"
"10/28/2022","18.10","17.85","18.11","17.67","9.14M","1.97%"
"10/27/2022","17.75","17.88","18.01","17.73","10.51M","0.34%"
"10/26/2022","17.69","17.83","17.95","17.67","12.54M","-0.45%"
"10/25/2022","17.77","17.58","17.94","17.44","13.14M","0.23%"
"10/24/2022","17.73","16.98","17.96","16.98","16.62M","4.91%"
"10/21/2022","16.90","15.95","16.92","15.75","21.91M","6.62%"
"10/20/2022","15.85","16.02","16.69","15.65","21.41M","-3.88%"
"10/19/2022","16.49","16.78","17.00","16.42","15.00M","-2.89%"
"10/18/2022","16.98","17.26","17.41","16.81","16.38M","0.53%"
"10/17/2022","16.89","16.87","17.02","16.72","10.54M","2.49%"
"10/14/2022","16.48","16.80","17.20","16.43","16.07M","-1.38%"
"10/13/2022","16.71","15.44","16.80","15.26","16.25M","7.18%"
"10/12/2022","15.59","15.60","15.87","15.47","14.22M","-0.51%"
"10/11/2022","15.67","15.83","16.00","15.56","10.09M","-1.69%"
"10/10/2022","15.94","16.20","16.31","15.84","11.59M","-1.30%"
"10/07/2022","16.15","16.50","16.51","16.10","12.93M","-2.83%"
"10/06/2022","16.62","16.75","16.93","16.58","8.82M","-1.60%"
"10/05/2022","16.89","16.79","16.99","16.75","6.93M","-1.34%"
"10/04/2022","17.12","16.72","17.17","16.72","12.37M","3.95%"
"10/03/2022","16.47","16.28","16.59","15.98","12.25M","2.81%"
"09/30/2022","16.02","16.09","16.44","15.98","9.12M","-0.06%"
"09/29/2022","16.03","15.90","16.18","15.74","8.99M","-0.87%"
"09/28/2022","16.17","15.95","16.31","15.93","11.77M","1.32%"
"09/27/2022","15.96","16.25","16.33","15.77","12.11M","-0.87%"
"09/26/2022","16.10","16.24","16.51","16.01","11.49M","-1.95%"
"09/23/2022","16.42","16.33","16.49","16.10","17.58M","-0.97%"
"09/22/2022","16.58","17.25","17.25","16.50","13.44M","-3.21%"
"09/21/2022","17.13","17.65","17.76","17.13","10.91M","-2.73%"
"09/20/2022","17.61","17.66","17.74","17.39","11.36M","-1.23%"
"09/19/2022","17.83","17.38","17.92","17.38","8.85M","0.73%"
"09/16/2022","17.70","17.88","17.88","17.49","16.60M","-2.05%"
"09/15/2022","18.07","17.72","18.29","17.67","15.22M","2.44%"
"09/14/2022","17.64","18.10","18.14","17.52","13.86M","-2.00%"
"09/13/2022","18.00","18.55","18.68","17.95","8.37M","-4.76%"
"09/12/2022","18.90","18.80","19.06","18.74","8.72M","1.29%"
"09/09/2022","18.66","18.57","18.79","18.53","9.41M","0.92%"
"09/08/2022","18.49","17.63","18.50","17.59","9.99M","4.05%"
"09/07/2022","17.77","17.22","17.82","17.16","6.32M","2.60%"
"09/06/2022","17.32","17.69","17.69","17.19","9.02M","-1.31%"
"09/02/2022","17.55","17.93","18.06","17.46","6.91M","-0.74%"
"09/01/2022","17.68","17.64","17.70","17.28","7.05M","-0.06%"
"08/31/2022","17.69","17.98","18.01","17.67","10.61M","-1.01%"
"08/30/2022","17.87","18.12","18.19","17.81","10.36M","-0.78%"
"08/29/2022","18.01","18.12","18.18","17.90","10.27M","-2.28%"
