"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","181.40","180.29","184.61","180.29","708.39K","-0.43%"
"02/02/2023","182.18","181.49","183.55","179.72","1.13M","1.50%"
"02/01/2023","179.49","178.22","180.48","175.98","1.14M","0.08%"
"01/31/2023","179.35","177.34","179.44","176.72","997.57K","1.38%"
"01/30/2023","176.91","176.13","177.79","175.54","1.12M","-0.30%"
"01/27/2023","177.45","178.81","179.84","177.24","1.18M","-1.45%"
"01/26/2023","180.06","181.47","182.33","179.06","1.05M","-0.44%"
"01/25/2023","180.85","177.71","180.89","175.85","1.04M","0.36%"
"01/24/2023","180.21","180.55","181.72","178.92","568.59K","-0.19%"
"01/23/2023","180.55","178.77","181.96","177.75","1.01M","0.91%"
"01/20/2023","178.92","177.11","179.27","176.00","1.02M","1.24%"
"01/19/2023","176.72","180.43","181.34","176.20","1.08M","-2.63%"
"01/18/2023","181.49","186.02","188.01","181.26","1.15M","-1.88%"
"01/17/2023","184.96","180.98","185.80","180.61","1.49M","2.41%"
"01/13/2023","180.61","177.16","180.90","177.16","953.49K","1.51%"
"01/12/2023","177.92","179.37","180.50","177.63","668.13K","-0.85%"
"01/11/2023","179.44","175.91","179.45","174.69","904.85K","0.80%"
"01/10/2023","178.01","177.24","178.47","175.85","1.08M","0.79%"
"01/09/2023","176.61","177.28","180.62","175.98","1.17M","0.68%"
"01/06/2023","175.42","171.42","176.40","170.29","701.10K","3.88%"
"01/05/2023","168.87","169.14","170.39","167.81","791.95K","-0.95%"
"01/04/2023","170.49","172.81","174.03","168.92","681.92K","-0.26%"
"01/03/2023","170.94","172.87","172.87","169.40","912.61K","-0.08%"
"12/30/2022","171.07","170.50","171.11","169.06","433.48K","-0.66%"
"12/29/2022","172.20","169.40","172.55","168.63","517.46K","2.71%"
"12/28/2022","167.66","169.79","170.62","167.44","461.18K","-1.16%"
"12/27/2022","169.63","169.95","170.54","168.31","509.31K","-0.12%"
"12/23/2022","169.83","169.32","170.07","168.09","562.88K","0.03%"
"12/22/2022","169.78","172.57","172.86","166.43","859.23K","-2.46%"
"12/21/2022","174.07","173.07","174.74","172.11","709.19K","1.00%"
"12/20/2022","172.34","171.01","173.09","170.90","887.30K","0.56%"
"12/19/2022","171.38","173.59","173.72","170.65","767.05K","-1.42%"
"12/16/2022","173.85","174.48","175.40","173.30","1.61M","-1.32%"
"12/15/2022","176.18","180.46","180.48","175.94","756.09K","-3.72%"
"12/14/2022","182.98","184.81","186.73","181.89","841.02K","-1.20%"
"12/13/2022","185.20","187.35","189.45","183.32","1.11M","1.15%"
"12/12/2022","183.10","181.43","183.10","180.21","768.99K","1.32%"
"12/09/2022","180.72","181.10","182.78","180.37","1.54M","-0.18%"
"12/08/2022","181.05","179.03","181.98","178.58","947.83K","1.89%"
"12/07/2022","177.70","175.98","177.87","174.48","575.74K","0.49%"
"12/06/2022","176.83","177.91","178.79","174.89","630.97K","-0.97%"
"12/05/2022","178.56","178.88","179.28","176.95","713.18K","-1.09%"
"12/02/2022","180.53","179.09","180.74","178.04","811.76K","-0.52%"
"12/01/2022","181.48","180.85","185.58","180.85","978.62K","0.33%"
"11/30/2022","180.89","173.43","180.93","172.46","1.68M","4.49%"
"11/29/2022","173.11","173.45","174.96","172.82","919.34K","-0.28%"
"11/28/2022","173.59","175.09","176.64","173.02","1.30M","-1.72%"
"11/25/2022","176.62","176.50","177.25","175.88","413.62K","0.33%"
"11/23/2022","176.04","174.97","177.92","174.53","831.34K","1.01%"
"11/22/2022","174.28","172.82","175.83","172.24","916.39K","1.25%"
"11/21/2022","172.13","170.96","173.43","170.96","1.27M","0.13%"
"11/18/2022","171.90","172.00","173.76","168.90","1.28M","3.54%"
"11/17/2022","166.03","164.31","166.38","163.21","1.07M","-0.32%"
"11/16/2022","166.57","172.02","172.02","166.52","958.04K","-3.43%"
"11/15/2022","172.48","174.19","175.99","171.33","782.68K","0.84%"
"11/14/2022","171.04","171.34","174.64","171.00","896.88K","-0.66%"
"11/11/2022","172.18","171.20","172.89","170.17","1.02M","0.27%"
"11/10/2022","171.71","167.00","171.90","165.99","1.27M","6.64%"
"11/09/2022","161.02","162.76","163.08","160.63","703.23K","-1.59%"
"11/08/2022","163.62","164.26","166.07","162.02","1.05M","0.06%"
"11/07/2022","163.52","165.04","165.64","162.08","960.50K","-0.20%"
"11/04/2022","163.85","169.14","169.14","159.38","1.56M","-1.87%"
"11/03/2022","166.97","165.57","168.52","164.15","795.99K","-0.08%"
"11/02/2022","167.10","173.50","173.89","166.93","1.25M","-3.95%"
"11/01/2022","173.98","176.22","176.57","172.74","755.77K","-0.10%"
"10/31/2022","174.15","176.17","176.26","173.07","1.04M","-1.97%"
"10/28/2022","177.65","173.62","177.73","172.89","823.04K","2.46%"
"10/27/2022","173.39","176.15","176.71","173.06","865.26K","-1.07%"
"10/26/2022","175.27","173.46","176.92","172.01","928.70K","0.90%"
"10/25/2022","173.71","169.23","173.79","169.23","901.56K","2.54%"
"10/24/2022","169.40","169.54","169.82","166.97","1.16M","0.26%"
"10/21/2022","168.96","160.96","169.63","160.87","1.11M","5.07%"
"10/20/2022","160.80","161.30","164.02","159.13","812.92K","-0.22%"
"10/19/2022","161.15","159.85","161.79","159.26","629.57K","-0.03%"
"10/18/2022","161.20","163.04","163.78","159.87","687.45K","1.31%"
"10/17/2022","159.11","157.58","159.95","157.43","736.24K","3.16%"
"10/14/2022","154.24","157.98","158.99","154.04","1.07M","-1.75%"
"10/13/2022","156.99","150.09","157.37","149.73","1.15M","2.09%"
"10/12/2022","153.78","157.36","157.72","153.73","926.80K","-1.42%"
"10/11/2022","156.00","159.75","159.85","155.22","883.01K","-2.69%"
"10/10/2022","160.32","162.45","162.45","157.35","766.24K","-0.46%"
"10/07/2022","161.06","165.82","166.06","160.16","769.67K","-4.42%"
"10/06/2022","168.51","168.65","170.34","168.17","720.42K","-0.12%"
"10/05/2022","168.71","166.69","169.76","166.35","679.71K","0.04%"
"10/04/2022","168.65","165.20","168.93","165.20","1.01M","3.84%"
"10/03/2022","162.42","159.33","163.44","158.72","727.19K","3.22%"
"09/30/2022","157.36","157.95","162.11","157.18","1.20M","-0.92%"
"09/29/2022","158.82","158.23","159.11","156.56","1.14M","-0.46%"
"09/28/2022","159.55","157.05","160.58","155.45","1.08M","1.68%"
"09/27/2022","156.91","157.66","158.98","155.02","960.21K","0.87%"
"09/26/2022","155.56","156.27","158.07","155.45","1.02M","-0.82%"
"09/23/2022","156.85","157.20","157.85","154.46","694.31K","-1.17%"
"09/22/2022","158.71","161.22","161.88","158.69","675.36K","-2.06%"
"09/21/2022","162.05","165.56","167.17","161.96","563.74K","-1.47%"
"09/20/2022","164.46","164.82","165.34","163.03","582.99K","-0.90%"
"09/19/2022","165.96","163.77","166.26","163.21","586.26K","0.32%"
"09/16/2022","165.43","164.48","165.60","162.80","1.64M","-0.14%"
"09/15/2022","165.66","168.12","168.44","164.81","689.71K","-1.46%"
"09/14/2022","168.11","168.36","170.81","166.28","911.64K","-0.15%"
"09/13/2022","168.36","169.50","171.30","167.64","667.20K","-3.07%"
"09/12/2022","173.70","172.90","173.74","171.59","737.25K","0.78%"
"09/09/2022","172.36","173.34","173.94","171.83","1.09M","-0.31%"
"09/08/2022","172.90","169.07","172.97","168.17","993.27K","1.90%"
"09/07/2022","169.67","165.07","170.93","164.65","1.55M","3.75%"
"09/06/2022","163.53","163.69","164.28","161.45","764.90K","0.16%"
"09/02/2022","163.27","166.60","166.75","162.29","771.09K","-0.48%"
"09/01/2022","164.06","162.08","164.15","161.06","1.01M","0.10%"
"08/31/2022","163.89","164.75","165.91","163.25","1.17M","-0.07%"
"08/30/2022","164.00","167.72","167.72","162.95","855.86K","-1.41%"
"08/29/2022","166.35","164.99","168.72","164.03","1.27M","-0.44%"
"08/26/2022","167.08","172.53","172.53","166.89","1.05M","-3.20%"
"08/25/2022","172.61","171.85","173.16","170.55","577.46K","1.01%"
"08/24/2022","170.89","170.51","172.20","170.04","595.48K","0.39%"
"08/23/2022","170.23","169.95","171.88","169.36","688.85K","-0.22%"
"08/22/2022","170.60","173.10","173.71","170.43","705.86K","-3.19%"
"08/19/2022","176.23","178.24","178.24","175.53","999.98K","-1.75%"
"08/18/2022","179.36","176.55","180.67","176.49","1.68M","5.95%"
"08/17/2022","169.29","169.14","170.45","167.73","1.03M","-0.79%"
"08/16/2022","170.63","170.24","171.52","169.00","632.49K","-0.29%"
"08/15/2022","171.13","168.95","171.68","168.79","692.39K","0.90%"
"08/12/2022","169.60","167.44","169.79","167.26","795.59K","1.73%"
"08/11/2022","166.72","167.83","169.16","166.55","744.47K","0.10%"
"08/10/2022","166.56","165.89","166.74","164.15","646.26K","2.49%"
"08/09/2022","162.51","165.40","165.40","161.68","715.67K","-2.23%"
"08/08/2022","166.22","167.95","168.33","164.70","670.93K","-0.62%"
"08/05/2022","167.26","165.93","167.51","164.40","468.31K","-0.45%"
"08/04/2022","168.02","166.24","168.28","165.34","551.66K","1.50%"
"08/03/2022","165.54","163.22","166.26","162.60","610.21K","1.51%"
"08/02/2022","163.08","162.16","164.00","161.89","656.63K","-0.35%"
"08/01/2022","163.65","161.16","163.97","160.66","672.00K","0.65%"
"07/29/2022","162.60","159.56","163.28","159.34","745.59K","2.05%"
"07/28/2022","159.34","156.34","159.63","155.14","550.81K","2.40%"
"07/27/2022","155.60","151.96","156.59","151.42","850.16K","2.88%"
"07/26/2022","151.25","151.14","152.25","150.38","843.96K","-0.53%"
"07/25/2022","152.06","150.67","152.14","148.70","956.86K","0.98%"
"07/22/2022","150.58","153.17","154.08","149.61","903.19K","-1.84%"
"07/21/2022","153.40","150.14","153.43","149.57","529.72K","2.44%"
"07/20/2022","149.74","147.56","150.23","147.34","596.44K","1.48%"
"07/19/2022","147.55","143.48","148.05","143.30","931.70K","4.47%"
"07/18/2022","141.23","144.10","144.66","140.78","820.82K","-1.64%"
"07/15/2022","143.59","140.62","143.65","139.52","881.69K","3.62%"
"07/14/2022","138.57","139.69","140.38","137.18","1.16M","-2.16%"
"07/13/2022","141.63","138.27","142.74","137.95","896.30K","0.46%"
"07/12/2022","140.98","142.26","143.69","140.24","749.40K","-0.37%"
"07/11/2022","141.51","141.39","142.79","140.00","607.28K","-0.81%"
"07/08/2022","142.66","142.23","143.02","141.16","522.15K","-0.23%"
"07/07/2022","142.99","140.84","144.13","140.84","866.34K","2.27%"
"07/06/2022","139.81","138.29","140.92","137.83","894.71K","1.79%"
"07/05/2022","137.35","133.67","137.48","133.34","529.32K","0.88%"
"07/01/2022","136.15","136.93","137.53","133.61","696.44K","-1.23%"
"06/30/2022","137.85","136.91","139.47","136.05","809.35K","-0.60%"
"06/29/2022","138.68","138.76","139.21","136.14","760.86K","-0.17%"
"06/28/2022","138.92","142.30","143.00","138.71","697.28K","-2.15%"
"06/27/2022","141.97","141.45","142.99","139.57","844.89K","1.06%"
"06/24/2022","140.48","138.92","140.81","138.15","2.12M","2.60%"
"06/23/2022","136.92","136.35","138.04","135.39","731.31K","0.77%"
"06/22/2022","135.88","134.76","137.34","134.58","707.30K","-0.48%"
"06/21/2022","136.54","135.98","137.93","135.85","980.53K","2.05%"
"06/17/2022","133.80","132.62","135.19","131.77","1.69M","2.10%"
"06/16/2022","131.05","135.03","135.61","130.07","935.93K","-5.36%"
