"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","22.53","22.75","22.80","22.38","4.65M","-2.34%"
"02/02/2023","23.07","22.71","23.27","22.69","5.41M","2.40%"
"02/01/2023","22.53","22.32","22.76","22.00","4.69M","0.31%"
"01/31/2023","22.46","22.15","22.55","22.01","10.13M","1.58%"
"01/30/2023","22.11","22.48","22.65","22.09","3.63M","-2.38%"
"01/27/2023","22.65","22.09","22.70","22.06","3.05M","2.40%"
"01/26/2023","22.12","22.20","22.30","21.99","2.52M","0.14%"
"01/25/2023","22.09","21.86","22.13","21.69","2.70M","0.68%"
"01/24/2023","21.94","21.80","22.04","21.63","2.66M","0.37%"
"01/23/2023","21.86","21.47","21.91","21.37","3.55M","1.96%"
"01/20/2023","21.44","21.18","21.47","20.85","4.12M","1.42%"
"01/19/2023","21.14","21.13","21.43","21.07","4.17M","-0.98%"
"01/18/2023","21.35","21.98","22.08","21.32","4.77M","-2.73%"
"01/17/2023","21.95","21.24","22.09","21.24","6.41M","2.81%"
"01/13/2023","21.35","21.44","21.51","21.23","4.44M","-1.61%"
"01/12/2023","21.70","21.20","21.73","20.92","5.63M","3.19%"
"01/11/2023","21.03","20.56","21.06","20.38","8.08M","3.19%"
"01/10/2023","20.38","20.70","20.83","20.09","5.72M","-3.37%"
"01/09/2023","21.09","21.32","21.60","21.00","4.02M","-2.04%"
"01/06/2023","21.53","21.09","21.58","21.04","3.54M","2.67%"
"01/05/2023","20.97","21.41","21.49","20.84","3.71M","-3.14%"
"01/04/2023","21.65","21.45","21.80","21.37","2.89M","1.93%"
"01/03/2023","21.24","21.47","21.54","21.01","3.23M","0.28%"
"12/30/2022","21.18","21.03","21.24","20.93","2.92M","0.09%"
"12/29/2022","21.16","21.01","21.24","20.94","2.32M","1.34%"
"12/28/2022","20.88","21.30","21.40","20.85","3.91M","-1.97%"
"12/27/2022","21.30","21.43","21.43","21.14","2.37M","0.14%"
"12/23/2022","21.27","20.77","21.28","20.77","2.62M","1.77%"
"12/22/2022","20.90","20.96","21.06","20.50","2.84M","-0.95%"
"12/21/2022","21.10","21.37","21.42","21.04","2.66M","0.86%"
"12/20/2022","20.92","20.86","21.02","20.64","4.20M","-0.29%"
"12/19/2022","20.98","21.25","21.30","20.83","2.76M","-1.18%"
"12/16/2022","21.23","21.22","21.44","20.91","10.15M","-1.39%"
"12/15/2022","21.53","21.73","21.83","21.46","3.73M","-2.18%"
"12/14/2022","22.01","21.90","22.38","21.79","5.89M","0.27%"
"12/13/2022","21.95","22.49","22.54","21.64","5.18M","0.60%"
"12/12/2022","21.82","21.73","21.84","21.52","4.53M","0.51%"
"12/09/2022","21.71","21.68","21.92","21.59","3.34M","-0.18%"
"12/08/2022","21.75","21.96","22.15","21.71","4.45M","-1.09%"
"12/07/2022","21.99","22.04","22.41","21.92","5.12M","-0.45%"
"12/06/2022","22.09","22.24","22.35","21.92","4.03M","-0.09%"
"12/05/2022","22.11","22.39","22.39","22.00","3.52M","-2.21%"
"12/02/2022","22.61","22.40","22.76","22.31","4.42M","-0.18%"
"12/01/2022","22.65","23.00","23.18","22.45","4.51M","-1.18%"
"11/30/2022","22.92","22.61","22.93","22.35","4.79M","0.88%"
"11/29/2022","22.72","22.13","22.74","22.04","3.24M","2.95%"
"11/28/2022","22.07","22.56","22.68","21.99","2.25M","-2.86%"
"11/25/2022","22.72","22.57","22.79","22.57","1.08M","0.40%"
"11/23/2022","22.63","22.69","22.87","22.55","2.26M","-0.57%"
"11/22/2022","22.76","22.32","22.79","22.30","3.05M","2.38%"
"11/21/2022","22.23","22.06","22.40","22.04","2.81M","0.36%"
"11/18/2022","22.15","22.34","22.40","22.05","3.26M","0.64%"
"11/17/2022","22.01","21.40","22.04","21.33","3.98M","1.29%"
"11/16/2022","21.73","21.99","22.06","21.65","3.63M","-1.63%"
"11/15/2022","22.09","22.14","22.39","21.81","4.36M","1.28%"
"11/14/2022","21.81","22.01","22.28","21.81","3.74M","-1.67%"
"11/11/2022","22.18","22.40","22.54","22.05","3.62M","-0.58%"
"11/10/2022","22.31","21.68","22.57","21.61","6.01M","7.41%"
"11/09/2022","20.77","21.02","21.33","20.76","4.76M","-1.61%"
"11/08/2022","21.11","21.51","21.61","20.96","4.92M","-1.77%"
"11/07/2022","21.49","21.56","21.73","21.12","4.28M","0.33%"
"11/04/2022","21.42","20.94","21.58","20.92","4.90M","3.23%"
"11/03/2022","20.75","20.49","20.98","20.25","4.66M","-0.38%"
"11/02/2022","20.83","21.35","21.57","20.75","5.99M","-3.21%"
"11/01/2022","21.52","21.55","21.64","21.33","4.41M","0.65%"
"10/31/2022","21.38","20.90","21.50","20.78","4.88M","1.28%"
"10/28/2022","21.11","20.61","21.15","20.53","3.50M","1.98%"
"10/27/2022","20.70","20.96","21.19","20.56","5.77M","0.98%"
"10/26/2022","20.50","20.52","20.68","20.36","9.38M","0.00%"
"10/25/2022","20.50","19.95","20.72","19.92","11.49M","3.02%"
"10/24/2022","19.90","19.83","19.94","19.64","7.07M","1.07%"
"10/21/2022","19.69","19.20","19.69","19.12","5.31M","2.45%"
"10/20/2022","19.22","19.23","19.50","19.14","4.52M","0.63%"
"10/19/2022","19.10","19.53","19.60","18.97","3.72M","-2.90%"
"10/18/2022","19.67","19.68","19.84","19.41","6.17M","2.02%"
"10/17/2022","19.28","19.43","19.64","19.15","6.95M","1.69%"
"10/14/2022","18.96","19.65","19.78","18.92","6.82M","-1.96%"
"10/13/2022","19.34","18.53","19.45","18.21","12.30M","2.49%"
"10/12/2022","18.87","18.85","19.00","18.68","4.12M","-0.05%"
"10/11/2022","18.88","18.66","19.06","18.47","4.86M","1.29%"
"10/10/2022","18.64","18.74","18.91","18.52","2.58M","0.05%"
"10/07/2022","18.63","19.02","19.14","18.46","5.45M","-2.77%"
"10/06/2022","19.16","19.24","19.44","18.98","3.83M","-0.73%"
"10/05/2022","19.30","19.01","19.44","18.77","5.19M","-0.21%"
"10/04/2022","19.34","19.01","19.42","18.98","4.18M","3.20%"
"10/03/2022","18.74","18.77","18.85","18.30","4.55M","1.79%"
"09/30/2022","18.41","18.31","18.55","18.10","6.30M","1.83%"
"09/29/2022","18.08","18.36","18.38","17.71","4.55M","-3.00%"
"09/28/2022","18.64","18.40","18.73","18.13","4.63M","2.64%"
"09/27/2022","18.16","18.19","18.36","17.93","4.81M","0.67%"
"09/26/2022","18.04","18.54","18.57","17.78","7.65M","-4.09%"
"09/23/2022","18.81","18.86","18.98","18.54","4.52M","-1.88%"
"09/22/2022","19.17","19.80","19.80","19.10","3.14M","-3.18%"
"09/21/2022","19.80","20.45","20.53","19.80","3.65M","-2.22%"
"09/20/2022","20.25","20.58","20.62","20.08","4.12M","-2.92%"
"09/19/2022","20.86","20.50","20.86","20.41","3.05M","0.58%"
"09/16/2022","20.74","20.71","20.75","20.25","6.31M","0.29%"
"09/15/2022","20.68","20.86","21.13","20.66","2.72M","-0.67%"
"09/14/2022","20.82","21.08","21.22","20.70","4.59M","-2.16%"
"09/13/2022","21.28","21.81","21.88","21.22","4.71M","-4.57%"
"09/12/2022","22.30","22.14","22.40","22.07","3.44M","1.32%"
"09/09/2022","22.01","21.78","22.11","21.70","3.74M","1.62%"
"09/08/2022","21.66","21.32","21.71","21.28","4.56M","-0.41%"
"09/07/2022","21.75","21.26","21.87","21.24","3.84M","2.16%"
"09/06/2022","21.29","21.39","21.47","21.03","2.98M","0.28%"
"09/02/2022","21.23","21.57","21.63","21.08","3.16M","-0.33%"
"09/01/2022","21.30","20.97","21.32","20.67","2.81M","1.04%"
"08/31/2022","21.08","21.56","21.63","21.06","4.21M","-1.68%"
"08/30/2022","21.44","21.51","21.74","21.39","2.91M","0.05%"
"08/29/2022","21.43","21.57","21.71","21.36","2.77M","-1.34%"
"08/26/2022","21.72","22.52","22.52","21.69","3.30M","-3.21%"
"08/25/2022","22.44","22.21","22.46","22.13","1.60M","1.54%"
"08/24/2022","22.10","22.04","22.22","21.91","2.36M","0.55%"
"08/23/2022","21.98","22.13","22.16","21.86","2.33M","-0.09%"
"08/22/2022","22.00","22.38","22.39","21.97","3.15M","-3.21%"
"08/19/2022","22.73","23.24","23.37","22.62","6.24M","-2.78%"
"08/18/2022","23.38","23.42","23.54","23.24","2.11M","-0.04%"
"08/17/2022","23.39","23.49","23.60","23.26","2.42M","-1.43%"
"08/16/2022","23.73","23.51","23.89","23.51","2.00M","0.51%"
"08/15/2022","23.61","23.35","23.72","23.25","4.77M","1.11%"
"08/12/2022","23.35","23.06","23.40","22.92","3.12M","2.19%"
"08/11/2022","22.85","22.81","23.07","22.70","2.47M","1.02%"
"08/10/2022","22.62","22.46","22.63","22.34","2.25M","2.63%"
"08/09/2022","22.04","21.97","22.06","21.77","2.69M","0.78%"
"08/08/2022","21.87","21.63","22.00","21.62","2.19M","2.15%"
"08/05/2022","21.41","21.19","21.41","21.10","1.65M","0.33%"
"08/04/2022","21.34","21.39","21.51","21.24","2.41M","-0.42%"
"08/03/2022","21.43","21.53","21.92","21.42","3.42M","0.28%"
"08/02/2022","21.37","21.56","21.69","21.36","2.80M","-1.48%"
"08/01/2022","21.69","21.93","21.95","21.58","4.07M","-1.90%"
"07/29/2022","22.11","21.93","22.25","21.82","8.56M","1.14%"
"07/28/2022","21.86","21.72","21.96","21.53","4.03M","1.67%"
"07/27/2022","21.50","21.27","21.57","21.18","3.70M","1.56%"
"07/26/2022","21.17","21.42","21.56","21.15","3.71M","-1.58%"
"07/25/2022","21.51","21.47","21.54","21.32","3.66M","0.28%"
"07/22/2022","21.45","21.53","21.69","21.34","1.97M","0.19%"
"07/21/2022","21.41","21.26","21.42","21.03","2.76M","0.00%"
"07/20/2022","21.41","20.95","21.60","20.92","4.81M","1.90%"
"07/19/2022","21.01","20.63","21.07","20.55","2.86M","3.19%"
"07/18/2022","20.36","20.23","20.42","20.19","3.18M","1.19%"
"07/15/2022","20.12","19.89","20.32","19.60","3.73M","3.29%"
"07/14/2022","19.48","19.38","19.63","19.30","5.22M","-2.01%"
"07/13/2022","19.88","19.93","20.07","19.70","3.11M","-1.54%"
"07/12/2022","20.19","19.73","20.32","19.72","4.29M","1.87%"
"07/11/2022","19.82","19.63","19.85","19.55","2.63M","0.00%"
"07/08/2022","19.82","20.05","20.08","19.65","3.00M","-1.15%"
"07/07/2022","20.05","20.10","20.26","19.97","2.59M","0.70%"
"07/06/2022","19.91","20.15","20.40","19.74","3.92M","-0.99%"
"07/05/2022","20.11","19.91","20.13","19.59","4.44M","-0.49%"
"07/01/2022","20.21","19.79","20.28","19.67","4.20M","2.23%"
"06/30/2022","19.77","19.91","20.14","19.61","5.66M","-2.03%"
"06/29/2022","20.18","20.29","20.32","19.98","3.59M","-0.93%"
"06/28/2022","20.37","20.49","20.93","20.27","6.07M","0.34%"
"06/27/2022","20.30","20.08","20.40","19.92","5.99M","0.79%"
"06/24/2022","20.14","19.79","20.18","19.67","8.50M","2.97%"
"06/23/2022","19.56","19.16","19.61","19.07","5.64M","2.84%"
"06/22/2022","19.02","18.68","19.31","18.59","5.32M","0.00%"
"06/21/2022","19.02","19.20","19.41","19.01","4.69M","0.42%"
"06/17/2022","18.94","18.83","19.25","18.78","8.43M","1.01%"
"06/16/2022","18.75","18.85","18.96","18.52","5.18M","-2.90%"
"06/15/2022","19.31","19.40","19.70","19.06","7.85M","0.57%"
"06/14/2022","19.20","19.54","19.66","19.00","4.68M","-1.44%"
"06/13/2022","19.48","20.12","20.17","19.39","4.42M","-5.67%"
"06/10/2022","20.65","21.00","21.18","20.64","5.56M","-3.19%"
"06/09/2022","21.33","22.14","22.17","21.32","2.93M","-3.92%"
"06/08/2022","22.20","22.64","22.71","22.18","2.62M","-3.60%"
"06/07/2022","23.03","22.40","23.05","22.34","3.90M","1.72%"
"06/06/2022","22.64","23.14","23.14","22.61","3.26M","-1.35%"
"06/03/2022","22.95","23.20","23.25","22.79","5.80M","-1.59%"
"06/02/2022","23.32","22.83","23.33","22.64","3.06M","1.66%"
"06/01/2022","22.94","23.72","23.73","22.59","4.63M","-3.00%"
"05/31/2022","23.65","23.58","23.86","23.45","8.16M","-0.38%"
"05/27/2022","23.74","23.29","23.75","23.28","2.92M","2.64%"
"05/26/2022","23.13","22.95","23.29","22.93","4.14M","1.58%"
"05/25/2022","22.77","22.25","22.89","22.19","5.03M","1.29%"
"05/24/2022","22.48","22.02","22.50","21.42","5.46M","1.77%"
"05/23/2022","22.09","22.22","22.46","21.72","4.08M","0.36%"
"05/20/2022","22.01","22.88","22.90","21.36","6.78M","-2.48%"
"05/19/2022","22.57","22.74","23.17","22.55","6.41M","-1.78%"
"05/18/2022","22.98","23.92","23.96","22.91","5.31M","-4.61%"
"05/17/2022","24.09","23.61","24.09","23.47","4.85M","3.66%"
"05/16/2022","23.24","23.23","23.42","23.06","4.18M","-0.04%"
"05/13/2022","23.25","22.68","23.28","22.39","6.65M","3.33%"
"05/12/2022","22.50","22.20","22.75","22.04","8.52M","1.40%"
"05/11/2022","22.19","22.84","23.33","22.14","5.98M","-2.38%"
"05/10/2022","22.73","23.58","23.74","22.67","5.59M","-2.66%"
"05/09/2022","23.35","23.66","23.80","23.22","6.33M","-2.67%"
"05/06/2022","23.99","24.02","24.27","23.65","5.39M","-0.87%"
"05/05/2022","24.20","25.25","25.28","23.93","5.82M","-4.39%"
"05/04/2022","25.31","25.03","25.36","24.69","6.06M","1.04%"
"05/03/2022","25.05","24.72","25.20","24.34","4.33M","1.75%"
"05/02/2022","24.62","25.40","25.52","24.01","6.46M","-2.80%"
"04/29/2022","25.33","26.15","26.30","25.26","7.27M","-3.87%"
"04/28/2022","26.35","25.38","26.57","25.17","4.62M","4.40%"
"04/27/2022","25.24","25.37","25.68","25.02","4.75M","0.24%"
"04/26/2022","25.18","25.58","25.85","25.12","4.48M","-1.72%"
"04/25/2022","25.62","25.34","25.70","24.80","4.04M","0.71%"
"04/22/2022","25.44","25.89","25.92","25.42","3.29M","-2.00%"
"04/21/2022","25.96","26.47","26.53","25.93","3.44M","-0.99%"
"04/20/2022","26.22","25.99","26.33","25.94","4.20M","1.63%"
"04/19/2022","25.80","25.24","25.91","25.24","4.49M","2.75%"
"04/18/2022","25.11","25.15","25.32","24.97","2.20M","-0.08%"
"04/14/2022","25.13","25.15","25.38","25.07","3.40M","0.32%"
"04/13/2022","25.05","24.41","25.09","24.41","3.30M","2.62%"
"04/12/2022","24.41","24.42","24.76","24.32","2.90M","-0.25%"
"04/11/2022","24.47","24.34","24.58","24.24","4.05M","0.49%"
"04/08/2022","24.35","24.13","24.40","24.00","2.12M","1.33%"
"04/07/2022","24.03","24.03","24.21","23.57","5.05M","-0.58%"
