"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","408.27","409.09","421.79","406.23","1.08M","-1.45%"
"02/02/2023","414.26","414.00","416.93","408.61","1.34M","1.10%"
"02/01/2023","409.77","392.55","414.01","390.78","1.72M","4.41%"
"01/31/2023","392.48","387.99","393.06","387.86","1.11M","1.24%"
"01/30/2023","387.68","395.28","396.69","387.12","1.45M","-2.93%"
"01/27/2023","399.37","405.00","410.51","395.29","2.39M","-6.85%"
"01/26/2023","428.76","424.01","429.46","415.00","1.59M","1.45%"
"01/25/2023","422.62","412.75","423.05","408.42","1.27M","-0.12%"
"01/24/2023","423.14","418.84","426.28","417.45","850.12K","-0.57%"
"01/23/2023","425.58","407.60","428.56","407.60","1.46M","2.83%"
"01/20/2023","413.85","404.87","414.80","402.65","923.36K","2.92%"
"01/19/2023","402.10","410.92","414.81","401.84","1.41M","-3.12%"
"01/18/2023","415.06","422.21","428.28","414.77","1.18M","-0.21%"
"01/17/2023","415.95","417.73","420.53","413.69","1.05M","-0.97%"
"01/13/2023","420.04","415.79","421.15","412.45","1.62M","0.23%"
"01/12/2023","419.07","419.15","422.70","407.48","1.51M","-0.02%"
"01/11/2023","419.15","413.27","419.52","411.28","1.23M","0.69%"
"01/10/2023","416.27","406.99","416.70","406.34","976.48K","1.94%"
"01/09/2023","408.33","402.63","416.91","400.12","1.96M","2.70%"
"01/06/2023","397.59","379.99","397.75","377.70","1.42M","6.46%"
"01/05/2023","373.47","374.68","380.79","373.12","922.04K","-1.78%"
"01/04/2023","380.23","382.85","385.17","374.09","1.19M","0.98%"
"01/03/2023","376.55","384.00","384.74","372.58","764.01K","-0.13%"
"12/30/2022","377.03","374.55","377.51","370.31","669.38K","-0.75%"
"12/29/2022","379.86","373.14","381.36","372.74","786.84K","3.29%"
"12/28/2022","367.76","369.31","375.48","366.32","610.12K","-0.90%"
"12/27/2022","371.10","376.26","376.26","368.86","988.48K","-1.67%"
"12/23/2022","377.39","372.24","378.00","367.72","891.99K","0.95%"
"12/22/2022","373.85","386.09","386.78","367.06","2.08M","-5.78%"
"12/21/2022","396.78","388.81","398.13","387.58","1.12M","2.82%"
"12/20/2022","385.91","380.79","389.74","378.46","902.27K","0.59%"
"12/19/2022","383.66","384.97","385.82","379.42","1.12M","-0.49%"
"12/16/2022","385.54","382.04","387.76","380.25","2.36M","0.21%"
"12/15/2022","384.75","398.05","399.64","383.25","2.09M","-5.28%"
"12/14/2022","406.21","408.37","414.04","401.73","1.56M","-0.69%"
"12/13/2022","409.03","415.66","419.57","403.55","2.20M","2.03%"
"12/12/2022","400.91","385.40","401.01","383.71","1.56M","1.91%"
"12/09/2022","393.41","391.91","400.54","387.60","1.38M","-0.63%"
"12/08/2022","395.92","391.07","397.52","388.20","1.13M","2.02%"
"12/07/2022","388.09","379.16","389.02","378.44","827.66K","1.27%"
"12/06/2022","383.24","390.66","391.33","380.18","1.17M","-1.37%"
"12/05/2022","388.57","386.46","392.23","384.58","1.18M","-0.25%"
"12/02/2022","389.56","380.66","391.36","379.32","921.42K","-0.30%"
"12/01/2022","390.73","395.00","395.92","383.27","1.84M","-0.62%"
"11/30/2022","393.15","375.87","394.82","372.36","2.80M","5.03%"
"11/29/2022","374.33","374.84","377.01","370.87","813.22K","-0.16%"
"11/28/2022","374.93","375.21","380.54","372.95","1.41M","-1.34%"
"11/25/2022","380.02","382.00","384.52","380.00","624.36K","-1.45%"
"11/23/2022","385.63","380.50","388.87","380.10","1.40M","0.90%"
"11/22/2022","382.18","376.06","383.13","369.00","1.38M","2.71%"
"11/21/2022","372.11","371.62","376.35","370.78","1.08M","-1.12%"
"11/18/2022","376.34","382.56","382.84","371.79","1.12M","0.09%"
"11/17/2022","375.99","361.77","376.46","360.01","987.92K","1.50%"
"11/16/2022","370.42","371.79","377.61","367.57","2.46M","-3.92%"
"11/15/2022","385.55","390.11","392.50","379.86","1.74M","2.02%"
"11/14/2022","377.91","375.84","385.73","375.84","1.26M","-0.60%"
"11/11/2022","380.21","370.53","382.94","366.15","1.67M","3.25%"
"11/10/2022","368.25","357.56","369.17","349.63","2.73M","9.10%"
"11/09/2022","337.52","336.19","343.63","334.63","1.47M","-1.35%"
"11/08/2022","342.13","343.51","345.67","335.70","1.49M","1.47%"
"11/07/2022","337.17","330.76","337.89","328.43","1.96M","2.79%"
"11/04/2022","328.03","325.33","328.37","318.76","1.88M","4.32%"
"11/03/2022","314.44","307.32","319.96","307.30","1.71M","0.65%"
"11/02/2022","312.42","322.01","327.63","309.86","1.85M","-2.73%"
"11/01/2022","321.18","323.48","324.67","319.06","1.67M","1.49%"
"10/31/2022","316.45","317.86","319.58","314.00","1.36M","-1.57%"
"10/28/2022","321.50","310.73","323.14","309.97","2.88M","4.08%"
"10/27/2022","308.91","315.78","315.78","304.27","2.30M","0.82%"
"10/26/2022","306.40","301.00","311.15","299.04","1.96M","0.50%"
"10/25/2022","304.87","297.68","307.74","297.30","1.77M","3.21%"
"10/24/2022","295.39","291.39","297.02","289.30","1.37M","1.64%"
"10/21/2022","290.63","277.42","291.53","275.12","2.07M","4.92%"
"10/20/2022","277.01","274.42","282.57","271.53","1.94M","1.86%"
"10/19/2022","271.96","268.12","274.12","263.83","1.99M","1.19%"
"10/18/2022","268.76","272.05","274.55","262.59","1.76M","2.10%"
"10/17/2022","263.22","270.67","272.54","261.90","2.56M","-0.18%"
"10/14/2022","263.70","280.71","280.91","263.18","2.35M","-5.33%"
"10/13/2022","278.54","259.31","284.17","250.20","4.59M","1.36%"
"10/12/2022","274.81","281.19","281.93","273.81","2.43M","-2.18%"
"10/11/2022","280.92","290.58","298.97","276.62","3.56M","-6.15%"
"10/10/2022","299.34","313.80","313.80","296.20","2.10M","-4.72%"
"10/07/2022","314.16","318.30","321.75","310.95","2.19M","-4.07%"
"10/06/2022","327.49","328.20","334.89","326.63","1.32M","-0.47%"
"10/05/2022","329.05","320.08","333.12","316.36","1.35M","0.54%"
"10/04/2022","327.29","329.71","330.84","323.33","1.55M","3.40%"
"10/03/2022","316.53","306.19","320.95","304.77","1.87M","4.59%"
"09/30/2022","302.63","302.93","311.98","302.34","1.64M","-2.60%"
"09/29/2022","310.71","310.93","312.23","306.13","1.79M","-1.58%"
"09/28/2022","315.69","305.92","316.76","303.48","1.69M","2.37%"
"09/27/2022","308.38","310.91","311.58","302.50","1.36M","1.58%"
"09/26/2022","303.57","308.91","312.98","302.92","1.48M","-1.31%"
"09/23/2022","307.60","310.29","311.00","302.18","1.84M","-1.75%"
"09/22/2022","313.07","320.34","321.12","312.27","2.29M","-3.03%"
"09/21/2022","322.86","332.42","337.54","322.85","1.80M","-2.13%"
"09/20/2022","329.90","331.68","332.49","327.98","1.16M","-1.33%"
"09/19/2022","334.35","333.24","338.14","330.14","1.42M","-0.35%"
"09/16/2022","335.53","334.92","338.16","328.25","4.22M","-0.54%"
"09/15/2022","337.36","344.64","344.64","334.38","1.58M","-2.67%"
"09/14/2022","346.61","343.54","349.76","337.82","1.80M","1.74%"
"09/13/2022","340.68","342.98","348.32","339.53","2.33M","-4.70%"
"09/12/2022","357.47","356.94","359.42","352.75","1.14M","-0.33%"
"09/09/2022","358.67","356.86","362.73","356.86","1.66M","2.16%"
"09/08/2022","351.09","335.83","351.43","332.80","2.26M","3.93%"
"09/07/2022","337.82","332.12","340.85","328.74","1.60M","2.19%"
"09/06/2022","330.58","333.81","337.06","326.71","1.40M","-1.39%"
"09/02/2022","335.25","341.77","345.32","332.98","1.30M","-0.55%"
"09/01/2022","337.11","334.86","337.88","328.99","1.87M","-2.04%"
"08/31/2022","344.13","349.84","349.84","339.85","1.56M","-0.87%"
"08/30/2022","347.14","357.30","357.40","343.45","1.42M","-1.77%"
"08/29/2022","353.38","353.49","359.73","351.27","1.32M","-1.61%"
"08/26/2022","359.18","375.22","377.00","359.00","1.60M","-4.66%"
"08/25/2022","376.72","364.14","377.35","362.74","1.29M","3.87%"
"08/24/2022","362.67","360.26","365.57","357.68","938.64K","0.06%"
"08/23/2022","362.45","361.69","369.19","361.27","860.30K","0.74%"
"08/22/2022","359.80","363.70","366.37","358.07","1.34M","-3.23%"
"08/19/2022","371.81","376.40","378.80","369.22","1.26M","-2.67%"
