"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","131.26","130.45","131.37","128.85","1.77M","0.83%"
"02/02/2023","130.18","128.66","130.90","127.97","2.04M","0.13%"
"02/01/2023","130.01","129.32","130.93","128.61","1.42M","0.00%"
"01/31/2023","130.01","129.40","130.09","128.52","2.93M","0.79%"
"01/30/2023","128.99","129.20","130.11","128.56","1.42M","0.05%"
"01/27/2023","128.92","129.42","129.78","127.96","2.37M","-1.04%"
"01/26/2023","130.27","131.14","131.30","128.56","2.78M","-1.36%"
"01/25/2023","132.06","129.58","132.81","129.03","3.72M","-1.91%"
"01/24/2023","134.63","133.80","134.73","132.13","1.95M","0.30%"
"01/23/2023","134.23","135.08","135.37","133.84","1.72M","-0.67%"
"01/20/2023","135.13","132.28","135.42","131.55","2.33M","2.25%"
"01/19/2023","132.16","132.03","133.36","131.44","2.11M","-0.51%"
"01/18/2023","132.84","136.16","136.40","132.72","2.00M","-2.94%"
"01/17/2023","136.86","137.57","138.32","136.43","1.53M","0.02%"
"01/13/2023","136.83","135.70","137.08","135.70","1.48M","0.43%"
"01/12/2023","136.24","136.34","136.85","135.35","1.58M","-0.05%"
"01/11/2023","136.31","136.84","137.46","135.39","1.40M","0.33%"
"01/10/2023","135.86","137.06","137.24","135.30","1.25M","-0.85%"
"01/09/2023","137.02","138.22","139.20","136.98","2.03M","-1.03%"
"01/06/2023","138.45","137.00","138.67","136.68","1.14M","2.15%"
"01/05/2023","135.54","136.53","136.94","135.32","1.21M","-0.93%"
"01/04/2023","136.81","136.80","137.53","135.97","1.53M","-0.22%"
"01/03/2023","137.11","136.06","137.15","134.83","1.60M","1.00%"
"12/30/2022","135.75","137.26","137.26","134.84","1.11M","-1.09%"
"12/29/2022","137.24","136.92","137.71","136.66","741.88K","0.53%"
"12/28/2022","136.52","138.75","138.89","136.26","775.68K","-1.34%"
"12/27/2022","138.38","137.63","138.68","137.01","897.57K","0.90%"
"12/23/2022","137.15","137.42","138.00","136.80","888.45K","-0.21%"
"12/22/2022","137.44","136.70","137.51","135.82","1.17M","0.35%"
"12/21/2022","136.96","135.78","137.05","135.55","1.18M","1.17%"
"12/20/2022","135.38","135.57","135.87","134.13","1.21M","-0.21%"
"12/19/2022","135.66","135.31","136.90","134.49","1.30M","0.25%"
"12/16/2022","135.32","136.18","136.85","134.21","3.72M","-0.81%"
"12/15/2022","136.42","138.03","138.44","135.51","1.39M","-1.93%"
"12/14/2022","139.10","138.77","140.41","137.80","1.64M","0.28%"
"12/13/2022","138.71","139.20","139.73","137.54","1.59M","0.54%"
"12/12/2022","137.96","136.52","138.02","134.68","1.72M","1.29%"
"12/09/2022","136.20","136.54","137.30","135.87","2.32M","-0.41%"
"12/08/2022","136.76","135.24","136.79","135.00","1.18M","0.04%"
"12/07/2022","136.70","136.73","137.83","136.28","1.28M","0.51%"
"12/06/2022","136.01","135.80","137.15","135.15","1.47M","-0.85%"
"12/05/2022","137.17","136.20","137.49","135.72","1.22M","-0.55%"
"12/02/2022","137.93","136.14","138.16","135.66","1.93M","0.97%"
"12/01/2022","136.60","136.00","137.40","135.82","1.45M","0.72%"
"11/30/2022","135.63","132.85","135.66","132.50","1.80M","1.85%"
"11/29/2022","133.16","132.63","133.20","131.55","1.42M","-0.11%"
"11/28/2022","133.31","134.91","135.02","133.31","1.22M","-1.27%"
"11/25/2022","135.03","134.22","135.03","134.00","540.49K","0.77%"
"11/23/2022","134.00","135.26","135.50","133.90","1.30M","-0.73%"
"11/22/2022","134.98","134.00","135.21","133.52","1.79M","1.12%"
"11/21/2022","133.49","132.00","133.68","131.60","1.38M","1.59%"
"11/18/2022","131.40","130.42","131.66","130.06","1.35M","1.96%"
"11/17/2022","128.87","128.34","128.95","127.70","1.17M","-0.11%"
"11/16/2022","129.01","128.38","129.93","128.38","1.03M","0.68%"
"11/15/2022","128.14","128.70","129.47","126.96","1.32M","0.45%"
"11/14/2022","127.56","127.61","130.40","127.28","1.49M","0.09%"
"11/11/2022","127.45","127.82","128.02","124.22","1.63M","-0.26%"
"11/10/2022","127.78","126.06","128.04","125.38","1.90M","3.19%"
"11/09/2022","123.83","124.63","125.21","123.69","941.30K","-0.60%"
"11/08/2022","124.58","124.73","125.37","123.71","1.29M","0.21%"
"11/07/2022","124.32","123.31","124.57","123.10","1.21M","1.47%"
"11/04/2022","122.52","122.97","123.78","121.48","1.93M","0.41%"
"11/03/2022","122.02","121.27","122.23","120.76","1.84M","-0.20%"
"11/02/2022","122.27","124.00","125.16","122.06","1.78M","-1.67%"
"11/01/2022","124.35","124.46","125.89","123.63","1.88M","-0.09%"
"10/31/2022","124.46","124.22","124.95","123.87","2.92M","0.14%"
"10/28/2022","124.28","121.47","124.50","121.47","1.77M","2.46%"
"10/27/2022","121.30","120.80","122.61","120.71","1.90M","0.91%"
"10/26/2022","120.21","119.57","120.96","118.49","2.20M","0.60%"
"10/25/2022","119.49","115.01","119.49","114.38","2.77M","3.13%"
"10/24/2022","115.86","114.69","116.16","114.00","2.63M","1.67%"
"10/21/2022","113.96","112.61","114.17","111.85","1.68M","1.46%"
"10/20/2022","112.32","114.71","115.03","112.13","1.98M","-2.28%"
"10/19/2022","114.94","115.83","116.46","114.28","1.19M","-0.47%"
"10/18/2022","115.48","115.17","116.36","114.82","1.41M","1.14%"
"10/17/2022","114.18","113.89","115.21","113.79","1.73M","0.86%"
