"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","18.28","18.48","18.64","18.22","13.96M","-0.92%"
"02/02/2023","18.45","18.37","18.52","18.24","13.32M","0.44%"
"02/01/2023","18.37","18.25","18.51","18.19","20.30M","0.38%"
"01/31/2023","18.30","18.07","18.31","17.95","15.74M","1.44%"
"01/30/2023","18.04","18.25","18.34","18.03","13.28M","-3.32%"
"01/27/2023","18.66","18.60","18.77","18.52","13.12M","0.27%"
"01/26/2023","18.61","18.57","18.62","18.35","14.29M","0.87%"
"01/25/2023","18.45","18.45","18.52","18.32","19.14M","-0.65%"
"01/24/2023","18.57","18.75","18.90","18.38","13.06M","-1.01%"
"01/23/2023","18.76","18.74","18.85","18.61","11.45M","0.64%"
"01/20/2023","18.64","18.81","18.85","18.60","15.42M","-0.59%"
"01/19/2023","18.75","18.51","18.93","18.40","17.38M","2.12%"
"01/18/2023","18.36","18.87","18.92","18.29","19.45M","-2.44%"
"01/17/2023","18.82","18.93","19.09","18.70","12.36M","-0.16%"
"01/13/2023","18.85","18.88","18.93","18.69","8.62M","-0.21%"
"01/12/2023","18.89","18.88","19.06","18.77","11.06M","0.59%"
"01/11/2023","18.78","18.88","18.90","18.58","12.28M","0.21%"
"01/10/2023","18.74","18.75","18.82","18.50","9.54M","0.16%"
"01/09/2023","18.71","18.76","18.80","18.60","17.35M","0.70%"
"01/06/2023","18.58","18.37","18.69","18.29","9.09M","2.03%"
"01/05/2023","18.21","18.12","18.24","18.02","8.49M","-0.11%"
"01/04/2023","18.23","17.86","18.38","17.85","11.67M","1.22%"
"01/03/2023","18.01","18.00","18.18","17.86","10.39M","-0.39%"
"12/30/2022","18.08","18.08","18.20","17.95","7.39M","-0.39%"
"12/29/2022","18.15","17.92","18.25","17.88","7.43M","1.23%"
"12/28/2022","17.93","18.21","18.29","17.86","7.91M","-1.81%"
"12/27/2022","18.26","18.21","18.34","18.09","8.12M","0.66%"
"12/23/2022","18.14","17.84","18.14","17.83","9.30M","2.25%"
"12/22/2022","17.74","17.81","17.86","17.40","13.84M","-0.78%"
"12/21/2022","17.88","17.83","17.99","17.73","10.62M","1.53%"
"12/20/2022","17.61","17.54","17.71","17.46","11.48M","0.57%"
"12/19/2022","17.51","17.76","17.84","17.39","13.38M","-1.02%"
"12/16/2022","17.69","17.67","17.78","17.41","21.21M","-1.50%"
"12/15/2022","17.96","17.96","18.05","17.68","11.45M","-0.83%"
"12/14/2022","18.11","18.21","18.35","18.00","13.70M","-0.55%"
"12/13/2022","18.21","18.09","18.30","17.99","16.87M","2.19%"
"12/12/2022","17.82","17.50","17.83","17.39","12.74M","2.12%"
"12/09/2022","17.45","17.71","17.84","17.41","19.19M","-1.80%"
"12/08/2022","17.77","18.13","18.26","17.54","17.70M","-1.50%"
"12/07/2022","18.04","18.12","18.25","17.93","11.27M","-0.33%"
"12/06/2022","18.10","18.50","18.65","18.00","15.80M","-2.48%"
"12/05/2022","18.56","19.11","19.13","18.41","12.05M","-2.32%"
"12/02/2022","19.00","19.00","19.11","18.89","9.64M","-0.78%"
"12/01/2022","19.15","19.23","19.35","19.07","12.56M","0.16%"
"11/30/2022","19.12","18.99","19.14","18.77","40.90M","1.27%"
"11/29/2022","18.88","18.60","18.94","18.53","16.44M","2.28%"
"11/28/2022","18.46","18.25","18.59","18.22","16.71M","-0.91%"
"11/25/2022","18.63","18.70","18.78","18.59","5.98M","-0.11%"
"11/23/2022","18.65","18.54","18.73","18.47","9.67M","-0.37%"
"11/22/2022","18.72","18.53","18.87","18.41","14.89M","2.41%"
"11/21/2022","18.28","18.24","18.30","17.84","12.90M","-0.76%"
"11/18/2022","18.42","18.19","18.47","18.13","17.35M","0.66%"
"11/17/2022","18.30","18.20","18.31","18.00","12.02M","-0.60%"
"11/16/2022","18.41","18.54","18.60","18.29","14.44M","-1.34%"
"11/15/2022","18.66","18.74","18.81","18.55","14.47M","0.70%"
"11/14/2022","18.53","18.66","18.96","18.53","15.29M","-0.86%"
"11/11/2022","18.69","18.41","18.79","18.32","17.92M","2.69%"
"11/10/2022","18.20","17.95","18.23","17.84","18.51M","3.53%"
"11/09/2022","17.58","18.19","18.25","17.57","15.19M","-3.99%"
"11/08/2022","18.31","18.28","18.42","18.13","15.45M","0.33%"
"11/07/2022","18.25","18.25","18.39","18.14","14.54M","0.44%"
"11/04/2022","18.17","18.31","18.48","17.96","17.82M","0.72%"
"11/03/2022","18.04","17.75","18.12","17.71","16.26M","0.78%"
"11/02/2022","17.90","18.19","18.39","17.89","20.19M","-1.86%"
"11/01/2022","18.24","18.25","18.34","18.11","18.61M","0.66%"
"10/31/2022","18.12","17.74","18.30","17.67","27.03M","1.97%"
"10/28/2022","17.77","17.83","17.89","17.50","18.46M","-1.22%"
"10/27/2022","17.99","17.98","18.16","17.91","22.92M","1.47%"
"10/26/2022","17.73","17.62","17.85","17.29","22.67M","1.26%"
"10/25/2022","17.51","17.20","17.55","17.13","20.41M","1.33%"
"10/24/2022","17.28","17.58","17.70","17.21","21.28M","-1.37%"
"10/21/2022","17.52","17.25","17.56","17.11","19.63M","2.34%"
"10/20/2022","17.12","17.34","17.68","16.96","40.24M","-4.84%"
"10/19/2022","17.99","17.74","18.09","17.63","19.26M","1.24%"
"10/18/2022","17.77","17.71","17.95","17.50","19.52M","1.54%"
"10/17/2022","17.50","17.40","17.65","17.30","15.07M","1.80%"
"10/14/2022","17.19","17.57","17.75","17.16","17.04M","-2.55%"
"10/13/2022","17.64","16.90","17.70","16.86","18.39M","3.46%"
"10/12/2022","17.05","17.03","17.18","16.87","14.50M","-0.64%"
"10/11/2022","17.16","16.94","17.36","16.84","17.70M","0.53%"
"10/10/2022","17.07","17.30","17.58","17.03","16.30M","-0.99%"
"10/07/2022","17.24","17.40","17.48","17.09","16.68M","-0.86%"
"10/06/2022","17.39","17.60","17.80","17.36","19.29M","-1.75%"
"10/05/2022","17.70","17.54","17.80","17.31","19.59M","0.17%"
"10/04/2022","17.67","17.32","17.68","17.25","23.80M","3.33%"
"10/03/2022","17.10","17.10","17.27","16.96","24.70M","2.76%"
"09/30/2022","16.64","16.61","16.86","16.50","30.54M","-0.48%"
"09/29/2022","16.72","16.69","16.80","16.41","27.65M","-0.71%"
"09/28/2022","16.84","16.41","16.95","16.35","25.18M","3.12%"
"09/27/2022","16.33","16.34","16.69","16.21","25.37M","1.49%"
"09/26/2022","16.09","16.43","16.49","16.05","28.33M","-2.66%"
"09/23/2022","16.53","17.00","17.04","16.34","25.53M","-4.56%"
"09/22/2022","17.32","17.73","17.73","17.32","18.22M","-1.14%"
"09/21/2022","17.52","18.12","18.18","17.51","20.56M","-2.12%"
"09/20/2022","17.90","17.94","17.99","17.73","16.55M","-0.83%"
"09/19/2022","18.05","17.50","18.06","17.50","16.76M","1.12%"
"09/16/2022","17.85","18.23","18.23","17.70","34.29M","-2.62%"
"09/15/2022","18.33","18.33","18.57","18.24","16.90M","-1.08%"
"09/14/2022","18.53","18.30","18.63","18.27","18.21M","1.98%"
"09/13/2022","18.17","18.50","18.66","18.08","20.59M","-3.04%"
"09/12/2022","18.74","18.50","18.77","18.44","15.16M","2.35%"
"09/09/2022","18.31","18.25","18.39","18.16","13.60M","1.55%"
"09/08/2022","18.03","18.00","18.04","17.76","18.34M","1.01%"
"09/07/2022","17.85","17.55","17.88","17.46","13.53M","0.45%"
"09/06/2022","17.77","18.42","18.49","17.75","19.02M","-2.47%"
"09/02/2022","18.22","18.50","18.55","18.11","15.08M","0.28%"
"09/01/2022","18.17","18.17","18.27","17.88","15.92M","-0.82%"
"08/31/2022","18.32","18.21","18.55","18.05","17.41M","-0.87%"
"08/30/2022","18.48","18.74","18.74","18.42","13.06M","-2.43%"
"08/29/2022","18.94","18.95","19.14","18.83","9.04M","-0.26%"
"08/26/2022","18.99","19.33","19.33","18.93","13.54M","-1.40%"
"08/25/2022","19.26","19.28","19.31","19.09","11.86M","0.31%"
"08/24/2022","19.20","18.90","19.23","18.84","13.82M","1.64%"
"08/23/2022","18.89","18.78","18.99","18.73","13.02M","1.78%"
"08/22/2022","18.56","18.67","18.74","18.43","13.81M","-0.85%"
"08/19/2022","18.72","18.82","18.90","18.63","14.17M","-1.11%"
"08/18/2022","18.93","18.70","18.95","18.69","12.73M","1.94%"
"08/17/2022","18.57","18.58","18.71","18.44","9.37M","-0.43%"
"08/16/2022","18.65","18.67","18.80","18.61","10.99M","0.43%"
"08/15/2022","18.57","18.30","18.59","18.15","10.67M","-0.64%"
"08/12/2022","18.69","18.58","18.70","18.48","11.36M","0.54%"
"08/11/2022","18.59","18.40","18.75","18.31","15.80M","2.48%"
"08/10/2022","18.14","18.16","18.25","17.98","10.46M","0.55%"
"08/09/2022","18.04","17.85","18.09","17.79","11.68M","2.04%"
"08/08/2022","17.68","17.48","17.79","17.48","12.90M","1.20%"
"08/05/2022","17.47","17.10","17.49","17.06","12.12M","0.98%"
"08/04/2022","17.30","17.76","17.76","17.27","14.34M","-2.86%"
"08/03/2022","17.81","17.99","18.05","17.67","16.41M","-0.11%"
"08/02/2022","17.83","17.91","18.00","17.63","22.29M","-0.39%"
"08/01/2022","17.90","17.75","17.92","17.53","14.16M","-0.50%"
"07/29/2022","17.99","17.93","18.12","17.84","18.98M","-0.28%"
"07/28/2022","18.04","18.13","18.18","17.73","14.63M","-0.11%"
"07/27/2022","18.06","18.06","18.11","17.72","13.73M","0.33%"
"07/26/2022","18.00","18.15","18.23","17.90","13.86M","-0.11%"
"07/25/2022","18.02","17.85","18.03","17.70","13.12M","2.10%"
"07/22/2022","17.65","17.73","17.86","17.55","14.10M","-0.06%"
"07/21/2022","17.66","16.77","17.69","16.76","22.68M","1.96%"
"07/20/2022","17.32","17.25","17.44","17.08","14.83M","0.06%"
"07/19/2022","17.31","17.00","17.33","16.96","12.95M","2.24%"
"07/18/2022","16.93","16.96","17.14","16.89","9.69M","1.01%"
"07/15/2022","16.76","16.83","16.91","16.55","10.04M","1.09%"
"07/14/2022","16.58","16.14","16.59","16.05","15.67M","-0.12%"
"07/13/2022","16.60","16.45","16.80","16.45","10.88M","-0.30%"
"07/12/2022","16.65","16.51","16.75","16.44","12.69M","-1.25%"
"07/11/2022","16.86","16.83","16.96","16.52","12.61M","-0.65%"
"07/08/2022","16.97","16.96","17.10","16.79","13.12M","0.47%"
"07/07/2022","16.89","16.65","16.98","16.60","15.65M","3.24%"
"07/06/2022","16.36","16.49","16.65","15.92","19.25M","-1.33%"
"07/05/2022","16.58","16.64","16.72","16.10","19.33M","-2.36%"
"07/01/2022","16.98","16.85","17.03","16.49","15.47M","1.31%"
"06/30/2022","16.76","16.61","16.97","16.56","19.84M","-0.95%"
"06/29/2022","16.92","17.42","17.49","16.85","12.92M","-1.63%"
"06/28/2022","17.20","17.19","17.46","17.04","14.88M","2.20%"
"06/27/2022","16.83","16.63","16.96","16.61","14.79M","2.12%"
"06/24/2022","16.48","16.45","16.69","16.28","17.93M","1.48%"
"06/23/2022","16.24","16.44","16.49","15.98","17.51M","-0.61%"
"06/22/2022","16.34","16.13","16.61","16.06","18.45M","-1.86%"
"06/21/2022","16.65","16.36","16.79","16.23","19.19M","3.74%"
