"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","78.19","77.70","79.99","77.46","1.91M","-1.42%"
"02/02/2023","79.32","77.07","80.92","77.07","4.52M","4.59%"
"02/01/2023","75.84","70.19","76.35","70.19","3.68M","7.65%"
"01/31/2023","70.45","69.23","70.46","68.40","1.96M","2.04%"
"01/30/2023","69.04","68.69","71.59","67.88","3.19M","-0.09%"
"01/27/2023","69.10","66.22","69.62","66.10","2.28M","4.29%"
"01/26/2023","66.26","67.26","67.56","65.03","1.67M","-0.08%"
"01/25/2023","66.31","65.63","66.54","64.84","2.56M","-0.61%"
"01/24/2023","66.72","66.87","68.04","66.49","1.17M","-0.91%"
"01/23/2023","67.33","66.52","67.95","65.94","2.04M","1.89%"
"01/20/2023","66.08","62.62","66.10","62.02","2.47M","6.26%"
"01/19/2023","62.19","62.33","63.01","60.91","2.56M","-1.92%"
"01/18/2023","63.41","67.46","68.78","63.35","2.49M","-5.98%"
"01/17/2023","67.44","64.21","70.95","63.34","7.42M","3.75%"
"01/13/2023","65.00","65.37","66.67","64.86","2.91M","-2.81%"
"01/12/2023","66.88","68.06","68.27","65.53","2.95M","-0.82%"
"01/11/2023","67.43","66.00","68.67","66.00","3.42M","0.06%"
"01/10/2023","67.39","67.18","67.95","66.22","1.97M","0.48%"
"01/09/2023","67.07","66.22","68.07","66.01","2.66M","1.96%"
"01/06/2023","65.78","63.67","65.82","62.59","2.43M","3.85%"
"01/05/2023","63.34","63.80","64.10","62.81","2.97M","-2.73%"
"01/04/2023","65.12","62.00","65.14","61.71","3.21M","7.39%"
"01/03/2023","60.64","61.70","63.25","59.66","2.42M","-0.41%"
"12/30/2022","60.89","60.40","61.17","59.61","2.14M","-0.60%"
"12/29/2022","61.26","59.89","61.92","59.52","2.41M","3.41%"
"12/28/2022","59.24","60.43","61.03","58.77","3.13M","-1.95%"
"12/27/2022","60.42","59.81","61.10","58.22","4.41M","0.43%"
"12/23/2022","60.16","56.57","60.63","56.26","6.67M","5.17%"
"12/22/2022","57.20","52.10","57.28","52.10","16.46M","-3.66%"
"12/21/2022","59.37","58.54","60.02","57.58","4.45M","2.79%"
