"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","60.10","60.10","60.29","59.72","1.03M","-0.13%"
"02/02/2023","60.18","60.40","60.60","59.33","1.04M","-0.59%"
"02/01/2023","60.54","60.83","61.15","60.06","776.17K","-1.53%"
"01/31/2023","61.48","60.49","61.49","60.04","729.41K","1.75%"
"01/30/2023","60.42","60.81","61.46","60.38","469.14K","-0.93%"
"01/27/2023","60.99","60.97","61.28","60.54","526.12K","-0.26%"
"01/26/2023","61.15","60.66","61.19","60.56","504.68K","0.92%"
"01/25/2023","60.59","60.01","60.63","59.86","482.72K","0.60%"
"01/24/2023","60.23","59.62","60.32","59.35","598.27K","1.09%"
"01/23/2023","59.58","59.12","59.74","58.85","505.40K","1.05%"
"01/20/2023","58.96","58.20","58.97","57.53","775.86K","1.53%"
"01/19/2023","58.07","58.10","58.46","57.87","762.81K","-0.68%"
"01/18/2023","58.47","59.38","59.58","58.35","847.08K","-1.48%"
"01/17/2023","59.35","60.28","60.28","59.26","654.26K","-1.44%"
"01/13/2023","60.22","59.48","60.28","59.39","515.35K","0.57%"
"01/12/2023","59.88","60.13","60.18","59.77","627.19K","0.08%"
"01/11/2023","59.83","59.15","59.85","58.99","602.51K","1.34%"
"01/10/2023","59.04","59.01","59.25","58.69","702.77K","0.12%"
"01/09/2023","58.97","60.41","60.41","58.93","799.89K","-2.48%"
"01/06/2023","60.47","59.69","60.54","59.69","699.06K","2.13%"
"01/05/2023","59.21","59.08","59.24","58.56","710.59K","-0.10%"
"01/04/2023","59.27","59.01","59.76","58.83","743.14K","1.16%"
"01/03/2023","58.59","58.39","59.05","58.10","869.85K","0.45%"
"12/30/2022","58.33","58.44","58.77","58.10","708.18K","-0.58%"
"12/29/2022","58.67","57.91","58.82","57.91","513.39K","1.36%"
"12/28/2022","57.88","58.75","58.86","57.87","520.79K","-1.23%"
"12/27/2022","58.60","57.83","58.76","57.59","678.36K","1.30%"
"12/23/2022","57.85","57.23","57.97","57.09","560.14K","1.15%"
"12/22/2022","57.19","57.34","57.57","56.33","656.68K","-0.40%"
"12/21/2022","57.42","56.35","57.43","56.27","1.05M","2.94%"
"12/20/2022","55.78","55.24","56.71","54.82","1.41M","1.51%"
"12/19/2022","54.95","55.86","56.38","54.81","1.17M","-1.52%"
"12/16/2022","55.80","55.18","55.98","54.82","2.82M","-0.20%"
"12/15/2022","55.91","55.65","56.24","55.40","889.33K","-0.60%"
"12/14/2022","56.25","56.66","57.45","55.95","1.02M","-0.88%"
"12/13/2022","56.75","57.91","58.12","56.46","932.21K","0.11%"
"12/12/2022","56.69","56.42","56.80","56.16","644.00K","0.37%"
"12/09/2022","56.48","56.19","56.85","55.94","933.08K","0.18%"
"12/08/2022","56.38","56.38","56.78","56.12","522.70K","0.25%"
"12/07/2022","56.24","57.03","57.64","56.17","796.56K","-1.54%"
"12/06/2022","57.12","56.31","57.21","56.08","874.53K","1.40%"
"12/05/2022","56.33","57.37","57.41","56.10","665.67K","-2.32%"
"12/02/2022","57.67","57.58","57.77","56.90","699.62K","-0.64%"
"12/01/2022","58.04","58.66","58.87","57.65","861.73K","-0.19%"
"11/30/2022","58.15","57.62","58.29","56.60","2.66M","0.64%"
"11/29/2022","57.78","56.69","57.83","56.51","656.13K","1.78%"
"11/28/2022","56.77","56.99","57.37","56.64","738.68K","-1.11%"
"11/25/2022","57.41","57.60","57.65","57.18","277.94K","0.17%"
"11/23/2022","57.31","57.03","57.32","56.76","524.39K","0.37%"
"11/22/2022","57.10","57.18","57.53","56.95","539.47K","0.51%"
"11/21/2022","56.81","56.56","56.99","56.28","446.97K","0.34%"
"11/18/2022","56.62","56.64","57.01","55.96","761.54K","1.05%"
"11/17/2022","56.03","55.07","56.09","55.07","652.05K","0.72%"
"11/16/2022","55.63","55.64","55.87","55.10","772.98K","0.09%"
"11/15/2022","55.58","55.88","55.96","54.91","679.36K","0.16%"
"11/14/2022","55.49","55.98","56.79","55.42","495.72K","-0.86%"
"11/11/2022","55.97","57.13","57.13","55.72","659.15K","-1.10%"
"11/10/2022","56.59","56.01","56.64","55.59","773.96K","3.91%"
"11/09/2022","54.46","55.38","55.44","54.27","662.33K","-2.14%"
"11/08/2022","55.65","55.59","55.87","54.93","488.08K","0.09%"
"11/07/2022","55.60","55.94","55.94","55.05","688.50K","0.23%"
"11/04/2022","55.47","55.92","56.33","54.99","687.63K","0.45%"
"11/03/2022","55.22","54.94","55.62","54.52","554.50K","-0.52%"
"11/02/2022","55.51","56.23","57.01","55.42","812.80K","-1.73%"
"11/01/2022","56.49","57.28","57.62","56.29","1.01M","-0.93%"
"10/31/2022","57.02","57.25","57.84","56.36","1.03M","-1.67%"
"10/28/2022","57.99","56.79","58.06","56.72","785.34K","2.89%"
"10/27/2022","56.36","56.50","57.16","56.26","768.29K","0.70%"
"10/26/2022","55.97","56.22","56.30","55.74","524.14K","0.38%"
"10/25/2022","55.76","55.36","55.96","55.07","715.94K","-0.16%"
"10/24/2022","55.85","55.84","56.49","55.59","603.09K","0.63%"
"10/21/2022","55.50","53.89","55.55","53.64","874.33K","3.47%"
"10/20/2022","53.64","54.04","54.89","53.56","624.63K","-1.65%"
"10/19/2022","54.54","54.47","55.14","54.02","617.01K","-0.13%"
"10/18/2022","54.61","54.78","55.12","54.20","864.64K","1.88%"
"10/17/2022","53.60","53.79","54.27","53.37","889.36K","1.13%"
"10/14/2022","53.00","54.19","54.59","52.89","842.87K","-1.23%"
"10/13/2022","53.66","51.04","53.87","50.68","878.33K","4.23%"
"10/12/2022","51.48","51.79","52.07","51.48","554.50K","-0.85%"
"10/11/2022","51.92","51.32","52.62","51.32","627.28K","0.95%"
"10/10/2022","51.43","51.62","51.98","51.27","461.07K","0.16%"
"10/07/2022","51.35","51.91","51.94","51.04","760.90K","-1.53%"
"10/06/2022","52.15","52.36","52.63","52.12","806.11K","-1.23%"
"10/05/2022","52.80","52.70","53.08","52.55","774.92K","-0.73%"
"10/04/2022","53.19","52.00","53.28","52.00","910.94K","3.24%"
"10/03/2022","51.52","50.48","51.90","49.77","990.31K","3.37%"
"09/30/2022","49.84","50.80","51.13","49.76","1.32M","-1.83%"
"09/29/2022","50.77","50.55","50.91","50.05","1.06M","-0.29%"
"09/28/2022","50.92","50.44","51.16","50.16","1.13M","1.60%"
"09/27/2022","50.12","50.11","50.44","49.46","791.36K","0.91%"
"09/26/2022","49.67","50.67","51.05","49.36","998.15K","-2.61%"
"09/23/2022","51.00","51.21","51.40","50.34","892.14K","-1.58%"
"09/22/2022","51.82","52.85","52.85","51.77","877.70K","-2.00%"
"09/21/2022","52.88","54.10","54.50","52.85","916.84K","-1.71%"
"09/20/2022","53.80","54.60","54.77","53.25","1.09M","-2.38%"
"09/19/2022","55.11","53.45","55.13","53.45","1.15M","2.13%"
"09/16/2022","53.96","55.02","55.02","53.74","2.78M","-2.63%"
"09/15/2022","55.42","55.55","56.08","55.30","961.26K","0.09%"
"09/14/2022","55.37","56.09","56.23","55.03","1.24M","-0.86%"
"09/13/2022","55.85","56.68","57.05","55.74","946.47K","-2.79%"
"09/12/2022","57.45","57.25","57.79","57.03","764.54K","1.04%"
"09/09/2022","56.86","56.81","57.30","56.73","768.94K","0.34%"
"09/08/2022","56.67","56.00","56.75","55.68","891.32K","0.78%"
"09/07/2022","56.23","55.18","56.43","55.18","1.02M","1.63%"
"09/06/2022","55.33","55.90","56.12","55.18","1.18M","-0.18%"
"09/02/2022","55.43","56.18","56.87","55.18","823.50K","-0.14%"
"09/01/2022","55.51","55.16","55.53","54.71","854.17K","0.36%"
"08/31/2022","55.31","55.91","56.11","55.30","1.17M","-0.77%"
"08/30/2022","55.74","56.42","56.79","55.61","925.21K","-1.31%"
"08/29/2022","56.48","56.44","57.05","56.20","763.57K","-0.56%"
"08/26/2022","56.80","58.06","58.38","56.78","652.90K","-1.98%"
"08/25/2022","57.95","57.55","57.96","57.13","477.94K","1.33%"
"08/24/2022","57.19","56.97","57.25","56.74","754.97K","0.33%"
"08/23/2022","57.00","57.29","57.39","56.73","696.34K","0.07%"
"08/22/2022","56.96","57.61","57.76","56.87","726.65K","-2.20%"
"08/19/2022","58.24","58.85","58.95","58.12","1.34M","-1.20%"
"08/18/2022","58.95","58.53","58.96","58.53","598.48K","0.82%"
"08/17/2022","58.47","58.27","58.98","58.27","1.02M","-0.56%"
"08/16/2022","58.80","58.29","58.94","58.29","574.37K","0.55%"
"08/15/2022","58.48","58.05","58.65","57.85","560.40K","-0.39%"
"08/12/2022","58.71","57.73","58.72","57.73","651.90K","2.09%"
"08/11/2022","57.51","57.40","57.82","57.38","499.30K","0.91%"
"08/10/2022","56.99","56.61","57.05","56.51","713.78K","1.66%"
"08/09/2022","56.06","55.61","56.22","55.59","601.06K","1.25%"
"08/08/2022","55.37","55.47","56.13","55.36","748.26K","0.45%"
"08/05/2022","55.12","54.28","55.20","54.10","666.47K","1.36%"
"08/04/2022","54.38","55.09","55.36","54.35","848.32K","-1.73%"
"08/03/2022","55.34","55.61","55.85","54.90","1.02M","0.00%"
"08/02/2022","55.34","55.45","55.99","54.89","1.18M","-0.56%"
"08/01/2022","55.65","56.48","56.97","54.63","1.95M","-4.46%"
"07/29/2022","58.25","57.98","58.63","57.98","693.08K","0.88%"
"07/28/2022","57.74","58.08","58.29","56.51","575.64K","-0.47%"
"07/27/2022","58.01","58.12","58.29","57.26","733.39K","0.24%"
"07/26/2022","57.87","57.85","58.21","57.52","429.71K","0.09%"
"07/25/2022","57.82","57.46","58.09","57.19","437.23K","1.35%"
"07/22/2022","57.05","57.51","57.84","56.67","472.72K","-0.61%"
"07/21/2022","57.40","57.38","57.43","56.65","494.23K","-0.52%"
"07/20/2022","57.70","57.57","57.95","57.25","616.09K","-0.05%"
"07/19/2022","57.73","56.91","57.78","56.91","676.86K","2.65%"
"07/18/2022","56.24","56.93","57.25","56.12","795.71K","-0.37%"
"07/15/2022","56.45","56.47","56.82","56.01","795.98K","1.51%"
"07/14/2022","55.61","56.00","56.44","55.43","1.05M","-2.92%"
"07/13/2022","57.28","57.21","57.74","56.97","768.30K","-0.78%"
"07/12/2022","57.73","57.51","58.36","57.13","748.76K","-0.38%"
"07/11/2022","57.95","57.54","58.39","57.54","583.29K","0.03%"
"07/08/2022","57.93","58.95","59.28","57.87","992.96K","-1.19%"
"07/07/2022","58.63","59.10","59.56","58.60","970.07K","0.17%"
"07/06/2022","58.53","58.41","59.02","57.53","574.74K","0.09%"
"07/05/2022","58.48","59.28","59.33","57.75","772.03K","-2.78%"
"07/01/2022","60.15","59.19","60.19","58.84","864.27K","1.50%"
"06/30/2022","59.26","58.37","59.65","58.20","914.51K","0.37%"
"06/29/2022","59.04","59.75","59.78","58.98","495.97K","-0.82%"
"06/28/2022","59.53","60.37","60.80","59.48","624.25K","-0.43%"
"06/27/2022","59.79","59.96","60.24","59.46","752.99K","0.03%"
"06/24/2022","59.77","58.40","59.90","58.40","1.65M","3.02%"
"06/23/2022","58.02","58.34","58.88","57.49","703.90K","-0.67%"
"06/22/2022","58.41","57.57","58.94","57.57","1.12M","-0.14%"
"06/21/2022","58.49","58.71","58.95","57.89","1.31M","1.65%"
"06/17/2022","57.54","57.28","57.91","56.73","2.17M","1.12%"
"06/16/2022","56.90","57.86","58.22","56.68","1.32M","-3.41%"
"06/15/2022","58.91","59.15","59.74","58.53","1.37M","0.63%"
"06/14/2022","58.54","58.51","59.33","58.34","1.11M","0.39%"
"06/13/2022","58.31","59.26","59.87","58.00","1.09M","-3.36%"
"06/10/2022","60.34","60.25","61.01","60.25","1.22M","-2.00%"
"06/09/2022","61.57","63.37","63.46","61.54","675.34K","-2.90%"
"06/08/2022","63.41","64.22","64.29","63.40","687.10K","-2.22%"
"06/07/2022","64.85","64.20","64.89","63.79","1.20M","0.56%"
"06/06/2022","64.49","65.21","65.52","64.30","777.83K","-0.39%"
"06/03/2022","64.74","64.84","65.19","64.53","503.04K","-0.96%"
"06/02/2022","65.37","64.93","65.38","63.92","577.67K","0.96%"
"06/01/2022","64.75","65.48","65.79","63.65","741.35K","-1.13%"
