"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","98.06","98.11","98.54","97.11","515.38K","0.13%"
"02/02/2023","97.93","97.01","98.39","96.57","658.42K","0.10%"
"02/01/2023","97.83","98.63","99.16","97.49","752.44K","-1.02%"
"01/31/2023","98.84","97.72","98.84","97.21","1.20M","1.57%"
"01/30/2023","97.31","97.06","98.44","96.92","788.33K","0.85%"
"01/27/2023","96.49","97.78","97.97","95.86","705.90K","-1.32%"
"01/26/2023","97.78","98.75","98.75","97.48","583.45K","-0.38%"
"01/25/2023","98.15","96.99","98.25","96.53","971.71K","0.87%"
"01/24/2023","97.30","96.72","97.77","96.19","993.13K","0.97%"
"01/23/2023","96.37","96.45","96.70","95.77","538.26K","0.32%"
"01/20/2023","96.06","94.63","96.56","94.11","727.05K","1.58%"
"01/19/2023","94.57","95.50","96.14","94.55","706.39K","-1.02%"
"01/18/2023","95.54","97.78","98.43","95.53","1.73M","-2.35%"
"01/17/2023","97.84","98.92","99.11","97.78","743.78K","-0.52%"
"01/13/2023","98.35","97.63","98.72","97.34","931.57K","-0.36%"
"01/12/2023","98.71","99.49","100.03","98.34","1.17M","-0.92%"
"01/11/2023","99.63","99.88","100.02","99.30","877.90K","-0.35%"
"01/10/2023","99.98","100.54","100.96","99.82","600.83K","-0.35%"
"01/09/2023","100.33","104.92","105.44","99.89","1.24M","-4.40%"
"01/06/2023","104.95","104.74","106.97","104.28","613.70K","0.90%"
"01/05/2023","104.01","104.11","105.85","103.38","836.26K","-0.34%"
"01/04/2023","104.37","104.38","105.20","103.54","774.70K","-0.32%"
"01/03/2023","104.71","104.46","104.99","102.65","683.80K","-0.46%"
"12/30/2022","105.19","104.82","105.40","104.07","392.22K","0.15%"
"12/29/2022","105.03","104.39","105.56","104.11","423.38K","0.86%"
"12/28/2022","104.13","106.05","106.23","104.10","309.87K","-1.68%"
"12/27/2022","105.91","105.44","106.06","105.29","294.92K","0.70%"
"12/23/2022","105.17","104.83","105.67","104.39","364.48K","0.37%"
"12/22/2022","104.78","105.63","105.90","103.15","615.88K","-0.99%"
"12/21/2022","105.83","104.75","106.20","104.40","610.64K","1.35%"
"12/20/2022","104.42","104.51","105.11","103.82","932.15K","-0.03%"
"12/19/2022","104.45","104.91","106.58","104.04","670.11K","-0.32%"
"12/16/2022","104.79","104.82","105.35","103.20","2.62M","-0.47%"
"12/15/2022","105.28","106.31","106.56","104.33","948.61K","-1.42%"
"12/14/2022","106.80","106.20","107.85","105.58","1.46M","0.24%"
"12/13/2022","106.54","109.20","109.20","105.36","1.06M","-1.15%"
"12/12/2022","107.78","106.51","107.80","106.08","1.02M","0.87%"
"12/09/2022","106.85","108.90","109.16","106.77","500.69K","-2.04%"
"12/08/2022","109.08","109.12","109.80","108.77","549.34K","0.53%"
"12/07/2022","108.50","109.34","110.13","107.92","502.11K","-0.90%"
"12/06/2022","109.49","109.50","109.75","108.29","752.18K","-0.15%"
"12/05/2022","109.65","109.70","110.43","108.92","536.59K","-0.76%"
"12/02/2022","110.49","109.54","110.91","108.80","498.29K","0.79%"
"12/01/2022","109.62","109.73","110.43","108.91","448.90K","0.27%"
"11/30/2022","109.33","108.38","109.45","107.33","770.06K","0.76%"
"11/29/2022","108.50","107.90","108.87","107.23","854.71K","0.36%"
"11/28/2022","108.11","108.31","108.74","107.47","571.24K","-0.72%"
"11/25/2022","108.89","108.20","108.89","108.00","268.93K","1.26%"
"11/23/2022","107.53","107.22","107.87","106.70","785.30K","0.06%"
"11/22/2022","107.47","108.31","108.71","106.91","698.08K","-0.20%"
"11/21/2022","107.68","106.40","108.74","106.40","880.25K","1.30%"
"11/18/2022","106.30","106.08","107.45","105.84","2.54M","1.00%"
