"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","249.34","253.90","253.99","248.07","480.58K","-2.22%"
"02/02/2023","254.99","249.78","256.01","247.35","847.39K","1.94%"
"02/01/2023","250.14","250.19","251.98","245.39","737.40K","-0.79%"
"01/31/2023","252.12","251.06","252.87","250.04","596.72K","0.40%"
"01/30/2023","251.12","253.17","254.68","250.70","371.13K","-1.25%"
"01/27/2023","254.30","252.89","255.18","250.61","477.92K","0.04%"
"01/26/2023","254.21","254.32","255.16","252.44","347.49K","0.20%"
"01/25/2023","253.70","252.52","254.67","251.11","390.16K","-0.11%"
"01/24/2023","253.99","255.57","258.90","253.76","439.10K","-1.49%"
"01/23/2023","257.83","255.81","257.92","254.06","436.76K","0.88%"
"01/20/2023","255.59","253.19","256.09","251.47","505.42K","1.19%"
"01/19/2023","252.59","250.99","252.89","249.73","374.19K","0.49%"
"01/18/2023","251.35","255.24","255.65","250.99","562.38K","-1.34%"
"01/17/2023","254.76","251.99","255.27","250.72","662.68K","1.21%"
"01/13/2023","251.71","251.37","253.80","249.35","601.40K","-0.25%"
"01/12/2023","252.33","254.54","254.69","250.38","701.68K","-0.74%"
"01/11/2023","254.22","247.65","254.43","247.65","952.71K","3.64%"
"01/10/2023","245.29","243.66","245.74","243.55","373.61K","0.76%"
"01/09/2023","243.45","244.47","245.65","242.09","592.42K","0.18%"
"01/06/2023","243.02","241.99","243.60","239.12","481.58K","1.27%"
"01/05/2023","239.97","237.48","240.44","235.73","662.68K","0.11%"
"01/04/2023","239.70","240.40","241.31","237.78","607.35K","0.81%"
"01/03/2023","237.78","236.50","238.20","234.46","664.91K","0.98%"
"12/30/2022","235.48","234.71","235.74","233.47","666.37K","0.00%"
"12/29/2022","235.49","232.74","236.42","232.51","374.90K","1.82%"
"12/28/2022","231.27","233.81","235.45","230.48","349.24K","-0.73%"
"12/27/2022","232.96","231.42","233.40","230.38","340.19K","0.57%"
"12/23/2022","231.65","231.25","232.35","229.29","374.83K","-0.03%"
"12/22/2022","231.71","230.34","231.99","227.96","414.90K","-0.09%"
"12/21/2022","231.93","229.16","232.70","228.30","615.76K","2.27%"
"12/20/2022","226.78","228.84","231.28","225.97","769.84K","-0.97%"
"12/19/2022","229.01","226.00","229.69","222.88","725.07K","0.89%"
"12/16/2022","226.99","226.41","228.02","225.09","1.15M","-1.00%"
"12/15/2022","229.29","227.67","232.58","226.58","920.19K","-0.58%"
"12/14/2022","230.62","230.00","234.01","227.74","719.58K","-0.22%"
"12/13/2022","231.13","232.85","233.77","228.48","600.21K","1.57%"
"12/12/2022","227.55","231.32","231.32","225.62","1.01M","-2.57%"
"12/09/2022","233.56","235.40","236.18","233.04","438.03K","-0.90%"
"12/08/2022","235.68","234.35","236.08","231.26","521.01K","0.86%"
"12/07/2022","233.68","234.21","236.12","232.97","724.89K","-0.20%"
"12/06/2022","234.15","236.22","237.58","233.15","597.34K","-0.95%"
"12/05/2022","236.39","239.39","240.02","233.88","667.00K","-2.14%"
"12/02/2022","241.57","238.91","241.91","237.50","749.05K","-0.08%"
"12/01/2022","241.77","243.28","244.96","240.70","569.25K","0.44%"
"11/30/2022","240.70","239.31","240.73","226.28","1.67M","0.38%"
"11/29/2022","239.78","238.29","241.50","237.02","628.41K","0.60%"
"11/28/2022","238.36","240.45","241.18","237.81","485.44K","-1.25%"
"11/25/2022","241.37","238.98","241.38","238.63","211.06K","1.29%"
"11/23/2022","238.29","237.14","239.09","236.49","472.51K","0.65%"
"11/22/2022","236.75","237.30","237.98","235.00","641.05K","0.37%"
"11/21/2022","235.88","228.67","236.51","228.22","913.46K","2.48%"
"11/18/2022","230.18","235.24","236.98","227.29","946.10K","-1.20%"
"11/17/2022","232.97","240.77","242.43","228.20","1.79M","-4.44%"
"11/16/2022","243.80","246.23","246.56","242.31","513.01K","-0.81%"
"11/15/2022","245.78","246.45","249.29","243.91","586.51K","0.27%"
"11/14/2022","245.13","248.11","249.15","245.13","784.79K","-1.54%"
"11/11/2022","248.97","243.41","250.52","242.04","948.37K","2.43%"
"11/10/2022","243.07","237.32","243.48","236.43","956.95K","5.44%"
"11/09/2022","230.54","234.43","236.14","230.38","969.85K","-2.14%"
"11/08/2022","235.59","232.67","236.63","232.29","875.10K","0.78%"
"11/07/2022","233.77","229.98","234.50","227.64","873.91K","2.54%"
"11/04/2022","227.99","225.86","228.03","220.85","1.12M","1.97%"
"11/03/2022","223.58","221.05","225.08","219.82","1.04M","-0.45%"
"11/02/2022","224.58","222.12","230.46","220.81","1.07M","0.91%"
"11/01/2022","222.56","223.27","224.56","221.30","646.37K","0.32%"
"10/31/2022","221.86","222.90","227.02","221.86","922.90K","-1.08%"
"10/28/2022","224.29","215.17","225.02","213.63","1.15M","3.69%"
"10/27/2022","216.30","213.87","220.93","206.76","1.56M","-5.94%"
"10/26/2022","229.95","229.07","232.73","227.77","1.12M","0.76%"
"10/25/2022","228.21","215.58","229.30","215.29","1.50M","6.29%"
"10/24/2022","214.71","214.13","216.82","213.42","706.20K","1.42%"
"10/21/2022","211.71","210.56","213.47","206.65","1.94M","0.26%"
"10/20/2022","211.16","209.54","215.34","208.29","944.55K","1.12%"
"10/19/2022","208.82","211.78","211.78","206.62","768.02K","-1.96%"
"10/18/2022","212.99","216.98","217.51","211.81","512.44K","0.26%"
"10/17/2022","212.43","211.34","213.35","210.83","543.78K","1.81%"
"10/14/2022","208.66","211.36","213.39","208.66","631.55K","-0.30%"
"10/13/2022","209.29","201.44","210.60","200.32","542.47K","2.18%"
"10/12/2022","204.83","204.74","206.38","202.56","557.83K","0.26%"
"10/11/2022","204.30","205.00","206.33","201.78","820.18K","-0.69%"
"10/10/2022","205.71","206.25","207.27","204.25","478.54K","0.05%"
"10/07/2022","205.61","208.06","208.95","203.85","1.00M","-2.22%"
"10/06/2022","210.27","213.97","213.97","209.46","605.19K","-2.21%"
"10/05/2022","215.03","213.58","216.70","211.24","481.50K","-0.45%"
"10/04/2022","216.01","213.71","216.94","213.71","606.39K","1.99%"
