"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","210.95","211.93","213.12","210.36","921.49K","-0.51%"
"02/02/2023","212.04","215.13","215.90","210.53","1.99M","-1.77%"
"02/01/2023","215.85","213.50","217.30","212.81","1.17M","0.48%"
"01/31/2023","214.82","212.97","214.82","211.55","1.92M","1.37%"
"01/30/2023","211.91","212.31","214.41","210.50","1.86M","-0.09%"
"01/27/2023","212.10","205.00","214.55","204.43","3.11M","7.92%"
"01/26/2023","196.54","198.21","200.18","196.19","1.70M","-0.58%"
"01/25/2023","197.68","193.95","197.95","192.80","1.30M","1.52%"
"01/24/2023","194.72","194.45","195.94","192.15","1.46M","0.24%"
"01/23/2023","194.25","193.19","195.35","191.78","1.61M","0.90%"
"01/20/2023","192.51","192.36","193.08","189.73","1.55M","0.55%"
"01/19/2023","191.45","193.34","195.18","191.24","2.18M","-0.79%"
"01/18/2023","192.97","194.48","195.41","191.34","2.28M","-0.86%"
"01/17/2023","194.65","198.30","198.49","194.13","2.29M","-1.27%"
"01/13/2023","197.16","196.83","199.51","193.87","1.78M","-1.30%"
"01/12/2023","199.75","199.57","201.96","197.02","2.11M","-0.08%"
"01/11/2023","199.91","201.95","202.51","199.17","1.85M","-1.01%"
"01/10/2023","201.95","201.82","203.02","199.87","1.08M","0.44%"
"01/09/2023","201.07","206.23","206.23","199.51","1.59M","-2.48%"
"01/06/2023","206.18","207.83","210.93","203.42","1.03M","0.02%"
"01/05/2023","206.13","206.36","206.87","203.65","885.71K","-0.39%"
"01/04/2023","206.93","206.20","209.38","204.50","918.49K","0.00%"
"01/03/2023","206.93","207.59","209.03","205.62","878.60K","-0.61%"
"12/30/2022","208.21","206.82","208.75","205.40","716.68K","0.75%"
"12/29/2022","206.66","204.67","208.10","204.66","897.93K","1.03%"
"12/28/2022","204.56","207.15","207.99","204.23","763.02K","-0.92%"
"12/27/2022","206.45","207.00","209.29","206.40","637.86K","0.10%"
"12/23/2022","206.24","204.83","206.55","204.00","731.02K","0.70%"
"12/22/2022","204.81","206.28","207.20","202.31","1.11M","-1.05%"
"12/21/2022","206.98","206.51","207.58","204.36","1.80M","0.67%"
"12/20/2022","205.60","202.97","207.25","202.97","1.74M","0.02%"
"12/19/2022","205.55","207.20","208.64","203.83","3.03M","-3.62%"
"12/16/2022","213.27","214.22","215.78","210.51","2.18M","-1.48%"
"12/15/2022","216.48","220.30","221.03","213.61","1.03M","-0.72%"
"12/14/2022","218.04","216.88","220.10","216.01","775.60K","0.87%"
"12/13/2022","216.15","220.22","220.42","215.04","1.41M","-0.66%"
"12/12/2022","217.59","216.50","218.15","215.51","870.26K","0.96%"
"12/09/2022","215.53","216.58","219.21","215.12","786.66K","-1.05%"
"12/08/2022","217.81","219.79","220.09","217.14","1.09M","-0.05%"
"12/07/2022","217.91","218.60","221.12","216.19","1.07M","-0.39%"
"12/06/2022","218.76","226.00","226.00","218.62","697.43K","-2.65%"
"12/05/2022","224.71","227.25","227.91","224.40","596.07K","-2.30%"
"12/02/2022","230.00","224.33","230.73","223.97","999.95K","2.05%"
"12/01/2022","225.39","228.35","229.14","223.24","1.18M","-0.74%"
"11/30/2022","227.08","225.19","227.12","221.72","2.03M","0.65%"
"11/29/2022","225.61","226.09","227.68","225.15","531.63K","-0.11%"
"11/28/2022","225.86","227.91","229.10","224.74","621.17K","-1.23%"
"11/25/2022","228.68","227.98","228.96","226.85","232.33K","0.99%"
"11/23/2022","226.43","225.21","228.26","224.17","796.12K","0.49%"
"11/22/2022","225.32","226.49","227.97","224.69","660.04K","-0.01%"
"11/21/2022","225.35","223.57","226.82","223.25","865.90K","0.60%"
"11/18/2022","224.00","222.77","225.16","220.70","797.53K","1.13%"
"11/17/2022","221.50","219.00","223.23","218.43","1.24M","0.00%"
"11/16/2022","221.50","221.64","223.41","219.25","1.03M","0.12%"
"11/15/2022","221.24","219.10","225.00","215.00","2.25M","1.58%"
"11/14/2022","217.80","226.05","227.61","217.34","2.22M","-3.09%"
"11/11/2022","224.75","229.51","232.38","220.77","3.03M","-6.10%"
"11/10/2022","239.34","240.71","242.60","234.27","1.43M","0.70%"
"11/09/2022","237.67","236.13","239.15","233.51","1.59M","0.67%"
"11/08/2022","236.09","229.38","236.36","228.74","1.42M","2.39%"
"11/07/2022","230.58","229.58","231.90","228.53","1.28M","0.55%"
"11/04/2022","229.33","234.99","234.99","225.27","1.55M","-2.40%"
"11/03/2022","234.98","235.50","237.66","234.40","1.32M","-1.60%"
"11/02/2022","238.81","240.54","243.42","238.73","1.26M","-0.97%"
"11/01/2022","241.15","247.13","249.09","240.82","1.13M","-2.16%"
"10/31/2022","246.47","245.22","250.04","242.41","1.27M","-0.91%"
"10/28/2022","248.74","242.00","250.87","233.24","2.51M","-1.61%"
"10/27/2022","252.80","250.75","255.10","250.12","1.17M","1.12%"
"10/26/2022","249.99","249.98","252.70","248.00","1.21M","0.71%"
"10/25/2022","248.23","246.89","249.11","244.70","1.06M","0.05%"
"10/24/2022","248.11","249.26","250.32","246.52","1.30M","0.37%"
"10/21/2022","247.20","240.00","248.74","239.70","1.71M","3.43%"
"10/20/2022","239.00","237.72","239.36","236.24","1.44M","0.58%"
"10/19/2022","237.61","236.94","240.86","235.24","932.93K","0.44%"
"10/18/2022","236.58","227.58","237.23","226.46","1.44M","5.82%"
"10/17/2022","223.56","220.00","226.20","219.91","812.66K","2.31%"
"10/14/2022","218.51","227.11","228.17","218.06","1.40M","-3.96%"
"10/13/2022","227.53","222.80","228.32","222.15","1.14M","1.50%"
"10/12/2022","224.17","230.49","231.97","223.76","1.06M","-3.17%"
"10/11/2022","231.50","229.07","235.10","229.07","1.59M","0.46%"
"10/10/2022","230.44","226.54","231.69","225.61","1.70M","2.73%"
"10/07/2022","224.32","219.79","224.51","219.39","1.27M","1.73%"
"10/06/2022","220.50","220.00","222.49","219.92","990.66K","-0.15%"
"10/05/2022","220.84","222.14","223.52","220.50","710.48K","-1.46%"
"10/04/2022","224.12","219.69","224.38","218.71","1.07M","3.09%"
"10/03/2022","217.40","210.43","219.53","210.00","1.06M","4.60%"
"09/30/2022","207.83","207.11","210.68","206.89","1.07M","-0.73%"
"09/29/2022","209.35","214.05","215.19","207.92","703.55K","-2.43%"
"09/28/2022","214.57","210.60","216.10","207.36","970.33K","0.95%"
"09/27/2022","212.56","216.95","218.40","212.30","645.55K","-1.44%"
"09/26/2022","215.67","219.45","220.77","215.26","799.79K","-2.14%"
"09/23/2022","220.39","224.05","224.53","217.52","859.51K","-2.49%"
"09/22/2022","226.01","228.13","228.15","223.99","906.90K","-1.18%"
"09/21/2022","228.72","233.59","237.12","228.68","961.31K","0.11%"
"09/20/2022","228.47","229.65","229.65","225.17","682.13K","-0.70%"
"09/19/2022","230.07","229.15","232.20","225.77","853.34K","0.03%"
"09/16/2022","230.01","226.37","230.34","225.51","1.71M","0.69%"
"09/15/2022","228.43","233.00","233.48","226.74","943.96K","-2.36%"
"09/14/2022","233.96","227.24","234.08","226.87","1.00M","3.37%"
"09/13/2022","226.33","232.39","235.76","225.38","1.48M","-3.59%"
"09/12/2022","234.75","236.15","236.24","234.15","752.58K","-0.59%"
"09/09/2022","236.14","234.09","237.32","233.74","847.80K","1.04%"
"09/08/2022","233.72","233.09","234.51","231.01","767.47K","0.24%"
"09/07/2022","233.15","228.67","233.77","228.16","928.29K","1.47%"
"09/06/2022","229.77","227.19","231.51","226.74","1.26M","1.13%"
"09/02/2022","227.20","228.62","231.05","225.69","1.09M","-0.13%"
"09/01/2022","227.49","226.23","228.81","226.05","834.68K","-0.31%"
"08/31/2022","228.19","231.30","233.50","227.68","1.41M","-1.32%"
"08/30/2022","231.24","234.60","234.84","230.43","637.40K","-0.87%"
"08/29/2022","233.28","232.02","235.51","230.81","684.51K","-0.33%"
"08/26/2022","234.06","239.40","240.59","233.91","705.68K","-1.84%"
"08/25/2022","238.44","233.80","238.57","233.45","838.03K","2.30%"
"08/24/2022","233.08","232.75","234.68","231.90","896.87K","0.40%"
"08/23/2022","232.14","232.25","234.86","230.69","1.52M","0.41%"
"08/22/2022","231.20","237.35","238.42","230.48","1.11M","-3.03%"
"08/19/2022","238.43","237.95","239.55","237.45","607.90K","0.02%"
"08/18/2022","238.38","241.62","242.93","238.11","545.31K","-0.63%"
"08/17/2022","239.88","237.57","242.36","237.00","614.82K","0.23%"
"08/16/2022","239.33","239.88","240.93","238.06","450.62K","-0.29%"
"08/15/2022","240.03","235.97","241.61","235.46","663.89K","1.39%"
"08/12/2022","236.74","231.87","236.75","230.69","1.02M","2.36%"
"08/11/2022","231.29","234.75","235.96","230.35","1.05M","-1.44%"
"08/10/2022","234.68","234.78","235.17","232.60","725.56K","0.51%"
"08/09/2022","233.50","232.80","234.48","231.04","1.20M","0.76%"
"08/08/2022","231.75","235.32","236.40","228.82","1.05M","-1.21%"
"08/05/2022","234.58","236.51","237.91","232.92","1.36M","-1.37%"
"08/04/2022","237.85","241.97","242.99","237.68","944.22K","-1.45%"
"08/03/2022","241.36","243.29","243.60","235.00","978.20K","-1.07%"
"08/02/2022","243.97","242.67","248.53","239.96","1.05M","1.23%"
"08/01/2022","241.00","240.51","243.93","238.40","1.14M","0.43%"
"07/29/2022","239.97","229.17","241.11","228.09","1.76M","3.53%"
"07/28/2022","231.79","225.05","232.08","223.07","1.25M","3.52%"
"07/27/2022","223.90","223.68","225.38","220.87","1.05M","0.07%"
"07/26/2022","223.75","226.30","227.60","223.15","718.54K","-1.13%"
"07/25/2022","226.30","225.22","228.25","224.88","552.93K","0.52%"
"07/22/2022","225.13","225.48","229.02","224.30","720.65K","0.46%"
"07/21/2022","224.09","223.64","225.19","221.24","1.07M","-0.12%"
"07/20/2022","224.37","226.16","227.06","223.71","1.45M","-0.56%"
"07/19/2022","225.64","219.11","226.64","218.58","1.81M","2.51%"
"07/18/2022","220.12","224.94","225.83","219.93","1.29M","-1.66%"
"07/15/2022","223.84","225.23","225.85","221.68","1.11M","0.87%"
"07/14/2022","221.91","223.43","224.33","219.11","1.12M","-2.25%"
"07/13/2022","227.02","229.21","233.22","226.97","927.67K","-2.23%"
"07/12/2022","232.19","236.45","236.99","231.54","1.01M","-2.67%"
"07/11/2022","238.56","236.87","239.44","235.37","558.45K","0.16%"
"07/08/2022","238.17","239.11","240.51","237.59","471.69K","-0.17%"
"07/07/2022","238.57","239.42","244.29","237.35","622.12K","-0.43%"
"07/06/2022","239.60","232.10","240.00","232.10","1.05M","3.74%"
"07/05/2022","230.96","239.85","240.90","227.26","911.34K","-5.05%"
"07/01/2022","243.24","242.14","244.64","238.55","564.14K","0.64%"
"06/30/2022","241.70","236.78","241.90","235.46","1.05M","1.64%"
"06/29/2022","237.81","237.50","238.00","234.74","558.44K","0.84%"
"06/28/2022","235.82","237.19","240.68","235.27","780.79K","-0.42%"
"06/27/2022","236.81","233.99","238.49","233.02","607.98K","1.40%"
"06/24/2022","233.55","230.16","233.96","228.50","827.28K","2.26%"
"06/23/2022","228.39","229.96","231.90","226.12","464.11K","-0.54%"
"06/22/2022","229.64","226.32","232.31","226.03","843.27K","0.02%"
"06/21/2022","229.60","224.14","230.28","223.36","809.48K","3.62%"
"06/17/2022","221.57","222.27","223.77","217.78","1.93M","-0.23%"
"06/16/2022","222.08","224.98","226.27","221.29","863.02K","-2.04%"
"06/15/2022","226.70","227.87","229.01","222.50","858.43K","-0.10%"
"06/14/2022","226.92","232.48","233.12","225.15","941.24K","-2.71%"
"06/13/2022","233.25","237.08","237.18","232.00","1.01M","-2.99%"
"06/10/2022","240.43","239.65","241.71","237.20","897.86K","-0.07%"
"06/09/2022","240.59","244.00","245.62","240.48","766.57K","-1.58%"
"06/08/2022","244.46","245.46","246.82","243.96","935.49K","-0.78%"
"06/07/2022","246.39","239.82","247.34","238.90","630.04K","2.19%"
"06/06/2022","241.10","243.63","244.93","240.75","575.47K","-0.84%"
"06/03/2022","243.14","239.77","243.96","238.79","587.06K","1.02%"
"06/02/2022","240.69","240.64","241.73","236.17","1.05M","-0.33%"
"06/01/2022","241.49","242.27","242.34","239.54","901.53K","0.24%"
"05/31/2022","240.90","238.71","241.73","237.02","1.34M","-0.01%"
"05/27/2022","240.92","237.83","240.94","235.79","668.04K","1.74%"
"05/26/2022","236.79","238.21","239.66","236.16","584.14K","0.06%"
"05/25/2022","236.65","238.63","238.99","235.84","724.11K","-0.42%"
"05/24/2022","237.66","233.63","238.20","232.99","669.17K","1.64%"
"05/23/2022","233.83","231.50","234.40","230.00","821.93K","1.93%"
"05/20/2022","229.40","233.02","233.56","227.39","1.91M","-1.44%"
"05/19/2022","232.74","237.85","238.94","229.72","1.25M","-2.15%"
"05/18/2022","237.85","241.00","242.01","236.63","971.69K","-1.56%"
"05/17/2022","241.61","239.90","242.99","237.91","824.62K","1.11%"
"05/16/2022","238.96","236.32","240.47","235.22","850.11K","1.18%"
"05/13/2022","236.18","235.82","236.92","232.75","1.05M","0.26%"
"05/12/2022","235.56","238.48","240.03","233.48","1.43M","-1.22%"
"05/11/2022","238.48","236.31","242.54","235.72","811.91K","0.34%"
"05/10/2022","237.68","239.53","241.74","236.56","1.21M","-0.66%"
"05/09/2022","239.25","242.61","244.25","238.61","1.43M","-1.88%"
"05/06/2022","243.83","240.39","244.37","240.02","1.27M","0.97%"
"05/05/2022","241.48","242.31","242.97","238.20","1.60M","-0.13%"
"05/04/2022","241.80","239.30","243.68","238.71","1.25M","1.80%"
"05/03/2022","237.53","236.76","239.96","236.17","1.00M","0.99%"
"05/02/2022","235.21","230.43","238.87","230.39","1.31M","1.27%"
"04/29/2022","232.26","250.90","253.86","231.41","1.61M","-2.86%"
"04/28/2022","239.09","240.93","240.93","235.74","1.25M","-0.82%"
"04/27/2022","241.06","240.37","244.40","238.67","843.20K","0.30%"
"04/26/2022","240.35","244.30","246.23","240.31","1.01M","-1.06%"
