"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","323.60","325.17","328.89","323.44","2.66M","-2.54%"
"02/02/2023","332.05","331.73","334.51","327.11","2.52M","0.29%"
"02/01/2023","331.08","330.73","333.75","326.00","1.86M","0.04%"
"01/31/2023","330.94","326.76","331.26","326.45","2.32M","1.82%"
"01/30/2023","325.03","324.40","328.54","324.18","2.16M","0.10%"
"01/27/2023","324.70","324.26","327.60","324.09","1.82M","-1.46%"
"01/26/2023","329.51","326.40","329.53","324.72","1.58M","0.97%"
"01/25/2023","326.36","324.73","327.26","323.99","1.89M","-0.69%"
"01/24/2023","328.63","325.56","328.85","323.74","1.40M","0.66%"
"01/23/2023","326.49","325.85","328.57","324.27","1.85M","-0.65%"
"01/20/2023","328.62","324.52","328.83","322.81","1.79M","1.26%"
"01/19/2023","324.54","324.00","325.51","321.46","1.86M","0.06%"
"01/18/2023","324.34","333.50","333.95","324.18","2.94M","-1.72%"
"01/17/2023","330.00","335.49","336.31","329.82","1.71M","-1.23%"
"01/13/2023","334.11","330.00","334.72","330.00","1.88M","1.58%"
"01/12/2023","328.91","328.21","329.62","325.83","1.28M","-0.22%"
"01/11/2023","329.62","326.08","329.71","324.95","1.91M","2.36%"
"01/10/2023","322.03","322.39","323.24","319.37","1.49M","0.03%"
"01/09/2023","321.92","322.27","325.07","320.12","2.47M","1.82%"
"01/06/2023","316.16","307.82","317.14","307.57","2.54M","3.49%"
"01/05/2023","305.49","305.27","307.96","302.17","3.13M","-3.56%"
"01/04/2023","316.77","318.72","320.24","315.07","2.09M","-0.50%"
"01/03/2023","318.35","317.67","322.00","314.45","2.37M","-2.40%"
"12/30/2022","326.18","326.16","326.95","323.21","1.24M","-1.08%"
"12/29/2022","329.75","329.38","330.90","328.39","870.66K","1.18%"
"12/28/2022","325.91","328.84","330.46","325.58","903.57K","-0.92%"
"12/27/2022","328.95","330.66","332.09","328.29","680.20K","-0.12%"
"12/23/2022","329.33","326.18","329.61","325.58","636.61K","0.51%"
"12/22/2022","327.66","326.33","327.84","323.05","1.20M","-0.31%"
"12/21/2022","328.67","326.06","330.32","326.06","1.72M","-0.08%"
"12/20/2022","328.93","328.03","330.92","326.34","1.31M","0.57%"
"12/19/2022","327.05","329.00","330.50","326.20","1.25M","-0.78%"
"12/16/2022","329.63","327.56","329.94","324.02","3.86M","-0.35%"
"12/15/2022","330.80","336.40","336.80","328.60","1.88M","-3.28%"
"12/14/2022","342.01","343.05","345.45","340.00","1.80M","-0.13%"
"12/13/2022","342.45","346.05","347.60","340.46","1.97M","1.90%"
"12/12/2022","336.05","336.02","336.81","333.61","1.24M","1.16%"
"12/09/2022","332.21","334.72","335.84","332.18","1.26M","-0.72%"
"12/08/2022","334.63","331.29","335.19","330.91","965.29K","0.97%"
"12/07/2022","331.40","332.07","333.93","329.58","1.85M","-0.03%"
"12/06/2022","331.50","334.92","335.65","329.49","1.24M","-0.83%"
"12/05/2022","334.26","335.17","336.30","332.58","2.13M","-0.92%"
"12/02/2022","337.35","334.34","338.97","333.62","1.20M","0.03%"
"12/01/2022","337.26","337.29","338.13","332.91","1.42M","0.23%"
"11/30/2022","336.48","332.12","337.08","328.40","3.04M","1.36%"
"11/29/2022","331.97","334.76","335.50","331.01","1.89M","-1.70%"
"11/28/2022","337.70","344.71","344.93","336.80","2.88M","-1.95%"
"11/25/2022","344.42","343.26","344.58","342.50","458.54K","0.46%"
"11/23/2022","342.86","340.74","343.50","340.35","954.47K","0.91%"
"11/22/2022","339.76","336.15","340.27","334.25","1.01M","1.61%"
"11/21/2022","334.37","332.64","335.92","332.64","1.07M","-0.16%"
"11/18/2022","334.91","334.16","335.70","330.99","1.26M","1.38%"
"11/17/2022","330.34","329.71","331.35","328.00","1.52M","-1.02%"
