"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","57.48","58.26","58.33","57.42","1.60M","-2.13%"
"02/02/2023","58.73","58.41","59.33","58.10","1.74M","0.67%"
"02/01/2023","58.34","58.69","58.73","56.72","2.44M","-1.05%"
"01/31/2023","58.96","57.96","58.98","57.90","1.11M","1.87%"
"01/30/2023","57.88","57.36","58.29","57.21","1.03M","0.45%"
"01/27/2023","57.62","57.41","57.80","57.32","862.09K","0.05%"
"01/26/2023","57.59","57.78","58.08","57.32","677.01K","-0.02%"
"01/25/2023","57.60","56.93","57.63","56.71","639.88K","0.33%"
"01/24/2023","57.41","57.13","57.74","56.93","922.00K","0.30%"
"01/23/2023","57.24","56.14","57.53","55.95","845.53K","2.29%"
"01/20/2023","55.96","55.01","56.00","54.68","1.10M","1.73%"
"01/19/2023","55.01","55.74","55.85","54.94","1.16M","-2.01%"
"01/18/2023","56.14","57.90","58.16","56.09","1.28M","-3.02%"
"01/17/2023","57.89","58.38","58.85","57.33","2.04M","-1.08%"
"01/13/2023","58.52","57.63","58.73","57.33","2.42M","0.90%"
"01/12/2023","58.00","57.66","58.59","57.20","3.74M","0.89%"
"01/11/2023","57.49","56.60","57.58","56.54","2.48M","2.35%"
"01/10/2023","56.17","55.57","56.22","55.50","1.06M","1.08%"
"01/09/2023","55.57","55.38","55.91","55.27","1.21M","0.43%"
"01/06/2023","55.33","54.43","55.59","54.36","902.48K","2.58%"
"01/05/2023","53.94","53.99","54.29","53.58","976.05K","-1.19%"
"01/04/2023","54.59","54.37","54.87","54.15","1.17M","1.36%"
"01/03/2023","53.86","53.58","54.35","53.22","1.38M","0.84%"
"12/30/2022","53.41","53.66","53.78","53.05","740.28K","-1.06%"
"12/29/2022","53.98","53.47","54.35","53.34","472.71K","1.73%"
"12/28/2022","53.06","54.14","54.35","53.05","472.64K","-1.74%"
"12/27/2022","54.00","53.80","54.29","53.61","510.91K","0.67%"
"12/23/2022","53.64","53.00","53.76","52.84","687.20K","0.98%"
"12/22/2022","53.12","53.88","54.24","52.22","1.25M","-2.28%"
"12/21/2022","54.36","53.63","54.42","53.22","1.42M","2.60%"
"12/20/2022","52.98","52.89","53.14","52.33","1.79M","0.47%"
"12/19/2022","52.73","52.87","53.03","52.50","1.63M","0.19%"
"12/16/2022","52.63","52.63","53.11","52.37","4.87M","-1.20%"
"12/15/2022","53.27","53.31","53.49","52.81","1.47M","-0.99%"
"12/14/2022","53.80","54.55","55.04","53.34","1.69M","-1.18%"
"12/13/2022","54.44","55.64","55.74","53.99","1.68M","0.80%"
"12/12/2022","54.01","53.26","54.23","52.98","864.96K","1.47%"
"12/09/2022","53.23","53.31","53.68","53.11","1.19M","-0.43%"
"12/08/2022","53.46","52.70","53.62","52.61","1.02M","1.54%"
"12/07/2022","52.65","53.48","53.76","52.51","1.54M","-1.99%"
"12/06/2022","53.72","53.96","54.20","53.17","1.51M","-0.39%"
"12/05/2022","53.93","54.54","54.54","53.61","1.07M","-2.05%"
"12/02/2022","55.06","54.48","55.25","54.28","1.07M","-0.04%"
"12/01/2022","55.08","54.71","55.68","54.61","1.23M","1.38%"
"11/30/2022","54.33","52.70","54.38","52.17","2.83M","2.65%"
"11/29/2022","52.93","53.67","53.86","52.88","798.83K","-1.58%"
"11/28/2022","53.78","54.58","54.61","53.72","957.87K","-1.97%"
"11/25/2022","54.86","54.95","55.01","54.56","387.77K","0.04%"
"11/23/2022","54.84","54.98","55.29","54.77","704.42K","-0.29%"
"11/22/2022","55.00","54.64","55.04","54.37","910.21K","1.23%"
"11/21/2022","54.33","53.92","54.60","53.84","836.53K","0.57%"
"11/18/2022","54.02","53.97","54.20","53.45","990.33K","1.54%"
"11/17/2022","53.20","53.74","53.95","52.27","1.05M","-2.04%"
"11/16/2022","54.31","54.05","54.68","53.70","968.62K","-0.62%"
"11/15/2022","54.65","54.31","54.89","53.77","1.45M","1.90%"
"11/14/2022","53.63","54.21","54.63","53.58","1.51M","-1.22%"
"11/11/2022","54.29","54.61","54.77","53.93","1.24M","0.31%"
"11/10/2022","54.12","53.80","54.29","53.49","1.84M","3.58%"
"11/09/2022","52.25","52.48","53.26","52.17","1.77M","-0.80%"
"11/08/2022","52.67","52.60","53.01","51.88","1.57M","0.13%"
"11/07/2022","52.60","51.83","52.68","51.45","1.36M","1.70%"
