"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","339.08","332.95","342.33","329.37","5.67M","2.53%"
"02/02/2023","330.70","334.00","335.30","317.00","13.00M","-3.46%"
"02/01/2023","342.57","342.79","345.94","337.52","2.96M","-0.46%"
"01/31/2023","344.15","340.68","344.40","339.38","2.41M","1.07%"
"01/30/2023","340.50","344.33","347.80","339.46","2.58M","-0.47%"
"01/27/2023","342.10","346.11","348.09","341.53","2.36M","-1.70%"
"01/26/2023","348.01","351.00","352.18","346.73","2.57M","-0.49%"
"01/25/2023","349.73","345.55","349.78","345.10","2.48M","0.96%"
"01/24/2023","346.39","384.44","384.44","302.14","2.24M","1.22%"
"01/23/2023","342.21","346.61","346.61","340.22","3.38M","-1.12%"
"01/20/2023","346.07","347.00","349.07","341.58","5.39M","-1.43%"
"01/19/2023","351.08","352.37","355.80","350.42","2.61M","-0.26%"
"01/18/2023","352.01","356.32","359.00","351.58","2.30M","-1.60%"
"01/17/2023","357.74","361.62","362.00","356.55","2.40M","-1.07%"
"01/13/2023","361.62","359.57","363.31","358.64","1.69M","0.70%"
"01/12/2023","359.12","359.25","360.50","353.08","2.02M","-0.36%"
"01/11/2023","360.41","354.34","361.76","351.00","2.60M","2.17%"
"01/10/2023","352.75","349.00","353.21","343.34","2.46M","0.83%"
"01/09/2023","349.83","364.00","364.97","348.79","2.98M","-3.61%"
"01/06/2023","362.94","360.00","366.70","357.58","2.13M","1.12%"
"01/05/2023","358.92","360.95","361.49","352.96","2.01M","-1.15%"
"01/04/2023","363.10","364.64","367.11","360.34","1.89M","-0.52%"
"01/03/2023","364.99","366.26","369.00","361.46","2.01M","-0.23%"
"12/30/2022","365.84","367.49","367.95","362.11","1.39M","-0.32%"
"12/29/2022","367.02","368.10","370.95","366.46","1.08M","0.49%"
"12/28/2022","365.22","366.17","368.01","363.94","987.13K","0.09%"
"12/27/2022","364.88","369.50","369.73","364.33","1.33M","-0.82%"
"12/23/2022","367.90","364.82","367.90","362.47","1.03M","0.71%"
"12/22/2022","365.31","367.32","369.76","362.29","1.96M","-0.73%"
"12/21/2022","368.01","362.63","370.68","361.21","2.05M","2.33%"
"12/20/2022","359.64","358.50","361.45","356.34","2.25M","0.52%"
"12/19/2022","357.78","357.81","359.70","354.61","2.66M","-0.58%"
"12/16/2022","359.87","357.93","360.48","355.17","6.61M","-0.04%"
"12/15/2022","360.01","360.66","363.96","356.69","3.44M","-0.96%"
"12/14/2022","363.50","359.01","369.42","357.05","5.10M","1.35%"
"12/13/2022","358.66","361.63","372.74","358.32","5.02M","-2.34%"
"12/12/2022","367.25","362.93","367.83","362.50","2.58M","1.73%"
"12/09/2022","360.99","373.00","374.00","360.81","2.79M","-2.90%"
"12/08/2022","371.79","373.26","373.26","366.50","2.09M","-0.05%"
"12/07/2022","371.97","369.32","375.23","368.76","1.62M","0.93%"
"12/06/2022","368.54","367.00","370.64","365.52","1.97M","-0.20%"
"12/05/2022","369.29","373.76","375.25","368.28","2.27M","-1.46%"
"12/02/2022","374.76","366.08","375.04","365.00","1.93M","1.20%"
"12/01/2022","370.33","374.79","375.18","368.49","2.52M","-0.20%"
"11/30/2022","371.08","365.07","372.35","361.80","5.56M","1.96%"
"11/29/2022","363.95","364.62","366.11","360.64","2.21M","-0.50%"
"11/28/2022","365.77","363.45","369.51","361.00","2.48M","0.14%"
"11/25/2022","365.25","362.90","365.83","361.55","1.04M","0.98%"
"11/23/2022","361.72","361.34","362.47","358.63","1.99M","0.23%"
"11/22/2022","360.88","362.00","362.80","357.30","2.46M","-0.08%"
"11/21/2022","361.17","360.39","363.76","355.37","2.00M","-0.14%"
"11/18/2022","361.67","362.55","364.67","359.35","2.42M","0.25%"
"11/17/2022","360.77","352.91","362.30","352.71","2.93M","2.22%"
"11/16/2022","352.93","350.00","356.88","349.96","3.56M","0.85%"
"11/15/2022","349.95","356.94","356.99","346.36","4.18M","-1.72%"
"11/14/2022","356.06","359.07","360.80","340.12","4.72M","1.07%"
"11/11/2022","352.30","366.16","367.83","344.52","6.65M","-4.45%"
"11/10/2022","368.72","367.24","369.00","363.00","2.99M","1.50%"
"11/09/2022","363.27","368.44","369.80","361.91","2.32M","-0.92%"
"11/08/2022","366.66","365.15","368.75","361.93","3.28M","0.44%"
"11/07/2022","365.07","358.00","367.00","357.50","2.56M","2.14%"
"11/04/2022","357.41","365.20","365.88","353.33","3.00M","-1.18%"
"11/03/2022","361.68","354.06","362.83","351.51","2.60M","1.89%"
"11/02/2022","354.96","354.16","363.15","350.21","3.78M","0.68%"
"11/01/2022","352.58","345.83","358.99","340.75","7.01M","-2.63%"
"10/31/2022","362.09","358.65","363.92","350.46","4.26M","0.61%"
"10/28/2022","359.90","360.32","362.00","357.04","2.94M","1.00%"
"10/27/2022","356.33","358.99","361.12","355.32","2.35M","-0.43%"
"10/26/2022","357.86","352.50","361.48","350.44","2.37M","1.86%"
"10/25/2022","351.31","346.52","352.33","343.05","2.51M","0.98%"
"10/24/2022","347.90","344.22","351.77","344.22","3.38M","2.09%"
"10/21/2022","340.77","329.07","342.43","326.77","3.27M","3.56%"
"10/20/2022","329.07","331.15","331.43","325.90","1.76M","-0.07%"
"10/19/2022","329.29","335.25","335.63","325.97","2.42M","-1.71%"
"10/18/2022","335.03","334.14","335.33","330.37","2.09M","0.68%"
"10/17/2022","332.76","332.79","337.58","331.75","2.23M","0.41%"
"10/14/2022","331.39","331.56","335.29","328.23","2.23M","-0.21%"
"10/13/2022","332.10","319.12","333.37","319.10","2.66M","2.32%"
"10/12/2022","324.57","327.38","333.65","323.88","1.76M","-0.92%"
"10/11/2022","327.60","320.00","329.03","319.43","2.60M","1.15%"
"10/10/2022","323.89","326.23","327.01","320.24","1.96M","-0.85%"
"10/07/2022","326.66","332.97","333.07","324.90","2.60M","-1.89%"
"10/06/2022","332.95","327.94","339.26","326.87","4.30M","0.35%"
"10/05/2022","331.78","328.30","333.85","327.52","2.19M","0.57%"
"10/04/2022","329.89","322.18","330.10","321.78","2.62M","2.59%"
"10/03/2022","321.55","325.99","329.35","317.05","3.34M","-0.56%"
"09/30/2022","323.35","327.15","329.51","322.42","4.47M","-2.02%"
"09/29/2022","330.01","333.97","334.68","327.27","3.74M","-1.31%"
"09/28/2022","334.38","333.53","341.70","328.10","9.44M","7.48%"
"09/27/2022","311.10","309.15","313.95","308.32","3.02M","1.17%"
"09/26/2022","307.50","308.80","311.73","304.88","3.76M","-1.27%"
"09/23/2022","311.46","311.87","315.18","305.12","4.57M","0.19%"
"09/22/2022","310.87","300.80","312.61","299.96","5.92M","4.85%"
"09/21/2022","296.48","301.00","304.53","296.32","2.24M","-1.74%"
"09/20/2022","301.73","303.82","303.82","298.94","1.82M","-1.10%"
"09/19/2022","305.09","306.48","306.52","297.65","2.52M","-1.23%"
"09/16/2022","308.89","307.97","311.96","306.74","4.38M","-0.19%"
"09/15/2022","309.47","309.71","312.28","305.75","2.35M","-0.05%"
"09/14/2022","309.61","307.21","311.81","305.90","2.00M","1.02%"
"09/13/2022","306.48","310.01","312.31","304.99","2.27M","-2.77%"
"09/12/2022","315.22","318.89","320.45","314.88","2.08M","-0.78%"
"09/09/2022","317.70","316.45","320.17","315.22","2.18M","0.70%"
"09/08/2022","315.50","311.95","315.73","307.59","2.21M","1.25%"
"09/07/2022","311.60","308.77","312.40","304.88","2.23M","1.56%"
"09/06/2022","306.82","302.95","312.83","302.23","2.32M","1.82%"
