"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","35.27","35.51","36.08","34.99","3.38M","-2.30%"
"02/02/2023","36.10","35.15","36.50","34.70","4.79M","4.73%"
"02/01/2023","34.47","35.04","35.33","33.57","3.69M","-2.71%"
"01/31/2023","35.43","33.58","35.43","33.23","7.25M","5.89%"
"01/30/2023","33.46","33.70","34.40","33.44","2.64M","-2.45%"
"01/27/2023","34.30","33.10","34.38","32.93","3.09M","3.63%"
"01/26/2023","33.10","33.09","33.39","32.38","1.61M","0.91%"
"01/25/2023","32.80","32.15","32.89","31.95","2.25M","0.83%"
"01/24/2023","32.53","31.91","32.60","31.53","2.00M","1.82%"
"01/23/2023","31.95","31.70","32.20","31.64","2.12M","0.63%"
"01/20/2023","31.75","30.13","32.02","29.87","3.12M","6.08%"
"01/19/2023","29.93","29.83","30.28","29.51","2.07M","-1.22%"
"01/18/2023","30.30","31.24","31.50","30.12","2.35M","-3.44%"
"01/17/2023","31.38","31.51","31.70","31.07","1.92M","-0.48%"
"01/13/2023","31.53","31.00","31.58","30.60","2.26M","0.00%"
"01/12/2023","31.53","32.48","32.56","31.49","3.56M","-1.65%"
"01/11/2023","32.06","31.53","32.64","31.37","3.21M","1.91%"
"01/10/2023","31.46","30.65","31.48","30.16","2.54M","2.64%"
"01/09/2023","30.65","31.38","31.80","30.59","4.17M","-3.95%"
"01/06/2023","31.91","31.27","32.04","30.54","3.13M","2.41%"
"01/05/2023","31.16","31.28","31.78","30.92","2.90M","-0.99%"
"01/04/2023","31.47","31.26","31.89","30.85","3.32M","2.11%"
"01/03/2023","30.82","30.87","31.58","30.50","2.33M","0.33%"
"12/30/2022","30.72","30.25","30.93","30.17","2.39M","0.23%"
"12/29/2022","30.65","29.70","30.80","29.60","1.92M","3.79%"
"12/28/2022","29.53","29.90","30.05","29.32","2.07M","-0.87%"
"12/27/2022","29.79","30.18","30.19","29.47","1.49M","-1.13%"
"12/23/2022","30.13","29.69","30.17","29.38","1.60M","1.86%"
"12/22/2022","29.58","29.94","30.07","28.61","2.84M","-2.34%"
"12/21/2022","30.29","29.63","30.47","29.48","2.10M","3.59%"
"12/20/2022","29.24","29.20","29.94","29.08","4.38M","0.00%"
"12/19/2022","29.24","29.44","29.71","28.94","4.26M","0.24%"
"12/16/2022","29.17","29.51","30.06","29.02","9.45M","-5.35%"
"12/15/2022","30.82","31.79","31.86","30.60","3.74M","-4.82%"
"12/14/2022","32.38","32.43","33.49","32.18","2.91M","-0.31%"
"12/13/2022","32.48","33.49","33.79","32.16","3.53M","0.62%"
"12/12/2022","32.28","31.42","32.28","30.82","2.92M","1.96%"
"12/09/2022","31.66","31.21","32.47","31.15","5.19M","0.67%"
"12/08/2022","31.45","34.87","35.10","30.80","8.94M","-10.86%"
"12/07/2022","35.28","37.16","37.60","35.14","3.72M","-5.54%"
"12/06/2022","37.35","37.68","37.89","37.02","1.89M","-1.03%"
"12/05/2022","37.74","38.55","38.57","37.47","1.41M","-2.78%"
"12/02/2022","38.82","38.41","38.93","38.41","1.61M","0.23%"
"12/01/2022","38.73","39.27","39.40","38.57","2.05M","-0.54%"
"11/30/2022","38.94","37.88","38.96","36.82","3.00M","2.23%"
"11/29/2022","38.09","37.78","38.31","37.46","2.04M","1.41%"
"11/28/2022","37.56","38.20","38.69","37.46","1.65M","-3.32%"
"11/25/2022","38.85","38.95","39.22","38.69","573.48K","0.28%"
"11/23/2022","38.74","38.62","39.18","38.41","1.84M","-0.39%"
"11/22/2022","38.89","38.30","39.15","38.19","2.49M","1.91%"
"11/21/2022","38.16","37.66","38.27","37.12","2.39M","1.14%"
"11/18/2022","37.73","36.81","38.16","36.42","3.27M","4.37%"
"11/17/2022","36.15","34.57","36.17","34.26","3.08M","2.15%"
"11/16/2022","35.39","34.81","35.51","34.40","3.82M","3.60%"
"11/15/2022","34.16","33.96","34.79","33.69","2.14M","2.80%"
"11/14/2022","33.23","34.99","35.00","33.21","2.58M","-5.70%"
"11/11/2022","35.24","34.91","35.86","34.71","2.04M","1.76%"
"11/10/2022","34.63","34.25","35.31","33.74","3.29M","5.55%"
"11/09/2022","32.81","34.02","34.27","32.76","3.32M","-4.95%"
"11/08/2022","34.52","33.25","34.62","32.84","5.14M","3.79%"
"11/07/2022","33.26","34.28","34.58","32.59","4.61M","-3.37%"
"11/04/2022","34.42","35.39","35.59","33.83","5.81M","-1.18%"
"11/03/2022","34.83","39.48","39.87","34.77","9.81M","-33.15%"
"11/02/2022","52.10","53.54","54.20","51.93","1.90M","-3.45%"
"11/01/2022","53.96","54.46","54.59","53.76","1.40M","0.17%"
"10/31/2022","53.87","53.58","54.08","53.17","1.62M","-0.30%"
"10/28/2022","54.03","52.59","54.09","52.36","884.56K","3.11%"
"10/27/2022","52.40","52.55","53.22","52.23","928.62K","1.04%"
"10/26/2022","51.86","52.80","53.37","51.81","1.24M","-1.67%"
"10/25/2022","52.74","50.93","53.02","50.84","1.61M","2.49%"
"10/24/2022","51.46","50.55","51.71","50.36","1.08M","2.14%"
"10/21/2022","50.38","47.91","50.47","47.56","1.47M","5.44%"
"10/20/2022","47.78","48.31","49.43","47.47","1.13M","-1.42%"
"10/19/2022","48.47","48.96","49.59","48.21","1.06M","-2.18%"
"10/18/2022","49.55","50.21","50.60","48.89","2.83M","1.66%"
"10/17/2022","48.74","49.23","49.61","48.21","1.29M","2.35%"
"10/14/2022","47.62","48.78","49.51","47.40","1.41M","-1.24%"
"10/13/2022","48.22","44.72","48.76","44.13","1.86M","5.70%"
