"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","215.97","217.14","218.39","214.82","3.05M","-2.52%"
"02/02/2023","221.56","216.05","223.31","215.98","4.12M","3.75%"
"02/01/2023","213.56","207.46","215.14","204.39","3.36M","2.55%"
"01/31/2023","208.25","203.25","208.33","202.50","3.42M","3.14%"
"01/30/2023","201.91","201.97","204.56","201.15","2.78M","-0.29%"
"01/27/2023","202.49","201.45","203.42","200.43","2.91M","0.34%"
"01/26/2023","201.81","204.35","208.77","201.64","3.29M","-2.09%"
"01/25/2023","206.11","204.52","206.29","201.84","2.25M","-0.15%"
"01/24/2023","206.41","202.61","206.58","202.61","2.70M","0.63%"
"01/23/2023","205.11","203.52","206.91","201.79","3.41M","0.28%"
"01/20/2023","204.53","201.36","204.99","198.66","3.52M","1.19%"
"01/19/2023","202.13","207.51","207.90","201.19","3.50M","-3.06%"
"01/18/2023","208.50","210.72","214.18","208.11","3.35M","-0.49%"
"01/17/2023","209.52","212.17","214.98","209.25","2.93M","-1.24%"
"01/13/2023","212.16","207.81","213.56","207.81","3.88M","0.90%"
"01/12/2023","210.26","210.26","211.57","206.59","2.68M","0.80%"
"01/11/2023","208.59","202.16","208.72","202.15","2.77M","3.57%"
"01/10/2023","201.40","199.92","201.67","198.54","2.14M","0.98%"
"01/09/2023","199.44","202.42","204.13","199.34","2.73M","-0.76%"
"01/06/2023","200.97","200.73","201.79","194.45","3.12M","0.10%"
"01/05/2023","200.77","199.30","201.44","197.48","1.94M","-0.31%"
"01/04/2023","201.39","201.43","202.35","197.51","2.51M","1.18%"
"01/03/2023","199.04","201.49","202.30","197.14","2.59M","-0.10%"
"12/30/2022","199.24","200.03","200.50","197.21","2.15M","-1.49%"
"12/29/2022","202.26","201.68","203.12","201.30","1.27M","1.10%"
"12/28/2022","200.06","201.96","203.50","199.63","1.41M","-0.82%"
"12/27/2022","201.71","201.69","203.99","201.31","2.07M","-0.08%"
"12/23/2022","201.88","198.42","202.32","197.02","1.47M","1.37%"
"12/22/2022","199.15","198.52","200.23","195.27","2.41M","-1.62%"
"12/21/2022","202.43","202.93","203.62","200.27","2.34M","0.78%"
"12/20/2022","200.86","201.19","202.13","197.69","2.36M","-1.14%"
"12/19/2022","203.17","205.35","205.94","201.99","2.43M","-1.44%"
"12/16/2022","206.14","206.36","207.36","203.32","9.54M","-0.90%"
"12/15/2022","208.02","208.61","209.72","205.49","3.35M","-1.93%"
"12/14/2022","212.11","210.95","216.63","210.06","3.73M","0.42%"
"12/13/2022","211.22","216.71","217.83","208.92","4.16M","2.99%"
"12/12/2022","205.08","202.29","205.10","201.04","2.70M","1.64%"
"12/09/2022","201.77","201.00","204.61","200.20","3.23M","-0.88%"
"12/08/2022","203.56","205.00","206.41","202.46","3.14M","-1.61%"
"12/07/2022","206.89","202.76","209.99","202.26","3.95M","2.47%"
"12/06/2022","201.91","205.21","205.71","199.00","3.59M","-2.07%"
"12/05/2022","206.18","210.91","211.60","205.40","3.29M","-4.03%"
"12/02/2022","214.84","212.40","216.60","211.50","3.24M","-0.30%"
