"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","5.26","5.45","5.50","5.19","43.04M","-6.24%"
"02/02/2023","5.61","5.44","5.78","5.39","31.23M","4.66%"
"02/01/2023","5.36","5.28","5.45","5.22","24.19M","2.10%"
"01/31/2023","5.25","5.18","5.26","5.12","26.21M","2.14%"
"01/30/2023","5.14","5.18","5.29","5.13","23.55M","-2.84%"
"01/27/2023","5.29","5.14","5.33","5.09","17.45M","2.92%"
"01/26/2023","5.14","5.33","5.34","5.07","23.12M","-3.02%"
"01/25/2023","5.30","5.23","5.31","5.17","17.23M","0.19%"
"01/24/2023","5.29","6.19","6.19","5.05","24.61M","2.72%"
"01/23/2023","5.15","5.20","5.29","5.12","18.93M","-1.34%"
"01/20/2023","5.22","5.03","5.22","4.96","23.45M","3.78%"
"01/19/2023","5.03","5.29","5.34","5.01","34.46M","-5.98%"
"01/18/2023","5.35","5.59","5.62","5.34","18.58M","-4.29%"
"01/17/2023","5.59","5.87","5.90","5.57","18.71M","-5.25%"
"01/13/2023","5.90","5.95","5.97","5.79","18.40M","-2.32%"
"01/12/2023","6.04","5.86","6.09","5.78","23.30M","3.78%"
"01/11/2023","5.82","5.63","5.96","5.61","21.45M","3.93%"
"01/10/2023","5.60","5.40","5.64","5.32","19.82M","3.90%"
"01/09/2023","5.39","5.47","5.49","5.34","14.25M","-0.74%"
"01/06/2023","5.43","5.47","5.52","5.37","21.11M","-0.55%"
"01/05/2023","5.46","5.46","5.47","5.28","16.65M","0.37%"
"01/04/2023","5.44","5.45","5.55","5.37","15.72M","1.30%"
"01/03/2023","5.37","5.30","5.41","5.22","15.32M","2.87%"
"12/30/2022","5.22","5.24","5.30","5.11","18.55M","-1.51%"
"12/29/2022","5.30","5.12","5.37","5.11","18.78M","4.13%"
"12/28/2022","5.09","5.26","5.32","5.07","19.50M","-3.60%"
"12/27/2022","5.28","5.18","5.29","4.99","18.15M","0.76%"
"12/23/2022","5.24","5.16","5.31","5.12","14.82M","0.96%"
"12/22/2022","5.19","5.27","5.27","5.03","20.83M","-2.08%"
"12/21/2022","5.30","5.31","5.37","5.22","19.70M","0.38%"
"12/20/2022","5.28","5.24","5.31","5.18","15.53M","-0.19%"
"12/19/2022","5.29","5.37","5.42","5.23","16.49M","-2.22%"
"12/16/2022","5.41","5.38","5.47","5.31","83.98M","-0.37%"
"12/15/2022","5.43","5.65","5.74","5.43","21.24M","-5.89%"
"12/14/2022","5.77","5.65","5.87","5.63","20.71M","1.58%"
"12/13/2022","5.68","5.62","5.84","5.59","26.07M","2.16%"
"12/12/2022","5.56","5.51","5.61","5.43","20.22M","1.28%"
"12/09/2022","5.49","5.36","5.63","5.33","14.70M","1.67%"
"12/08/2022","5.40","5.45","5.49","5.34","17.77M","-0.74%"
"12/07/2022","5.44","5.39","5.47","5.27","22.00M","0.74%"
"12/06/2022","5.40","5.15","5.41","5.11","25.54M","3.85%"
"12/05/2022","5.20","5.48","5.52","5.15","24.72M","-5.63%"
"12/02/2022","5.51","5.55","5.64","5.45","21.40M","-1.43%"
"12/01/2022","5.59","5.51","5.72","5.49","27.94M","2.19%"
"11/30/2022","5.47","5.46","5.54","5.31","83.82M","0.00%"
"11/29/2022","5.47","5.49","5.55","5.29","32.33M","-0.91%"
"11/28/2022","5.52","5.79","5.82","5.46","27.72M","-5.48%"
"11/25/2022","5.84","5.88","5.94","5.80","8.11M","-0.68%"
"11/23/2022","5.88","5.77","5.94","5.69","14.14M","0.86%"
"11/22/2022","5.83","5.73","5.88","5.71","15.62M","1.22%"
"11/21/2022","5.76","5.86","5.91","5.68","15.84M","-1.87%"
"11/18/2022","5.87","5.96","6.03","5.81","15.63M","-0.17%"
"11/17/2022","5.88","5.77","5.97","5.71","17.58M","1.03%"
"11/16/2022","5.82","6.03","6.10","5.78","23.05M","-4.28%"
"11/15/2022","6.08","6.25","6.38","6.02","34.48M","-3.65%"
"11/14/2022","6.31","6.34","6.44","6.24","23.00M","-0.47%"
"11/11/2022","6.34","6.45","6.50","6.23","28.77M","-1.71%"
"11/10/2022","6.45","6.54","6.76","6.41","23.30M","1.90%"
"11/09/2022","6.33","6.27","6.51","6.24","24.68M","-0.16%"
"11/08/2022","6.34","6.10","6.51","6.07","35.01M","4.97%"
"11/07/2022","6.04","5.90","6.14","5.87","32.95M","2.03%"
"11/04/2022","5.92","5.68","6.05","5.68","42.82M","2.07%"
"11/03/2022","5.80","5.92","6.47","5.78","62.82M","-17.73%"
"11/02/2022","7.05","7.37","7.39","7.01","30.99M","-5.11%"
"11/01/2022","7.43","7.50","7.60","7.36","15.32M","0.95%"
"10/31/2022","7.36","7.34","7.37","7.11","16.45M","0.27%"
"10/28/2022","7.34","7.05","7.35","7.02","16.35M","5.31%"
"10/27/2022","6.97","7.16","7.18","6.93","14.80M","-1.27%"
"10/26/2022","7.06","6.96","7.22","6.91","16.48M","2.02%"
"10/25/2022","6.92","6.72","6.93","6.68","21.63M","2.52%"
"10/24/2022","6.75","6.70","6.80","6.63","20.24M","1.35%"
"10/21/2022","6.66","6.67","6.89","6.58","18.46M","-0.60%"
"10/20/2022","6.70","6.86","7.02","6.68","17.82M","-2.19%"
"10/19/2022","6.85","6.98","7.03","6.76","14.73M","-3.25%"
"10/18/2022","7.08","7.00","7.13","6.98","15.05M","2.91%"
"10/17/2022","6.88","6.85","7.05","6.84","12.28M","2.38%"
"10/14/2022","6.72","6.86","6.91","6.66","14.20M","-1.75%"
"10/13/2022","6.84","6.50","6.91","6.42","19.43M","3.17%"
"10/12/2022","6.63","6.67","6.74","6.56","20.59M","-0.60%"
"10/11/2022","6.67","6.38","6.78","6.34","30.73M","2.46%"
"10/10/2022","6.51","6.75","6.83","6.49","16.73M","-2.84%"
"10/07/2022","6.70","6.88","6.88","6.63","24.95M","-3.32%"
"10/06/2022","6.93","7.26","7.34","6.88","31.99M","-4.81%"
"10/05/2022","7.28","7.41","7.62","7.13","26.63M","-9.45%"
"10/04/2022","8.04","7.90","8.06","7.88","18.48M","3.34%"
"10/03/2022","7.78","7.52","7.80","7.36","20.67M","6.87%"
"09/30/2022","7.28","7.45","7.52","7.27","22.57M","-1.36%"
"09/29/2022","7.38","7.71","7.75","7.28","21.25M","-5.63%"
"09/28/2022","7.82","7.63","7.86","7.62","14.06M","2.89%"
"09/27/2022","7.60","7.83","7.97","7.57","25.08M","-1.43%"
"09/26/2022","7.71","8.09","8.17","7.62","25.26M","-5.17%"
"09/23/2022","8.13","8.17","8.25","7.95","20.12M","-2.28%"
"09/22/2022","8.32","8.48","8.50","8.17","20.28M","-1.65%"
"09/21/2022","8.46","8.59","8.65","8.43","20.80M","-1.17%"
"09/20/2022","8.56","8.72","8.73","8.43","18.62M","-2.95%"
"09/19/2022","8.82","8.75","8.87","8.69","12.83M","0.23%"
"09/16/2022","8.80","8.92","8.92","8.75","34.57M","-1.79%"
"09/15/2022","8.96","8.97","9.12","8.87","13.48M","0.11%"
"09/14/2022","8.95","9.20","9.21","8.94","21.40M","-2.19%"
"09/13/2022","9.15","9.83","9.87","9.09","28.88M","-9.14%"
"09/12/2022","10.07","10.07","10.16","9.97","12.93M","1.00%"
"09/09/2022","9.97","9.79","10.01","9.77","12.76M","3.21%"
"09/08/2022","9.66","9.75","9.77","9.47","13.24M","-1.23%"
"09/07/2022","9.78","9.66","9.87","9.64","9.42M","1.14%"
"09/06/2022","9.67","9.90","9.91","9.58","15.33M","-1.83%"
"09/02/2022","9.85","10.18","10.19","9.84","9.02M","-2.18%"
"09/01/2022","10.07","9.89","10.07","9.84","10.21M","1.10%"
"08/31/2022","9.96","10.03","10.11","9.94","14.56M","-0.90%"
"08/30/2022","10.05","10.30","10.31","10.02","11.72M","-2.33%"
"08/29/2022","10.29","10.44","10.53","10.26","11.45M","-4.37%"
"08/26/2022","10.76","11.07","11.09","10.72","11.49M","-2.62%"
"08/25/2022","11.05","10.97","11.07","10.94","8.89M","1.28%"
"08/24/2022","10.91","10.91","10.97","10.77","11.27M","0.28%"
"08/23/2022","10.88","10.75","10.94","10.75","8.26M","1.59%"
"08/22/2022","10.71","10.95","10.99","10.70","12.79M","-3.16%"
"08/19/2022","11.06","10.98","11.11","10.90","8.45M","0.18%"
"08/18/2022","11.04","11.06","11.08","10.93","7.52M","-0.18%"
