"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","58.08","57.25","58.47","56.91","3.95M","1.18%"
"02/02/2023","57.40","59.00","59.22","57.02","6.74M","-2.58%"
"02/01/2023","58.92","59.65","60.34","57.49","6.92M","-0.14%"
"01/31/2023","59.00","58.00","59.02","57.47","4.43M","1.94%"
"01/30/2023","57.88","57.86","58.00","57.22","6.62M","-1.77%"
"01/27/2023","58.92","58.81","59.96","58.01","9.28M","0.94%"
"01/26/2023","58.37","57.22","58.89","55.79","22.66M","6.09%"
"01/25/2023","55.02","54.60","55.51","54.33","8.16M","-0.81%"
"01/24/2023","55.47","54.98","55.54","54.57","4.33M","0.14%"
"01/23/2023","55.39","54.76","55.90","54.54","4.85M","1.50%"
"01/20/2023","54.57","54.30","54.95","54.18","5.01M","0.37%"
"01/19/2023","54.37","54.44","55.34","54.29","4.57M","-0.02%"
"01/18/2023","54.38","54.61","55.00","54.09","4.33M","-0.13%"
"01/17/2023","54.45","54.52","54.85","53.72","6.64M","-0.95%"
"01/13/2023","54.97","53.00","55.04","52.96","4.69M","2.75%"
"01/12/2023","53.50","53.25","54.08","52.53","4.69M","0.49%"
"01/11/2023","53.24","52.83","53.53","52.50","4.04M","-1.04%"
"01/10/2023","53.80","52.96","53.91","52.63","4.44M","1.93%"
"01/09/2023","52.78","51.98","52.88","51.93","4.62M","2.35%"
"01/06/2023","51.57","51.50","52.38","51.05","4.81M","0.08%"
"01/05/2023","51.53","51.44","52.48","51.10","4.88M","-0.69%"
"01/04/2023","51.89","49.80","52.00","49.60","8.24M","5.19%"
"01/03/2023","49.33","49.29","49.78","48.54","5.85M","2.62%"
"12/30/2022","48.07","46.57","48.11","46.44","3.92M","2.10%"
"12/29/2022","47.08","46.54","47.92","46.34","3.97M","1.95%"
"12/28/2022","46.18","47.98","48.08","46.17","4.48M","-4.70%"
"12/27/2022","48.46","47.16","48.75","46.98","6.04M","4.17%"
"12/23/2022","46.52","46.37","46.74","45.90","1.99M","0.00%"
"12/22/2022","46.52","46.85","47.22","46.11","2.83M","-0.79%"
"12/21/2022","46.89","46.74","47.56","46.69","3.14M","1.10%"
"12/20/2022","46.38","46.24","46.74","45.87","3.22M","0.04%"
"12/19/2022","46.36","47.06","47.29","46.13","5.04M","-2.38%"
"12/16/2022","47.49","48.20","48.50","47.41","6.64M","-2.38%"
"12/15/2022","48.65","48.49","49.10","47.54","4.36M","-0.21%"
"12/14/2022","48.75","48.49","49.12","48.21","4.57M","0.16%"
"12/13/2022","48.67","49.06","49.37","48.37","5.48M","0.64%"
"12/12/2022","48.36","46.92","48.37","46.33","4.19M","2.22%"
"12/09/2022","47.31","48.20","48.41","47.26","3.96M","-2.07%"
"12/08/2022","48.31","48.50","49.73","47.71","9.28M","2.50%"
"12/07/2022","47.13","46.17","47.19","45.56","5.98M","0.71%"
"12/06/2022","46.80","47.76","47.88","46.72","4.99M","-1.89%"
"12/05/2022","47.70","48.42","49.30","47.30","7.45M","-0.54%"
"12/02/2022","47.96","46.25","48.32","46.13","7.50M","2.28%"
"12/01/2022","46.89","46.50","47.03","45.84","5.08M","0.11%"
"11/30/2022","46.84","45.17","46.91","45.09","9.59M","4.88%"
"11/29/2022","44.66","44.54","45.10","44.17","6.76M","2.31%"
"11/28/2022","43.65","44.35","44.65","42.59","7.57M","1.11%"
"11/25/2022","43.17","43.34","43.34","42.55","2.53M","0.26%"
"11/23/2022","43.06","42.84","43.21","42.27","1.99M","0.87%"
"11/22/2022","42.69","42.19","42.78","41.72","3.57M","0.76%"
"11/21/2022","42.37","42.65","42.79","41.42","6.15M","-2.87%"
"11/18/2022","43.62","44.77","45.04","43.24","4.13M","-1.49%"
"11/17/2022","44.28","43.00","44.53","42.65","3.74M","0.84%"
"11/16/2022","43.91","43.51","44.04","42.93","4.76M","-0.05%"
"11/15/2022","43.93","43.98","44.74","43.44","5.91M","2.16%"
"11/14/2022","43.00","43.25","44.14","42.47","4.73M","-0.74%"
"11/11/2022","43.32","42.35","43.87","41.91","10.64M","5.53%"
"11/10/2022","41.05","41.28","42.38","40.54","5.94M","2.75%"
"11/09/2022","39.95","40.04","40.34","39.69","3.72M","-1.75%"
"11/08/2022","40.66","40.72","41.06","40.20","3.95M","-0.10%"
"11/07/2022","40.70","40.22","41.29","39.41","5.38M","1.14%"
"11/04/2022","40.24","40.15","40.75","39.00","8.74M","6.31%"
"11/03/2022","37.85","37.58","38.70","37.03","3.87M","-0.86%"
"11/02/2022","38.18","37.98","39.57","37.98","6.75M","-1.19%"
"11/01/2022","38.64","39.27","39.75","38.60","7.67M","1.66%"
"10/31/2022","38.01","37.91","38.90","36.79","9.70M","2.48%"
"10/28/2022","37.09","34.83","37.10","34.73","7.35M","5.82%"
"10/27/2022","35.05","35.70","36.08","34.98","5.28M","-1.18%"
"10/26/2022","35.47","34.77","35.76","34.30","8.43M","2.01%"
"10/25/2022","34.77","35.23","36.40","34.25","10.27M","-0.80%"
"10/24/2022","35.05","36.90","37.27","33.38","15.86M","-10.29%"
"10/21/2022","39.07","37.93","39.28","37.52","7.30M","3.94%"
"10/20/2022","37.59","36.54","38.78","36.10","12.36M","5.59%"
"10/19/2022","35.60","34.72","36.19","34.70","9.69M","-0.70%"
"10/18/2022","35.85","36.55","37.13","35.75","6.21M","0.45%"
"10/17/2022","35.69","35.83","36.31","35.18","6.33M","1.33%"
"10/14/2022","35.22","36.04","36.51","34.66","6.74M","-1.48%"
"10/13/2022","35.75","35.39","37.25","34.85","8.38M","-2.05%"
"10/12/2022","36.50","36.01","36.89","35.49","6.90M","0.39%"
"10/11/2022","36.36","38.93","39.00","35.64","13.06M","-7.46%"
"10/10/2022","39.29","41.32","41.49","38.26","11.70M","-7.55%"
"10/07/2022","42.50","42.76","42.82","41.62","6.79M","-1.32%"
"10/06/2022","43.07","42.50","43.46","42.49","7.51M","1.06%"
"10/05/2022","42.62","41.89","42.99","41.29","9.48M","1.48%"
