"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","98.12","97.19","98.75","96.48","1.29M","1.07%"
"02/02/2023","97.08","98.34","98.39","96.45","1.53M","-2.53%"
"02/01/2023","99.60","99.51","100.22","99.06","1.39M","-0.29%"
"01/31/2023","99.89","99.01","100.08","98.67","1.70M","1.36%"
"01/30/2023","98.55","98.49","98.95","98.07","781.57K","0.24%"
"01/27/2023","98.31","98.97","99.01","97.39","939.43K","-0.45%"
"01/26/2023","98.75","98.14","98.81","97.01","1.26M","1.01%"
"01/25/2023","97.76","96.55","97.79","96.45","957.75K","0.80%"
"01/24/2023","96.98","96.61","98.13","95.66","933.33K","0.88%"
"01/23/2023","96.13","97.17","97.33","95.97","2.01M","-0.45%"
"01/20/2023","96.56","96.29","96.75","95.17","1.93M","0.96%"
"01/19/2023","95.64","96.85","97.16","95.59","1.08M","-1.49%"
"01/18/2023","97.09","99.68","99.72","96.47","1.55M","-2.90%"
"01/17/2023","99.99","99.20","100.77","99.01","1.71M","1.86%"
"01/13/2023","98.16","97.35","98.35","96.51","995.20K","1.13%"
"01/12/2023","97.06","97.54","98.12","96.50","1.12M","-0.19%"
"01/11/2023","97.24","98.39","98.91","96.09","1.59M","-0.83%"
"01/10/2023","98.05","99.04","99.66","97.67","1.30M","-0.62%"
"01/09/2023","98.66","98.90","100.16","98.34","1.71M","-0.95%"
"01/06/2023","99.61","97.84","100.22","96.92","3.05M","3.73%"
"01/05/2023","96.03","94.87","96.87","93.52","5.67M","9.77%"
"01/04/2023","87.48","87.25","87.81","86.24","1.95M","0.26%"
"01/03/2023","87.25","89.21","89.29","86.56","1.97M","-2.36%"
"12/30/2022","89.36","88.60","89.54","88.04","931.80K","0.47%"
"12/29/2022","88.94","89.19","89.85","88.69","1.15M","0.01%"
"12/28/2022","88.93","90.30","90.60","88.86","1.08M","-1.20%"
"12/27/2022","90.01","89.94","90.21","89.33","1.20M","0.42%"
"12/23/2022","89.63","88.58","89.63","88.35","1.03M","1.19%"
"12/22/2022","88.58","88.04","88.76","87.33","1.13M","-0.08%"
"12/21/2022","88.65","87.88","89.11","87.80","713.85K","1.05%"
"12/20/2022","87.73","87.11","88.25","86.64","1.37M","0.71%"
"12/19/2022","87.11","87.16","88.78","86.82","1.38M","0.14%"
"12/16/2022","86.99","85.48","87.31","85.41","2.82M","0.98%"
"12/15/2022","86.15","86.78","87.38","85.37","1.23M","-1.07%"
"12/14/2022","87.08","86.30","87.14","85.78","1.55M","1.09%"
"12/13/2022","86.14","86.49","86.95","85.65","1.27M","0.15%"
"12/12/2022","86.01","85.70","86.50","85.14","1.34M","0.50%"
"12/09/2022","85.58","86.50","87.00","85.58","1.38M","-1.06%"
"12/08/2022","86.50","87.17","87.66","86.11","934.36K","-0.65%"
"12/07/2022","87.07","86.41","87.32","86.11","1.39M","0.90%"
"12/06/2022","86.29","87.68","88.63","85.69","1.27M","-1.59%"
"12/05/2022","87.68","87.14","87.81","86.14","1.89M","-0.06%"
"12/02/2022","87.73","86.02","87.75","85.40","1.07M","1.41%"
"12/01/2022","86.51","86.91","87.69","86.26","1.82M","-0.45%"
"11/30/2022","86.90","85.16","87.18","84.74","8.14M","2.18%"
"11/29/2022","85.05","85.40","86.40","84.54","1.28M","-0.49%"
"11/28/2022","85.47","85.60","86.83","85.21","1.24M","-0.79%"
"11/25/2022","86.15","86.08","86.76","85.63","493.83K","-0.29%"
"11/23/2022","86.40","86.55","86.86","85.87","575.08K","0.26%"
"11/22/2022","86.18","86.68","87.14","85.11","944.48K","0.01%"
"11/21/2022","86.17","84.09","86.28","84.09","1.48M","2.56%"
"11/18/2022","84.02","83.80","84.68","83.33","1.29M","1.45%"
"11/17/2022","82.82","82.40","83.62","82.24","1.01M","0.13%"
"11/16/2022","82.71","81.47","84.06","81.47","1.33M","1.75%"
"11/15/2022","81.29","80.99","81.33","79.39","3.06M","1.47%"
"11/14/2022","80.11","81.77","82.51","80.08","1.86M","-2.11%"
"11/11/2022","81.84","84.21","84.51","79.92","2.90M","-3.30%"
"11/10/2022","84.63","85.13","85.60","82.60","1.62M","1.66%"
"11/09/2022","83.25","84.11","84.51","82.93","1.23M","-2.27%"
"11/08/2022","85.18","85.20","85.99","84.19","1.82M","0.13%"
"11/07/2022","85.07","85.35","86.04","84.89","651.21K","-0.46%"
"11/04/2022","85.46","85.46","86.42","84.64","934.07K","0.71%"
"11/03/2022","84.86","85.75","86.66","84.81","1.20M","-1.52%"
"11/02/2022","86.17","85.97","88.04","85.80","1.61M","-0.01%"
"11/01/2022","86.18","86.27","86.84","85.78","1.20M","-0.05%"
"10/31/2022","86.22","85.40","87.39","84.88","1.75M","0.88%"
"10/28/2022","85.47","85.14","85.88","84.51","980.21K","0.73%"
"10/27/2022","84.85","84.27","85.07","83.84","2.00M","0.99%"
"10/26/2022","84.02","84.74","85.49","83.82","2.30M","-0.72%"
"10/25/2022","84.63","82.70","85.50","82.70","1.50M","2.30%"
"10/24/2022","82.73","82.22","83.71","82.22","2.07M","1.24%"
"10/21/2022","81.72","82.98","83.21","80.66","1.48M","-1.16%"
"10/20/2022","82.68","84.31","84.71","82.61","1.53M","-1.42%"
"10/19/2022","83.87","85.09","85.72","83.22","1.52M","-1.65%"
"10/18/2022","85.28","85.47","86.48","84.86","1.58M","0.86%"
"10/17/2022","84.55","85.28","85.35","83.83","1.67M","0.67%"
"10/14/2022","83.99","84.58","85.77","83.53","1.31M","-1.01%"
"10/13/2022","84.85","81.66","85.90","81.24","1.79M","2.38%"
"10/12/2022","82.88","81.53","83.50","80.93","1.36M","1.88%"
"10/11/2022","81.35","82.95","83.27","81.03","2.03M","-1.91%"
"10/10/2022","82.93","83.29","83.61","81.64","1.22M","0.17%"
"10/07/2022","82.79","82.46","82.89","81.13","1.78M","0.07%"
