"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","98.15","96.75","99.34","95.54","3.69M","1.86%"
"02/02/2023","96.36","97.12","97.88","95.59","2.53M","-0.83%"
"02/01/2023","97.17","96.33","97.98","95.29","1.66M","0.50%"
"01/31/2023","96.69","95.31","96.79","95.09","1.85M","2.36%"
"01/30/2023","94.46","94.62","95.84","94.20","1.30M","-1.14%"
"01/27/2023","95.55","94.34","96.26","94.02","1.65M","0.73%"
"01/26/2023","94.86","91.74","94.95","91.05","1.68M","2.03%"
"01/25/2023","92.97","91.73","93.03","91.36","1.38M","0.25%"
"01/24/2023","92.74","91.98","92.99","91.45","1.56M","-0.22%"
"01/23/2023","92.94","92.63","93.63","92.25","1.50M","0.69%"
"01/20/2023","92.30","90.18","92.71","90.05","2.06M","2.23%"
"01/19/2023","90.29","90.00","90.73","88.67","1.46M","-0.58%"
"01/18/2023","90.82","92.66","93.37","90.72","1.45M","-0.84%"
"01/17/2023","91.59","92.90","93.09","91.25","1.95M","-2.28%"
"01/13/2023","93.73","92.50","93.93","92.44","1.30M","0.06%"
"01/12/2023","93.67","93.28","94.61","92.14","1.38M","0.96%"
"01/11/2023","92.78","93.02","93.70","91.22","1.98M","1.20%"
"01/10/2023","91.68","91.70","91.94","90.19","4.29M","0.37%"
"01/09/2023","91.34","90.65","92.57","89.97","2.58M","1.38%"
"01/06/2023","90.10","87.98","90.41","87.93","3.95M","3.65%"
"01/05/2023","86.93","84.86","86.99","84.44","1.56M","1.20%"
"01/04/2023","85.90","84.52","86.67","84.48","1.97M","2.27%"
"01/03/2023","83.99","83.23","84.20","82.82","1.59M","1.16%"
"12/30/2022","83.03","82.37","83.29","82.20","966.20K","0.16%"
"12/29/2022","82.90","82.51","83.59","82.15","835.79K","0.97%"
"12/28/2022","82.10","83.59","83.83","81.82","932.40K","-1.97%"
"12/27/2022","83.75","83.29","83.93","83.07","886.35K","0.75%"
"12/23/2022","83.13","81.65","83.15","81.30","863.20K","2.03%"
"12/22/2022","81.48","81.68","81.97","79.68","1.02M","-1.00%"
"12/21/2022","82.30","81.59","82.68","81.37","1.03M","1.92%"
"12/20/2022","80.75","80.78","81.73","80.28","1.16M","0.56%"
"12/19/2022","80.30","81.11","81.82","79.20","1.58M","-0.35%"
"12/16/2022","80.58","80.02","80.94","79.25","3.60M","-0.12%"
"12/15/2022","80.68","82.29","82.95","80.42","2.06M","-3.59%"
"12/14/2022","83.68","83.64","84.92","83.35","1.43M","-0.52%"
"12/13/2022","84.12","85.60","86.10","83.57","1.28M","1.40%"
"12/12/2022","82.96","81.43","83.02","80.71","1.18M","1.84%"
"12/09/2022","81.46","81.53","82.72","81.42","979.53K","-0.15%"
"12/08/2022","81.58","82.49","83.16","81.04","1.44M","-0.11%"
"12/07/2022","81.67","81.82","82.50","81.39","1.56M","-0.77%"
"12/06/2022","82.30","83.47","84.38","81.37","1.74M","-1.40%"
"12/05/2022","83.47","84.64","85.01","83.17","1.47M","-1.68%"
"12/02/2022","84.90","84.32","85.12","84.32","2.20M","0.31%"
"12/01/2022","84.64","85.53","86.40","84.29","2.32M","-0.44%"
"11/30/2022","85.01","84.76","85.30","83.40","4.40M","0.20%"
"11/29/2022","84.84","84.67","85.43","84.29","1.94M","1.30%"
"11/28/2022","83.75","85.39","85.56","83.51","1.73M","-3.50%"
"11/25/2022","86.79","87.06","87.58","86.48","1.47M","-1.48%"
"11/23/2022","88.09","87.07","88.43","86.62","2.88M","0.70%"
"11/22/2022","87.48","84.75","87.61","84.46","2.82M","5.07%"
"11/21/2022","83.26","80.72","83.59","80.16","1.90M","1.17%"
"11/18/2022","82.30","82.38","82.88","80.89","1.68M","0.62%"
"11/17/2022","81.79","81.04","81.86","79.90","2.14M","-1.09%"
"11/16/2022","82.69","84.29","84.69","82.15","2.77M","-3.04%"
"11/15/2022","85.28","86.61","87.33","84.70","1.95M","-2.15%"
"11/14/2022","87.15","88.19","88.95","87.14","1.80M","-2.14%"
"11/11/2022","89.06","84.91","89.60","84.91","2.72M","6.07%"
"11/10/2022","83.96","83.00","84.04","82.05","2.74M","4.82%"
"11/09/2022","80.10","83.58","83.65","80.02","1.66M","-5.29%"
"11/08/2022","84.57","84.13","85.09","82.88","1.54M","1.14%"
"11/07/2022","83.62","83.27","84.02","81.68","1.90M","-0.05%"
"11/04/2022","83.66","81.48","84.91","81.11","3.50M","7.52%"
"11/03/2022","77.81","76.92","78.71","76.64","3.28M","-0.50%"
"11/02/2022","78.20","78.04","80.42","77.05","4.03M","-0.34%"
"11/01/2022","78.47","77.64","79.03","76.96","3.45M","2.64%"
