"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","373.91","370.80","378.22","370.49","2.74M","-0.27%"
"02/02/2023","374.94","379.52","380.47","372.80","2.76M","0.23%"
"02/01/2023","374.08","368.57","376.78","367.00","2.95M","0.94%"
"01/31/2023","370.60","369.99","372.48","367.02","3.14M","-0.14%"
"01/30/2023","371.12","369.46","373.74","369.40","2.69M","-0.78%"
"01/27/2023","374.03","376.19","380.52","373.38","3.41M","-0.85%"
"01/26/2023","377.24","383.41","384.11","373.00","3.67M","-1.35%"
"01/25/2023","382.39","375.10","382.56","375.10","3.50M","0.63%"
"01/24/2023","380.01","332.38","423.99","332.38","2.75M","0.38%"
"01/23/2023","378.57","376.74","381.38","376.36","2.74M","0.61%"
"01/20/2023","376.28","370.23","376.62","369.40","3.86M","2.27%"
"01/19/2023","367.94","364.60","370.80","363.60","3.11M","-0.27%"
"01/18/2023","368.92","374.51","375.81","368.50","2.69M","-1.62%"
"01/17/2023","375.00","375.00","378.33","373.98","2.75M","-0.14%"
"01/13/2023","375.52","375.06","377.87","374.31","4.26M","-1.13%"
"01/12/2023","379.81","377.86","381.13","376.92","3.28M","0.52%"
"01/11/2023","377.86","372.62","377.92","371.26","3.18M","1.85%"
"01/10/2023","371.01","368.81","371.68","367.21","3.48M","0.01%"
"01/09/2023","370.97","371.63","375.00","369.56","3.77M","0.90%"
"01/06/2023","367.67","357.31","368.72","355.32","4.43M","4.52%"
"01/05/2023","351.77","356.12","357.56","351.27","2.54M","-0.95%"
"01/04/2023","355.15","351.39","356.98","349.69","2.66M","2.41%"
"01/03/2023","346.80","349.96","354.66","343.94","2.93M","-0.27%"
"12/30/2022","347.73","345.33","347.90","343.62","1.62M","-0.14%"
"12/29/2022","348.21","344.38","349.72","343.54","1.46M","1.83%"
"12/28/2022","341.95","346.55","349.51","341.78","1.78M","-1.22%"
"12/27/2022","346.16","344.10","346.91","341.81","1.57M","0.75%"
"12/23/2022","343.60","339.02","344.54","337.69","1.91M","0.61%"
"12/22/2022","341.52","344.19","345.60","336.43","2.27M","-1.21%"
"12/21/2022","345.69","343.64","347.60","342.37","2.09M","0.80%"
"12/20/2022","342.95","341.37","344.37","340.62","1.88M","0.50%"
"12/19/2022","341.26","345.36","345.85","339.54","2.45M","-1.32%"
"12/16/2022","345.84","344.77","348.24","343.38","5.95M","-0.12%"
"12/15/2022","346.25","351.42","353.80","342.56","2.77M","-3.15%"
"12/14/2022","357.51","357.00","362.10","353.77","2.59M","0.10%"
"12/13/2022","357.15","369.24","369.26","355.73","3.05M","-0.28%"
"12/12/2022","358.17","350.31","358.44","349.10","2.41M","2.68%"
"12/09/2022","348.83","348.40","352.77","347.36","2.30M","-0.67%"
"12/08/2022","351.17","350.00","352.17","347.22","1.99M","1.08%"
"12/07/2022","347.42","346.88","347.85","341.47","2.44M","-0.03%"
"12/06/2022","347.53","353.82","355.00","344.35","2.35M","-2.40%"
"12/05/2022","356.09","356.00","358.90","354.45","2.18M","-1.10%"
"12/02/2022","360.06","357.45","362.29","356.06","2.02M","-0.21%"
"12/01/2022","360.80","357.99","361.58","354.05","3.37M","1.23%"
"11/30/2022","356.40","342.85","356.40","341.48","4.25M","3.87%"
"11/29/2022","343.13","343.65","344.72","340.75","1.72M","-0.42%"
"11/28/2022","344.59","346.68","350.23","343.23","2.23M","-1.91%"
"11/25/2022","351.29","348.96","351.40","348.08","944.41K","0.76%"
"11/23/2022","348.64","344.63","350.80","344.15","1.94M","1.07%"
"11/22/2022","344.96","339.83","345.32","337.56","2.51M","1.98%"
"11/21/2022","338.25","343.00","344.24","337.62","1.97M","-1.58%"
"11/18/2022","343.69","345.66","348.63","341.33","2.74M","0.71%"
"11/17/2022","341.27","339.00","341.92","337.00","2.00M","-0.43%"
"11/16/2022","342.76","343.16","345.13","340.10","2.58M","-0.22%"
"11/15/2022","343.51","346.59","351.22","339.49","2.98M","1.22%"
"11/14/2022","339.37","336.74","344.51","336.02","2.35M","0.02%"
"11/11/2022","339.29","339.00","342.63","336.36","3.73M","0.60%"
"11/10/2022","337.27","331.18","337.40","329.16","3.25M","6.85%"
"11/09/2022","315.64","322.28","323.68","315.15","3.00M","-3.10%"
"11/08/2022","325.75","326.23","329.40","322.26","2.39M","0.19%"
"11/07/2022","325.13","322.45","325.80","317.71","2.74M","2.12%"
"11/04/2022","318.37","313.84","323.13","313.24","3.25M","2.98%"
"11/03/2022","309.17","315.12","316.77","308.60","2.86M","-3.33%"
"11/02/2022","319.82","331.42","333.00","319.63","3.08M","-4.01%"
"11/01/2022","333.19","332.22","333.64","327.09","3.66M","1.53%"
"10/31/2022","328.18","328.88","329.44","323.78","3.16M","-0.39%"
"10/28/2022","329.47","319.31","331.80","317.82","3.64M","3.16%"
"10/27/2022","319.37","316.18","323.08","314.06","4.73M","-0.04%"
"10/26/2022","319.51","312.29","324.45","312.29","5.28M","2.60%"
"10/25/2022","311.41","305.91","312.10","305.86","3.01M","1.90%"
"10/24/2022","305.60","304.52","307.00","300.50","3.18M","1.07%"
"10/21/2022","302.37","294.51","302.71","293.50","3.60M","2.06%"
"10/20/2022","296.28","297.75","302.73","295.61","2.46M","-0.50%"
"10/19/2022","297.76","295.46","299.64","294.79","1.91M","-0.87%"
"10/18/2022","300.38","303.17","303.70","296.55","3.10M","1.81%"
"10/17/2022","295.04","295.42","298.73","291.34","3.42M","2.20%"
"10/14/2022","288.69","295.86","298.62","287.84","3.11M","-1.79%"
"10/13/2022","293.96","277.28","295.43","276.87","3.32M","3.73%"
"10/12/2022","283.38","286.54","287.49","283.21","2.65M","-0.93%"
"10/11/2022","286.05","289.83","290.39","284.42","3.56M","-1.96%"
"10/10/2022","291.78","297.04","297.25","289.54","1.78M","-1.08%"
"10/07/2022","294.97","296.66","297.19","292.99","2.21M","-1.42%"
"10/06/2022","299.23","302.58","305.05","298.86","2.49M","-1.63%"
"10/05/2022","304.20","297.98","306.60","297.25","2.85M","0.97%"
"10/04/2022","301.27","296.19","303.97","295.98","3.95M","3.71%"
"10/03/2022","290.48","287.85","292.75","284.92","5.29M","2.16%"
"09/30/2022","284.34","286.86","290.76","284.34","3.80M","-0.85%"
"09/29/2022","286.77","288.35","292.07","284.85","3.44M","-1.18%"
"09/28/2022","290.18","285.11","292.98","281.69","5.61M","1.29%"
"09/27/2022","286.48","295.47","297.90","284.80","4.07M","-1.25%"
"09/26/2022","290.11","290.05","295.34","289.12","3.64M","-1.18%"
"09/23/2022","293.58","293.13","294.57","290.24","3.25M","-1.60%"
"09/22/2022","298.36","302.95","303.08","296.59","3.18M","-2.02%"
"09/21/2022","304.50","314.48","314.98","304.22","2.37M","-2.80%"
"09/20/2022","313.27","311.16","314.37","309.44","2.77M","-0.24%"
"09/19/2022","314.03","311.95","315.45","310.25","2.37M","-0.35%"
"09/16/2022","315.13","312.85","315.63","309.11","3.65M","-0.58%"
"09/15/2022","316.96","323.59","325.94","315.17","2.49M","-2.73%"
"09/14/2022","325.85","327.04","328.48","323.35","2.66M","0.13%"
"09/13/2022","325.44","330.00","332.80","324.58","2.32M","-3.84%"
"09/12/2022","338.42","338.09","339.48","335.94","2.10M","0.77%"
"09/09/2022","335.85","330.54","337.02","330.15","1.82M","1.75%"
"09/08/2022","330.07","324.53","330.29","323.48","2.11M","0.44%"
"09/07/2022","328.62","324.08","329.20","322.05","2.00M","1.40%"
"09/06/2022","324.08","322.50","326.98","320.55","2.04M","0.47%"
"09/02/2022","322.56","329.41","329.67","320.53","1.94M","-0.83%"
"09/01/2022","325.25","323.81","325.61","319.21","2.49M","0.27%"
"08/31/2022","324.37","328.29","331.18","324.28","3.13M","-1.05%"
"08/30/2022","327.81","331.00","332.97","325.57","2.62M","-0.47%"
"08/29/2022","329.35","329.99","332.81","327.77","2.31M","-0.79%"
"08/26/2022","331.96","345.05","345.64","331.70","1.93M","-3.69%"
"08/25/2022","344.67","340.00","345.13","337.32","2.23M","1.46%"
"08/24/2022","339.71","340.18","342.29","338.35","2.22M","-0.35%"
"08/23/2022","340.89","342.69","345.20","339.37","2.24M","-1.34%"
"08/22/2022","345.51","350.00","351.00","344.28","2.31M","-2.48%"
"08/19/2022","354.28","356.63","356.77","353.56","1.74M","-0.86%"
"08/18/2022","357.36","354.32","359.52","353.57","1.93M","0.57%"
"08/17/2022","355.33","353.50","356.96","351.75","2.44M","-1.09%"
"08/16/2022","359.25","354.27","360.00","353.10","2.45M","-0.19%"
"08/15/2022","359.95","352.33","361.95","350.82","2.53M","1.60%"
"08/12/2022","354.27","354.74","355.45","350.26","2.51M","1.05%"
"08/11/2022","350.58","355.85","355.85","350.35","2.61M","-0.79%"
"08/10/2022","353.38","354.34","354.55","351.05","2.44M","1.97%"
"08/09/2022","346.54","350.40","351.12","345.35","2.47M","-1.60%"
"08/08/2022","352.16","359.00","359.00","349.89","2.48M","-1.50%"
"08/05/2022","357.51","350.40","357.83","350.40","1.85M","0.40%"
"08/04/2022","356.07","354.67","358.61","349.65","2.34M","0.55%"
"08/03/2022","354.13","350.00","356.48","348.54","2.92M","1.47%"
"08/02/2022","349.01","347.08","351.15","343.98","2.88M","-0.44%"
"08/01/2022","350.54","347.81","354.84","345.66","2.29M","-0.92%"
"07/29/2022","353.79","354.13","356.80","349.96","3.18M","0.38%"
"07/28/2022","352.45","348.00","353.26","340.62","3.64M","2.67%"
"07/27/2022","343.27","343.01","348.92","331.24","4.58M","0.58%"
"07/26/2022","341.28","342.65","344.63","339.30","2.25M","-0.85%"
"07/25/2022","344.21","344.45","345.54","340.11","2.18M","0.10%"
"07/22/2022","343.88","348.88","351.09","340.40","2.25M","-0.88%"
"07/21/2022","346.92","341.87","347.23","340.06","2.23M","1.66%"
"07/20/2022","341.27","340.38","343.31","336.29","2.56M","0.26%"
"07/19/2022","340.38","331.78","342.01","331.78","2.69M","2.83%"
"07/18/2022","331.01","335.50","337.51","329.79","2.47M","-0.47%"
"07/15/2022","332.57","333.63","335.57","329.76","3.39M","2.32%"
"07/14/2022","325.03","316.16","327.58","315.39","2.74M","0.51%"
"07/13/2022","323.37","315.95","324.93","313.81","2.44M","0.16%"
"07/12/2022","322.86","320.21","327.36","320.21","2.76M","-0.41%"
"07/11/2022","324.19","319.38","326.22","319.15","2.07M","0.35%"
"07/08/2022","323.06","322.78","324.98","319.35","1.66M","-0.31%"
"07/07/2022","324.07","322.35","324.86","319.52","2.20M","1.22%"
"07/06/2022","320.17","319.00","322.36","315.72","2.22M","0.29%"
