"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","173.05","172.37","173.16","167.37","1.19M","-0.61%"
"02/02/2023","174.11","169.09","174.88","168.53","1.12M","3.37%"
"02/01/2023","168.44","165.48","169.72","165.00","1.30M","1.03%"
"01/31/2023","166.72","161.67","167.05","160.98","913.59K","3.07%"
"01/30/2023","161.75","163.42","164.78","161.67","602.07K","-1.94%"
"01/27/2023","164.95","162.52","165.89","162.20","426.81K","1.48%"
"01/26/2023","162.55","163.38","164.55","162.16","572.40K","0.05%"
"01/25/2023","162.47","160.47","162.56","159.55","1.34M","0.76%"
"01/24/2023","161.24","157.98","162.19","156.00","940.16K","2.56%"
"01/23/2023","157.22","155.59","157.30","154.19","854.66K","1.13%"
"01/20/2023","155.46","155.19","155.76","152.66","1.15M","0.13%"
"01/19/2023","155.26","157.16","159.52","155.07","827.79K","-1.55%"
"01/18/2023","157.70","161.54","161.96","157.60","805.02K","-2.27%"
"01/17/2023","161.37","159.97","162.03","159.68","543.69K","0.91%"
"01/13/2023","159.91","158.71","160.62","157.52","735.82K","-0.36%"
"01/12/2023","160.49","159.84","162.23","158.03","824.97K","-0.07%"
"01/11/2023","160.60","155.57","160.95","155.57","758.20K","3.80%"
"01/10/2023","154.72","155.05","156.20","153.87","622.15K","-0.67%"
"01/09/2023","155.76","156.95","159.11","155.54","437.88K","-1.61%"
"01/06/2023","158.31","153.85","159.07","153.29","336.63K","3.46%"
"01/05/2023","153.01","155.96","156.29","152.16","545.82K","-3.00%"
"01/04/2023","157.74","156.18","158.56","156.18","598.19K","1.49%"
"01/03/2023","155.42","157.42","159.07","154.08","405.50K","-1.00%"
"12/30/2022","156.99","156.93","157.66","155.24","436.12K","-0.48%"
"12/29/2022","157.74","155.22","158.33","154.49","370.06K","2.50%"
"12/28/2022","153.89","157.21","157.76","153.58","352.16K","-1.87%"
"12/27/2022","156.82","156.50","157.68","155.43","349.16K","0.30%"
"12/23/2022","156.35","154.35","156.49","153.38","205.30K","0.92%"
"12/22/2022","154.93","155.11","155.91","152.53","393.09K","-0.66%"
"12/21/2022","155.96","154.88","157.38","154.58","607.51K","1.20%"
"12/20/2022","154.11","154.09","155.28","153.35","489.52K","-0.77%"
"12/19/2022","155.31","157.00","157.38","154.72","747.66K","-1.45%"
"12/16/2022","157.60","158.63","158.77","154.98","1.54M","-2.22%"
"12/15/2022","161.17","161.38","163.81","159.82","595.60K","-2.00%"
"12/14/2022","164.46","165.79","168.73","163.52","550.33K","-0.71%"
"12/13/2022","165.63","168.60","168.67","163.15","714.05K","1.23%"
"12/12/2022","163.62","161.64","163.73","159.58","482.70K","1.22%"
"12/09/2022","161.64","162.71","164.54","161.53","455.31K","-1.00%"
"12/08/2022","163.27","161.29","164.52","160.40","812.33K","2.54%"
"12/07/2022","159.23","156.63","159.60","156.63","695.99K","1.30%"
