"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","174.43","173.99","175.71","172.90","1.50M","-0.99%"
"02/02/2023","176.17","176.60","177.58","175.02","1.14M","0.46%"
"02/01/2023","175.36","173.02","176.70","171.01","1.42M","0.68%"
"01/31/2023","174.18","171.45","174.22","170.81","1.33M","1.74%"
"01/30/2023","171.20","172.36","173.52","171.03","1.90M","-1.80%"
"01/27/2023","174.33","174.50","176.57","174.02","1.64M","-0.14%"
"01/26/2023","174.58","173.46","174.67","172.59","1.62M","1.31%"
"01/25/2023","172.33","167.62","172.94","167.62","1.86M","1.59%"
"01/24/2023","169.63","168.57","169.70","167.59","1.63M","0.36%"
"01/23/2023","169.02","166.00","169.80","165.07","2.55M","1.26%"
"01/20/2023","166.91","160.67","167.15","160.16","2.33M","3.65%"
"01/19/2023","161.03","158.44","161.93","158.25","2.15M","0.78%"
"01/18/2023","159.79","162.30","163.75","159.70","2.19M","-0.75%"
"01/17/2023","160.99","161.28","162.57","160.44","2.57M","-0.49%"
"01/13/2023","161.78","159.59","162.11","159.18","1.53M","1.12%"
"01/12/2023","159.99","158.37","160.59","157.68","1.62M","0.96%"
"01/11/2023","158.47","154.16","158.58","153.93","1.71M","3.47%"
"01/10/2023","153.16","152.44","153.79","151.50","1.27M","0.41%"
"01/09/2023","152.53","151.76","155.38","151.65","1.86M","-0.55%"
"01/06/2023","153.38","150.54","153.91","150.03","1.59M","3.02%"
"01/05/2023","148.88","149.01","150.09","147.96","1.54M","-0.65%"
"01/04/2023","149.86","149.24","151.24","149.10","1.73M","1.43%"
"01/03/2023","147.75","149.85","150.73","147.10","1.69M","-0.77%"
"12/30/2022","148.89","147.01","149.05","146.42","1.54M","0.62%"
"12/29/2022","147.97","146.92","148.80","146.26","1.43M","1.63%"
"12/28/2022","145.60","148.53","149.37","145.58","1.32M","-1.85%"
"12/27/2022","148.35","149.02","149.38","147.94","1.35M","-0.15%"
"12/23/2022","148.58","146.32","148.90","146.32","1.07M","0.92%"
"12/22/2022","147.22","147.23","148.53","145.37","1.84M","-1.03%"
"12/21/2022","148.75","151.35","152.09","147.75","2.28M","-1.10%"
"12/20/2022","150.41","150.90","152.24","150.12","1.67M","-0.63%"
"12/19/2022","151.37","154.07","154.38","150.52","2.02M","-1.57%"
"12/16/2022","153.79","154.07","154.80","152.44","4.94M","-1.04%"
"12/15/2022","155.41","156.25","157.05","153.21","2.52M","-2.46%"
"12/14/2022","159.33","161.25","163.37","157.43","2.46M","-2.32%"
"12/13/2022","163.12","168.66","169.05","162.23","2.17M","-0.03%"
"12/12/2022","163.17","161.01","163.21","159.46","1.55M","1.25%"
"12/09/2022","161.16","160.38","162.52","160.07","1.26M","0.31%"
"12/08/2022","160.66","158.66","161.65","158.02","1.85M","2.15%"
"12/07/2022","157.28","159.69","160.30","157.10","2.18M","-1.99%"
"12/06/2022","160.47","161.94","162.75","158.88","1.90M","-0.97%"
"12/05/2022","162.04","164.31","164.77","161.70","2.16M","-2.17%"
"12/02/2022","165.63","163.00","165.76","162.50","1.42M","0.27%"
"12/01/2022","165.19","165.63","167.18","164.24","1.87M","-0.10%"
"11/30/2022","165.35","160.60","165.37","159.52","2.66M","2.54%"
"11/29/2022","161.26","159.00","162.15","159.00","1.82M","1.49%"
"11/28/2022","158.89","161.74","161.79","158.68","1.86M","-2.24%"
"11/25/2022","162.53","161.57","163.84","161.25","918.74K","0.65%"
"11/23/2022","161.48","162.87","163.50","161.09","1.46M","-0.90%"
"11/22/2022","162.94","160.90","163.26","159.56","1.51M","1.50%"
"11/21/2022","160.53","161.34","162.76","159.94","1.32M","-0.73%"
"11/18/2022","161.71","162.16","163.12","160.45","1.86M","1.09%"
"11/17/2022","159.97","158.30","160.06","157.50","1.65M","-1.01%"
"11/16/2022","161.60","161.76","162.54","160.39","2.06M","-0.11%"
"11/15/2022","161.77","161.30","163.20","159.51","2.00M","1.40%"
"11/14/2022","159.53","162.00","164.40","159.26","2.08M","-2.59%"
"11/11/2022","163.78","160.00","164.89","159.83","2.63M","3.67%"
"11/10/2022","157.98","155.81","158.56","155.80","2.42M","5.62%"
"11/09/2022","149.57","148.28","153.15","148.08","2.14M","-0.62%"
"11/08/2022","150.50","149.07","152.72","148.45","1.76M","1.45%"
"11/07/2022","148.35","149.54","150.04","145.00","2.04M","-0.41%"
"11/04/2022","148.96","149.44","151.28","147.34","3.34M","1.69%"
"11/03/2022","146.48","149.79","150.81","143.92","2.93M","-4.26%"
"11/02/2022","152.99","158.96","159.26","152.30","2.60M","-4.42%"
"11/01/2022","160.07","162.42","163.00","159.22","1.57M","-0.02%"
"10/31/2022","160.11","158.75","162.54","158.14","2.49M","0.29%"
"10/28/2022","159.65","156.25","160.01","155.29","1.80M","2.18%"
"10/27/2022","156.25","156.79","158.47","156.00","1.62M","0.78%"
"10/26/2022","155.04","156.67","158.82","154.15","2.46M","-0.25%"
"10/25/2022","155.43","154.36","156.11","153.11","1.70M","0.29%"
"10/24/2022","154.98","154.27","156.46","152.41","1.97M","0.97%"
"10/21/2022","153.49","146.71","154.01","146.50","2.34M","4.05%"
"10/20/2022","147.52","150.57","153.17","147.17","1.41M","-1.65%"
"10/19/2022","149.99","148.64","151.67","148.64","1.17M","0.00%"
"10/18/2022","149.99","151.48","153.88","148.58","1.87M","1.45%"
