"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","55.39","55.44","56.29","54.96","1.95M","-2.29%"
"02/02/2023","56.69","55.19","57.13","54.96","2.74M","4.31%"
"02/01/2023","54.35","53.00","54.99","52.92","3.23M","2.16%"
"01/31/2023","53.20","50.87","53.21","50.76","1.77M","5.56%"
"01/30/2023","50.40","50.57","51.22","50.38","1.06M","-1.25%"
"01/27/2023","51.04","50.46","51.31","50.18","1.01M","0.91%"
"01/26/2023","50.58","50.40","50.89","49.57","2.23M","-1.44%"
"01/25/2023","51.32","50.49","51.39","50.15","1.01M","0.39%"
"01/24/2023","51.12","50.61","51.81","50.60","1.25M","-0.02%"
"01/23/2023","51.13","50.37","51.19","50.15","1.59M","1.97%"
"01/20/2023","50.14","48.54","50.24","48.05","1.80M","3.94%"
"01/19/2023","48.24","49.82","49.88","48.18","2.01M","-4.27%"
"01/18/2023","50.39","51.61","51.76","50.33","2.14M","-1.06%"
"01/17/2023","50.93","51.40","52.05","50.87","1.66M","-2.06%"
"01/13/2023","52.00","51.36","52.19","51.05","1.45M","0.25%"
"01/12/2023","51.87","52.28","52.28","50.54","1.31M","0.35%"
"01/11/2023","51.69","50.37","51.75","50.32","1.43M","1.73%"
"01/10/2023","50.81","49.97","50.82","49.79","1.43M","0.89%"
"01/09/2023","50.36","50.28","51.34","50.09","1.82M","1.41%"
"01/06/2023","49.66","48.59","49.96","48.39","1.39M","3.16%"
"01/05/2023","48.14","48.10","48.45","47.33","1.75M","-1.21%"
"01/04/2023","48.73","48.33","48.93","47.90","1.19M","2.76%"
"01/03/2023","47.42","47.40","47.83","47.02","1.32M","1.61%"
"12/30/2022","46.67","46.63","46.97","46.09","1.23M","-1.19%"
"12/29/2022","47.23","46.51","47.50","46.30","974.91K","2.36%"
"12/28/2022","46.14","47.33","47.55","46.09","1.33M","-2.37%"
"12/27/2022","47.26","46.97","47.30","46.70","896.54K","0.28%"
"12/23/2022","47.13","46.84","47.16","46.45","777.44K","0.43%"
"12/22/2022","46.93","46.41","47.07","45.74","1.20M","-0.40%"
"12/21/2022","47.12","46.89","47.31","46.63","1.43M","1.27%"
"12/20/2022","46.53","46.54","46.78","46.18","2.23M","-0.92%"
"12/19/2022","46.96","47.18","47.42","46.61","1.51M","-0.97%"
"12/16/2022","47.42","48.15","48.38","46.63","3.75M","-2.31%"
"12/15/2022","48.54","49.13","49.39","48.30","3.28M","-3.19%"
"12/14/2022","50.14","51.17","51.49","49.75","2.26M","-2.49%"
"12/13/2022","51.42","52.35","52.35","50.88","2.19M","3.54%"
"12/12/2022","49.66","49.49","49.76","48.97","1.08M","0.69%"
"12/09/2022","49.32","49.46","49.98","49.12","987.94K","-0.66%"
"12/08/2022","49.65","48.88","49.88","48.66","1.23M","1.49%"
"12/07/2022","48.92","48.48","49.35","48.29","1.14M","1.03%"
"12/06/2022","48.42","49.52","49.58","47.67","1.44M","-2.00%"
"12/05/2022","49.41","50.07","50.10","49.18","1.52M","-2.97%"
"12/02/2022","50.92","50.72","51.34","50.25","1.79M","-1.62%"
"12/01/2022","51.76","51.44","51.86","50.93","2.06M","1.93%"
"11/30/2022","50.78","49.60","50.91","48.78","3.73M","1.82%"
"11/29/2022","49.87","49.50","50.08","49.17","1.35M","0.18%"
"11/28/2022","49.78","50.44","50.71","49.53","1.19M","-2.26%"
"11/25/2022","50.93","50.54","50.98","50.32","443.97K","0.49%"
"11/23/2022","50.68","50.28","51.21","50.28","855.25K","0.84%"
"11/22/2022","50.26","50.00","50.30","49.35","1.23M","1.37%"
"11/21/2022","49.58","49.85","50.03","49.33","1.15M","-0.70%"
"11/18/2022","49.93","50.10","50.26","49.06","1.38M","1.75%"
"11/17/2022","49.07","49.25","49.33","47.92","1.21M","-2.52%"
"11/16/2022","50.34","50.68","51.15","49.69","1.90M","-1.18%"
"11/15/2022","50.94","50.72","51.28","50.29","1.90M","2.45%"
"11/14/2022","49.72","50.57","50.83","49.61","1.76M","-2.70%"
"11/11/2022","51.10","50.06","51.44","49.94","2.72M","1.83%"
"11/10/2022","50.18","48.03","50.33","47.74","3.47M","11.39%"
"11/09/2022","45.05","44.87","45.61","44.62","2.36M","-1.08%"
"11/08/2022","45.54","45.00","46.15","44.55","1.60M","2.18%"
"11/07/2022","44.57","43.95","44.61","43.33","1.83M","2.34%"
"11/04/2022","43.55","43.78","43.87","42.78","2.61M","1.49%"
"11/03/2022","42.91","43.43","43.58","42.60","3.02M","-2.74%"
"11/02/2022","44.12","45.62","46.30","44.08","1.91M","-3.37%"
"11/01/2022","45.66","46.76","47.18","45.38","2.24M","-1.32%"
"10/31/2022","46.27","46.80","47.14","46.19","2.58M","-1.76%"
"10/28/2022","47.10","45.79","47.18","45.54","1.64M","2.35%"
"10/27/2022","46.02","45.36","47.00","45.26","3.51M","0.99%"
"10/26/2022","45.57","42.33","47.40","42.33","3.94M","-5.73%"
"10/25/2022","48.34","47.58","48.69","47.38","2.33M","2.68%"
"10/24/2022","47.08","46.90","47.38","46.31","1.47M","1.49%"
"10/21/2022","46.39","44.67","46.49","44.57","1.88M","3.85%"
"10/20/2022","44.67","45.89","46.65","44.49","2.04M","-3.62%"
"10/19/2022","46.35","48.11","48.18","45.89","2.12M","-4.75%"
"10/18/2022","48.66","48.25","49.07","47.76","1.83M","1.78%"
"10/17/2022","47.81","47.96","48.41","47.16","1.72M","1.96%"
"10/14/2022","46.89","48.79","48.99","46.74","1.33M","-3.52%"
"10/13/2022","48.60","47.33","49.01","46.35","1.38M","0.37%"
"10/12/2022","48.42","48.89","49.01","48.26","1.23M","-0.74%"
"10/11/2022","48.78","48.96","49.54","48.43","1.19M","-0.35%"
"10/10/2022","48.95","48.91","49.11","48.15","1.46M","0.68%"
"10/07/2022","48.62","49.81","49.81","48.39","1.96M","-3.88%"
"10/06/2022","50.58","49.80","50.81","49.80","1.36M","1.34%"
"10/05/2022","49.91","49.54","50.50","49.43","1.02M","-0.80%"
"10/04/2022","50.31","49.35","50.73","49.35","2.21M","3.67%"
"10/03/2022","48.53","47.34","48.76","47.24","1.78M","3.94%"
"09/30/2022","46.69","47.43","47.62","46.59","2.56M","-1.25%"
"09/29/2022","47.28","48.15","48.37","46.96","2.27M","-3.23%"
"09/28/2022","48.86","46.37","49.13","46.23","4.13M","6.47%"
