"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","85.34","83.72","87.76","83.51","8.94M","0.96%"
"02/02/2023","84.53","82.02","84.95","82.00","8.85M","4.15%"
"02/01/2023","81.16","77.90","82.08","77.88","7.16M","4.56%"
"01/31/2023","77.62","75.68","77.74","75.64","9.74M","2.56%"
"01/30/2023","75.68","76.81","77.41","75.49","4.43M","-2.57%"
"01/27/2023","77.68","77.31","78.60","77.10","4.45M","-0.74%"
"01/26/2023","78.26","77.31","78.36","76.24","4.79M","2.80%"
"01/25/2023","76.13","74.57","76.22","73.80","3.70M","0.54%"
"01/24/2023","75.72","75.43","76.64","75.26","3.22M","-0.77%"
"01/23/2023","76.31","73.85","76.66","73.85","4.61M","3.68%"
"01/20/2023","73.60","72.53","73.75","71.47","3.93M","2.58%"
"01/19/2023","71.75","73.52","73.67","71.41","4.88M","-2.91%"
"01/18/2023","73.90","75.38","76.08","73.83","4.41M","-0.79%"
"01/17/2023","74.49","74.87","75.77","73.58","3.03M","-0.57%"
"01/13/2023","74.92","74.77","75.07","73.91","4.00M","-0.43%"
"01/12/2023","75.24","75.67","75.91","73.98","3.37M","-0.21%"
"01/11/2023","75.40","75.74","75.99","74.73","4.00M","-0.07%"
"01/10/2023","75.45","73.99","75.53","73.36","2.74M","2.24%"
"01/09/2023","73.80","74.00","75.39","73.56","3.40M","1.42%"
"01/06/2023","72.77","70.68","73.26","69.74","4.86M","5.31%"
"01/05/2023","69.10","69.86","70.78","68.98","4.03M","-2.39%"
"01/04/2023","70.79","70.61","71.61","69.58","5.19M","2.45%"
"01/03/2023","69.10","71.29","71.58","68.40","3.53M","-1.64%"
"12/30/2022","70.25","69.33","70.33","68.81","2.44M","-0.28%"
"12/29/2022","70.45","68.79","70.77","68.72","3.83M","3.80%"
"12/28/2022","67.87","68.55","69.61","67.69","2.67M","-1.68%"
"12/27/2022","69.03","69.44","69.67","68.32","3.64M","-1.29%"
"12/23/2022","69.93","69.39","69.99","68.69","2.50M","0.03%"
"12/22/2022","69.91","71.37","71.37","68.45","7.64M","-4.18%"
"12/21/2022","72.96","71.76","73.04","71.58","3.21M","2.44%"
"12/20/2022","71.22","70.63","72.13","70.28","2.67M","-0.36%"
"12/19/2022","71.48","72.95","72.95","70.49","5.08M","-1.64%"
"12/16/2022","72.67","72.16","72.96","71.51","9.41M","-0.06%"
"12/15/2022","72.71","74.72","75.00","72.53","6.19M","-4.47%"
"12/14/2022","76.11","77.42","78.37","75.51","3.71M","-1.68%"
"12/13/2022","77.41","80.04","80.50","76.37","5.41M","0.10%"
"12/12/2022","77.33","75.53","77.40","75.37","4.29M","1.91%"
"12/09/2022","75.88","75.91","77.39","75.35","3.21M","-1.22%"
"12/08/2022","76.82","75.83","77.14","75.25","3.68M","2.11%"
"12/07/2022","75.23","74.67","75.82","74.42","3.01M","0.12%"
"12/06/2022","75.14","76.42","76.64","74.53","3.43M","-1.88%"
"12/05/2022","76.58","76.73","77.11","75.92","3.43M","-0.94%"
"12/02/2022","77.31","76.26","77.39","76.03","4.04M","-1.29%"
"12/01/2022","78.32","79.75","79.91","77.35","4.12M","-1.10%"
"11/30/2022","79.19","74.72","79.28","73.64","7.85M","6.70%"
"11/29/2022","74.22","74.77","74.94","73.33","2.62M","-0.16%"
"11/28/2022","74.34","74.78","76.48","73.74","4.81M","-1.76%"
"11/25/2022","75.67","76.26","76.73","75.63","1.75M","-1.24%"
"11/23/2022","76.62","75.09","77.49","74.96","5.04M","1.92%"
"11/22/2022","75.18","72.88","75.29","72.65","5.46M","4.06%"
"11/21/2022","72.25","73.50","73.65","71.61","4.20M","-2.59%"
"11/18/2022","74.17","75.12","75.25","73.51","2.76M","0.51%"
"11/17/2022","73.79","71.94","74.13","71.84","3.30M","0.20%"
"11/16/2022","73.64","75.12","75.63","72.90","6.01M","-4.29%"
"11/15/2022","76.94","77.67","78.12","75.59","4.95M","2.74%"
"11/14/2022","74.89","75.12","76.99","74.80","4.91M","-1.24%"
"11/11/2022","75.83","74.23","76.28","73.05","4.96M","2.58%"
"11/10/2022","73.92","70.68","74.22","70.10","10.56M","11.16%"
"11/09/2022","66.50","66.80","67.39","65.61","5.48M","-1.86%"
"11/08/2022","67.76","66.89","68.63","65.85","6.80M","3.40%"
"11/07/2022","65.53","64.48","65.79","63.10","6.30M","2.62%"
"11/04/2022","63.86","66.44","66.50","62.13","11.23M","7.40%"
"11/03/2022","59.46","59.95","60.58","58.61","5.46M","-1.95%"
"11/02/2022","60.64","62.80","64.21","60.59","6.14M","-2.76%"
"11/01/2022","62.36","63.15","63.48","61.82","4.70M","1.00%"
"10/31/2022","61.74","62.24","62.46","60.74","5.52M","-2.00%"
