"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","362.58","367.22","373.03","361.54","1.32M","-1.06%"
"02/02/2023","366.48","376.00","381.30","355.53","2.68M","-1.21%"
"02/01/2023","370.98","374.69","378.75","369.44","1.70M","-2.03%"
"01/31/2023","378.68","378.06","380.06","373.63","1.25M","0.00%"
"01/30/2023","378.69","379.72","383.24","378.39","674.74K","-0.13%"
"01/27/2023","379.20","385.24","387.57","378.48","750.79K","-1.28%"
"01/26/2023","384.12","376.99","384.14","375.09","836.39K","2.15%"
"01/25/2023","376.05","376.04","380.96","375.92","893.06K","-0.12%"
"01/24/2023","376.50","375.90","377.24","368.42","897.69K","0.39%"
"01/23/2023","375.03","378.35","381.05","374.90","1.13M","-0.80%"
"01/20/2023","378.04","380.17","380.46","374.62","1.33M","-0.18%"
"01/19/2023","378.72","378.47","379.97","375.83","790.03K","0.08%"
"01/18/2023","378.40","381.93","384.43","378.28","734.32K","-1.32%"
"01/17/2023","383.47","381.81","385.36","381.10","802.33K","0.43%"
"01/13/2023","381.81","379.63","384.24","379.60","701.81K","0.25%"
"01/12/2023","380.84","379.56","383.06","377.60","755.97K","0.01%"
"01/11/2023","380.80","384.98","384.98","380.42","956.49K","-0.49%"
"01/10/2023","382.67","381.72","383.27","379.77","733.29K","0.19%"
"01/09/2023","381.96","385.98","391.49","381.96","1.09M","-1.06%"
"01/06/2023","386.05","378.00","386.68","377.07","993.77K","3.21%"
"01/05/2023","374.05","374.00","374.12","371.10","1.05M","0.01%"
"01/04/2023","374.01","373.61","375.64","368.85","956.84K","-0.09%"
"01/03/2023","374.33","372.74","375.39","368.00","732.75K","-0.21%"
"12/30/2022","375.12","375.02","376.07","371.43","499.24K","0.00%"
"12/29/2022","375.12","378.67","379.13","373.77","632.02K","-0.63%"
"12/28/2022","377.51","380.40","381.73","377.20","742.04K","-0.70%"
"12/27/2022","380.19","384.73","385.06","379.76","786.97K","-0.91%"
"12/23/2022","383.67","382.00","385.22","380.36","514.13K","0.49%"
"12/22/2022","381.79","380.40","386.43","379.21","752.37K","0.35%"
"12/21/2022","380.46","377.49","381.04","375.21","744.67K","1.31%"
"12/20/2022","375.55","376.12","379.58","375.53","1.11M","0.00%"
"12/19/2022","375.54","372.73","380.94","371.80","1.49M","0.78%"
"12/16/2022","372.64","364.98","373.43","363.08","2.85M","1.18%"
"12/15/2022","368.28","371.76","372.04","366.01","1.45M","-1.08%"
"12/14/2022","372.31","372.47","374.16","365.70","1.57M","0.33%"
"12/13/2022","371.09","377.30","377.44","367.95","1.26M","-1.76%"
"12/12/2022","377.75","372.00","377.85","369.27","973.92K","1.71%"
"12/09/2022","371.41","379.79","379.79","370.42","1.23M","-2.68%"
"12/08/2022","381.64","386.00","387.94","380.47","803.25K","-1.00%"
"12/07/2022","385.51","380.42","387.98","379.60","1.13M","1.98%"
"12/06/2022","378.04","382.17","383.78","375.22","962.09K","-1.15%"
"12/05/2022","382.44","382.76","383.70","378.03","855.47K","-1.14%"
"12/02/2022","386.85","378.61","389.45","377.80","1.05M","1.88%"
"12/01/2022","379.72","382.50","384.64","379.13","927.63K","-0.51%"
"11/30/2022","381.68","379.95","382.31","374.77","2.06M","-0.03%"
"11/29/2022","381.78","379.44","383.42","378.18","871.84K","0.38%"
"11/28/2022","380.34","382.53","386.95","380.02","1.02M","-0.78%"
"11/25/2022","383.34","383.60","387.03","380.91","330.40K","0.68%"
"11/23/2022","380.75","378.16","381.53","377.81","739.68K","0.80%"
"11/22/2022","377.73","372.18","379.36","370.50","1.07M","2.42%"
"11/21/2022","368.79","369.42","372.12","367.20","793.57K","-0.25%"
"11/18/2022","369.73","369.02","372.39","366.13","858.56K","0.87%"
"11/17/2022","366.55","361.81","367.97","360.27","915.45K","0.92%"
"11/16/2022","363.20","355.89","367.81","355.89","1.24M","2.69%"
"11/15/2022","353.68","358.22","359.10","348.72","1.42M","-2.05%"
"11/14/2022","361.08","358.85","368.05","357.21","1.20M","1.37%"
"11/11/2022","356.21","364.30","365.53","341.31","3.03M","-3.81%"
"11/10/2022","370.32","391.02","392.40","366.30","1.93M","-4.12%"
"11/09/2022","386.22","390.69","394.72","385.81","896.49K","-1.16%"
"11/08/2022","390.77","393.80","394.70","388.32","1.24M","-1.27%"
"11/07/2022","395.80","395.19","399.23","392.36","573.64K","-0.21%"
"11/04/2022","396.65","397.68","401.78","386.35","1.16M","-0.23%"
"11/03/2022","397.58","387.78","401.64","383.29","1.21M","2.00%"
"11/02/2022","389.79","382.03","399.42","380.00","1.63M","2.03%"
"11/01/2022","382.04","388.00","389.60","381.29","1.52M","-1.88%"
"10/31/2022","389.37","392.47","394.11","388.44","1.15M","-1.36%"
"10/28/2022","394.72","389.45","396.00","388.08","885.66K","1.71%"
"10/27/2022","388.07","386.93","389.54","385.01","971.47K","0.69%"
"10/26/2022","385.41","387.07","389.64","383.93","997.54K","0.78%"
"10/25/2022","382.43","377.40","383.79","377.40","927.19K","0.88%"
"10/24/2022","379.11","374.93","381.53","373.95","1.12M","2.29%"
"10/21/2022","370.64","357.99","372.19","356.52","1.03M","3.19%"
"10/20/2022","359.19","361.44","361.95","357.55","680.64K","-0.41%"
"10/19/2022","360.66","361.27","366.77","358.67","794.24K","-0.06%"
"10/18/2022","360.88","358.96","362.82","355.66","866.53K","1.80%"
"10/17/2022","354.49","354.62","356.57","353.16","835.31K","0.52%"
"10/14/2022","352.65","356.19","357.93","348.97","727.07K","-0.51%"
"10/13/2022","354.47","340.51","355.32","339.16","1.20M","2.63%"
"10/12/2022","345.39","353.19","355.08","345.36","793.71K","-1.75%"
"10/11/2022","351.55","345.62","355.99","345.00","688.67K","1.22%"
"10/10/2022","347.32","347.13","350.75","346.65","599.31K","0.18%"
"10/07/2022","346.68","347.92","350.14","345.09","679.19K","-1.20%"
"10/06/2022","350.89","352.99","355.02","350.60","585.89K","-0.98%"
"10/05/2022","354.37","353.16","357.44","351.27","499.22K","-0.28%"
"10/04/2022","355.36","348.72","356.06","346.07","877.28K","2.49%"
"10/03/2022","346.74","342.10","348.34","339.34","763.75K","2.02%"
"09/30/2022","339.87","343.36","346.57","339.50","859.32K","-0.62%"
"09/29/2022","342.00","349.07","349.07","338.49","659.28K","-1.99%"
"09/28/2022","348.94","348.25","351.00","341.04","1.11M","2.19%"
"09/27/2022","341.47","345.40","349.49","341.14","935.86K","-0.41%"
"09/26/2022","342.88","340.75","345.41","340.30","710.23K","-0.11%"
"09/23/2022","343.27","344.63","344.89","338.25","815.16K","-1.06%"
"09/22/2022","346.96","345.73","349.97","344.01","1.11M","0.43%"
"09/21/2022","345.47","348.83","353.69","345.20","770.49K","-0.03%"
"09/20/2022","345.56","346.75","348.19","342.71","669.60K","-0.97%"
"09/19/2022","348.95","343.13","349.68","340.10","1.14M","0.78%"
"09/16/2022","346.25","339.71","347.35","338.48","2.10M","1.53%"
"09/15/2022","341.02","343.94","344.07","337.18","973.25K","-0.11%"
"09/14/2022","341.40","348.12","348.82","338.38","1.54M","-1.87%"
"09/13/2022","347.89","360.00","360.00","347.24","1.14M","-4.35%"
"09/12/2022","363.73","366.65","369.53","361.68","1.01M","-0.68%"
"09/09/2022","366.21","370.86","371.01","365.96","995.50K","-1.07%"
"09/08/2022","370.16","367.21","371.81","366.09","917.97K","0.87%"
"09/07/2022","366.96","360.72","367.61","357.31","799.86K","1.71%"
"09/06/2022","360.80","364.00","367.94","358.77","1.11M","-0.83%"
"09/02/2022","363.82","365.36","370.89","362.79","947.45K","0.00%"
"09/01/2022","363.83","366.93","369.34","361.04","1.37M","-0.86%"
"08/31/2022","367.00","363.42","369.59","362.78","1.58M","0.82%"
"08/30/2022","364.01","363.79","364.96","358.07","1.10M","0.27%"
"08/29/2022","363.02","354.42","367.04","351.11","1.03M","1.75%"
"08/26/2022","356.79","366.78","367.96","356.71","680.32K","-2.75%"
"08/25/2022","366.89","364.03","367.20","362.19","967.20K","1.01%"
"08/24/2022","363.22","364.36","365.41","362.05","774.05K","-0.22%"
"08/23/2022","364.02","367.34","368.18","363.77","558.94K","-1.11%"
"08/22/2022","368.12","369.19","371.98","367.25","959.37K","-0.78%"
"08/19/2022","371.01","370.00","373.00","367.01","875.99K","0.66%"
"08/18/2022","368.56","368.08","369.43","364.33","653.86K","0.32%"
"08/17/2022","367.37","372.06","373.77","366.74","876.31K","-1.73%"
"08/16/2022","373.84","370.32","375.23","370.32","635.48K","0.64%"
"08/15/2022","371.45","364.09","371.92","361.67","954.37K","1.71%"
"08/12/2022","365.20","358.37","365.40","357.46","769.75K","1.80%"
"08/11/2022","358.76","359.10","363.19","357.81","1.11M","-0.24%"
"08/10/2022","359.61","356.65","359.96","355.04","952.10K","1.36%"
"08/09/2022","354.77","350.00","358.64","349.57","1.30M","2.13%"
"08/08/2022","347.38","346.95","349.86","344.44","1.19M","0.20%"
"08/05/2022","346.69","336.62","346.98","336.62","1.17M","2.63%"
"08/04/2022","337.81","336.54","348.49","336.54","1.43M","3.27%"
"08/03/2022","327.10","336.05","338.93","326.19","1.36M","-2.38%"
"08/02/2022","335.09","344.73","345.15","334.33","973.86K","-2.14%"
"08/01/2022","342.42","340.05","346.30","340.05","860.10K","0.25%"
"07/29/2022","341.58","339.69","342.37","337.51","835.83K","0.43%"
"07/28/2022","340.12","338.75","342.54","334.26","711.93K","0.15%"
"07/27/2022","339.62","336.73","340.53","331.46","760.05K","0.58%"
