"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","65.91","66.82","66.87","65.51","6.27M","-1.13%"
"02/02/2023","66.66","66.25","66.79","65.79","6.78M","-0.10%"
"02/01/2023","66.73","65.66","67.13","65.44","7.97M","1.97%"
"01/31/2023","65.44","64.98","65.48","64.71","5.91M","0.93%"
"01/30/2023","64.84","64.79","65.44","64.41","7.92M","0.19%"
"01/27/2023","64.72","64.45","64.95","64.06","7.14M","0.31%"
"01/26/2023","64.52","64.85","64.85","64.28","5.05M","-0.74%"
"01/25/2023","65.00","64.94","65.02","64.08","4.51M","0.25%"
"01/24/2023","64.84","64.40","65.00","63.76","5.02M","0.75%"
"01/23/2023","64.36","64.13","64.78","63.92","6.03M","0.50%"
"01/20/2023","64.04","63.76","64.04","63.26","7.52M","0.31%"
"01/19/2023","63.84","64.40","64.81","63.75","5.93M","-1.13%"
"01/18/2023","64.57","66.73","66.84","64.43","6.75M","-3.66%"
"01/17/2023","67.02","67.18","67.50","66.93","6.23M","-0.06%"
"01/13/2023","67.06","66.59","67.11","66.22","4.71M","0.45%"
"01/12/2023","66.76","67.41","67.53","66.56","4.95M","-1.20%"
"01/11/2023","67.57","67.57","67.82","66.93","4.93M","0.39%"
"01/10/2023","67.31","67.02","67.47","67.00","3.54M","0.10%"
"01/09/2023","67.24","67.67","68.32","67.22","4.13M","-1.15%"
"01/06/2023","68.02","67.15","68.25","66.89","5.85M","2.76%"
"01/05/2023","66.19","66.99","67.13","66.03","5.35M","-0.81%"
"01/04/2023","66.73","66.36","67.39","66.26","6.03M","0.72%"
"01/03/2023","66.25","66.50","66.70","65.37","6.44M","-0.60%"
"12/30/2022","66.65","66.89","66.99","66.11","4.34M","-0.48%"
"12/29/2022","66.97","66.54","67.13","66.50","3.28M","0.21%"
"12/28/2022","66.83","67.82","67.83","66.80","3.48M","-0.98%"
"12/27/2022","67.49","67.39","67.60","67.14","2.98M","0.58%"
"12/23/2022","67.10","66.79","67.24","66.54","3.36M","0.55%"
"12/22/2022","66.73","66.69","66.83","65.97","4.85M","-0.24%"
"12/21/2022","66.89","66.25","67.29","66.10","5.51M","1.58%"
"12/20/2022","65.85","65.78","66.21","65.38","5.71M","0.23%"
"12/19/2022","65.70","66.06","66.29","65.47","7.12M","-0.70%"
"12/16/2022","66.16","65.92","66.39","65.28","17.58M","-0.35%"
"12/15/2022","66.39","66.94","67.21","65.82","7.60M","-1.29%"
"12/14/2022","67.26","67.74","68.06","66.79","7.29M","-0.50%"
"12/13/2022","67.60","68.25","68.50","67.07","6.89M","0.33%"
"12/12/2022","67.38","67.34","67.43","66.90","5.98M","0.48%"
"12/09/2022","67.06","67.56","67.62","66.94","4.82M","-0.78%"
"12/08/2022","67.59","67.34","68.08","67.20","5.88M","-0.65%"
"12/07/2022","68.03","67.62","68.81","67.48","7.22M","1.10%"
"12/06/2022","67.29","67.68","67.97","66.91","4.82M","-0.21%"
"12/05/2022","67.43","67.55","67.64","67.05","4.12M","-1.29%"
"12/02/2022","68.31","67.41","68.36","67.21","3.80M","0.32%"
"12/01/2022","68.09","67.76","68.53","67.68","5.85M","0.71%"
"11/30/2022","67.61","65.79","67.75","65.59","8.30M","2.36%"
"11/29/2022","66.05","65.81","66.13","65.59","3.67M","-0.15%"
"11/28/2022","66.15","66.68","66.99","66.07","3.76M","-0.81%"
"11/25/2022","66.69","66.67","66.82","66.49","2.21M","0.03%"
"11/23/2022","66.67","66.31","66.70","66.14","3.24M","0.54%"
"11/22/2022","66.31","66.25","66.39","65.81","4.08M","0.70%"
"11/21/2022","65.85","65.30","65.96","65.04","5.83M","1.32%"
"11/18/2022","64.99","64.66","65.09","64.31","4.97M","0.84%"
"11/17/2022","64.45","64.31","64.63","64.00","5.15M","-0.85%"
"11/16/2022","65.00","64.99","65.55","64.68","4.61M","0.54%"
"11/15/2022","64.65","64.79","64.99","64.17","5.93M","0.86%"
"11/14/2022","64.10","65.00","65.32","64.06","5.77M","-1.08%"
"11/11/2022","64.80","65.05","65.19","63.96","6.38M","-0.28%"
"11/10/2022","64.98","64.76","65.17","63.47","8.60M","2.51%"
"11/09/2022","63.39","63.85","64.31","63.30","5.58M","-0.83%"
"11/08/2022","63.92","64.20","64.70","62.97","6.77M","-0.73%"
"11/07/2022","64.39","63.40","64.51","63.37","6.46M","1.85%"
"11/04/2022","63.22","62.31","63.28","62.12","7.51M","1.97%"
"11/03/2022","62.00","62.09","62.65","61.84","8.16M","-0.93%"
"11/02/2022","62.58","64.95","64.96","62.00","11.45M","1.15%"
"11/01/2022","61.87","61.56","62.28","61.54","8.48M","0.63%"
"10/31/2022","61.48","61.23","61.99","60.64","6.84M","-0.36%"
"10/28/2022","61.70","60.66","61.81","60.42","6.26M","2.30%"
"10/27/2022","60.31","60.00","60.69","59.74","7.15M","0.68%"
"10/26/2022","59.90","59.84","60.54","59.30","6.62M","0.99%"
"10/25/2022","59.31","58.83","59.38","58.51","7.07M","0.97%"
"10/24/2022","58.74","58.17","58.78","57.80","6.47M","2.42%"
"10/21/2022","57.35","56.58","57.43","56.38","9.70M","0.77%"
"10/20/2022","56.91","57.75","57.87","56.79","5.72M","-1.37%"
"10/19/2022","57.70","58.20","58.59","57.37","4.62M","-1.11%"
"10/18/2022","58.35","58.12","58.69","57.79","6.35M","1.58%"
"10/17/2022","57.44","57.61","57.97","57.34","7.10M","0.88%"
"10/14/2022","56.94","58.21","58.32","56.84","7.92M","-1.28%"
"10/13/2022","57.68","56.10","58.03","55.87","10.00M","1.50%"
"10/12/2022","56.83","56.94","57.53","56.61","8.28M","0.98%"
"10/11/2022","56.28","55.53","56.76","55.37","7.90M","1.19%"
"10/10/2022","55.62","55.54","55.85","54.97","6.94M","0.65%"
"10/07/2022","55.26","55.85","55.95","54.95","6.75M","-1.34%"
"10/06/2022","56.01","57.01","57.33","55.80","6.07M","-2.15%"
"10/05/2022","57.24","57.20","57.65","56.51","4.90M","-0.50%"
"10/04/2022","57.53","56.84","57.92","56.74","10.62M","2.09%"
"10/03/2022","56.35","55.24","56.56","54.85","11.68M","2.77%"
"09/30/2022","54.83","56.49","56.70","54.72","14.65M","-3.25%"
"09/29/2022","56.67","57.62","57.70","56.28","7.34M","-2.53%"
"09/28/2022","58.14","57.99","58.46","57.26","6.26M","0.97%"
"09/27/2022","57.58","58.69","59.13","57.31","7.37M","-1.32%"
"09/26/2022","58.35","58.79","59.12","58.10","7.20M","-1.02%"
"09/23/2022","58.95","59.54","59.75","58.26","6.15M","-1.42%"
"09/22/2022","59.80","59.87","60.33","59.50","7.01M","0.08%"
"09/21/2022","59.75","59.94","61.05","59.74","8.38M","0.00%"
"09/20/2022","59.75","60.04","60.23","59.26","6.15M","-1.04%"
"09/19/2022","60.38","60.30","60.46","59.85","7.78M","0.13%"
"09/16/2022","60.30","59.48","60.39","59.38","11.87M","1.23%"
"09/15/2022","59.57","60.09","60.24","59.31","6.61M","-1.11%"
"09/14/2022","60.24","60.12","60.47","59.92","6.54M","0.60%"
"09/13/2022","59.88","61.03","61.27","59.62","8.61M","-3.26%"
"09/12/2022","61.90","61.62","62.44","61.44","5.89M","0.93%"
"09/09/2022","61.33","61.33","61.75","60.93","6.34M","0.62%"
"09/08/2022","60.95","61.01","61.25","60.10","5.34M","-0.77%"
"09/07/2022","61.42","60.05","61.51","59.82","8.28M","2.37%"
"09/06/2022","60.00","60.86","60.86","59.76","8.91M","-1.20%"
"09/02/2022","60.73","62.04","62.45","60.38","6.26M","-2.00%"
"09/01/2022","61.97","61.54","62.02","60.97","7.56M","0.18%"
"08/31/2022","61.86","61.96","62.90","61.82","9.89M","0.02%"
"08/30/2022","61.85","62.45","62.55","61.64","4.85M","-1.01%"
"08/29/2022","62.48","62.23","62.85","61.79","5.48M","-0.40%"
"08/26/2022","62.73","64.56","64.68","62.57","7.07M","-2.68%"
"08/25/2022","64.46","64.60","64.97","64.07","4.38M","-0.22%"
"08/24/2022","64.60","63.78","64.68","63.59","5.91M","1.38%"
"08/23/2022","63.72","64.23","64.39","63.65","5.41M","-1.22%"
"08/22/2022","64.51","65.25","65.48","64.30","5.43M","-1.30%"
"08/19/2022","65.36","65.22","65.65","64.96","5.06M","-0.29%"
"08/18/2022","65.55","65.47","65.74","65.10","3.58M","0.06%"
"08/17/2022","65.51","65.78","65.84","65.22","4.19M","-0.68%"
"08/16/2022","65.96","65.18","66.31","65.06","5.26M","1.20%"
"08/15/2022","65.18","64.39","65.38","64.08","4.76M","1.53%"
"08/12/2022","64.20","64.49","64.67","63.78","4.84M","-0.14%"
"08/11/2022","64.29","64.81","65.10","64.13","3.61M","-0.28%"
"08/10/2022","64.47","64.32","64.66","64.18","3.60M","0.84%"
"08/09/2022","63.93","64.16","64.32","63.82","3.48M","-0.02%"
"08/08/2022","63.94","64.02","64.59","63.71","4.93M","0.27%"
"08/05/2022","63.77","64.15","64.15","63.13","5.68M","-0.75%"
"08/04/2022","64.25","64.97","65.18","64.08","5.66M","-1.35%"
"08/03/2022","65.13","64.68","65.32","64.47","5.31M","0.57%"
"08/02/2022","64.76","65.16","65.16","64.54","5.19M","-0.20%"
"08/01/2022","64.89","63.92","65.17","63.91","6.12M","1.33%"
"07/29/2022","64.04","63.43","64.45","63.40","6.18M","-0.25%"
"07/28/2022","64.20","63.57","64.39","63.15","5.17M","0.90%"
"07/27/2022","63.63","62.98","63.82","62.29","8.30M","1.10%"
"07/26/2022","62.94","62.45","63.10","61.97","7.53M","0.29%"
"07/25/2022","62.76","62.06","63.12","61.90","6.35M","1.24%"
"07/22/2022","61.99","61.73","62.03","61.53","4.76M","1.04%"
"07/21/2022","61.35","61.41","61.70","60.95","4.34M","-0.16%"
"07/20/2022","61.45","61.80","61.99","61.02","6.28M","0.05%"
"07/19/2022","61.42","60.87","61.60","60.60","8.70M","2.26%"
"07/18/2022","60.06","60.57","61.01","59.97","6.88M","-1.12%"
"07/15/2022","60.74","61.63","61.63","60.38","6.31M","-0.23%"
"07/14/2022","60.88","61.04","61.19","60.26","7.23M","-1.76%"
"07/13/2022","61.97","62.04","62.65","61.46","5.06M","-0.94%"
"07/12/2022","62.56","62.72","63.50","62.28","5.92M","0.45%"
"07/11/2022","62.28","62.55","62.81","62.01","5.22M","-0.26%"
"07/08/2022","62.44","62.37","62.83","62.16","4.95M","0.11%"
"07/07/2022","62.37","62.32","62.63","61.78","9.42M","-0.06%"
"07/06/2022","62.41","62.53","62.92","62.14","8.53M","-0.11%"
"07/05/2022","62.48","63.13","63.20","61.13","9.06M","-1.36%"
"07/01/2022","63.34","61.55","63.63","61.55","9.48M","2.01%"
"06/30/2022","62.09","61.58","62.51","61.51","7.13M","0.06%"
"06/29/2022","62.05","61.50","62.36","61.49","4.88M","0.53%"
"06/28/2022","61.72","62.87","63.18","61.56","6.60M","-1.45%"
"06/27/2022","62.63","62.15","62.81","62.08","5.21M","-0.03%"
"06/24/2022","62.65","61.59","62.71","61.32","6.53M","2.64%"
"06/23/2022","61.04","60.54","61.40","60.52","6.40M","1.26%"
"06/22/2022","60.28","59.84","60.74","59.63","10.31M","0.77%"
"06/21/2022","59.82","59.28","60.08","58.29","10.58M","1.73%"
"06/17/2022","58.80","58.72","59.20","58.10","11.42M","0.32%"
"06/16/2022","58.61","58.40","59.18","57.99","7.95M","-0.73%"
"06/15/2022","59.04","58.94","59.88","58.29","8.80M","0.97%"
"06/14/2022","58.47","59.51","59.60","57.82","7.08M","-1.23%"
"06/13/2022","59.20","60.20","60.30","58.97","8.69M","-2.63%"
"06/10/2022","60.80","60.51","61.31","60.04","8.23M","-0.70%"
"06/09/2022","61.23","62.44","63.02","61.20","7.08M","-2.22%"
"06/08/2022","62.62","63.00","63.16","62.51","3.86M","-0.98%"
"06/07/2022","63.24","61.96","63.34","61.88","5.85M","1.27%"
"06/06/2022","62.45","62.71","63.13","62.22","4.56M","0.06%"
"06/03/2022","62.41","62.84","63.04","62.08","6.22M","-1.00%"
"06/02/2022","63.04","62.85","63.06","61.47","7.69M","0.21%"
"06/01/2022","62.91","63.45","63.74","62.08","7.53M","-1.02%"
"05/31/2022","63.56","63.62","63.94","62.61","8.73M","-0.31%"
"05/27/2022","63.76","62.79","63.76","62.50","8.63M","2.02%"
"05/26/2022","62.50","62.30","63.22","62.27","5.93M","0.21%"
"05/25/2022","62.37","62.81","62.98","61.78","8.48M","-1.00%"
"05/24/2022","63.00","61.97","63.04","61.76","6.47M","1.55%"
"05/23/2022","62.04","62.06","62.42","61.51","7.04M","1.39%"
"05/20/2022","61.19","61.22","61.46","60.41","14.29M","0.13%"
"05/19/2022","61.11","60.33","61.56","59.65","10.83M","0.28%"
"05/18/2022","60.94","65.40","65.45","60.71","12.68M","-7.27%"
"05/17/2022","65.72","66.14","66.25","64.54","9.73M","-0.62%"
"05/16/2022","66.13","66.40","66.45","65.79","7.95M","-0.38%"
"05/13/2022","66.38","65.83","66.46","65.36","7.83M","1.07%"
"05/12/2022","65.68","65.64","65.90","64.84","8.66M","0.18%"
"05/11/2022","65.56","65.61","66.41","65.43","9.67M","-0.55%"
"05/10/2022","65.92","66.89","67.93","65.71","10.94M","-0.54%"
"05/09/2022","66.28","65.40","66.71","65.23","11.71M","0.84%"
"05/06/2022","65.73","65.05","65.94","64.75","9.04M","0.77%"
"05/05/2022","65.23","65.72","66.07","64.81","8.84M","-1.45%"
"05/04/2022","66.19","64.52","66.30","64.43","8.27M","2.32%"
"05/03/2022","64.69","64.11","64.89","63.64","9.54M","1.41%"
"05/02/2022","63.79","65.31","65.48","62.99","10.05M","-1.07%"
"04/29/2022","64.48","65.96","66.04","64.36","10.39M","-2.63%"
"04/28/2022","66.22","64.20","66.33","64.11","9.72M","3.39%"
"04/27/2022","64.05","65.54","65.66","63.93","9.88M","0.02%"
"04/26/2022","64.04","65.86","66.03","64.04","9.88M","-2.65%"
"04/25/2022","65.78","65.61","65.97","64.52","8.90M","1.11%"
"04/22/2022","65.06","65.98","66.18","65.04","7.74M","-1.18%"
"04/21/2022","65.84","65.85","66.35","65.74","6.42M","0.17%"
"04/20/2022","65.73","65.24","65.96","65.24","8.17M","0.80%"
"04/19/2022","65.21","63.74","65.50","63.60","7.22M","2.58%"
"04/18/2022","63.57","63.62","64.02","63.25","5.78M","-0.24%"
"04/14/2022","63.72","64.15","64.22","63.68","6.65M","-0.20%"
"04/13/2022","63.85","63.69","64.08","63.42","5.87M","0.28%"
"04/12/2022","63.67","64.08","64.33","63.29","7.20M","0.41%"
"04/11/2022","63.41","63.96","64.15","63.30","9.48M","0.02%"
"04/08/2022","63.40","63.09","63.58","62.78","7.83M","0.81%"
"04/07/2022","62.89","63.14","63.18","61.95","7.46M","-0.51%"
"04/06/2022","63.21","63.05","63.59","62.72","5.39M","0.32%"
"04/05/2022","63.01","62.78","63.77","62.78","5.13M","-0.05%"
"04/04/2022","63.04","63.36","63.52","62.47","6.15M","-0.77%"
"04/01/2022","63.53","63.00","63.64","62.20","6.90M","1.19%"
"03/31/2022","62.78","62.80","63.13","62.60","8.32M","0.05%"
"03/30/2022","62.75","62.65","62.86","62.16","6.07M","-0.49%"
"03/29/2022","63.06","62.06","63.07","62.06","9.78M","2.42%"
"03/28/2022","61.57","61.65","61.81","61.15","8.00M","0.08%"
"03/25/2022","61.52","61.00","61.78","60.96","6.22M","1.10%"
"03/24/2022","60.85","61.12","61.17","60.29","10.85M","0.12%"
"03/23/2022","60.78","61.67","62.06","60.73","7.41M","-1.28%"
"03/22/2022","61.57","61.68","61.83","60.87","7.52M","0.33%"
"03/21/2022","61.37","61.54","61.89","61.09","8.91M","-0.23%"
"03/18/2022","61.51","61.55","61.88","60.95","12.83M","-1.22%"
"03/17/2022","62.27","61.96","62.78","61.34","7.22M","0.52%"
"03/16/2022","61.95","61.46","62.17","61.02","12.06M","1.28%"
"03/15/2022","61.17","59.84","61.28","59.59","9.66M","3.08%"
"03/14/2022","59.34","59.48","60.43","59.21","9.78M","0.37%"
"03/11/2022","59.12","60.50","61.07","59.02","9.39M","-1.73%"
"03/10/2022","60.16","60.62","60.71","59.68","7.32M","-1.84%"
"03/09/2022","61.29","61.60","62.08","61.08","8.71M","0.81%"
"03/08/2022","60.80","62.47","62.80","60.71","12.99M","-2.77%"
"03/07/2022","62.53","63.76","63.76","62.18","13.77M","-2.04%"
"03/04/2022","63.83","64.04","64.26","63.21","10.95M","-1.66%"
"03/03/2022","64.91","65.10","65.49","64.64","6.53M","0.32%"
"03/02/2022","64.70","64.23","65.07","63.98","7.44M","0.56%"
"03/01/2022","64.34","64.99","65.45","64.13","8.72M","-1.74%"
"02/28/2022","65.48","65.57","65.94","64.67","7.90M","-1.92%"
"02/25/2022","66.76","65.02","66.79","64.90","7.56M","3.26%"
"02/24/2022","64.65","65.31","65.87","63.22","10.28M","-2.46%"
"02/23/2022","66.28","66.65","66.98","66.19","6.92M","-0.29%"
"02/22/2022","66.47","66.54","66.67","65.75","8.94M","0.71%"
"02/18/2022","66.00","66.03","66.53","65.62","6.05M","-0.09%"
"02/17/2022","66.06","65.58","66.32","65.13","7.24M","0.53%"
"02/16/2022","65.71","66.03","66.52","65.20","6.10M","-0.24%"
"02/15/2022","65.87","66.30","66.74","65.57","6.69M","-0.41%"
"02/14/2022","66.14","66.94","67.02","65.35","7.21M","-0.84%"
"02/11/2022","66.70","67.08","67.38","66.55","8.13M","-0.10%"
"02/10/2022","66.77","67.24","67.89","66.56","7.54M","-1.75%"
"02/09/2022","67.96","68.48","68.59","67.79","5.40M","-0.13%"
"02/08/2022","68.05","67.72","68.29","67.41","6.59M","0.84%"
"02/07/2022","67.48","67.29","67.76","66.79","6.58M","0.69%"
"02/04/2022","67.02","67.61","68.14","66.85","7.91M","-1.35%"
"02/03/2022","67.94","67.72","68.46","67.46","6.57M","0.06%"
"02/02/2022","67.90","66.81","68.05","66.51","6.86M","1.83%"
"02/01/2022","66.68","66.99","67.32","66.06","6.57M","-0.52%"
"01/31/2022","67.03","66.26","67.36","65.71","9.65M","0.92%"
"01/28/2022","66.42","65.13","66.54","63.90","15.47M","-1.56%"
"01/27/2022","67.47","67.21","68.64","66.94","12.15M","1.28%"
"01/26/2022","66.62","66.47","67.49","66.12","10.00M","-0.54%"
"01/25/2022","66.98","67.28","67.31","66.21","12.86M","-0.93%"
"01/24/2022","67.61","68.61","68.91","66.06","13.21M","-1.10%"
"01/21/2022","68.36","68.23","69.47","68.20","18.88M","0.89%"
"01/20/2022","67.76","67.58","68.18","67.46","10.45M","0.24%"
"01/19/2022","67.60","67.56","68.17","67.45","6.74M","0.34%"
"01/18/2022","67.37","67.26","67.42","66.65","6.64M","-1.07%"
"01/14/2022","68.10","67.46","68.15","67.08","6.34M","0.68%"
"01/13/2022","67.64","67.25","67.77","67.08","6.02M","0.40%"
