"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","87.10","86.70","87.54","86.50","4.95M","-0.55%"
"02/02/2023","87.58","85.80","87.85","85.71","6.89M","2.11%"
"02/01/2023","85.77","84.00","86.09","83.60","8.36M","2.49%"
"01/31/2023","83.69","82.75","83.71","82.58","7.40M","1.34%"
"01/30/2023","82.58","82.76","82.98","82.22","6.12M","0.00%"
"01/27/2023","82.58","82.18","83.17","80.81","4.86M","0.90%"
"01/26/2023","81.84","81.74","81.88","81.02","4.09M","0.79%"
"01/25/2023","81.20","80.35","81.36","80.11","4.18M","0.50%"
"01/24/2023","80.80","81.73","82.35","80.50","7.18M","-1.91%"
"01/23/2023","82.37","81.02","82.95","80.75","9.47M","1.80%"
"01/20/2023","80.91","80.05","80.99","79.34","6.81M","1.75%"
"01/19/2023","79.52","78.38","80.06","77.87","7.79M","1.00%"
"01/18/2023","78.73","80.27","80.39","78.66","5.79M","-2.02%"
"01/17/2023","80.35","80.58","80.95","79.38","8.18M","-0.30%"
"01/13/2023","80.59","79.17","80.69","78.91","6.02M","0.93%"
"01/12/2023","79.85","80.58","80.68","78.89","5.72M","-0.59%"
"01/11/2023","80.32","79.46","80.44","78.14","8.37M","1.81%"
"01/10/2023","78.89","77.87","79.41","77.75","6.49M","1.74%"
"01/09/2023","77.54","80.75","81.26","77.47","11.07M","-4.11%"
"01/06/2023","80.86","80.49","81.23","79.35","5.99M","1.04%"
"01/05/2023","80.03","80.88","81.16","80.00","7.04M","-1.16%"
"01/04/2023","80.97","79.14","81.78","78.80","9.77M","3.46%"
"01/03/2023","78.26","77.97","78.33","77.38","6.54M","0.69%"
"12/30/2022","77.72","77.56","77.91","76.86","4.99M","-0.12%"
"12/29/2022","77.81","76.57","78.23","76.27","4.93M","1.98%"
"12/28/2022","76.30","78.05","78.38","76.24","6.03M","-1.73%"
"12/27/2022","77.64","77.51","77.90","76.50","5.34M","0.18%"
"12/23/2022","77.50","76.95","77.75","76.46","3.86M","0.47%"
"12/22/2022","77.14","76.68","77.21","75.79","7.45M","-0.03%"
"12/21/2022","77.16","77.34","77.96","76.91","6.80M","0.60%"
"12/20/2022","76.70","76.50","77.09","76.46","8.06M","-0.54%"
"12/19/2022","77.12","76.71","77.21","76.29","8.37M","0.52%"
"12/16/2022","76.72","77.14","77.58","75.76","17.06M","-1.29%"
"12/15/2022","77.72","77.68","78.68","77.14","9.89M","-1.36%"
"12/14/2022","78.79","79.74","81.19","78.11","9.30M","-1.68%"
"12/13/2022","80.14","80.76","81.24","79.82","11.39M","0.54%"
"12/12/2022","79.71","79.10","79.73","78.77","6.00M","1.43%"
"12/09/2022","78.59","77.77","78.92","77.30","6.37M","1.03%"
"12/08/2022","77.79","76.50","78.17","76.47","5.92M","1.14%"
"12/07/2022","76.91","77.33","77.66","76.55","6.08M","-0.22%"
"12/06/2022","77.08","78.39","78.75","76.75","7.23M","-2.17%"
"12/05/2022","78.79","79.04","79.42","78.35","6.05M","-1.04%"
"12/02/2022","79.62","78.60","79.70","78.55","6.34M","0.47%"
"12/01/2022","79.25","79.31","80.15","78.92","7.88M","0.27%"
"11/30/2022","79.04","76.87","79.07","76.05","10.61M","3.35%"
"11/29/2022","76.48","76.40","77.16","75.83","8.18M","0.46%"
"11/28/2022","76.13","78.50","79.10","75.84","11.01M","-3.78%"
"11/25/2022","79.12","79.32","79.72","78.75","4.88M","0.13%"
"11/23/2022","79.02","77.51","79.23","77.28","9.87M","1.40%"
"11/22/2022","77.93","78.00","78.28","76.60","17.13M","-5.30%"
"11/21/2022","82.29","81.51","83.44","81.39","8.30M","1.22%"
"11/18/2022","81.30","79.72","81.63","79.51","9.03M","1.70%"
"11/17/2022","79.94","81.30","81.30","79.37","8.95M","-2.25%"
"11/16/2022","81.78","82.17","83.27","81.63","8.29M","-1.94%"
"11/15/2022","83.40","83.28","84.26","82.49","6.77M","0.60%"
"11/14/2022","82.90","83.65","84.69","82.76","6.77M","-0.78%"
"11/11/2022","83.55","82.47","83.64","81.94","8.50M","2.09%"
"11/10/2022","81.84","82.11","82.20","81.04","9.21M","3.22%"
"11/09/2022","79.29","80.34","81.49","79.19","7.15M","-1.12%"
"11/08/2022","80.19","81.75","82.18","79.72","12.75M","-6.25%"
"11/07/2022","85.54","85.53","85.84","84.92","5.22M","1.05%"
"11/04/2022","84.65","84.82","84.89","83.15","5.67M","0.75%"
"11/03/2022","84.02","84.82","84.83","83.52","5.15M","-2.05%"
"11/02/2022","85.78","87.48","88.74","85.77","6.02M","-2.23%"
"11/01/2022","87.74","87.46","88.04","86.36","6.68M","0.46%"
"10/31/2022","87.34","86.65","87.68","86.36","6.55M","0.60%"
"10/28/2022","86.82","85.55","86.95","85.31","5.43M","1.46%"
"10/27/2022","85.57","85.55","86.06","84.58","5.08M","0.23%"
"10/26/2022","85.37","84.89","86.65","84.86","3.99M","1.03%"
"10/25/2022","84.50","83.52","84.70","83.45","5.14M","0.74%"
"10/24/2022","83.88","84.13","84.46","83.07","6.04M","0.74%"
"10/21/2022","83.26","82.25","83.53","80.99","5.97M","0.98%"
"10/20/2022","82.45","83.71","84.01","82.20","4.04M","-1.45%"
"10/19/2022","83.66","83.80","84.17","82.07","5.47M","-0.52%"
"10/18/2022","84.10","84.88","85.13","83.50","6.91M","1.62%"
"10/17/2022","82.76","82.80","83.58","82.34","9.02M","1.41%"
"10/14/2022","81.61","84.11","84.70","81.34","5.50M","-2.26%"
"10/13/2022","83.50","80.00","84.21","79.44","6.32M","3.97%"
"10/12/2022","80.31","81.65","82.02","80.30","6.15M","-1.93%"
"10/11/2022","81.89","82.03","82.88","81.00","5.41M","0.06%"
"10/10/2022","81.84","82.89","83.06","81.56","3.38M","-0.70%"
"10/07/2022","82.42","83.91","84.04","82.01","4.27M","-2.37%"
"10/06/2022","84.42","84.75","85.05","83.83","5.47M","-0.74%"
"10/05/2022","85.05","83.69","85.37","83.58","3.89M","0.65%"
"10/04/2022","84.50","83.65","84.86","83.38","4.87M","2.18%"
"10/03/2022","82.70","81.50","83.24","81.21","5.87M","2.41%"
"09/30/2022","80.75","82.60","83.54","80.69","5.97M","-1.85%"
"09/29/2022","82.27","82.36","83.14","81.43","5.31M","-0.39%"
"09/28/2022","82.59","81.41","82.92","80.81","6.10M","2.10%"
"09/27/2022","80.89","82.06","82.39","80.39","5.22M","-0.54%"
"09/26/2022","81.33","82.22","82.59","80.68","7.10M","-1.61%"
"09/23/2022","82.66","83.05","83.12","81.62","5.96M","-1.08%"
"09/22/2022","83.56","84.60","84.92","83.21","6.31M","-2.53%"
"09/21/2022","85.73","88.78","89.20","85.70","5.35M","-3.09%"
"09/20/2022","88.46","88.94","89.02","87.60","5.60M","-1.36%"
"09/19/2022","89.68","89.37","89.95","87.81","5.07M","-0.63%"
"09/16/2022","90.25","90.00","90.62","89.41","14.64M","-0.41%"
"09/15/2022","90.62","90.83","91.90","90.53","5.96M","0.00%"
"09/14/2022","90.62","89.99","91.18","89.80","7.18M","0.33%"
"09/13/2022","90.32","90.47","91.75","90.25","6.81M","-1.89%"
"09/12/2022","92.06","90.48","92.39","90.25","6.87M","2.60%"
"09/09/2022","89.73","88.19","90.06","87.85","6.76M","2.09%"
"09/08/2022","87.89","86.80","88.51","86.45","7.03M","0.90%"
"09/07/2022","87.11","85.97","87.34","85.66","11.56M","1.06%"
"09/06/2022","86.20","87.20","87.51","85.88","5.78M","-1.15%"
"09/02/2022","87.20","89.33","89.33","86.88","4.51M","-1.50%"
"09/01/2022","88.53","87.73","88.59","86.42","4.86M","0.69%"
"08/31/2022","87.92","88.29","89.17","87.73","6.74M","0.77%"
"08/30/2022","87.25","89.00","89.04","87.14","5.44M","-1.87%"
"08/29/2022","88.91","89.09","89.48","88.67","4.59M","-0.58%"
"08/26/2022","89.43","92.52","92.93","89.38","5.41M","-2.94%"
"08/25/2022","92.14","90.00","92.18","89.53","6.65M","3.20%"
"08/24/2022","89.28","89.47","89.96","88.42","6.85M","-1.04%"
"08/23/2022","90.22","93.10","93.17","89.33","8.49M","-3.08%"
"08/22/2022","93.09","94.39","94.97","92.89","6.86M","-2.01%"
"08/19/2022","95.00","95.40","95.60","94.27","4.76M","-0.25%"
"08/18/2022","95.24","95.00","95.34","94.14","3.55M","0.35%"
"08/17/2022","94.91","94.55","95.26","94.28","3.51M","-0.42%"
"08/16/2022","95.31","94.61","95.56","94.61","3.66M","0.12%"
"08/15/2022","95.20","94.56","95.49","94.10","3.54M","0.40%"
"08/12/2022","94.82","94.05","94.83","93.89","8.84M","0.83%"
"08/11/2022","94.04","94.74","94.97","93.85","5.91M","-0.14%"
"08/10/2022","94.17","94.00","94.36","93.64","4.37M","1.15%"
"08/09/2022","93.10","93.55","93.97","92.91","2.95M","-0.51%"
"08/08/2022","93.58","93.65","94.39","93.48","3.65M","0.32%"
"08/05/2022","93.28","92.89","93.38","92.54","3.33M","0.08%"
"08/04/2022","93.21","93.78","94.15","92.98","3.39M","-0.60%"
"08/03/2022","93.77","93.28","94.14","92.81","3.49M","0.60%"
"08/02/2022","93.21","93.03","94.14","92.67","4.05M","0.14%"
"08/01/2022","93.08","91.83","93.28","91.35","4.71M","0.61%"
"07/29/2022","92.52","93.04","93.45","92.26","6.87M","-1.02%"
"07/28/2022","93.47","93.46","94.05","92.49","4.73M","0.27%"
"07/27/2022","93.22","92.66","93.53","92.50","5.93M","1.44%"
"07/26/2022","91.90","91.08","92.22","90.71","5.16M","1.27%"
"07/25/2022","90.75","90.98","91.52","90.46","3.72M","0.03%"
"07/22/2022","90.72","90.55","91.62","89.99","3.47M","0.51%"
"07/21/2022","90.26","89.67","90.55","89.15","4.61M","1.15%"
"07/20/2022","89.23","90.03","90.32","88.50","6.26M","-1.22%"
"07/19/2022","90.33","88.76","90.42","88.76","4.65M","2.76%"
"07/18/2022","87.90","89.56","89.78","87.71","4.26M","-1.37%"
"07/15/2022","89.12","88.81","89.29","88.07","5.59M","1.84%"
"07/14/2022","87.51","87.08","87.67","86.70","3.84M","-0.46%"
"07/13/2022","87.91","87.66","88.60","86.81","4.24M","-0.88%"
"07/12/2022","88.69","88.80","89.99","88.38","6.20M","-0.29%"
"07/11/2022","88.95","88.66","89.32","88.17","3.35M","-0.59%"
"07/08/2022","89.48","89.62","90.40","89.23","4.00M","-0.02%"
"07/07/2022","89.50","89.37","89.70","88.70","5.58M","-0.13%"
"07/06/2022","89.62","90.04","90.48","89.10","8.06M","-0.96%"
"07/05/2022","90.49","90.53","90.84","88.81","3.59M","-0.97%"
"07/01/2022","91.38","89.76","91.54","89.06","3.99M","1.82%"
"06/30/2022","89.75","89.42","90.82","88.91","5.21M","-0.74%"
"06/29/2022","90.42","89.89","90.55","89.07","4.07M","1.37%"
"06/28/2022","89.20","90.86","91.96","89.12","4.17M","-1.40%"
"06/27/2022","90.47","90.36","91.20","89.88","7.24M","0.28%"
"06/24/2022","90.22","89.35","90.51","88.25","7.13M","1.75%"
"06/23/2022","88.67","88.37","89.61","88.16","6.82M","-0.65%"
