"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","41.71","40.91","42.21","40.81","3.26M","0.77%"
"02/02/2023","41.39","42.25","42.33","41.00","4.26M","-1.24%"
"02/01/2023","41.91","41.50","42.07","40.69","3.61M","1.21%"
"01/31/2023","41.41","39.88","41.43","39.77","4.32M","3.89%"
"01/30/2023","39.86","40.25","40.71","39.81","4.93M","-2.80%"
"01/27/2023","41.01","40.80","41.29","40.56","2.55M","0.24%"
"01/26/2023","40.91","41.05","41.24","39.94","3.84M","1.56%"
"01/25/2023","40.28","39.70","40.29","39.34","2.63M","0.00%"
"01/24/2023","40.28","39.48","40.43","39.48","2.92M","0.95%"
"01/23/2023","39.90","39.24","40.08","39.24","3.81M","2.18%"
"01/20/2023","39.05","38.47","39.14","38.20","3.10M","2.33%"
"01/19/2023","38.16","37.77","38.44","37.48","3.91M","-0.31%"
"01/18/2023","38.28","39.40","39.54","38.27","3.08M","-1.77%"
"01/17/2023","38.97","39.12","39.71","38.93","3.03M","-1.44%"
"01/13/2023","39.54","38.54","39.61","38.52","2.50M","1.57%"
"01/12/2023","38.93","38.81","39.21","38.40","3.68M","0.91%"
"01/11/2023","38.58","38.87","39.33","38.40","3.61M","-0.69%"
"01/10/2023","38.85","37.67","38.86","37.58","4.30M","3.21%"
"01/09/2023","37.64","37.58","38.24","37.52","5.38M","1.18%"
"01/06/2023","37.20","35.49","37.35","35.28","6.59M","5.83%"
"01/05/2023","35.15","35.09","35.71","34.99","3.46M","-1.10%"
"01/04/2023","35.54","33.80","35.54","33.75","4.45M","6.79%"
"01/03/2023","33.28","33.93","34.42","33.23","3.60M","-0.75%"
"12/30/2022","33.53","32.74","33.53","32.62","2.85M","0.81%"
"12/29/2022","33.26","32.72","33.64","32.55","3.73M","2.56%"
"12/28/2022","32.43","33.73","33.90","32.43","4.15M","-4.25%"
"12/27/2022","33.87","34.00","34.50","33.81","3.03M","0.15%"
"12/23/2022","33.82","33.59","33.93","33.32","2.04M","0.21%"
"12/22/2022","33.75","34.22","34.34","33.19","3.32M","-2.37%"
"12/21/2022","34.57","34.58","34.98","34.47","2.95M","0.58%"
"12/20/2022","34.37","34.03","34.71","33.85","3.42M","0.44%"
"12/19/2022","34.22","35.69","35.69","34.16","4.26M","-4.04%"
"12/16/2022","35.66","35.74","36.20","35.38","5.47M","-1.55%"
"12/15/2022","36.22","36.39","36.61","35.47","4.84M","-1.92%"
"12/14/2022","36.93","37.07","37.69","36.41","6.70M","-1.41%"
"12/13/2022","37.46","38.04","38.23","36.74","5.53M","1.52%"
"12/12/2022","36.90","36.22","36.91","35.72","3.25M","1.51%"
"12/09/2022","36.35","36.85","36.91","36.25","3.85M","-1.78%"
"12/08/2022","37.01","36.99","37.43","36.74","3.96M","1.73%"
"12/07/2022","36.38","36.89","37.27","36.28","4.07M","-2.52%"
"12/06/2022","37.32","38.14","38.25","36.76","4.08M","-1.27%"
"12/05/2022","37.80","38.07","38.64","37.52","5.58M","1.94%"
"12/02/2022","37.08","36.55","37.37","36.55","4.66M","-0.51%"
"12/01/2022","37.27","36.81","37.39","36.71","5.32M","1.11%"
"11/30/2022","36.86","36.03","36.87","35.76","7.15M","2.79%"
"11/29/2022","35.86","35.31","35.99","35.05","3.65M","2.69%"
"11/28/2022","34.92","35.53","35.97","34.72","4.98M","-2.27%"
"11/25/2022","35.73","35.81","35.92","35.46","1.78M","-0.42%"
"11/23/2022","35.88","35.48","35.96","35.00","2.90M","1.16%"
"11/22/2022","35.47","35.73","35.73","35.01","5.38M","-0.81%"
"11/21/2022","35.76","36.31","36.36","35.41","3.32M","-2.67%"
"11/18/2022","36.74","37.74","37.99","36.21","2.59M","-0.81%"
"11/17/2022","37.04","36.26","37.24","35.97","2.84M","0.05%"
"11/16/2022","37.02","37.31","37.50","36.59","3.31M","-1.25%"
"11/15/2022","37.49","38.00","39.15","37.40","6.49M","1.46%"
"11/14/2022","36.95","36.20","37.79","35.82","6.37M","0.87%"
"11/11/2022","36.63","35.98","37.07","35.66","5.02M","3.74%"
"11/10/2022","35.31","35.23","36.08","35.00","5.21M","5.21%"
"11/09/2022","33.56","33.82","34.61","33.52","5.57M","-2.70%"
"11/08/2022","34.49","34.42","34.69","33.85","5.69M","0.88%"
"11/07/2022","34.19","34.00","34.33","32.92","6.17M","1.03%"
"11/04/2022","33.84","32.31","33.84","32.22","8.35M","7.74%"
"11/03/2022","31.41","33.05","33.30","31.40","14.34M","-10.54%"
"11/02/2022","35.11","35.86","36.97","34.94","7.76M","-2.31%"
"11/01/2022","35.94","36.52","36.65","35.61","5.41M","1.04%"
"10/31/2022","35.57","36.22","36.59","35.49","6.39M","-1.08%"
"10/28/2022","35.96","34.53","35.98","34.45","5.11M","4.23%"
"10/27/2022","34.50","34.75","35.39","34.40","3.78M","0.50%"
"10/26/2022","34.33","34.24","35.13","34.15","3.17M","0.41%"
"10/25/2022","34.19","34.02","34.98","33.83","5.38M","0.65%"
"10/24/2022","33.97","33.39","34.17","33.02","4.89M","0.15%"
"10/21/2022","33.92","32.51","33.99","32.31","6.25M","4.50%"
"10/20/2022","32.46","32.55","33.38","32.26","6.29M","0.00%"
"10/19/2022","32.46","32.03","32.73","31.84","4.83M","-0.34%"
"10/18/2022","32.57","33.14","33.91","32.42","5.30M","0.99%"
"10/17/2022","32.25","31.35","32.38","31.27","4.73M","5.25%"
"10/14/2022","30.64","31.25","31.79","30.50","5.34M","-0.26%"
"10/13/2022","30.72","30.13","31.58","29.57","6.12M","-0.55%"
"10/12/2022","30.89","30.53","31.15","29.86","3.84M","1.08%"
