"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","125.26","124.47","127.52","124.22","441.99K","-1.96%"
"02/02/2023","127.76","124.93","130.63","124.57","795.64K","3.46%"
"02/01/2023","123.49","119.45","124.34","118.01","551.08K","2.86%"
"01/31/2023","120.06","116.77","120.80","115.89","812.22K","3.80%"
"01/30/2023","115.67","115.92","117.80","115.53","615.52K","-1.94%"
"01/27/2023","117.96","116.00","118.30","115.41","455.39K","0.54%"
"01/26/2023","117.33","118.58","119.70","115.39","420.48K","-1.06%"
"01/25/2023","118.59","115.14","118.62","115.14","298.41K","1.71%"
"01/24/2023","116.60","115.88","117.00","114.27","363.39K","0.51%"
"01/23/2023","116.01","115.39","116.70","114.86","394.73K","1.23%"
"01/20/2023","114.60","111.68","114.69","109.94","408.58K","2.90%"
"01/19/2023","111.37","111.73","112.34","109.94","660.21K","-1.11%"
"01/18/2023","112.62","112.20","114.16","111.37","677.39K","1.30%"
"01/17/2023","111.18","111.22","114.42","109.34","1.50M","-6.30%"
"01/13/2023","118.65","117.29","119.85","117.29","461.14K","-0.39%"
"01/12/2023","119.12","119.19","119.85","117.55","642.08K","0.45%"
"01/11/2023","118.59","115.85","118.67","114.50","559.92K","2.99%"
"01/10/2023","115.15","111.40","115.33","110.87","476.67K","2.63%"
"01/09/2023","112.20","115.20","115.29","111.96","639.88K","-1.78%"
"01/06/2023","114.23","113.72","114.74","112.07","839.00K","1.05%"
"01/05/2023","113.04","111.51","113.33","109.90","682.62K","-0.23%"
"01/04/2023","113.30","109.05","114.17","107.85","894.57K","6.03%"
"01/03/2023","106.86","103.75","107.40","103.45","877.47K","4.54%"
"12/30/2022","102.22","100.28","102.69","100.15","644.14K","0.17%"
"12/29/2022","102.05","97.27","102.35","97.27","723.48K","5.90%"
"12/28/2022","96.36","98.28","98.95","96.33","420.35K","-1.88%"
"12/27/2022","98.21","97.70","98.66","96.97","210.45K","0.26%"
"12/23/2022","97.96","96.72","98.08","96.13","205.14K","1.10%"
"12/22/2022","96.89","96.16","96.93","94.17","454.48K","-0.36%"
"12/21/2022","97.24","95.06","97.88","94.96","459.83K","3.36%"
"12/20/2022","94.08","94.43","94.81","93.44","454.92K","-1.40%"
"12/19/2022","95.42","96.90","97.25","94.92","526.76K","-2.13%"
"12/16/2022","97.50","99.07","100.24","96.35","2.17M","-2.92%"
"12/15/2022","100.43","99.91","102.20","99.24","619.75K","-1.48%"
"12/14/2022","101.94","101.72","103.88","101.12","596.64K","-1.18%"
"12/13/2022","103.16","108.14","110.21","102.86","695.51K","-0.05%"
"12/12/2022","103.21","99.92","104.20","99.34","861.55K","3.78%"
"12/09/2022","99.45","96.45","99.94","96.45","459.40K","2.26%"
"12/08/2022","97.25","96.38","98.00","95.34","417.64K","1.50%"
"12/07/2022","95.81","96.03","96.75","94.24","419.46K","-0.25%"
"12/06/2022","96.05","98.01","98.63","94.54","671.15K","-2.08%"
"12/05/2022","98.09","100.15","101.58","97.83","533.29K","-3.92%"
"12/02/2022","102.09","101.17","102.88","100.71","413.14K","-0.79%"
"12/01/2022","102.90","102.20","103.93","101.56","426.16K","1.55%"
"11/30/2022","101.33","100.72","101.88","96.92","667.56K","0.39%"
"11/29/2022","100.94","99.43","101.07","99.14","317.54K","1.26%"
"11/28/2022","99.68","101.63","102.64","99.04","359.62K","-3.14%"
"11/25/2022","102.91","101.58","103.52","101.58","110.58K","0.79%"
"11/23/2022","102.10","100.62","102.31","100.49","215.53K","0.82%"
"11/22/2022","101.27","100.39","102.20","100.14","309.65K","1.71%"
"11/21/2022","99.57","99.89","99.89","98.53","269.18K","-0.40%"
"11/18/2022","99.97","101.24","101.79","98.94","366.44K","1.13%"
"11/17/2022","98.85","99.89","100.59","97.22","593.57K","-3.52%"
"11/16/2022","102.46","105.38","106.15","101.46","426.62K","-3.59%"
"11/15/2022","106.27","108.07","109.96","103.68","566.72K","0.90%"
"11/14/2022","105.32","108.47","109.44","105.29","609.71K","-4.08%"
"11/11/2022","109.80","103.46","110.39","103.15","1.01M","7.18%"
"11/10/2022","102.44","93.70","103.21","93.68","1.16M","14.70%"
"11/09/2022","89.31","89.97","91.73","88.99","386.52K","-2.25%"
"11/08/2022","91.37","92.68","92.99","89.82","432.57K","0.24%"
"11/07/2022","91.15","91.27","91.77","89.40","393.55K","1.28%"
"11/04/2022","90.00","89.47","90.95","87.50","633.82K","2.30%"
"11/03/2022","87.98","89.14","89.45","87.01","594.76K","-2.75%"
"11/02/2022","90.47","94.39","94.89","90.40","743.30K","-4.86%"
"11/01/2022","95.09","96.80","97.52","94.18","497.22K","0.36%"
"10/31/2022","94.75","96.00","96.16","93.72","648.94K","-2.04%"
"10/28/2022","96.72","92.73","98.37","92.15","1.27M","-1.56%"
"10/27/2022","98.25","98.94","101.48","97.94","982.04K","-0.35%"
"10/26/2022","98.60","99.92","100.92","98.16","675.21K","-1.64%"
"10/25/2022","100.24","96.85","100.50","96.31","509.85K","4.04%"
"10/24/2022","96.35","95.30","97.43","94.84","571.92K","1.03%"
"10/21/2022","95.37","92.17","96.65","92.03","1.01M","3.10%"
"10/20/2022","92.50","95.16","97.38","92.06","537.84K","-2.58%"
"10/19/2022","94.95","98.00","98.04","93.55","670.41K","-3.95%"
"10/18/2022","98.85","96.55","99.22","96.55","653.24K","2.42%"
"10/17/2022","96.51","99.27","99.73","94.85","605.35K","0.27%"
"10/14/2022","96.25","97.50","98.06","95.00","541.37K","-0.44%"
"10/13/2022","96.68","94.36","97.86","91.20","403.21K","0.41%"
"10/12/2022","96.29","96.61","97.68","94.98","407.56K","-0.79%"
"10/11/2022","97.06","93.86","98.40","93.62","648.26K","1.93%"
"10/10/2022","95.22","94.97","96.45","93.53","461.83K","-0.28%"
"10/07/2022","95.49","96.38","96.76","94.94","549.35K","-2.80%"
"10/06/2022","98.24","98.01","99.73","97.98","421.03K","-0.66%"
"10/05/2022","98.89","97.80","99.60","96.75","765.85K","-1.65%"
"10/04/2022","100.55","96.07","100.71","96.07","870.68K","7.34%"
"10/03/2022","93.67","91.85","94.74","91.85","545.65K","2.72%"
"09/30/2022","91.19","92.12","93.48","91.00","665.77K","-0.87%"
"09/29/2022","91.99","92.48","93.43","91.22","766.98K","-2.76%"
"09/28/2022","94.60","92.76","95.02","92.25","587.57K","3.67%"
"09/27/2022","91.25","90.56","92.30","89.97","595.72K","2.06%"
"09/26/2022","89.41","91.85","92.82","88.85","791.82K","-3.93%"
"09/23/2022","93.07","92.70","93.40","91.46","776.36K","-1.18%"
"09/22/2022","94.18","95.11","95.66","93.90","571.91K","-1.34%"
"09/21/2022","95.46","98.72","99.15","95.44","503.84K","-2.79%"
"09/20/2022","98.20","99.13","100.51","97.08","846.92K","-2.52%"
"09/19/2022","100.74","99.10","101.97","99.10","745.12K","0.89%"
"09/16/2022","99.85","99.80","101.49","99.20","1.33M","-1.26%"
"09/15/2022","101.12","101.05","104.72","100.57","805.88K","0.52%"
"09/14/2022","100.60","106.02","106.39","99.40","1.48M","-5.12%"
"09/13/2022","106.03","109.94","109.94","105.81","886.45K","-7.11%"
"09/12/2022","114.15","114.97","117.65","114.06","668.70K","0.42%"
"09/09/2022","113.67","112.21","114.16","111.67","536.34K","2.41%"
"09/08/2022","110.99","109.12","111.17","107.50","582.19K","0.25%"
"09/07/2022","110.71","106.38","110.96","106.38","568.85K","4.30%"
"09/06/2022","106.15","109.30","109.94","106.10","590.28K","-2.48%"
"09/02/2022","108.85","110.61","111.23","107.89","664.70K","0.73%"
"09/01/2022","108.06","109.53","110.00","106.75","491.20K","-2.08%"
"08/31/2022","110.36","111.21","111.85","109.54","631.81K","-0.25%"
"08/30/2022","110.64","110.69","111.58","107.81","547.62K","1.04%"
"08/29/2022","109.50","108.50","111.32","108.00","528.35K","-0.05%"
"08/26/2022","109.55","116.42","117.48","109.52","651.93K","-5.36%"
"08/25/2022","115.76","113.19","116.09","112.40","531.70K","2.34%"
"08/24/2022","113.11","112.90","114.17","111.36","361.97K","0.12%"
"08/23/2022","112.97","113.31","114.07","111.71","608.49K","0.04%"
"08/22/2022","112.93","117.00","117.00","112.67","631.45K","-4.49%"
"08/19/2022","118.24","120.69","121.06","117.10","732.28K","-3.19%"
"08/18/2022","122.13","122.72","122.81","121.05","403.47K","-0.53%"
"08/17/2022","122.78","123.87","124.45","122.10","416.64K","-2.99%"
"08/16/2022","126.56","124.01","127.39","122.19","346.36K","0.86%"
"08/15/2022","125.48","126.02","127.71","124.86","349.08K","-1.20%"
"08/12/2022","127.00","126.50","127.97","126.01","483.37K","0.71%"
"08/11/2022","126.11","125.74","128.14","125.22","392.37K","1.46%"
"08/10/2022","124.30","122.99","126.68","122.99","426.41K","3.58%"
"08/09/2022","120.00","123.00","123.02","119.54","447.37K","-2.68%"
"08/08/2022","123.31","121.99","124.16","121.71","395.99K","2.78%"
"08/05/2022","119.97","117.38","120.01","116.82","484.45K","0.98%"
"08/04/2022","118.81","119.72","121.35","118.53","508.74K","-1.12%"
"08/03/2022","120.16","120.94","121.88","119.60","557.99K","0.11%"
"08/02/2022","120.03","123.69","124.48","119.84","770.72K","-4.56%"
"08/01/2022","125.76","125.39","127.01","121.10","739.54K","-2.12%"
"07/29/2022","128.48","134.60","136.76","126.07","1.19M","-5.82%"
"07/28/2022","136.42","135.00","137.41","132.35","808.85K","0.80%"
"07/27/2022","135.34","133.38","135.87","129.59","444.32K","1.57%"
"07/26/2022","133.25","133.00","134.75","131.90","324.91K","-0.71%"
"07/25/2022","134.20","134.33","135.44","132.95","429.76K","-0.46%"
"07/22/2022","134.82","135.90","136.97","133.20","411.32K","0.07%"
"07/21/2022","134.73","131.22","134.90","128.77","437.27K","2.60%"
"07/20/2022","131.31","131.33","131.61","128.96","360.88K","-0.02%"
"07/19/2022","131.33","127.96","132.61","126.64","542.68K","4.65%"
"07/18/2022","125.49","125.92","128.06","124.82","473.33K","0.71%"
"07/15/2022","124.61","126.41","126.65","121.69","640.27K","0.00%"
"07/14/2022","124.61","121.97","125.00","119.82","594.10K","-1.07%"
"07/13/2022","125.96","124.35","126.09","121.87","587.79K","-1.19%"
"07/12/2022","127.48","120.39","128.46","120.39","813.60K","5.88%"
"07/11/2022","120.40","122.33","124.71","119.97","543.87K","-2.84%"
"07/08/2022","123.92","123.42","124.75","122.03","741.56K","0.51%"
"07/07/2022","123.29","123.04","124.07","121.26","599.02K","0.89%"
"07/06/2022","122.20","126.42","127.73","120.00","728.25K","-2.99%"
"07/05/2022","125.96","125.52","126.54","123.69","630.32K","-2.33%"
"07/01/2022","128.97","124.42","129.76","124.42","572.84K","3.93%"
"06/30/2022","124.09","124.53","126.09","120.51","576.74K","-1.91%"
"06/29/2022","126.50","128.12","128.26","125.38","447.77K","-1.00%"
"06/28/2022","127.78","129.72","131.11","127.64","563.76K","-1.45%"
"06/27/2022","129.66","128.21","130.87","126.47","619.81K","1.34%"
"06/24/2022","127.95","129.19","130.54","127.26","734.60K","-0.14%"
"06/23/2022","128.13","122.46","128.57","122.46","541.24K","4.57%"
"06/22/2022","122.53","117.95","123.27","117.64","571.06K","1.74%"
"06/21/2022","120.43","121.88","122.60","119.08","514.63K","0.42%"
"06/17/2022","119.93","117.44","120.36","115.21","1.45M","2.79%"
"06/16/2022","116.67","120.79","121.72","114.96","916.31K","-6.98%"
"06/15/2022","125.42","125.56","127.11","123.04","518.95K","1.46%"
"06/14/2022","123.61","123.88","125.50","121.62","493.57K","-0.11%"
"06/13/2022","123.74","127.62","130.48","122.68","461.55K","-6.19%"
"06/10/2022","131.90","138.31","139.86","131.82","505.76K","-6.41%"
"06/09/2022","140.93","138.42","142.54","137.98","423.64K","1.00%"
"06/08/2022","139.54","139.09","141.18","138.02","306.65K","-1.32%"
"06/07/2022","141.40","140.25","142.26","137.95","355.20K","-0.18%"
"06/06/2022","141.66","139.81","142.15","138.54","432.40K","1.80%"
"06/03/2022","139.15","138.35","140.15","137.47","331.37K","-0.72%"
"06/02/2022","140.16","140.55","141.75","139.05","336.01K","0.39%"
"06/01/2022","139.61","141.59","141.76","137.86","438.94K","-1.31%"
"05/31/2022","141.46","140.90","142.65","139.12","1.14M","-0.22%"
"05/27/2022","141.77","139.87","141.88","139.67","461.10K","1.70%"
"05/26/2022","139.40","137.50","140.34","137.44","376.81K","2.86%"
"05/25/2022","135.52","131.30","136.75","131.30","493.76K","2.46%"
"05/24/2022","132.27","135.30","135.30","129.28","468.46K","-2.86%"
"05/23/2022","136.16","137.18","137.84","134.06","403.35K","0.77%"
