"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","345.90","369.10","370.00","344.74","709.65K","-8.96%"
"02/02/2023","379.93","379.97","389.57","375.26","368.90K","0.78%"
"02/01/2023","377.00","363.85","377.10","363.63","350.47K","3.61%"
"01/31/2023","363.85","365.94","368.54","362.28","766.03K","-0.90%"
"01/30/2023","367.16","370.93","371.53","363.73","379.39K","-1.40%"
"01/27/2023","372.37","368.72","375.73","364.43","315.23K","0.82%"
"01/26/2023","369.35","368.65","369.96","361.11","493.44K","1.67%"
"01/25/2023","363.28","327.08","364.72","325.08","838.28K","10.25%"
"01/24/2023","329.52","333.87","335.68","324.57","433.39K","-1.35%"
"01/23/2023","334.04","335.87","337.25","330.85","265.35K","-0.58%"
"01/20/2023","335.98","328.97","336.98","325.99","271.21K","2.71%"
"01/19/2023","327.13","326.98","332.39","326.83","227.44K","-0.50%"
"01/18/2023","328.78","329.18","331.67","327.66","226.44K","0.23%"
"01/17/2023","328.04","329.02","333.23","326.64","325.62K","-0.30%"
"01/13/2023","329.02","322.00","330.17","322.00","289.04K","1.67%"
"01/12/2023","323.61","328.90","329.26","321.29","337.65K","-1.12%"
"01/11/2023","327.26","322.83","327.50","317.05","342.72K","1.91%"
"01/10/2023","321.12","318.55","322.40","317.86","304.19K","0.63%"
"01/09/2023","319.10","314.34","324.07","313.54","578.11K","1.62%"
"01/06/2023","314.00","300.41","315.10","297.91","464.00K","5.29%"
"01/05/2023","298.23","284.90","298.48","284.47","466.47K","4.00%"
"01/04/2023","286.77","288.11","290.97","282.37","230.51K","0.67%"
"01/03/2023","284.87","281.87","285.90","277.79","199.72K","2.14%"
"12/30/2022","278.89","279.70","282.22","275.83","124.78K","-1.57%"
"12/29/2022","283.33","278.63","285.57","278.60","108.26K","2.49%"
"12/28/2022","276.45","279.81","281.63","275.88","139.15K","-1.21%"
"12/27/2022","279.85","280.45","281.54","277.55","161.25K","-0.36%"
"12/23/2022","280.85","280.67","282.60","277.24","243.05K","-0.32%"
"12/22/2022","281.76","274.81","281.84","274.65","314.12K","1.36%"
"12/21/2022","277.98","269.75","278.75","267.95","381.59K","4.25%"
"12/20/2022","266.65","270.19","270.40","264.94","218.88K","-1.78%"
"12/19/2022","271.48","277.33","279.88","270.90","338.15K","-2.55%"
"12/16/2022","278.59","277.00","280.78","274.91","597.74K","0.02%"
"12/15/2022","278.54","282.75","284.55","277.49","345.68K","-2.45%"
"12/14/2022","285.53","288.00","293.42","284.63","307.14K","-1.35%"
"12/13/2022","289.44","295.06","295.89","285.85","412.09K","0.94%"
"12/12/2022","286.75","280.00","287.81","276.94","410.09K","2.07%"
"12/09/2022","280.93","283.16","284.88","278.87","273.61K","-0.79%"
"12/08/2022","283.16","277.07","285.02","275.35","364.09K","2.91%"
"12/07/2022","275.14","284.17","287.00","271.77","391.22K","-3.48%"
"12/06/2022","285.05","283.91","288.36","281.59","464.26K","0.09%"
"12/05/2022","284.78","279.89","286.89","278.62","562.57K","1.29%"
"12/02/2022","281.16","268.98","281.63","268.11","456.55K","2.89%"
"12/01/2022","273.27","269.37","277.30","268.58","429.79K","2.00%"
"11/30/2022","267.92","257.34","269.07","253.96","576.18K","4.62%"
"11/29/2022","256.08","254.56","260.19","252.78","195.46K","0.57%"
"11/28/2022","254.62","255.93","256.72","254.07","167.10K","-0.86%"
"11/25/2022","256.84","256.81","257.66","255.29","62.88K","0.01%"
"11/23/2022","256.81","257.15","259.12","252.05","175.85K","0.21%"
"11/22/2022","256.28","256.90","257.88","254.35","184.06K","0.16%"
"11/21/2022","255.88","259.77","262.70","254.51","213.30K","-1.51%"
"11/18/2022","259.79","259.89","263.06","257.08","284.33K","1.28%"
"11/17/2022","256.51","258.35","259.29","253.15","221.17K","-2.19%"
"11/16/2022","262.24","265.10","265.10","261.59","256.95K","-0.93%"
"11/15/2022","264.70","270.75","270.75","260.40","261.99K","-0.71%"
"11/14/2022","266.59","283.15","283.36","266.45","552.70K","-5.90%"
"11/11/2022","283.30","276.99","284.49","270.61","503.55K","2.10%"
"11/10/2022","277.47","261.55","277.56","261.55","678.78K","10.14%"
"11/09/2022","251.92","245.96","254.18","244.62","591.96K","2.04%"
"11/08/2022","246.89","238.83","250.35","238.04","515.85K","3.65%"
"11/07/2022","238.19","235.34","238.44","233.52","220.59K","1.79%"
"11/04/2022","233.99","230.47","235.51","227.38","615.99K","2.24%"
"11/03/2022","228.87","230.17","232.51","227.99","269.07K","-1.39%"
"11/02/2022","232.09","238.57","238.92","228.39","441.52K","-2.72%"
"11/01/2022","238.57","244.89","246.15","238.54","310.41K","-2.24%"
"10/31/2022","244.04","244.14","246.63","241.72","276.44K","-0.22%"
"10/28/2022","244.57","236.50","245.94","233.52","474.39K","2.85%"
"10/27/2022","237.80","238.86","242.68","234.79","368.51K","-0.21%"
"10/26/2022","238.30","247.59","247.61","238.04","488.11K","-3.43%"
"10/25/2022","246.77","242.62","247.98","242.41","725.83K","2.03%"
"10/24/2022","241.87","242.75","244.68","238.84","288.14K","-0.47%"
"10/21/2022","243.02","231.40","243.50","230.69","374.05K","4.99%"
"10/20/2022","231.48","234.69","238.98","230.48","336.30K","-0.85%"
"10/19/2022","233.47","239.00","244.92","231.04","442.24K","-3.19%"
"10/18/2022","241.16","241.97","243.58","238.50","386.73K","2.25%"
"10/17/2022","235.86","233.47","237.96","233.47","270.03K","2.65%"
"10/14/2022","229.77","242.11","243.73","229.32","276.90K","-3.82%"
"10/13/2022","238.90","230.78","239.91","228.73","273.31K","0.74%"
"10/12/2022","237.15","233.16","239.81","230.60","273.80K","2.40%"
"10/11/2022","231.60","231.94","234.97","228.65","333.33K","-0.52%"
"10/10/2022","232.81","236.80","236.80","231.18","260.27K","-1.19%"
"10/07/2022","235.62","235.30","236.15","233.35","278.34K","-1.10%"
"10/06/2022","238.25","239.69","241.42","236.97","230.12K","-0.54%"
"10/05/2022","239.54","234.24","241.01","233.36","337.16K","1.44%"
"10/04/2022","236.14","234.37","236.48","233.85","287.31K","1.96%"
"10/03/2022","231.59","223.27","231.73","220.50","411.35K","4.09%"
"09/30/2022","222.49","223.66","229.08","221.27","414.14K","-0.94%"
"09/29/2022","224.60","221.94","226.92","219.40","367.57K","0.65%"
"09/28/2022","223.16","221.13","225.29","217.44","277.91K","1.87%"
"09/27/2022","219.06","227.02","228.18","218.36","211.87K","-2.81%"
"09/26/2022","225.39","226.74","229.37","223.79","236.59K","-0.92%"
"09/23/2022","227.48","227.34","229.45","225.02","312.75K","-0.18%"
"09/22/2022","227.90","233.37","233.37","227.63","343.52K","-2.77%"
"09/21/2022","234.39","238.60","242.90","233.26","338.81K","-0.60%"
"09/20/2022","235.80","236.57","238.25","231.26","430.33K","-1.14%"
"09/19/2022","238.53","248.24","248.98","236.34","533.19K","-5.38%"
"09/16/2022","252.10","256.00","260.89","251.42","1.16M","-1.83%"
"09/15/2022","256.81","262.16","265.95","254.14","351.26K","-2.33%"
"09/14/2022","262.93","261.50","265.59","258.44","391.86K","0.53%"
"09/13/2022","261.54","258.44","265.74","255.09","382.63K","-0.94%"
"09/12/2022","264.03","267.54","273.16","263.50","405.43K","-0.71%"
"09/09/2022","265.93","257.90","266.13","256.26","363.43K","3.50%"
"09/08/2022","256.94","246.01","257.10","243.41","327.96K","3.72%"
"09/07/2022","247.72","241.41","248.40","235.42","448.78K","2.12%"
"09/06/2022","242.58","250.83","252.27","241.85","452.68K","-2.93%"
"09/02/2022","249.91","253.84","257.08","249.24","346.28K","-0.56%"
"09/01/2022","251.32","247.22","251.54","240.32","355.19K","1.10%"
"08/31/2022","248.59","246.65","249.87","244.06","410.16K","1.88%"
"08/30/2022","244.00","244.98","246.38","239.51","857.60K","0.63%"
"08/29/2022","242.48","244.21","246.27","241.71","510.78K","-1.01%"
"08/26/2022","244.95","256.79","257.26","244.89","273.78K","-4.31%"
"08/25/2022","255.99","255.13","256.34","252.65","316.61K","0.77%"
"08/24/2022","254.03","251.91","255.69","250.00","410.18K","0.91%"
"08/23/2022","251.75","257.29","257.29","251.34","270.53K","-2.45%"
"08/22/2022","258.07","260.00","260.32","256.46","251.45K","-1.62%"
"08/19/2022","262.31","269.82","269.82","261.24","169.38K","-3.75%"
"08/18/2022","272.53","274.57","275.33","270.78","131.62K","-0.63%"
"08/17/2022","274.25","273.79","274.73","266.55","209.12K","-1.18%"
"08/16/2022","277.52","274.29","278.87","271.66","132.76K","0.34%"
"08/15/2022","276.58","272.19","279.75","271.13","247.80K","2.11%"
"08/12/2022","270.86","268.13","271.17","266.46","161.94K","1.83%"
"08/11/2022","265.99","271.79","272.99","265.73","165.31K","-1.39%"
"08/10/2022","269.73","269.95","272.85","267.31","308.69K","1.70%"
"08/09/2022","265.23","268.91","270.63","261.48","401.34K","-1.37%"
"08/08/2022","268.91","266.00","270.22","264.84","351.72K","1.77%"
"08/05/2022","264.23","268.37","269.76","262.84","198.93K","-1.93%"
"08/04/2022","269.43","266.41","273.27","264.40","349.11K","1.14%"
"08/03/2022","266.39","270.05","270.15","259.01","387.06K","-1.99%"
"08/02/2022","271.79","268.99","277.48","267.39","224.11K","0.89%"
"08/01/2022","269.40","269.88","274.15","266.68","302.12K","-0.51%"
