"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","360.63","365.75","370.22","359.75","272.85K","-2.59%"
"02/02/2023","370.23","363.73","374.40","363.41","392.16K","2.27%"
"02/01/2023","362.01","358.45","365.03","352.47","377.88K","0.66%"
"01/31/2023","359.64","350.12","359.92","346.78","343.09K","3.53%"
"01/30/2023","347.37","345.63","350.14","345.63","240.51K","-0.13%"
"01/27/2023","347.82","348.74","351.90","347.50","245.96K","-0.34%"
"01/26/2023","349.00","348.97","349.00","337.91","498.28K","0.45%"
"01/25/2023","347.42","341.97","348.82","340.42","213.94K","0.29%"
"01/24/2023","346.42","344.78","346.89","341.87","345.70K","-0.72%"
"01/23/2023","348.93","347.55","351.32","343.10","274.37K","0.36%"
"01/20/2023","347.69","343.56","349.92","341.10","317.63K","1.34%"
"01/19/2023","343.10","350.08","351.42","341.46","330.36K","-2.47%"
"01/18/2023","351.80","355.00","358.49","351.65","406.18K","-0.37%"
"01/17/2023","353.09","354.30","354.63","350.05","309.07K","-0.64%"
"01/13/2023","355.37","349.81","356.04","348.27","382.80K","1.08%"
"01/12/2023","351.58","356.24","356.24","349.52","305.76K","-0.96%"
"01/11/2023","354.98","347.22","357.50","346.37","542.07K","3.20%"
"01/10/2023","343.96","344.00","344.94","341.18","329.16K","-0.34%"
"01/09/2023","345.13","351.97","352.56","344.30","372.88K","-1.72%"
"01/06/2023","351.17","342.40","352.28","339.61","285.43K","3.91%"
"01/05/2023","337.97","343.83","344.07","337.73","242.36K","-2.81%"
"01/04/2023","347.74","343.65","348.21","340.44","358.85K","2.82%"
"01/03/2023","338.19","341.90","343.14","336.43","405.32K","0.07%"
"12/30/2022","337.97","338.05","338.65","332.86","211.49K","-0.79%"
"12/29/2022","340.66","339.64","343.16","337.99","183.07K","0.82%"
"12/28/2022","337.90","339.94","341.75","337.38","133.35K","-0.45%"
"12/27/2022","339.43","339.45","341.54","336.72","272.46K","0.25%"
"12/23/2022","338.59","335.63","339.04","331.89","221.27K","0.71%"
"12/22/2022","336.20","338.91","339.93","332.05","489.61K","-1.73%"
"12/21/2022","342.13","343.50","345.27","340.43","369.77K","0.12%"
"12/20/2022","341.73","340.39","343.14","337.64","304.00K","0.26%"
"12/19/2022","340.85","348.07","349.75","339.71","407.13K","-2.12%"
"12/16/2022","348.22","346.97","350.84","343.40","556.99K","-1.09%"
"12/15/2022","352.05","359.75","359.75","350.04","383.64K","-3.73%"
"12/14/2022","365.70","361.92","366.66","359.43","659.64K","-0.82%"
"12/13/2022","368.73","372.53","373.53","360.81","862.33K","2.47%"
"12/12/2022","359.85","357.59","359.90","351.74","389.42K","0.82%"
"12/09/2022","356.94","356.98","362.99","355.17","230.43K","-0.22%"
"12/08/2022","357.71","355.20","359.45","352.49","312.82K","1.48%"
"12/07/2022","352.50","348.80","355.26","348.80","227.35K","0.72%"
"12/06/2022","349.99","354.52","354.52","346.43","258.27K","-0.93%"
"12/05/2022","353.27","359.64","359.89","352.17","415.07K","-3.41%"
"12/02/2022","365.73","361.28","366.30","358.25","298.61K","0.10%"
"12/01/2022","365.38","367.18","369.76","362.71","348.56K","-0.30%"
"11/30/2022","366.48","355.46","366.52","352.63","673.17K","2.50%"
"11/29/2022","357.54","357.90","361.64","355.87","213.74K","-0.52%"
"11/28/2022","359.41","364.87","367.02","357.34","252.70K","-2.23%"
"11/25/2022","367.59","363.74","368.44","363.74","103.86K","0.62%"
"11/23/2022","365.32","365.97","370.51","364.36","263.38K","0.18%"
"11/22/2022","364.65","359.99","364.78","358.30","266.34K","1.93%"
"11/21/2022","357.75","353.91","358.79","353.21","307.45K","0.40%"
"11/18/2022","356.32","356.80","358.38","352.45","315.55K","1.62%"
"11/17/2022","350.64","349.91","352.74","347.60","257.05K","-1.46%"
"11/16/2022","355.85","353.65","356.48","351.05","279.26K","0.48%"
"11/15/2022","354.15","360.58","363.01","349.73","324.46K","0.33%"
"11/14/2022","352.98","359.87","363.93","352.47","371.89K","-2.54%"
"11/11/2022","362.19","365.51","371.47","360.81","323.30K","-0.18%"
"11/10/2022","362.84","352.94","365.42","352.23","558.50K","7.82%"
"11/09/2022","336.53","342.04","343.72","336.25","297.03K","-2.15%"
