"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","171.88","173.90","174.46","170.74","1.62M","-1.96%"
"02/02/2023","175.32","176.10","176.29","174.02","2.28M","-0.08%"
"02/01/2023","175.46","173.34","176.85","172.94","2.09M","0.31%"
"01/31/2023","174.91","172.51","174.99","171.60","2.01M","1.73%"
"01/30/2023","171.93","172.07","173.72","171.56","1.38M","-0.12%"
"01/27/2023","172.13","175.36","175.36","171.18","1.62M","-2.01%"
"01/26/2023","175.66","172.45","175.99","170.40","2.15M","1.37%"
"01/25/2023","173.28","171.99","173.82","170.69","1.55M","-0.12%"
"01/24/2023","173.49","173.80","174.23","171.68","1.06M","-0.01%"
"01/23/2023","173.51","173.26","175.12","172.18","1.41M","0.23%"
"01/20/2023","173.12","169.93","173.24","168.67","1.57M","2.08%"
"01/19/2023","169.60","168.22","170.55","167.76","2.01M","0.47%"
"01/18/2023","168.81","171.94","172.34","168.52","1.47M","-1.86%"
"01/17/2023","172.01","173.33","174.55","171.70","1.28M","-0.79%"
"01/13/2023","173.38","172.90","173.87","172.18","1.27M","-0.45%"
"01/12/2023","174.16","175.00","175.00","172.51","1.95M","0.14%"
"01/11/2023","173.91","171.21","174.15","171.21","1.64M","2.07%"
"01/10/2023","170.39","170.14","170.95","168.89","1.12M","0.00%"
"01/09/2023","170.39","170.87","173.94","170.07","1.37M","-0.33%"
"01/06/2023","170.96","168.08","171.60","167.02","1.32M","2.90%"
"01/05/2023","166.14","168.59","169.00","165.89","1.32M","-1.81%"
"01/04/2023","169.21","167.46","169.90","165.88","1.61M","1.95%"
"01/03/2023","165.98","166.31","167.13","164.55","1.59M","0.30%"
"12/30/2022","165.48","165.60","165.99","163.63","808.06K","-0.78%"
"12/29/2022","166.78","165.52","167.39","164.92","816.80K","1.32%"
"12/28/2022","164.60","166.98","167.57","164.53","768.53K","-1.11%"
"12/27/2022","166.44","165.64","167.06","165.23","772.04K","0.51%"
"12/23/2022","165.59","165.11","166.59","164.11","1.22M","-0.07%"
"12/22/2022","165.70","166.81","167.33","163.57","1.50M","-1.13%"
"12/21/2022","167.59","165.99","167.61","165.46","1.14M","1.66%"
"12/20/2022","164.85","164.75","166.42","164.24","1.50M","0.68%"
"12/19/2022","163.73","164.71","166.23","162.59","1.67M","-0.88%"
"12/16/2022","165.19","166.33","166.94","163.76","3.21M","-1.73%"
"12/15/2022","168.10","170.21","170.44","167.35","1.75M","-2.48%"
"12/14/2022","172.37","173.39","176.50","171.85","1.81M","-0.63%"
"12/13/2022","173.46","176.75","176.75","171.80","2.30M","0.25%"
"12/12/2022","173.03","171.71","173.10","170.85","1.82M","1.15%"
"12/09/2022","171.06","172.14","172.86","171.02","1.54M","-0.66%"
"12/08/2022","172.20","170.00","172.90","168.79","1.35M","0.56%"
"12/07/2022","171.24","172.15","173.28","170.50","1.92M","-0.41%"
"12/06/2022","171.95","171.80","172.67","171.00","1.68M","0.16%"
"12/05/2022","171.67","172.59","173.30","171.23","1.41M","-1.29%"
"12/02/2022","173.91","171.18","174.39","170.38","1.32M","0.51%"
"12/01/2022","173.03","174.09","174.31","171.58","1.42M","-0.09%"
"11/30/2022","173.18","167.94","173.96","167.38","5.00M","2.67%"
"11/29/2022","168.68","167.97","170.13","167.61","1.66M","0.18%"
"11/28/2022","168.38","170.57","171.31","167.89","2.23M","-2.00%"
"11/25/2022","171.82","171.48","172.44","170.58","535.15K","0.78%"
"11/23/2022","170.49","170.75","171.46","170.00","1.07M","-0.19%"
"11/22/2022","170.82","170.67","170.95","169.12","1.54M","0.56%"
"11/21/2022","169.87","168.13","170.95","167.74","1.88M","1.41%"
"11/18/2022","167.50","167.55","168.25","166.00","1.63M","1.12%"
"11/17/2022","165.65","164.61","165.85","162.67","1.37M","0.08%"
"11/16/2022","165.51","163.62","166.21","163.52","1.49M","1.16%"
"11/15/2022","163.62","166.94","167.66","162.00","2.05M","-1.01%"
"11/14/2022","165.29","166.49","168.19","165.17","1.56M","-0.79%"
"11/11/2022","166.60","169.64","169.64","164.83","1.99M","-1.06%"
"11/10/2022","168.39","164.14","168.62","163.30","2.19M","5.70%"
"11/09/2022","159.31","161.69","162.33","158.96","1.20M","-1.50%"
"11/08/2022","161.73","162.40","163.92","160.32","1.33M","-0.79%"
"11/07/2022","163.01","160.47","163.73","159.54","1.09M","1.65%"
"11/04/2022","160.37","160.31","161.32","157.29","1.17M","0.84%"
"11/03/2022","159.03","157.88","160.70","156.93","1.48M","-0.02%"
"11/02/2022","159.06","161.68","164.16","159.06","1.58M","-1.96%"
"11/01/2022","162.24","162.59","163.66","161.32","1.32M","0.46%"
"10/31/2022","161.49","162.85","164.29","161.35","1.79M","-1.37%"
"10/28/2022","163.74","155.78","163.97","155.78","2.01M","5.48%"
"10/27/2022","155.23","155.55","156.45","154.23","1.73M","0.51%"
"10/26/2022","154.44","153.83","156.12","152.57","1.91M","0.87%"
"10/25/2022","153.11","155.95","155.95","152.09","2.29M","-2.13%"
"10/24/2022","156.45","156.15","157.59","155.38","1.66M","0.98%"
"10/21/2022","154.93","153.03","155.20","150.78","2.07M","0.24%"
"10/20/2022","154.56","159.00","159.00","154.07","1.97M","-1.54%"
"10/19/2022","156.97","156.24","157.67","155.38","1.62M","-0.33%"
"10/18/2022","157.49","159.60","160.11","156.29","1.61M","1.03%"
"10/17/2022","155.88","154.33","156.84","154.33","1.51M","2.62%"
"10/14/2022","151.90","157.62","158.35","151.69","1.88M","-2.62%"
"10/13/2022","155.99","149.02","156.65","148.13","2.00M","2.63%"
"10/12/2022","151.99","153.47","154.27","151.96","1.59M","-0.24%"
"10/11/2022","152.36","153.79","154.92","151.71","1.34M","-1.06%"
"10/10/2022","153.99","153.26","155.04","152.65","1.39M","1.18%"
"10/07/2022","152.19","156.60","156.83","151.39","3.06M","-3.26%"
"10/06/2022","157.32","158.26","159.36","156.99","1.71M","-1.20%"
"10/05/2022","159.23","158.06","160.19","157.19","1.30M","0.33%"
"10/04/2022","158.71","156.24","158.92","155.93","1.58M","2.47%"
"10/03/2022","154.88","150.78","155.72","149.94","2.30M","3.74%"
"09/30/2022","149.29","150.42","151.73","149.14","2.36M","-0.90%"
"09/29/2022","150.65","150.58","151.09","148.74","1.62M","-0.20%"
"09/28/2022","150.95","150.51","151.66","148.68","1.88M","1.19%"
"09/27/2022","149.18","150.69","151.98","148.11","1.46M","-0.01%"
"09/26/2022","149.19","151.02","151.81","148.55","1.91M","-1.45%"
"09/23/2022","151.38","150.55","151.64","149.29","1.28M","0.11%"
"09/22/2022","151.21","153.18","153.48","150.32","1.35M","-1.56%"
"09/21/2022","153.60","156.54","158.64","153.56","1.39M","-1.20%"
"09/20/2022","155.47","155.74","156.08","153.50","1.19M","-1.11%"
"09/19/2022","157.22","155.26","157.25","154.87","1.24M","0.56%"
"09/16/2022","156.34","156.36","157.00","155.08","2.27M","-0.35%"
"09/15/2022","156.89","159.17","159.17","156.33","1.51M","-1.21%"
"09/14/2022","158.81","160.61","161.22","157.84","2.06M","-1.05%"
"09/13/2022","160.49","164.80","165.32","160.21","1.38M","-4.12%"
"09/12/2022","167.39","167.13","168.04","166.25","1.35M","0.38%"
"09/09/2022","166.76","166.28","167.63","165.73","1.03M","0.29%"
"09/08/2022","166.27","164.93","166.77","164.43","1.19M","0.43%"
"09/07/2022","165.56","162.01","165.88","161.88","1.29M","2.47%"
"09/06/2022","161.57","160.93","162.67","160.02","1.55M","0.81%"
"09/02/2022","160.27","163.88","164.51","159.36","1.15M","-1.41%"
"09/01/2022","162.57","160.82","162.63","159.56","1.19M","0.74%"
"08/31/2022","161.37","163.10","164.69","161.12","1.99M","-0.72%"
"08/30/2022","162.54","164.66","164.95","162.10","1.30M","-1.10%"
"08/29/2022","164.35","164.65","165.74","163.43","993.06K","-0.97%"
"08/26/2022","165.96","170.90","170.90","165.85","1.27M","-2.59%"
"08/25/2022","170.37","168.96","170.40","167.97","1.08M","1.25%"
"08/24/2022","168.27","167.04","168.49","166.59","1.06M","0.83%"
"08/23/2022","166.89","167.71","168.44","166.78","971.15K","-0.84%"
"08/22/2022","168.31","170.35","171.24","168.05","1.27M","-2.02%"
"08/19/2022","171.78","173.06","173.06","171.40","1.60M","-0.77%"
"08/18/2022","173.11","172.82","173.36","171.97","912.91K","0.16%"
"08/17/2022","172.83","171.79","173.29","171.35","1.24M","-0.06%"
"08/16/2022","172.93","172.16","174.23","172.16","1.73M","-0.13%"
"08/15/2022","173.16","172.00","173.42","170.86","1.75M","0.25%"
"08/12/2022","172.72","171.03","173.10","170.50","1.40M","1.46%"
"08/11/2022","170.23","170.35","171.67","169.83","1.43M","0.32%"
"08/10/2022","169.68","169.37","169.93","168.05","1.56M","1.57%"
"08/09/2022","167.06","167.52","168.48","166.50","1.66M","0.05%"
"08/08/2022","166.97","166.47","167.54","165.99","1.82M","0.83%"
"08/05/2022","165.60","164.34","165.68","163.96","1.29M","0.18%"
"08/04/2022","165.31","165.41","166.21","164.75","1.65M","-0.05%"
"08/03/2022","165.39","162.31","165.72","161.68","1.62M","2.19%"
"08/02/2022","161.85","161.72","163.78","160.82","1.47M","-0.07%"
"08/01/2022","161.96","162.11","163.95","161.39","1.72M","-1.22%"
"07/29/2022","163.96","162.67","165.63","162.35","2.59M","1.35%"
"07/28/2022","161.77","158.35","162.26","157.85","2.16M","2.31%"
"07/27/2022","158.11","155.61","158.70","155.18","2.13M","1.48%"
"07/26/2022","155.81","156.92","158.13","154.99","1.75M","-0.64%"
"07/25/2022","156.82","157.07","158.60","155.58","1.86M","-0.01%"
"07/22/2022","156.84","157.81","159.00","154.89","2.37M","-0.81%"
"07/21/2022","158.12","155.26","160.28","154.02","3.06M","3.04%"
"07/20/2022","153.45","153.44","154.24","151.07","1.87M","0.11%"
"07/19/2022","153.28","149.91","153.49","149.71","2.29M","3.32%"
"07/18/2022","148.35","151.52","151.89","147.61","2.27M","-1.74%"
"07/15/2022","150.98","151.13","151.72","149.98","4.59M","1.31%"
"07/14/2022","149.03","149.48","149.94","146.82","2.42M","-1.69%"
"07/13/2022","151.59","151.32","153.82","150.00","2.12M","-1.01%"
"07/12/2022","153.14","155.39","156.93","152.42","1.70M","-1.44%"
"07/11/2022","155.38","155.15","156.20","154.72","1.18M","-0.13%"
"07/08/2022","155.59","156.23","156.73","154.83","1.15M","-0.58%"
"07/07/2022","156.49","157.86","158.88","155.98","1.69M","-0.72%"
"07/06/2022","157.62","157.22","158.90","156.02","1.62M","0.91%"
"07/05/2022","156.20","155.07","156.20","152.80","1.67M","-0.16%"
"07/01/2022","156.45","155.55","156.61","154.22","1.26M","0.77%"
"06/30/2022","155.25","153.94","155.97","153.13","2.05M","0.14%"
"06/29/2022","155.03","155.22","156.20","153.89","1.33M","0.21%"
"06/28/2022","154.71","159.25","160.85","154.66","1.92M","-2.66%"
"06/27/2022","158.93","158.91","159.62","158.06","1.59M","0.06%"
"06/24/2022","158.83","155.25","159.77","155.25","6.89M","2.75%"
"06/23/2022","154.58","151.60","154.88","151.08","1.80M","2.72%"
"06/22/2022","150.49","147.53","152.01","147.26","1.80M","1.07%"
"06/21/2022","148.90","146.50","149.56","146.15","2.13M","3.09%"
"06/17/2022","144.44","144.64","146.41","143.33","3.10M","0.07%"
"06/16/2022","144.34","145.97","146.22","143.64","1.57M","-2.73%"
"06/15/2022","148.39","149.23","150.40","146.14","1.41M","0.77%"
"06/14/2022","147.26","147.28","148.81","146.42","1.44M","-0.03%"
"06/13/2022","147.31","146.62","149.92","146.05","1.59M","-1.82%"
"06/10/2022","150.04","149.71","151.89","148.76","1.73M","-1.93%"
"06/09/2022","153.00","156.72","156.83","152.94","1.19M","-2.14%"
"06/08/2022","156.34","157.31","158.64","155.87","944.21K","-1.46%"
"06/07/2022","158.65","157.30","158.80","156.50","1.08M","0.42%"
"06/06/2022","157.98","158.64","159.23","157.62","1.02M","0.46%"
"06/03/2022","157.26","154.88","158.27","153.88","1.91M","-1.77%"
"06/02/2022","160.09","156.20","160.18","155.03","1.51M","2.35%"
"06/01/2022","156.41","160.02","160.58","156.34","1.59M","-2.21%"
"05/31/2022","159.95","160.35","161.30","158.07","2.86M","-0.77%"
"05/27/2022","161.19","157.58","161.22","157.58","1.61M","2.61%"
"05/26/2022","157.09","154.32","157.77","153.01","2.16M","3.02%"
