"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","120.65","118.44","120.71","116.77","4.35M","1.87%"
"01/19/2023","118.43","122.00","122.29","118.32","4.84M","-3.52%"
"01/18/2023","122.75","126.85","127.19","122.26","4.19M","-3.04%"
"01/17/2023","126.60","129.76","129.90","126.39","3.51M","-2.25%"
"01/13/2023","129.51","128.42","129.61","128.20","1.69M","0.12%"
"01/12/2023","129.35","129.60","129.82","127.79","1.83M","0.18%"
"01/11/2023","129.12","128.93","129.19","127.62","2.01M","0.77%"
"01/10/2023","128.13","127.07","128.19","126.70","1.65M","1.06%"
"01/09/2023","126.79","127.00","129.46","126.11","2.87M","0.06%"
"01/06/2023","126.72","124.66","127.13","123.75","2.42M","3.06%"
"01/05/2023","122.96","124.21","124.57","122.46","2.58M","-1.75%"
"01/04/2023","125.15","123.35","125.29","122.71","2.77M","2.19%"
"01/03/2023","122.47","121.52","122.64","120.37","2.60M","2.13%"
"12/30/2022","119.92","119.65","120.03","118.51","2.10M","-0.54%"
"12/29/2022","120.57","118.87","120.86","118.50","2.06M","1.93%"
"12/28/2022","118.29","120.35","121.00","118.25","1.95M","-1.61%"
"12/27/2022","120.22","120.14","120.83","119.16","1.69M","0.07%"
"12/23/2022","120.14","120.79","121.00","117.80","2.61M","-1.19%"
"12/22/2022","121.59","122.22","122.50","119.20","2.18M","-1.51%"
"12/21/2022","123.46","121.83","123.84","121.51","2.56M","2.19%"
"12/20/2022","120.81","121.99","122.32","120.70","2.90M","-1.08%"
"12/19/2022","122.13","121.33","123.77","121.16","2.40M","0.36%"
"12/16/2022","121.69","121.31","121.80","120.01","7.60M","-0.56%"
"12/15/2022","122.38","124.79","125.08","121.75","3.24M","-2.94%"
"12/14/2022","126.09","126.50","128.47","124.83","3.10M","-0.94%"
"12/13/2022","127.29","129.45","130.02","126.47","3.15M","0.35%"
"12/12/2022","126.85","126.08","126.89","124.20","3.78M","0.87%"
"12/09/2022","125.76","126.78","127.53","125.67","2.34M","-0.19%"
"12/08/2022","126.00","127.00","129.44","125.45","3.79M","-0.28%"
"12/07/2022","126.35","124.33","127.31","124.10","2.70M","1.42%"
"12/06/2022","124.58","125.15","125.73","123.31","1.88M","-0.04%"
"12/05/2022","124.63","125.07","125.46","124.27","2.14M","-1.86%"
"12/02/2022","126.99","124.76","127.25","124.24","1.82M","0.79%"
"12/01/2022","125.99","127.30","128.87","125.31","2.64M","0.02%"
"11/30/2022","125.97","125.90","126.25","121.36","5.83M","-0.13%"
"11/29/2022","126.13","124.08","126.34","124.01","1.86M","1.20%"
"11/28/2022","124.64","128.11","128.58","124.12","2.77M","-3.41%"
"11/25/2022","129.04","128.88","129.82","128.52","882.38K","0.81%"
"11/23/2022","128.00","128.59","129.12","127.24","2.35M","-0.47%"
"11/22/2022","128.60","128.15","128.67","127.32","1.76M","0.76%"
"11/21/2022","127.63","126.64","127.88","126.23","2.15M","0.69%"
"11/18/2022","126.76","128.00","128.34","125.90","3.18M","-0.31%"
"11/17/2022","127.15","126.15","127.22","124.67","2.25M","-1.24%"
"11/16/2022","128.74","131.45","131.45","128.41","3.21M","-1.89%"
"11/15/2022","131.22","132.52","133.48","129.77","2.52M","0.15%"
"11/14/2022","131.03","132.55","133.91","130.94","2.62M","-1.47%"
"11/11/2022","132.98","129.59","133.49","129.15","3.43M","2.97%"
"11/10/2022","129.15","127.66","129.26","126.87","3.16M","4.30%"
"11/09/2022","123.83","125.29","125.68","123.72","1.78M","-1.21%"
"11/08/2022","125.35","125.36","126.64","124.04","1.82M","0.54%"
"11/07/2022","124.68","124.63","125.15","123.30","1.91M","-0.13%"
"11/04/2022","124.84","124.46","125.37","123.16","2.32M","1.62%"
