"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","44.94","44.65","45.01","44.42","8.40M","0.90%"
"01/19/2023","44.54","44.16","44.94","44.12","8.03M","1.20%"
"01/18/2023","44.01","45.15","45.20","43.39","13.27M","-2.55%"
"01/17/2023","45.16","45.77","46.04","45.03","7.21M","-1.01%"
"01/13/2023","45.62","45.31","45.65","45.14","6.28M","0.48%"
"01/12/2023","45.40","45.90","45.93","45.35","5.66M","-0.92%"
"01/11/2023","45.82","46.18","46.44","45.47","6.69M","-0.37%"
"01/10/2023","45.99","46.40","46.54","45.84","6.89M","0.02%"
"01/09/2023","45.98","46.45","46.60","45.93","6.87M","-1.01%"
"01/06/2023","46.45","45.96","46.74","45.84","7.03M","2.38%"
"01/05/2023","45.37","45.34","45.50","44.99","6.72M","-0.09%"
"01/04/2023","45.41","45.42","45.89","45.19","7.84M","-0.24%"
"01/03/2023","45.52","45.73","45.88","45.26","5.02M","-0.42%"
"12/30/2022","45.71","45.86","45.99","45.42","5.03M","-0.35%"
"12/29/2022","45.87","45.90","46.16","45.77","4.02M","0.04%"
"12/28/2022","45.85","46.64","46.79","45.84","5.19M","-1.36%"
"12/27/2022","46.48","46.35","46.55","46.20","7.31M","0.52%"
"12/23/2022","46.24","45.78","46.24","45.51","6.76M","1.00%"
"12/22/2022","45.78","45.57","45.79","45.22","6.54M","0.42%"
"12/21/2022","45.59","45.61","45.76","45.40","8.28M","-1.83%"
"12/20/2022","46.44","46.55","46.60","46.08","8.33M","0.13%"
"12/19/2022","46.38","46.65","46.97","45.95","7.68M","-0.39%"
"12/16/2022","46.56","46.83","46.85","45.92","15.19M","-0.83%"
"12/15/2022","46.95","46.99","47.13","46.31","7.89M","-0.38%"
"12/14/2022","47.13","47.04","47.52","46.76","8.64M","0.68%"
"12/13/2022","46.81","47.19","47.25","46.71","13.62M","-0.32%"
"12/12/2022","46.96","46.84","47.00","46.32","5.19M","0.54%"
"12/09/2022","46.71","46.78","46.97","46.64","6.18M","-0.32%"
"12/08/2022","46.86","46.37","46.99","46.20","5.77M","1.06%"
"12/07/2022","46.37","46.45","46.56","46.14","6.01M","0.35%"
"12/06/2022","46.21","47.18","47.39","45.95","7.69M","-2.08%"
"12/05/2022","47.19","47.06","47.90","47.03","7.39M","-0.92%"
"12/02/2022","47.63","46.77","47.65","46.77","7.65M","1.32%"
"12/01/2022","47.01","46.72","47.16","46.55","9.12M","0.92%"
"11/30/2022","46.58","45.85","46.58","45.19","11.31M","1.66%"
"11/29/2022","45.82","45.26","45.84","45.15","6.90M","1.48%"
"11/28/2022","45.15","44.74","45.35","44.72","6.76M","0.92%"
"11/25/2022","44.74","45.00","45.15","44.65","2.73M","-0.62%"
"11/23/2022","45.02","45.21","45.31","44.63","5.19M","-0.31%"
"11/22/2022","45.16","45.00","45.23","44.81","6.07M","0.80%"
"11/21/2022","44.80","44.43","44.83","44.06","7.64M","1.36%"
"11/18/2022","44.20","44.02","44.29","43.76","9.64M","1.21%"
"11/17/2022","43.67","43.42","43.74","43.29","7.84M","0.21%"
"11/16/2022","43.58","43.76","43.85","43.22","9.89M","-0.18%"
"11/15/2022","43.66","44.35","44.52","43.18","9.26M","-0.68%"
"11/14/2022","43.96","44.57","44.88","43.95","8.07M","-0.95%"
"11/11/2022","44.38","44.04","44.46","43.25","9.82M","0.36%"
"11/10/2022","44.22","45.03","45.23","43.72","12.33M","-2.19%"
"11/09/2022","45.21","45.82","45.85","45.12","5.35M","-1.50%"
"11/08/2022","45.90","45.94","46.15","45.36","6.89M","0.04%"
"11/07/2022","45.88","45.64","45.99","44.51","8.28M","0.84%"
"11/04/2022","45.50","45.26","45.70","45.00","5.51M","1.31%"
"11/03/2022","44.91","44.47","45.17","44.31","5.71M","0.16%"
"11/02/2022","44.84","45.84","46.01","44.81","9.00M","-2.82%"
"11/01/2022","46.14","46.42","46.67","46.01","4.86M","-0.28%"
"10/31/2022","46.27","46.15","46.35","45.91","7.71M","-0.09%"
"10/28/2022","46.31","45.90","46.77","45.56","9.25M","1.96%"
