"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","2,162.46","2,157.18","2,226.49","2,145.15","","0.39%"
"12/01/2022","2,154.12","2,189.65","2,210.70","2,070.58","","-0.94%"
"11/01/2022","2,174.53","2,179.15","2,254.94","2,123.32","","0.37%"
"10/01/2022","2,166.61","1,991.88","2,184.38","1,775.04","","10.69%"
"09/01/2022","1,957.31","2,401.98","2,492.15","1,841.42","","-18.45%"
"08/01/2022","2,400.08","2,213.75","2,423.12","2,052.08","","8.41%"
"07/01/2022","2,213.81","2,197.90","2,273.24","2,022.16","","0.41%"
"06/01/2022","2,204.85","2,349.84","2,419.81","2,184.71","","-6.41%"
"05/01/2022","2,355.75","2,444.25","2,490.17","2,229.22","","-3.66%"
"04/01/2022","2,445.17","2,714.62","2,835.46","2,168.18","","-9.56%"
"03/01/2022","2,703.51","2,474.52","2,761.17","2,363.62","","9.43%"
"02/01/2022","2,470.48","3,564.55","3,683.95","1,681.55","","-30.02%"
"01/01/2022","3,530.38","3,825.30","3,892.33","3,158.46","","-6.78%"
"12/01/2021","3,787.26","3,907.17","3,977.16","3,532.29","","-2.66%"
"11/01/2021","3,890.59","4,155.24","4,245.32","3,776.61","","-6.25%"
"10/01/2021","4,150.00","4,078.59","4,292.68","4,065.40","","1.13%"
"09/01/2021","4,103.52","3,924.32","4,112.31","3,918.96","","4.71%"
"08/01/2021","3,918.96","3,791.22","3,949.07","3,771.58","","3.91%"
"07/01/2021","3,771.58","3,843.28","3,915.00","3,679.44","","-1.83%"
"06/01/2021","3,841.85","3,739.57","3,865.20","3,739.57","","3.23%"
"05/01/2021","3,721.63","3,557.62","3,752.80","3,556.08","","5.01%"
"04/01/2021","3,544.00","3,556.28","3,627.91","3,460.39","","0.06%"
"03/01/2021","3,541.72","3,369.68","3,602.18","3,354.09","","5.83%"
"02/01/2021","3,346.64","3,287.96","3,510.77","3,268.52","25.14B","2.12%"
"01/01/2021","3,277.08","3,306.12","3,520.66","3,272.53","","-0.36%"
"12/01/2020","3,289.02","3,113.06","3,318.39","3,113.06","","5.84%"
"11/01/2020","3,107.58","2,681.19","3,150.78","2,658.49","","15.50%"
"10/01/2020","2,690.59","2,911.08","2,919.25","2,664.44","","-7.41%"
"09/01/2020","2,905.81","2,976.07","3,002.25","2,857.78","","-2.04%"
"08/01/2020","2,966.20","2,917.68","3,090.42","2,911.19","","1.88%"
"07/01/2020","2,911.57","2,762.56","2,919.35","2,703.35","","6.14%"
"06/01/2020","2,743.20","2,761.23","2,835.06","2,670.41","","0.31%"
"05/01/2020","2,734.83","2,623.89","2,796.85","2,564.44","","3.18%"
"04/01/2020","2,650.56","2,465.56","2,713.50","2,431.98","","5.65%"
"03/01/2020","2,508.81","2,829.47","2,875.30","2,073.87","","-9.92%"
"02/01/2020","2,785.08","3,062.27","3,145.15","2,744.18","","-9.48%"
"01/01/2020","3,076.65","3,059.20","3,226.89","3,057.36","","1.01%"
"12/01/2019","3,045.87","2,937.69","3,060.20","2,875.50","","3.76%"
"11/01/2019","2,935.37","2,895.47","3,009.11","2,886.59","","1.43%"
"10/01/2019","2,893.98","2,749.83","2,936.26","2,686.15","","5.34%"
"09/01/2019","2,747.18","2,742.30","2,847.01","2,735.11","","0.26%"
"08/01/2019","2,740.04","2,727.68","2,740.04","2,615.20","","0.02%"
"07/01/2019","2,739.50","2,777.08","2,848.40","2,665.21","","-0.95%"
"06/01/2019","2,765.85","2,660.64","2,790.59","2,649.78","","3.77%"
"05/01/2019","2,665.33","2,558.81","2,665.42","2,506.47","","4.14%"
"04/01/2019","2,559.32","2,498.73","2,599.58","2,498.73","","2.49%"
"03/01/2019","2,497.10","2,487.44","2,520.02","2,452.09","","0.48%"
"02/01/2019","2,485.27","2,520.08","2,551.97","2,448.41","","-1.42%"
"01/01/2019","2,521.10","2,370.56","2,536.28","2,350.41","","6.41%"
"12/01/2018","2,369.33","2,405.18","2,449.92","2,258.27","","-0.97%"
"11/01/2018","2,392.50","2,352.94","2,454.84","2,284.30","","1.69%"
"10/01/2018","2,352.71","2,481.45","2,501.78","2,275.58","","-4.95%"
"09/01/2018","2,475.36","2,344.30","2,476.86","2,305.27","","5.52%"
"08/01/2018","2,345.85","2,317.83","2,359.58","2,240.71","","1.07%"
"07/01/2018","2,321.11","2,294.10","2,379.33","2,239.77","","1.10%"
"06/01/2018","2,295.95","2,297.13","2,329.03","2,192.63","","-0.30%"
"05/01/2018","2,302.88","2,304.28","2,358.59","2,274.07","","-0.18%"
"04/01/2018","2,307.02","2,271.91","2,322.38","2,065.32","","1.59%"
"03/01/2018","2,270.98","2,286.41","2,326.41","2,240.85","","-1.12%"
"02/01/2018","2,296.80","2,292.22","2,376.96","2,181.96","","0.30%"
"01/01/2018","2,289.99","2,111.24","2,328.48","2,111.24","","8.54%"
"12/01/2017","2,109.74","2,102.54","2,160.75","2,082.29","","0.43%"
"11/01/2017","2,100.62","2,070.68","2,191.71","2,065.69","","1.76%"
"10/01/2017","2,064.31","2,077.16","2,106.49","2,038.26","","-0.62%"
"09/01/2017","2,077.19","2,021.93","2,086.65","1,992.68","","2.72%"
"08/01/2017","2,022.22","1,924.77","2,030.86","1,921.34","","5.35%"
"07/01/2017","1,919.53","1,886.72","1,972.49","1,881.98","","2.13%"
"06/01/2017","1,879.50","1,900.89","1,904.82","1,774.56","","-1.10%"
"05/01/2017","1,900.38","2,022.19","2,044.24","1,893.39","","-5.77%"
"04/01/2017","2,016.71","1,998.55","2,058.11","1,900.72","","1.04%"
"03/01/2017","1,995.90","2,034.28","2,076.71","1,965.23","","-1.96%"
"02/01/2017","2,035.77","2,219.19","2,236.80","2,027.05","","-8.19%"
"01/01/2017","2,217.39","2,231.52","2,293.99","2,136.35","","-0.69%"
"12/01/2016","2,232.72","2,110.69","2,258.10","2,110.69","","6.07%"
"11/01/2016","2,104.91","1,991.70","2,116.38","1,939.66","","5.79%"
"10/01/2016","1,989.64","1,981.02","2,006.66","1,946.78","","0.59%"
"09/01/2016","1,978.00","1,976.26","2,063.13","1,967.31","","0.33%"
"08/01/2016","1,971.59","1,950.49","1,999.14","1,902.74","","1.39%"
"07/01/2016","1,944.62","1,891.03","1,959.86","1,860.55","","2.83%"
"06/01/2016","1,891.09","1,899.14","1,960.75","1,841.73","","-0.42%"
"05/01/2016","1,899.01","1,932.92","1,957.18","1,861.64","","-2.77%"
"04/01/2016","1,953.05","1,860.53","1,976.69","1,833.61","","4.38%"
"03/01/2016","1,871.15","1,841.43","1,923.50","1,825.99","","1.68%"
"02/01/2016","1,840.17","1,785.01","1,841.56","1,688.13","","3.10%"
"01/01/2016","1,784.92","1,761.42","1,788.08","1,583.04","","1.34%"
"12/01/2015","1,761.36","1,771.05","1,798.81","1,698.93","","-0.55%"
"11/01/2015","1,771.05","1,710.90","1,873.53","1,701.25","","3.48%"
"10/01/2015","1,711.53","1,644.52","1,746.67","1,603.48","","4.17%"
"09/01/2015","1,642.97","1,705.81","1,740.22","1,606.83","","-5.20%"
"08/01/2015","1,733.17","1,668.13","1,733.17","1,603.72","","3.84%"
"07/01/2015","1,669.00","1,654.57","1,669.00","1,570.46","","0.87%"
"06/01/2015","1,654.55","1,610.07","1,679.41","1,610.07","","2.82%"
"05/01/2015","1,609.19","1,689.55","1,734.33","1,609.19","","-4.69%"
"04/01/2015","1,688.34","1,625.21","1,712.87","1,613.83","","3.82%"
"03/01/2015","1,626.18","1,759.25","1,825.74","1,569.69","","-7.55%"
"02/01/2015","1,758.97","1,647.74","1,848.13","1,616.32","","6.75%"
