"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","118.20","120.57","121.88","118.04","3.26M","-1.42%"
"02/02/2023","119.90","122.76","122.83","118.09","6.27M","-2.50%"
"02/01/2023","122.97","128.85","129.10","121.87","5.16M","-4.32%"
"01/31/2023","128.52","131.55","133.00","126.71","5.41M","-0.48%"
"01/30/2023","129.14","132.20","133.50","129.01","4.15M","-2.79%"
"01/27/2023","132.85","135.16","136.46","132.40","3.40M","-1.85%"
"01/26/2023","135.35","130.71","135.42","129.69","3.99M","4.27%"
"01/25/2023","129.81","129.46","130.85","128.29","3.66M","-0.31%"
"01/24/2023","130.21","111.72","143.28","111.72","3.77M","2.62%"
"01/23/2023","126.88","126.24","128.82","126.08","3.90M","0.92%"
"01/20/2023","125.72","123.26","126.15","122.53","2.88M","2.02%"
"01/19/2023","123.23","120.47","123.66","120.22","2.46M","1.58%"
"01/18/2023","121.31","122.83","125.85","121.01","3.64M","-0.38%"
"01/17/2023","121.77","122.83","125.30","121.29","3.75M","-0.13%"
"01/13/2023","121.93","121.12","122.89","120.24","2.78M","0.76%"
"01/12/2023","121.01","118.45","121.83","118.45","3.09M","2.90%"
"01/11/2023","117.60","118.31","118.77","117.17","2.98M","0.94%"
"01/10/2023","116.50","115.73","116.89","114.04","2.75M","0.64%"
"01/09/2023","115.76","119.39","119.92","114.89","3.72M","-0.91%"
"01/06/2023","116.82","116.85","119.35","116.06","3.10M","0.94%"
"01/05/2023","115.73","110.58","115.78","110.25","4.09M","4.66%"
"01/04/2023","110.58","109.08","112.14","109.00","3.66M","-0.31%"
"01/03/2023","110.92","115.65","115.65","110.32","4.36M","-4.70%"
"12/30/2022","116.39","115.67","116.76","115.39","2.37M","0.18%"
"12/29/2022","116.18","114.52","116.41","114.25","2.05M","1.45%"
"12/28/2022","114.52","116.75","116.99","113.96","2.65M","-1.97%"
"12/27/2022","116.82","115.74","117.11","115.23","2.42M","1.48%"
"12/23/2022","115.12","112.66","115.39","112.08","2.39M","3.11%"
"12/22/2022","111.65","114.60","114.73","109.63","2.70M","-2.53%"
"12/21/2022","114.55","114.60","115.16","112.80","3.23M","1.36%"
"12/20/2022","113.01","111.32","114.36","111.07","3.46M","1.75%"
"12/19/2022","111.07","110.63","112.40","110.27","3.41M","1.20%"
"12/16/2022","109.75","108.47","110.21","107.70","14.69M","-1.01%"
"12/15/2022","110.87","110.17","110.98","108.07","4.20M","-0.06%"
"12/14/2022","110.94","111.61","112.68","109.69","4.26M","-0.16%"
"12/13/2022","111.12","112.80","113.80","110.36","4.26M","-0.08%"
"12/12/2022","111.21","107.30","111.21","106.62","5.56M","4.10%"
"12/09/2022","106.83","108.35","110.10","106.52","5.38M","-1.86%"
"12/08/2022","108.85","110.72","111.54","108.36","4.54M","-0.14%"
"12/07/2022","109.00","109.21","110.82","107.86","5.16M","-0.27%"
"12/06/2022","109.29","111.81","113.75","108.13","5.05M","-2.81%"
"12/05/2022","112.45","118.75","119.30","111.98","4.91M","-4.89%"
"12/02/2022","118.23","119.64","121.19","117.57","3.89M","-1.66%"
"12/01/2022","120.23","122.70","123.09","120.18","3.24M","-1.30%"
"11/30/2022","121.81","124.51","124.93","120.39","7.57M","-1.34%"
"11/29/2022","123.47","122.70","124.64","122.16","2.92M","1.27%"
"11/28/2022","121.92","122.50","124.66","121.52","3.41M","-2.62%"
"11/25/2022","125.20","126.22","127.62","125.07","1.59M","-0.32%"
"11/23/2022","125.60","124.76","127.35","124.28","3.94M","-0.79%"
"11/22/2022","126.60","121.99","127.32","121.83","4.31M","5.23%"
"11/21/2022","120.31","119.97","120.79","116.59","5.11M","-0.72%"
"11/18/2022","121.18","118.69","121.83","117.97","3.78M","0.65%"
"11/17/2022","120.40","118.19","120.49","117.75","3.20M","0.45%"
"11/16/2022","119.86","118.73","120.54","118.14","2.76M","-0.12%"
"11/15/2022","120.00","120.88","121.42","118.19","3.58M","-0.44%"
"11/14/2022","120.53","121.15","123.12","120.41","2.80M","-0.58%"
"11/11/2022","121.23","120.72","122.69","119.85","3.39M","1.72%"
"11/10/2022","119.18","118.44","119.43","116.49","2.88M","2.87%"
