"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","456.30","460.39","473.31","453.61","693.49K","-3.73%"
"02/02/2023","473.96","461.39","479.58","461.39","608.18K","3.54%"
"02/01/2023","457.77","426.55","464.72","426.44","1.08M","7.32%"
"01/31/2023","426.56","407.79","426.79","405.70","466.26K","4.65%"
"01/30/2023","407.62","416.45","418.29","406.15","635.02K","-4.11%"
"01/27/2023","425.07","428.64","432.78","422.13","484.22K","-1.78%"
"01/26/2023","432.76","431.46","436.42","420.77","295.62K","1.90%"
"01/25/2023","424.69","407.79","426.20","402.14","350.83K","1.33%"
"01/24/2023","419.13","425.92","434.80","415.52","445.68K","-2.19%"
"01/23/2023","428.51","403.99","429.60","399.06","792.04K","7.73%"
"01/20/2023","397.78","390.38","397.94","383.28","358.88K","3.78%"
"01/19/2023","383.29","391.59","393.24","379.10","650.51K","-3.66%"
"01/18/2023","397.85","405.79","409.58","397.22","307.38K","-0.95%"
"01/17/2023","401.68","395.92","403.77","395.92","478.46K","0.81%"
"01/13/2023","398.46","392.75","398.74","391.34","208.96K","-0.30%"
"01/12/2023","399.64","398.00","404.53","387.11","457.57K","0.57%"
"01/11/2023","397.37","390.37","397.90","388.52","486.20K","2.37%"
"01/10/2023","388.17","383.42","391.42","381.34","391.70K","1.23%"
"01/09/2023","383.46","377.00","391.50","372.48","615.04K","4.36%"
"01/06/2023","367.45","350.96","370.62","345.70","549.91K","5.88%"
"01/05/2023","347.06","352.18","357.43","346.33","627.07K","-3.01%"
"01/04/2023","357.83","348.68","361.10","348.52","591.84K","4.34%"
"01/03/2023","342.95","359.65","361.03","339.28","588.65K","-3.01%"
"12/30/2022","353.61","346.01","354.08","343.85","346.22K","0.05%"
"12/29/2022","353.42","347.62","355.86","345.95","506.61K","3.86%"
"12/28/2022","340.28","339.67","348.47","336.63","343.50K","-0.58%"
"12/27/2022","342.28","348.21","352.97","338.09","441.43K","-2.38%"
"12/23/2022","350.61","343.72","350.89","337.21","421.31K","0.87%"
"12/22/2022","347.60","357.34","360.23","339.45","982.74K","-5.29%"
"12/21/2022","367.00","361.49","369.54","359.61","454.85K","2.55%"
"12/20/2022","357.87","352.32","363.48","352.32","370.23K","-0.32%"
"12/19/2022","359.01","367.49","367.49","348.47","730.10K","-2.19%"
"12/16/2022","367.03","371.96","375.72","360.71","1.63M","-1.68%"
"12/15/2022","373.30","383.76","384.48","373.01","662.81K","-5.59%"
"12/14/2022","395.39","401.51","406.49","390.43","585.64K","-1.53%"
