"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","26.03","26.23","26.86","25.99","10.74M","-0.61%"
"02/02/2023","26.19","26.75","26.76","25.80","10.74M","-2.20%"
"02/01/2023","26.78","27.33","27.86","26.24","11.82M","-2.51%"
"01/31/2023","27.47","27.00","27.68","26.81","10.24M","1.40%"
"01/30/2023","27.09","27.89","28.08","27.05","8.26M","-4.31%"
"01/27/2023","28.31","28.70","29.27","28.29","9.30M","-1.56%"
"01/26/2023","28.76","28.26","28.77","27.76","8.15M","3.23%"
"01/25/2023","27.86","27.79","27.91","27.25","6.06M","0.04%"
"01/24/2023","27.85","32.54","32.54","23.92","8.63M","-0.89%"
"01/23/2023","28.10","28.10","28.35","27.86","8.67M","0.79%"
"01/20/2023","27.88","27.48","27.95","27.18","7.67M","1.79%"
"01/19/2023","27.39","26.77","27.47","26.54","9.45M","1.90%"
"01/18/2023","26.88","27.08","27.95","26.81","11.09M","0.30%"
"01/17/2023","26.80","27.18","27.42","26.66","8.45M","-1.03%"
"01/13/2023","27.08","27.16","27.35","26.72","7.10M","-1.10%"
"01/12/2023","27.38","27.20","27.74","27.07","11.65M","1.22%"
"01/11/2023","27.05","27.39","27.45","26.65","10.00M","0.15%"
"01/10/2023","27.01","27.11","27.25","26.53","7.86M","-0.07%"
"01/09/2023","27.03","27.35","27.53","26.91","8.37M","1.62%"
"01/06/2023","26.60","26.31","26.81","26.24","9.37M","2.82%"
"01/05/2023","25.87","25.32","26.17","25.26","9.69M","2.17%"
"01/04/2023","25.32","25.02","25.83","24.78","11.30M","-1.25%"
"01/03/2023","25.64","26.68","26.99","25.32","9.70M","-5.28%"
"12/30/2022","27.07","26.59","27.14","26.51","7.20M","1.08%"
"12/29/2022","26.78","26.35","26.98","26.26","6.10M","0.75%"
"12/28/2022","26.58","27.40","27.45","26.51","7.85M","-3.87%"
"12/27/2022","27.65","27.67","27.83","27.41","6.82M","0.77%"
"12/23/2022","27.44","27.13","27.51","26.86","9.40M","2.77%"
"12/22/2022","26.70","27.71","27.78","26.02","9.68M","-3.75%"
"12/21/2022","27.74","27.83","27.94","27.32","8.17M","2.17%"
"12/20/2022","27.15","27.02","27.61","26.98","12.49M","0.44%"
"12/19/2022","27.03","27.61","27.86","26.82","10.08M","-1.10%"
"12/16/2022","27.33","27.13","27.48","26.73","29.74M","-1.90%"
"12/15/2022","27.86","27.24","27.92","27.09","14.26M","1.42%"
"12/14/2022","27.47","28.03","28.27","27.21","13.15M","-0.76%"
"12/13/2022","27.68","28.00","28.17","27.24","12.43M","1.84%"
"12/12/2022","27.18","26.33","27.35","26.23","12.03M","3.86%"
"12/09/2022","26.17","26.76","27.05","26.16","10.94M","-2.50%"
"12/08/2022","26.84","28.18","28.32","26.75","10.20M","-2.08%"
"12/07/2022","27.41","27.55","27.90","27.04","10.77M","-0.15%"
"12/06/2022","27.45","28.28","28.86","27.18","12.77M","-3.75%"
