"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","99.43","98.24","100.18","98.07","6.95M","0.22%"
"02/02/2023","99.21","98.88","100.27","97.96","9.06M","1.04%"
"02/01/2023","98.19","96.95","99.06","96.93","9.80M","0.88%"
"01/31/2023","97.33","96.29","97.37","95.76","7.18M","1.43%"
"01/30/2023","95.96","95.03","96.61","94.92","5.85M","-0.93%"
"01/27/2023","96.86","96.41","97.43","95.71","7.99M","0.37%"
"01/26/2023","96.50","96.22","96.54","95.31","6.08M","0.90%"
"01/25/2023","95.64","94.88","95.93","94.44","5.89M","0.14%"
"01/24/2023","95.51","84.93","96.90","84.93","4.77M","-1.67%"
"01/23/2023","97.13","95.87","97.22","95.49","8.73M","0.92%"
"01/20/2023","96.24","94.13","96.28","93.88","10.79M","2.22%"
"01/19/2023","94.15","94.61","94.98","92.94","13.45M","-2.52%"
"01/18/2023","96.58","96.80","97.95","96.33","14.12M","-0.52%"
"01/17/2023","97.08","95.90","99.10","95.00","27.87M","5.91%"
"01/13/2023","91.66","89.03","91.98","88.27","8.41M","1.25%"
"01/12/2023","90.53","90.02","91.81","89.35","7.89M","1.23%"
"01/11/2023","89.43","89.37","89.81","88.85","6.11M","0.57%"
"01/10/2023","88.92","87.55","88.93","86.84","4.53M","1.46%"
"01/09/2023","87.64","88.25","88.91","87.41","5.04M","0.09%"
"01/06/2023","87.56","86.44","87.96","85.71","5.71M","1.91%"
"01/05/2023","85.92","85.90","86.17","84.83","5.34M","-0.84%"
"01/04/2023","86.65","85.55","87.35","85.18","7.42M","1.08%"
"01/03/2023","85.72","85.64","86.60","84.98","5.11M","0.82%"
"12/30/2022","85.02","84.69","85.20","84.18","4.46M","-0.26%"
"12/29/2022","85.24","84.96","85.59","84.56","3.46M","0.92%"
"12/28/2022","84.46","84.96","85.21","84.06","3.69M","-0.71%"
"12/27/2022","85.06","86.36","86.36","84.94","5.04M","-1.22%"
"12/23/2022","86.11","86.33","86.58","85.35","3.32M","-0.30%"
"12/22/2022","86.37","86.58","86.58","84.77","5.63M","-0.58%"
"12/21/2022","86.87","86.41","87.82","86.35","5.38M","2.01%"
"12/20/2022","85.16","85.92","86.45","85.14","5.18M","-0.46%"
"12/19/2022","85.55","86.74","87.04","84.96","5.13M","-1.51%"
"12/16/2022","86.86","86.53","86.87","85.83","17.26M","-1.06%"
"12/15/2022","87.79","89.15","89.19","86.92","8.79M","-2.99%"
"12/14/2022","90.50","92.51","92.68","89.87","7.70M","-2.38%"
"12/13/2022","92.71","93.66","95.16","92.07","10.31M","1.74%"
"12/12/2022","91.12","89.01","91.32","88.28","6.91M","1.84%"
"12/09/2022","89.47","88.68","89.76","88.37","6.49M","0.88%"
"12/08/2022","88.69","87.68","88.79","87.00","6.13M","1.62%"
"12/07/2022","87.28","86.82","88.03","86.71","7.05M","-0.26%"
"12/06/2022","87.51","89.62","89.76","86.41","10.41M","-2.56%"
"12/05/2022","89.81","91.48","91.72","89.08","8.22M","-2.49%"
"12/02/2022","92.10","91.86","92.66","91.51","5.20M","-0.97%"
"12/01/2022","93.00","93.06","93.49","92.04","7.31M","-0.08%"
"11/30/2022","93.07","91.28","93.25","89.13","10.52M","2.18%"
"11/29/2022","91.08","89.64","91.47","89.60","5.31M","1.32%"
"11/28/2022","89.89","90.20","91.10","89.70","6.15M","-1.12%"
"11/25/2022","90.91","89.65","91.08","89.47","2.45M","1.09%"
"11/23/2022","89.93","89.72","90.45","89.67","4.96M","0.29%"
"11/22/2022","89.67","89.59","90.19","89.30","3.80M","0.66%"
"11/21/2022","89.08","89.06","89.68","88.57","4.67M","-0.13%"
"11/18/2022","89.20","90.27","90.37","88.59","5.45M","0.28%"
"11/17/2022","88.95","88.69","89.12","87.51","4.97M","-0.97%"
"11/16/2022","89.82","90.47","90.47","89.06","4.37M","-0.75%"
"11/15/2022","90.50","91.07","91.86","89.36","7.34M","0.77%"
"11/14/2022","89.81","90.27","91.36","89.79","4.87M","-1.07%"
"11/11/2022","90.78","89.00","91.69","89.00","9.12M","2.23%"
"11/10/2022","88.80","86.69","88.98","86.52","10.01M","6.41%"
"11/09/2022","83.45","84.88","85.34","83.19","5.20M","-2.15%"
"11/08/2022","85.28","85.61","86.23","84.51","4.85M","-0.34%"
"11/07/2022","85.57","85.52","86.13","85.11","4.60M","0.85%"
"11/04/2022","84.85","85.15","85.75","84.00","6.93M","1.47%"
"11/03/2022","83.62","83.06","84.63","82.55","6.45M","-0.89%"
"11/02/2022","84.37","83.45","86.72","83.42","10.91M","0.78%"
"11/01/2022","83.72","83.25","83.97","82.99","8.20M","1.89%"
"10/31/2022","82.17","81.77","83.36","81.69","9.09M","-0.06%"
"10/28/2022","82.22","80.27","82.29","79.51","7.82M","1.90%"
"10/27/2022","80.69","82.00","82.48","80.60","6.47M","-0.27%"
