"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","567.43","558.19","569.45","556.05","494.20K","-0.18%"
"02/02/2023","568.44","563.85","572.50","558.89","903.43K","2.51%"
"02/01/2023","554.52","542.58","560.38","529.26","913.46K","4.32%"
"01/31/2023","531.56","514.65","531.96","499.04","752.90K","4.94%"
"01/30/2023","506.56","512.94","516.82","504.46","628.13K","-2.57%"
"01/27/2023","519.92","511.20","524.42","506.30","481.18K","0.91%"
"01/26/2023","515.21","512.00","519.10","506.74","622.18K","1.29%"
"01/25/2023","508.64","508.42","514.07","497.27","372.70K","-2.15%"
"01/24/2023","519.84","512.31","523.01","510.77","318.90K","0.94%"
"01/23/2023","514.98","510.77","521.34","509.16","313.27K","0.63%"
"01/20/2023","511.76","498.35","512.72","495.89","345.70K","3.22%"
"01/19/2023","495.79","500.30","503.12","492.56","343.94K","-2.08%"
"01/18/2023","506.34","513.81","525.84","505.23","406.90K","-0.77%"
"01/17/2023","510.28","505.54","512.08","499.32","332.32K","1.00%"
"01/13/2023","505.24","496.54","506.58","496.54","320.58K","0.24%"
"01/12/2023","504.05","505.12","506.80","494.84","303.03K","-0.01%"
"01/11/2023","504.12","494.26","504.41","491.35","363.58K","3.29%"
"01/10/2023","488.08","479.83","489.97","477.01","264.34K","1.57%"
"01/09/2023","480.54","475.83","491.83","472.72","312.13K","2.46%"
"01/06/2023","469.01","465.45","473.16","455.48","366.29K","2.15%"
"01/05/2023","459.12","467.98","471.85","459.08","324.99K","-3.16%"
"01/04/2023","474.12","466.02","475.15","462.38","409.21K","2.81%"
"01/03/2023","461.16","469.57","476.99","456.35","345.00K","-0.86%"
"12/30/2022","465.17","466.34","469.43","459.49","354.44K","-1.43%"
"12/29/2022","471.92","460.13","473.42","458.50","272.39K","3.85%"
"12/28/2022","454.44","460.59","464.50","453.94","210.36K","-1.30%"
"12/27/2022","460.43","462.82","468.55","455.21","395.81K","-0.73%"
"12/23/2022","463.82","461.61","467.60","459.81","347.19K","0.32%"
"12/22/2022","462.32","466.45","468.15","454.60","351.45K","-2.13%"
"12/21/2022","472.36","462.67","472.36","459.78","410.41K","3.14%"
"12/20/2022","458.00","460.36","463.74","450.00","686.76K","-0.85%"
"12/19/2022","461.94","471.91","473.58","460.78","510.56K","-2.05%"
"12/16/2022","471.59","472.27","475.11","467.14","1.06M","-1.07%"
"12/15/2022","476.68","489.65","493.04","474.98","857.47K","-4.37%"
"12/14/2022","498.48","507.58","517.15","493.06","541.20K","-2.64%"
"12/13/2022","512.02","524.72","527.28","504.99","498.89K","2.97%"
"12/12/2022","497.27","490.76","497.29","490.67","251.18K","0.96%"
"12/09/2022","492.55","497.36","499.59","488.66","332.07K","-1.49%"
"12/08/2022","499.98","501.19","505.87","498.47","210.99K","-0.08%"
"12/07/2022","500.40","500.00","503.29","496.49","399.55K","0.10%"
"12/06/2022","499.90","505.23","505.86","495.65","377.69K","-0.91%"
"12/05/2022","504.49","512.11","512.11","500.73","427.14K","-2.76%"
"12/02/2022","518.83","511.03","521.12","506.23","440.04K","-0.49%"
"12/01/2022","521.39","513.50","523.36","509.31","406.65K","2.67%"
"11/30/2022","507.83","486.32","508.17","483.08","475.34K","4.42%"
"11/29/2022","486.32","494.75","499.18","484.79","385.25K","-1.94%"
"11/28/2022","495.96","507.30","512.74","493.61","324.66K","-3.18%"
"11/25/2022","512.26","509.74","513.46","506.04","94.69K","0.69%"
"11/23/2022","508.75","503.21","514.36","500.16","269.09K","1.21%"
"11/22/2022","502.67","494.77","503.65","492.38","236.09K","1.88%"
"11/21/2022","493.37","488.46","494.24","484.18","275.63K","0.62%"
"11/18/2022","490.31","503.49","503.49","480.77","612.56K","-0.16%"
"11/17/2022","491.09","498.55","502.05","487.37","210.09K","-3.18%"
"11/16/2022","507.21","500.63","508.62","495.65","322.41K","0.83%"
"11/15/2022","503.02","507.46","509.90","499.54","391.91K","2.19%"
"11/14/2022","492.24","507.96","511.05","491.45","630.57K","-3.93%"
"11/11/2022","512.37","513.91","522.24","509.01","509.79K","0.52%"
"11/10/2022","509.70","489.89","512.37","489.61","578.83K","9.58%"
"11/09/2022","465.13","463.39","469.90","460.30","301.02K","-0.59%"
"11/08/2022","467.90","464.99","472.77","459.82","359.01K","1.24%"
"11/07/2022","462.19","462.45","465.00","455.57","308.63K","0.28%"
"11/04/2022","460.91","458.81","466.58","451.81","429.51K","2.16%"
"11/03/2022","451.15","446.98","458.75","444.87","355.09K","-0.57%"
"11/02/2022","453.74","469.26","474.55","452.88","417.87K","-3.48%"
"11/01/2022","470.08","478.49","484.12","466.38","379.12K","0.26%"
"10/31/2022","468.86","472.08","478.48","468.55","707.87K","-1.14%"
"10/28/2022","474.27","455.56","476.04","454.90","443.90K","4.18%"
"10/27/2022","455.22","455.76","464.23","452.61","438.23K","0.80%"
"10/26/2022","451.60","446.00","461.20","444.85","602.07K","0.71%"
"10/25/2022","448.42","416.32","448.75","416.32","735.54K","8.80%"
"10/24/2022","412.15","405.68","412.68","397.28","642.68K","2.66%"
"10/21/2022","401.48","394.69","402.27","388.12","774.00K","1.99%"
"10/20/2022","393.66","397.71","399.47","390.38","541.98K","-1.29%"
"10/19/2022","398.79","401.79","404.09","395.28","251.68K","-2.39%"
"10/18/2022","408.56","417.51","417.75","405.27","297.19K","1.39%"
"10/17/2022","402.96","398.74","406.17","398.74","438.00K","3.66%"
"10/14/2022","388.72","411.87","412.78","387.23","408.71K","-4.28%"
"10/13/2022","406.08","390.88","408.42","385.00","557.51K","1.10%"
"10/12/2022","401.65","400.10","404.64","395.01","516.03K","0.58%"
"10/11/2022","399.35","404.67","409.37","393.78","501.94K","-1.86%"
"10/10/2022","406.92","417.32","419.20","403.35","470.22K","-3.08%"
"10/07/2022","419.84","431.15","433.89","416.17","398.30K","-3.85%"
"10/06/2022","436.65","444.04","447.99","436.60","341.53K","-2.42%"
"10/05/2022","447.48","444.13","451.34","441.34","319.86K","-0.75%"
"10/04/2022","450.86","440.60","451.01","438.94","375.43K","4.47%"
"10/03/2022","431.58","424.87","432.98","420.78","307.01K","2.32%"
"09/30/2022","421.79","422.12","431.13","421.09","500.17K","-0.34%"
"09/29/2022","423.22","423.13","425.90","420.31","377.56K","-1.38%"
"09/28/2022","429.14","421.50","432.72","417.61","467.79K","2.94%"
"09/27/2022","416.90","428.86","433.79","413.34","446.53K","-0.92%"
"09/26/2022","420.76","423.29","430.08","418.09","540.58K","-0.37%"
"09/23/2022","422.33","422.45","425.92","415.11","505.11K","-1.11%"
"09/22/2022","427.09","437.15","437.41","421.43","557.47K","-2.84%"
"09/21/2022","439.57","450.02","454.17","439.57","297.08K","-1.83%"
"09/20/2022","447.77","447.27","453.49","443.20","321.35K","-0.80%"
"09/19/2022","451.38","451.82","452.06","442.44","421.67K","-1.16%"
