"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","159.02","155.47","159.64","155.47","2.27M","1.92%"
"02/02/2023","156.02","155.48","157.26","154.05","1.71M","1.05%"
"02/01/2023","154.40","153.97","156.85","153.66","2.28M","-1.03%"
"01/31/2023","156.00","153.79","156.00","152.85","1.38M","1.64%"
"01/30/2023","153.49","153.92","154.89","153.24","1.14M","-0.96%"
"01/27/2023","154.98","154.83","156.22","154.20","849.07K","-0.02%"
"01/26/2023","155.01","156.82","158.00","154.61","891.76K","-0.56%"
"01/25/2023","155.89","154.21","155.97","153.51","1.01M","0.61%"
"01/24/2023","154.94","154.94","156.80","153.13","981.00K","0.12%"
"01/23/2023","154.76","154.56","156.72","153.91","1.18M","0.70%"
"01/20/2023","153.69","155.38","157.35","153.59","2.09M","-0.08%"
"01/19/2023","153.81","148.17","155.48","139.03","3.52M","5.49%"
"01/18/2023","145.80","149.02","149.45","145.63","1.26M","-3.15%"
"01/17/2023","150.54","149.38","151.38","147.25","1.11M","0.66%"
"01/13/2023","149.55","147.67","149.63","144.38","1.41M","-0.06%"
"01/12/2023","149.64","150.31","150.99","149.19","1.05M","0.19%"
"01/11/2023","149.35","148.78","149.60","146.91","1.06M","0.91%"
"01/10/2023","148.00","149.22","149.84","147.36","1.39M","-0.37%"
"01/09/2023","148.55","150.19","150.23","148.20","1.14M","-1.09%"
"01/06/2023","150.19","147.49","150.73","146.67","1.27M","2.70%"
"01/05/2023","146.24","146.18","147.00","145.08","1.18M","-0.24%"
"01/04/2023","146.59","146.60","148.13","145.56","1.03M","1.12%"
"01/03/2023","144.97","145.00","146.99","144.10","874.37K","-0.06%"
"12/30/2022","145.06","144.43","146.27","144.11","781.96K","-0.28%"
"12/29/2022","145.47","143.62","146.04","142.85","666.23K","1.32%"
"12/28/2022","143.57","146.17","146.30","143.54","610.36K","-1.57%"
"12/27/2022","145.86","144.72","146.35","143.67","505.00K","0.90%"
"12/23/2022","144.56","144.84","145.60","144.08","1.06M","-0.14%"
"12/22/2022","144.76","142.69","144.87","141.96","1.34M","1.22%"
"12/21/2022","143.01","141.34","143.02","141.18","1.11M","1.92%"
"12/20/2022","140.31","141.08","142.00","140.28","998.02K","-0.24%"
"12/19/2022","140.65","140.59","141.75","139.55","1.21M","0.43%"
"12/16/2022","140.05","139.87","140.87","138.43","2.42M","-0.68%"
"12/15/2022","141.01","141.94","142.21","139.03","2.03M","-1.93%"
"12/14/2022","143.79","146.82","147.58","142.92","1.50M","-1.61%"
"12/13/2022","146.15","153.51","153.51","144.99","1.97M","-3.56%"
"12/12/2022","151.54","150.94","152.73","149.06","1.53M","0.11%"
"12/09/2022","151.38","149.76","152.61","149.76","1.50M","0.84%"
"12/08/2022","150.12","148.63","150.57","148.06","2.36M","1.45%"
"12/07/2022","147.97","148.76","149.50","144.74","4.40M","-7.72%"
"12/06/2022","160.35","161.27","162.36","158.92","1.21M","-0.60%"
"12/05/2022","161.31","168.00","168.91","160.56","1.60M","-4.61%"
"12/02/2022","169.10","167.14","169.76","166.75","1.09M","0.46%"
"12/01/2022","168.32","170.68","171.27","167.30","1.21M","-1.00%"
"11/30/2022","170.02","167.77","170.02","165.06","1.66M","-0.53%"
"11/29/2022","170.92","169.82","171.52","169.45","885.47K","0.83%"
"11/28/2022","169.52","171.01","171.98","168.92","683.87K","-1.52%"
"11/25/2022","172.14","172.55","172.59","171.29","316.46K","0.16%"
"11/23/2022","171.87","171.48","172.07","170.98","671.85K","0.12%"
"11/22/2022","171.67","171.27","172.26","170.36","654.58K","1.27%"
