"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","62.41","62.00","63.79","61.90","12.19M","-1.20%"
"02/02/2023","63.17","63.56","63.92","61.86","15.82M","0.91%"
"02/01/2023","62.60","60.62","63.23","60.38","20.86M","3.81%"
"01/31/2023","60.30","59.10","60.34","58.65","23.86M","-2.28%"
"01/30/2023","61.71","62.76","63.28","61.69","16.13M","-3.38%"
"01/27/2023","63.87","62.14","64.34","61.96","15.90M","1.70%"
"01/26/2023","62.80","62.58","63.05","61.29","12.15M","2.05%"
"01/25/2023","61.54","60.67","61.67","60.42","10.76M","0.46%"
"01/24/2023","61.26","61.20","61.72","60.87","10.02M","-0.91%"
"01/23/2023","61.82","58.92","61.91","58.86","20.15M","5.75%"
"01/20/2023","58.46","57.47","58.57","56.76","13.83M","3.73%"
"01/19/2023","56.36","55.71","57.08","55.28","12.01M","-0.27%"
"01/18/2023","56.51","57.51","58.05","56.36","10.04M","-0.60%"
"01/17/2023","56.85","57.16","58.60","56.55","10.96M","-0.14%"
"01/13/2023","56.93","56.73","56.97","56.12","12.52M","-0.59%"
"01/12/2023","57.27","58.11","58.24","56.43","14.88M","-1.36%"
"01/11/2023","58.06","57.35","58.47","56.92","12.13M","1.49%"
"01/10/2023","57.21","56.16","57.28","55.86","10.56M","1.51%"
"01/09/2023","56.36","56.82","57.51","55.65","15.63M","-0.72%"
"01/06/2023","56.77","55.43","57.29","54.03","21.07M","3.77%"
"01/05/2023","54.71","53.89","55.39","53.89","18.00M","0.94%"
"01/04/2023","54.20","53.05","54.52","52.73","24.88M","7.60%"
"01/03/2023","50.37","50.56","50.96","49.55","12.41M","0.78%"
"12/30/2022","49.98","49.44","50.02","49.13","11.99M","-1.32%"
"12/29/2022","50.65","49.40","50.92","49.34","13.18M","3.11%"
"12/28/2022","49.12","49.84","51.08","48.83","12.40M","-1.80%"
"12/27/2022","50.02","49.61","50.31","48.52","15.14M","-0.36%"
"12/23/2022","50.20","49.00","50.55","48.99","17.43M","1.56%"
"12/22/2022","49.43","49.50","49.97","48.43","40.92M","-3.44%"
"12/21/2022","51.19","50.92","51.74","50.74","18.22M","1.01%"
"12/20/2022","50.68","51.34","51.97","50.45","16.83M","-2.01%"
"12/19/2022","51.72","52.17","52.29","51.10","16.32M","-0.67%"
"12/16/2022","52.07","51.74","52.54","51.62","22.95M","0.06%"
"12/15/2022","52.04","53.56","53.72","51.85","17.63M","-4.67%"
"12/14/2022","54.59","55.24","56.10","54.06","11.24M","-1.18%"
"12/13/2022","55.24","57.19","57.89","54.65","14.20M","-0.20%"
"12/12/2022","55.35","53.52","55.38","53.33","13.24M","0.87%"
"12/09/2022","54.87","54.68","55.85","54.52","9.93M","-0.60%"
"12/08/2022","55.20","54.56","55.69","54.05","13.56M","2.56%"
"12/07/2022","53.82","53.12","54.24","52.44","11.36M","0.26%"
"12/06/2022","53.68","53.86","54.63","53.24","17.95M","-0.67%"
"12/05/2022","54.04","54.37","55.27","53.69","13.71M","-1.17%"
"12/02/2022","54.68","54.34","55.42","53.38","15.95M","-1.46%"
"12/01/2022","55.49","57.83","57.92","55.10","21.76M","-3.75%"
"11/30/2022","57.65","53.58","57.68","52.61","31.46M","4.59%"
"11/29/2022","55.12","55.71","56.51","54.77","12.87M","-1.13%"
"11/28/2022","55.75","57.32","57.76","55.47","15.52M","-4.55%"
"11/25/2022","58.41","58.67","59.13","58.39","4.36M","-0.88%"
"11/23/2022","58.93","58.24","59.06","57.75","9.00M","0.53%"
"11/22/2022","58.62","57.55","58.68","56.98","8.96M","2.55%"
"11/21/2022","57.16","58.02","58.02","56.82","9.97M","-2.42%"
"11/18/2022","58.58","59.56","59.66","58.10","9.70M","-0.27%"
"11/17/2022","58.74","57.30","58.99","56.51","14.22M","-0.22%"
"11/16/2022","58.87","60.53","61.38","58.12","25.90M","-6.70%"
"11/15/2022","63.10","63.49","64.44","62.42","16.32M","2.14%"
"11/14/2022","61.78","61.94","62.75","60.99","13.99M","-1.18%"
"11/11/2022","62.52","60.65","63.18","59.88","17.58M","3.73%"
"11/10/2022","60.27","58.60","60.38","58.06","24.98M","7.68%"
"11/09/2022","55.97","56.22","56.65","55.51","19.95M","-2.64%"
"11/08/2022","57.49","57.38","57.87","56.48","14.19M","1.64%"
"11/07/2022","56.56","56.43","56.82","55.46","11.41M","0.71%"
"11/04/2022","56.16","55.26","56.91","54.81","18.88M","5.01%"
"11/03/2022","53.48","52.71","54.37","51.91","12.77M","0.06%"
"11/02/2022","53.45","54.74","56.27","53.42","17.31M","-2.57%"
"11/01/2022","54.86","55.09","55.44","54.11","11.73M","1.40%"
"10/31/2022","54.10","53.91","54.93","53.17","15.93M","0.11%"
"10/28/2022","54.04","51.83","54.44","51.46","19.17M","3.51%"
"10/27/2022","52.21","55.37","56.23","52.12","27.34M","-5.84%"
"10/26/2022","55.45","56.08","57.44","54.96","23.53M","-0.75%"
"10/25/2022","55.87","56.68","57.03","55.34","17.31M","-0.66%"
"10/24/2022","56.24","56.23","56.81","55.07","15.29M","0.34%"
"10/21/2022","56.05","53.49","56.28","53.33","20.20M","4.38%"
"10/20/2022","53.70","53.50","55.10","53.17","15.71M","1.26%"
"10/19/2022","53.03","52.09","53.43","52.06","14.79M","0.91%"
"10/18/2022","52.55","55.01","55.14","51.66","19.77M","-1.78%"
"10/17/2022","53.50","54.60","54.99","52.85","18.26M","1.48%"
"10/14/2022","52.72","55.24","55.44","52.60","20.41M","-3.90%"
"10/13/2022","54.86","51.35","55.92","50.74","27.61M","4.00%"
"10/12/2022","52.75","53.60","53.77","52.39","18.13M","-1.79%"
"10/11/2022","53.71","50.64","54.78","50.33","32.81M","4.53%"
"10/10/2022","51.38","53.07","53.13","50.76","17.23M","-2.89%"
"10/07/2022","52.91","53.56","54.65","52.51","21.98M","-3.13%"
"10/06/2022","54.62","54.40","55.11","53.30","17.15M","-0.20%"
"10/05/2022","54.73","52.88","55.20","52.17","20.42M","1.43%"
"10/04/2022","53.96","53.56","54.81","52.66","24.28M","4.33%"
"10/03/2022","51.72","51.01","53.08","50.64","24.63M","3.23%"
"09/30/2022","50.10","50.54","52.06","49.81","38.92M","0.18%"
"09/29/2022","50.01","50.04","50.30","49.22","25.58M","-1.94%"
"09/28/2022","51.00","50.11","51.19","50.10","17.78M","0.83%"
"09/27/2022","50.58","49.82","50.65","49.40","17.30M","3.48%"
"09/26/2022","48.88","49.92","50.46","48.81","19.27M","-2.44%"
"09/23/2022","50.10","49.28","50.15","48.45","24.59M","0.89%"
"09/22/2022","49.66","49.80","50.37","49.35","21.32M","-0.88%"
"09/21/2022","50.10","49.74","52.51","49.72","31.12M","-1.38%"
"09/20/2022","50.80","51.53","51.59","50.59","19.37M","-2.50%"
"09/19/2022","52.10","51.97","52.77","51.88","19.25M","-1.42%"
"09/16/2022","52.85","51.89","53.01","51.49","24.90M","0.30%"
"09/15/2022","52.69","52.70","53.45","51.98","15.62M","-0.79%"
"09/14/2022","53.11","53.89","54.23","52.46","19.98M","-0.95%"
"09/13/2022","53.62","55.70","56.24","53.14","22.36M","-7.46%"
"09/12/2022","57.94","57.46","58.14","57.03","10.71M","0.87%"
"09/09/2022","57.44","56.17","57.68","56.17","13.93M","3.70%"
"09/08/2022","55.39","54.49","55.92","53.74","18.42M","0.71%"
"09/07/2022","55.00","55.31","55.72","54.01","17.03M","-0.42%"
"09/06/2022","55.23","56.33","56.69","55.13","12.13M","-1.95%"
"09/02/2022","56.33","58.30","58.80","56.00","12.81M","-1.71%"
"09/01/2022","57.31","55.26","57.40","54.79","17.59M","1.38%"
"08/31/2022","56.53","55.99","57.15","55.81","14.17M","0.41%"
"08/30/2022","56.30","57.48","57.80","55.58","12.74M","-1.25%"
"08/29/2022","57.01","57.31","58.00","56.52","11.61M","-1.08%"
"08/26/2022","57.63","61.07","61.22","57.61","15.75M","-5.83%"
"08/25/2022","61.20","58.60","61.27","58.58","12.17M","4.96%"
"08/24/2022","58.31","57.88","58.56","57.36","9.96M","0.78%"
"08/23/2022","57.86","58.35","59.29","57.76","12.77M","-0.77%"
"08/22/2022","58.31","59.56","59.61","57.97","13.10M","-3.64%"
"08/19/2022","60.51","61.83","62.25","60.28","14.05M","-3.92%"
"08/18/2022","62.98","61.75","63.42","61.25","11.30M","2.21%"
"08/17/2022","61.62","62.81","62.81","60.76","14.73M","-3.51%"
"08/16/2022","63.86","64.12","64.56","63.22","9.28M","-1.30%"
"08/15/2022","64.70","64.70","65.12","63.89","9.69M","-0.52%"
"08/12/2022","65.04","62.66","65.42","62.23","16.19M","4.36%"
"08/11/2022","62.32","62.00","64.10","62.00","18.30M","1.50%"
"08/10/2022","61.40","60.00","61.56","59.39","17.42M","3.80%"
"08/09/2022","59.15","58.99","60.54","57.74","33.11M","-3.74%"
"08/08/2022","61.45","61.99","62.62","60.98","11.46M","-1.62%"
"08/05/2022","62.46","62.86","63.22","61.79","15.05M","-3.69%"
"08/04/2022","64.85","64.12","64.99","63.65","11.34M","0.93%"
"08/03/2022","64.25","62.50","64.53","62.44","12.29M","2.85%"
"08/02/2022","62.47","61.75","63.30","60.88","11.54M","-0.11%"
"08/01/2022","62.54","62.50","63.99","62.00","13.35M","1.10%"
"07/29/2022","61.86","61.35","62.09","60.77","14.20M","-0.34%"
"07/28/2022","62.07","62.25","62.30","60.19","10.12M","0.29%"
"07/27/2022","61.89","60.49","62.39","59.61","14.59M","3.74%"
"07/26/2022","59.66","60.31","60.69","59.55","11.04M","-0.81%"
"07/25/2022","60.15","61.35","61.83","59.70","14.48M","-1.86%"
"07/22/2022","61.29","61.28","62.92","61.01","22.20M","-3.69%"
"07/21/2022","63.64","62.60","63.68","61.93","12.92M","0.54%"
"07/20/2022","63.30","62.22","63.52","61.85","15.18M","1.44%"
"07/19/2022","62.40","61.47","62.76","61.38","19.10M","3.23%"
"07/18/2022","60.45","62.09","62.33","60.14","13.23M","-1.76%"
"07/15/2022","61.53","61.48","61.70","59.40","20.32M","3.67%"
"07/14/2022","59.35","57.94","59.66","57.32","14.80M","0.83%"
"07/13/2022","58.86","57.38","59.42","57.36","13.99M","-0.54%"
"07/12/2022","59.18","58.42","60.08","58.10","21.52M","2.37%"
"07/11/2022","57.81","58.11","58.60","57.71","13.96M","-2.25%"
"07/08/2022","59.14","58.22","60.43","58.10","19.28M","0.49%"
"07/07/2022","58.85","59.10","59.31","57.84","22.95M","2.58%"
"07/06/2022","57.37","56.85","58.12","56.46","23.57M","1.13%"
"07/05/2022","56.73","52.17","56.89","52.09","33.77M","5.74%"
"07/01/2022","53.65","53.29","53.96","51.40","43.68M","-2.95%"
"06/30/2022","55.28","54.99","56.40","54.22","29.57M","-1.32%"
"06/29/2022","56.02","57.23","57.52","55.32","17.35M","-3.18%"
"06/28/2022","57.86","58.98","60.59","57.81","19.40M","-1.57%"
"06/27/2022","58.78","59.58","60.04","58.37","16.16M","0.58%"
"06/24/2022","58.44","57.15","59.00","57.13","15.65M","3.95%"
"06/23/2022","56.22","56.61","56.83","54.96","13.37M","-0.21%"
"06/22/2022","56.34","55.96","57.14","55.60","13.52M","-0.81%"
"06/21/2022","56.80","56.81","57.92","56.34","15.50M","1.88%"
"06/17/2022","55.75","55.90","56.32","53.60","24.14M","1.35%"
"06/16/2022","55.01","57.00","57.00","54.25","22.71M","-6.95%"
"06/15/2022","59.12","59.33","60.08","57.55","19.73M","0.72%"
"06/14/2022","58.70","59.36","59.87","57.72","17.04M","-0.24%"
"06/13/2022","58.84","60.02","60.96","58.58","24.28M","-6.04%"
"06/10/2022","62.62","64.84","65.56","62.28","26.65M","-5.15%"
"06/09/2022","66.02","67.94","68.69","66.00","15.07M","-3.76%"
"06/08/2022","68.60","69.84","70.40","67.76","16.36M","-3.05%"
"06/07/2022","70.76","68.65","70.87","68.12","14.33M","0.44%"
"06/06/2022","70.45","70.74","72.14","70.01","13.20M","0.73%"
"06/03/2022","69.94","71.69","71.69","69.11","30.31M","-7.20%"
"06/02/2022","75.37","73.13","75.41","73.13","11.37M","2.47%"
"06/01/2022","73.55","74.50","75.39","72.55","13.60M","-0.39%"
"05/31/2022","73.84","73.47","74.48","71.93","15.45M","0.71%"
"05/27/2022","73.32","71.76","73.43","71.64","13.08M","3.85%"
"05/26/2022","70.60","66.39","71.04","66.35","14.90M","4.02%"
"05/25/2022","67.87","65.93","68.85","65.90","16.24M","1.88%"
"05/24/2022","66.62","68.36","68.41","66.01","18.76M","-4.27%"
"05/23/2022","69.59","68.77","70.20","68.52","12.36M","1.00%"
"05/20/2022","68.90","70.60","70.69","66.11","20.31M","-0.72%"
"05/19/2022","69.40","70.76","71.70","69.05","17.56M","-2.32%"
"05/18/2022","71.05","73.18","74.22","70.09","20.64M","-4.61%"
"05/17/2022","74.48","72.25","74.73","72.15","17.67M","5.69%"
"05/16/2022","70.47","71.51","72.04","70.32","13.39M","-2.02%"
"05/13/2022","71.92","69.10","72.63","68.02","22.87M","6.22%"
"05/12/2022","67.71","66.00","68.90","65.87","27.02M","1.12%"
"05/11/2022","66.96","68.66","70.88","66.82","17.24M","-2.83%"
"05/10/2022","68.91","69.57","70.59","67.61","17.66M","1.44%"
"05/09/2022","67.93","69.20","71.40","67.48","21.77M","-3.44%"
"05/06/2022","70.35","70.55","71.91","68.89","15.16M","-1.32%"
"05/05/2022","71.29","72.31","72.56","70.36","16.60M","-3.16%"
"05/04/2022","73.62","71.77","73.90","70.16","17.20M","3.31%"
"05/03/2022","71.26","70.47","71.96","70.20","13.54M","0.93%"
"05/02/2022","70.60","68.16","70.74","67.58","15.34M","3.53%"
"04/29/2022","68.19","69.10","71.33","68.02","16.84M","-2.84%"
"04/28/2022","70.18","67.65","70.81","67.06","21.06M","5.58%"
"04/27/2022","66.47","66.13","68.48","65.86","17.12M","-0.91%"
"04/26/2022","67.08","68.68","69.16","67.04","18.63M","-4.34%"
"04/25/2022","70.12","68.42","70.17","67.93","20.07M","1.02%"
"04/22/2022","69.41","70.64","70.98","69.31","18.68M","-2.13%"
"04/21/2022","70.92","73.97","74.49","70.65","17.65M","-3.11%"
"04/20/2022","73.20","73.81","76.23","72.89","19.04M","0.65%"
"04/19/2022","72.73","70.96","73.41","70.77","15.14M","2.22%"
"04/18/2022","71.15","70.25","72.10","70.05","17.48M","1.45%"
"04/14/2022","70.13","72.56","72.81","70.09","18.54M","-3.11%"
"04/13/2022","72.38","72.36","73.75","71.86","18.89M","0.58%"
"04/12/2022","71.96","72.79","73.59","71.57","18.66M","-0.10%"
"04/11/2022","72.03","70.55","72.91","70.09","21.13M","-0.15%"
"04/08/2022","72.14","72.50","72.85","70.83","20.56M","-1.56%"
"04/07/2022","73.28","73.67","74.68","72.13","22.66M","-0.68%"
"04/06/2022","73.78","73.18","74.89","71.47","28.08M","-1.11%"
"04/05/2022","74.61","76.71","78.02","74.30","21.17M","-3.94%"
"04/04/2022","77.67","76.90","78.18","76.51","24.32M","1.96%"
"04/01/2022","76.18","78.43","78.91","74.06","33.54M","-2.20%"
"03/31/2022","77.89","77.67","79.96","76.83","34.59M","-1.60%"
"03/30/2022","79.16","84.30","86.24","78.60","70.09M","-3.52%"
"03/29/2022","82.05","82.10","82.55","79.26","41.29M","2.74%"
"03/28/2022","79.86","78.59","80.18","77.27","26.61M","2.25%"
"03/25/2022","78.10","78.26","78.30","75.13","22.49M","-0.14%"
"03/24/2022","78.21","75.90","78.54","75.32","23.35M","3.38%"
"03/23/2022","75.65","77.86","78.22","75.07","28.06M","-4.39%"
"03/22/2022","79.12","77.70","79.73","77.51","16.77M","0.98%"
"03/21/2022","78.35","78.99","79.89","75.53","30.88M","-1.33%"
"03/18/2022","79.41","79.10","81.20","78.06","28.60M","-1.38%"
"03/17/2022","80.52","78.20","80.58","77.20","21.61M","1.07%"
"03/16/2022","79.67","76.47","79.71","76.15","35.74M","8.97%"
"03/15/2022","73.11","70.05","73.53","68.34","22.85M","5.35%"
"03/14/2022","69.40","71.75","72.48","68.96","24.89M","-4.70%"
"03/11/2022","72.82","76.65","76.70","72.64","22.79M","-3.83%"
"03/10/2022","75.72","77.74","77.74","73.81","21.69M","-4.68%"
"03/09/2022","79.44","79.97","80.49","77.54","19.65M","2.95%"
"03/08/2022","77.16","76.25","80.25","73.93","28.34M","1.93%"
"03/07/2022","75.70","81.76","82.97","75.63","26.72M","-7.58%"
"03/04/2022","81.91","87.42","87.42","80.51","28.22M","-8.15%"
"03/03/2022","89.18","91.62","92.19","88.39","22.10M","-4.42%"
"03/02/2022","93.30","87.17","94.07","87.03","28.40M","8.16%"
"03/01/2022","86.26","88.56","89.84","84.66","20.79M","-2.93%"
"02/28/2022","88.86","88.45","89.75","87.16","17.27M","-1.38%"
"02/25/2022","90.10","87.96","90.48","87.28","15.01M","1.43%"
"02/24/2022","88.83","84.13","88.94","83.79","24.47M","1.74%"
"02/23/2022","87.31","91.47","91.87","87.07","19.14M","-3.60%"
"02/22/2022","90.57","89.84","93.97","88.67","24.83M","-0.25%"
"02/18/2022","90.80","94.53","94.68","88.89","19.53M","-3.13%"
"02/17/2022","93.73","95.04","96.00","93.49","17.94M","-2.43%"
"02/16/2022","96.06","94.44","96.49","93.57","15.57M","0.06%"
"02/15/2022","96.00","91.01","96.50","91.01","27.08M","6.83%"
"02/14/2022","89.86","91.99","93.17","88.71","23.50M","0.11%"
"02/11/2022","89.76","91.28","94.58","88.95","31.00M","-1.38%"
"02/10/2022","91.02","89.19","94.64","88.48","33.82M","3.29%"
"02/09/2022","88.12","84.60","88.78","83.56","22.39M","4.76%"
"02/08/2022","84.12","81.15","84.40","81.00","18.32M","4.02%"
"02/07/2022","80.87","81.36","82.04","80.48","11.80M","-0.37%"
"02/04/2022","81.17","81.22","82.19","79.84","15.66M","-0.98%"
"02/03/2022","81.97","82.67","85.18","81.71","19.60M","-3.01%"
"02/02/2022","84.51","82.92","84.70","82.54","19.86M","3.76%"
"02/01/2022","81.45","82.20","82.39","80.42","15.24M","-1.00%"
"01/31/2022","82.27","78.96","82.31","78.02","21.90M","3.78%"
"01/28/2022","79.27","77.37","79.28","75.52","24.43M","0.70%"
"01/27/2022","78.72","83.51","83.69","78.39","22.69M","-3.96%"
"01/26/2022","81.97","83.25","84.79","80.61","21.02M","1.55%"
"01/25/2022","80.72","80.92","82.42","79.65","22.13M","-2.69%"
"01/24/2022","82.95","80.27","83.04","77.64","29.77M","1.24%"
"01/21/2022","81.93","84.22","85.14","81.52","29.72M","-3.69%"
"01/20/2022","85.07","90.28","90.33","84.93","24.70M","-5.48%"
"01/19/2022","90.00","93.72","94.78","89.77","19.04M","-3.09%"
"01/18/2022","92.87","95.53","95.95","92.54","19.92M","-4.61%"
"01/14/2022","97.36","94.44","97.43","94.40","18.38M","1.82%"
"01/13/2022","95.62","96.50","98.11","95.30","23.68M","0.54%"
"01/12/2022","95.11","95.16","96.23","93.78","13.34M","0.97%"
"01/11/2022","94.20","92.46","94.27","91.65","14.92M","0.33%"
"01/10/2022","93.89","94.26","95.67","91.04","20.29M","-0.59%"
"01/07/2022","94.45","96.09","97.19","93.94","14.86M","-1.25%"
"01/06/2022","95.65","95.10","96.71","94.12","22.32M","1.32%"
"01/05/2022","94.40","95.38","98.45","94.35","28.61M","-2.01%"
"01/04/2022","96.34","95.60","96.59","93.54","19.73M","0.62%"
"01/03/2022","95.75","93.90","95.83","93.48","18.72M","2.79%"
"12/31/2021","93.15","94.00","94.42","93.03","13.66M","-0.79%"
"12/30/2021","93.89","94.40","95.50","93.43","19.33M","-2.37%"
"12/29/2021","96.17","94.00","96.75","93.91","32.23M","3.48%"
"12/28/2021","92.94","93.75","93.89","92.06","13.68M","-1.58%"
"12/27/2021","94.43","93.72","94.93","92.73","17.12M","0.01%"
"12/23/2021","94.42","90.70","95.00","90.35","36.40M","4.52%"
"12/22/2021","90.34","90.00","90.48","88.92","18.59M","-0.37%"
"12/21/2021","90.68","88.99","91.14","87.35","58.36M","10.54%"
"12/20/2021","82.03","82.14","83.25","80.91","22.35M","-1.17%"
"12/17/2021","83.00","81.62","83.29","80.94","23.25M","0.37%"
"12/16/2021","82.69","85.88","86.32","82.13","16.50M","-3.47%"
"12/15/2021","85.66","83.48","85.79","82.06","13.97M","2.85%"
"12/14/2021","83.29","83.22","84.77","82.91","12.08M","-1.26%"
"12/13/2021","84.35","86.61","87.38","84.20","13.05M","-1.39%"
"12/10/2021","85.54","84.34","85.68","84.13","11.96M","0.72%"
"12/09/2021","84.93","85.30","86.54","84.63","11.96M","-1.27%"
"12/08/2021","86.02","85.43","86.34","84.03","12.91M","0.22%"
"12/07/2021","85.83","84.42","87.04","84.33","21.72M","4.10%"
"12/06/2021","82.45","81.83","83.23","80.53","15.09M","1.02%"
"12/03/2021","81.62","83.71","84.43","80.64","19.17M","-1.52%"
"12/02/2021","82.88","82.63","83.59","81.35","22.99M","-2.67%"
"12/01/2021","85.15","86.55","89.05","85.00","31.65M","1.37%"
"11/30/2021","84.00","85.58","86.92","83.95","27.30M","-2.48%"
"11/29/2021","86.14","84.38","86.27","84.15","18.89M","3.26%"
"11/26/2021","83.42","83.13","84.05","81.98","16.49M","-3.24%"
"11/24/2021","86.21","84.75","87.15","84.61","21.67M","0.94%"
"11/23/2021","85.41","85.04","87.71","84.33","31.82M","1.85%"
"11/22/2021","83.86","83.66","87.67","83.66","34.78M","1.00%"
"11/19/2021","83.03","78.93","83.86","78.93","47.22M","7.80%"
"11/18/2021","77.02","76.90","77.50","75.75","16.85M","2.07%"
"11/17/2021","75.46","76.48","76.57","75.19","11.60M","-1.76%"
"11/16/2021","76.81","76.56","77.15","75.78","11.81M","0.04%"
"11/15/2021","76.78","77.76","78.28","76.60","12.65M","-0.67%"
"11/12/2021","77.30","75.02","78.02","74.95","26.55M","3.69%"
"11/11/2021","74.55","74.02","74.96","73.62","12.19M","1.55%"
"11/10/2021","73.41","74.15","75.15","73.20","15.23M","-2.88%"
"11/09/2021","75.59","75.10","76.27","74.56","20.13M","1.38%"
"11/08/2021","74.56","73.32","75.03","73.12","18.74M","2.25%"
"11/05/2021","72.92","73.00","73.74","72.36","13.02M","0.94%"
"11/04/2021","72.24","72.37","72.48","71.04","15.94M","1.39%"
"11/03/2021","71.25","70.71","71.33","70.26","10.27M","0.69%"
"11/02/2021","70.76","70.49","70.85","70.04","9.76M","0.08%"
