"Date";"albemarle";"air_products";"avery_dennison";"ball";"celanese";"cf_industries";"corteva";"dupont_de_nemours";"ecolab";"eastman_chemical";"freeport_mcmoran";"fmc";"internation_paper";"linde_plc";"lyondellbasell_industries";"martin_marietta_materials";"mosaic";"newmont_goldcorp";"nucor";"packaging_america";"ppg_industries";"sealer_air";"sherwin_williams";"vulcan_materials"
2023-01-20;248,49;304,4;190,49;58,23;121,59;86,48;62,36;73,97;152,88;89,82;45,41;128,2;37,53;328,62;92,3;347,69;48,01;53,34;153,47;132,48;131;53,87;245,31;178,89
2023-01-19;239,11;299,89;186,14;56,63;116,58;85,39;62,22;72,8;148,6;87,02;44,14;126,57;36,63;324,54;90,29;343,1;46,72;52,47;150,8;129,77;123,6;53,38;234,34;176,67
2023-01-18;243,8;302,89;189,28;56,81;118,68;84,63;61,51;73,18;150,35;88,27;43,92;126,62;36,91;324,34;90,82;351,8;47,06;51,53;152,35;130,91;127,78;54,07;244,27;180,36
2023-01-17;243,07;306,38;193,51;56,96;120,07;86;62,7;74,33;153,2;89,45;44,15;128,63;37,54;330;91,59;353,09;47,25;52,47;155,13;133,5;130,62;53,95;247,8;182,56
2023-01-13;242,23;311,4;195,34;57,12;121,29;86,91;62,72;75,2;154,43;91,38;45,05;129,97;38,25;334,11;93,73;355,37;46,32;54,35;157,56;135,4;132,4;54,48;245,88;183,19
2023-01-12;243,21;310,21;192,98;57,15;121,64;86,31;62,58;74,75;153,38;91,26;45,1;129,38;37,82;328,91;93,67;351,58;46,98;53,4;155,71;135,97;131,62;54,63;243,74;180,81
2023-01-11;236,56;312,77;192,59;56,41;119,13;84,05;62,08;74,9;154,25;91,49;45,32;131,52;37,61;329,62;92,78;354,98;45,22;52,46;154,5;133,58;132,09;53,97;243,76;182,41
2023-01-10;223,9;312,67;189,73;56,09;118,53;83;61,75;73,92;152,2;89,63;44,71;128,7;37,62;322,03;91,68;343,96;44,83;53,15;151,16;132,73;129,78;53,94;234,1;176,75
2023-01-09;224;311,67;189,48;55,57;116,8;86;61,11;73,48;150,22;88,56;42,83;128,97;37,01;321,92;91,34;345,13;47,2;52,22;141,07;132,48;128,87;52,83;236,01;178,02
2023-01-06;221,64;310,18;188,31;54,26;116,62;84,41;61,01;72,47;149,46;88,71;42,28;125,46;36,64;316,16;90,1;351,17;46,73;52,69;143,93;132,19;128,5;52,47;235,8;181,36
2023-01-05;218,61;301,82;183,12;52,84;110,86;83,78;59,04;70,87;144,83;85,69;39,84;121,7;36,2;305,49;86,93;337,97;44,69;51,21;137,05;129,88;123,11;50,04;227,75;175,46
2023-01-04;223,57;306,59;186,79;52,49;109,15;82,41;59,69;70,53;149,76;86,02;39;122,94;36,83;316,77;85,9;347,74;43,27;51,51;137;130,8;129,97;51,07;244,18;179,57
2023-01-03;214,5;306,57;183,21;51,97;102,27;81,95;58,93;68,86;147,21;82,13;37,92;124,92;35,41;318,35;83,99;338,19;42,63;49,58;131,06;129,06;126,84;50,27;239,37;176,1
2022-12-30;216,86;308,26;181;51,14;102,24;85,2;58,78;68,63;145,56;81,44;38;124,8;34,63;326,18;83,03;337,97;43,87;47,2;131,81;127,91;125,74;49,88;237,33;175,11
2022-12-29;217,47;311,41;181,42;51,62;103,49;85,51;58,98;68,58;147,71;82,19;38,31;124,94;34,77;329,75;82,9;340,66;43,41;47,36;133,56;128,63;126,4;50,1;241,32;176,03
2022-12-28;214,04;309,64;179,08;50,58;100,5;86,34;58,63;67,8;143,8;80,15;37,88;124,66;34,36;325,91;82,1;337,9;43,44;47,37;134,19;127,01;124,27;48,99;237,48;174,09
2022-12-27;214,16;312,2;182,38;51,79;103,75;87,6;59,76;68,78;145,45;82,55;38,88;126,54;34,91;328,95;83,75;339,43;44,6;48,75;136,54;129,56;126,42;50,06;239,42;175,68
2022-12-23;226,96;312,04;181,11;51,63;102,56;90,74;59,38;68,73;144,54;82,18;38,1;126,34;34,73;329,33;83,13;338,59;45,14;47,85;136,08;128,7;126,72;49,96;242,67;175,2
2022-12-22;225,98;312,6;178,81;51,15;101,13;89,9;58,9;67,55;143,05;81,39;37,67;124,67;34,43;327,66;81,48;336,2;44,73;47,5;136,91;127,41;125,86;49,47;241,3;174,03
2022-12-21;232,63;314,49;180,93;51,74;103,05;93,53;59,39;68,32;144,3;81,76;38,45;125,09;34,66;328,67;82,3;342,13;45,85;47,32;137,45;128,43;127,15;50,28;242,21;175,96
2022-12-20;233,5;312,54;178,36;50,63;101,39;93,55;58,89;67,51;142,84;80,92;37,8;124,17;34,68;328,93;80,75;341,73;45,34;47,62;133,97;127,89;124,76;49,9;238,58;176,58
2022-12-19;233,34;313,72;176,48;50,61;100,98;92,72;58,3;67,56;141,21;80,71;37,36;122,76;34,92;327,05;80,3;340,85;44,54;45,6;131,76;128,61;125,63;49,99;238,11;175,42
2022-12-16;242,86;316,42;179,29;51,32;101,53;95,07;59,78;67,91;144,05;82,33;38,36;124,3;35,61;329,63;80,58;348,22;45,36;46,14;133,6;130,58;126,17;50,37;240,47;177,17
2022-12-15;240,5;316,24;181,32;51,65;102,4;94,55;60,23;67,81;145,34;82,34;38,15;125,17;36,54;330,8;80,68;352,05;45,3;45,57;134,1;132,88;128,77;51,21;244,19;179,28
2022-12-14;247,86;325,12;181,85;54,46;105,98;93;61,7;69,64;150,44;86,33;39,43;126,79;37,1;342,01;83,68;365,7;45,41;47,11;147,93;135,33;132,77;52,61;248,68;184,6
2022-12-13;261,91;325,25;185,44;53,82;108,99;97,81;62,64;70,86;152,72;88,1;39,26;127,6;37,22;342,45;84,12;368,73;47,03;47,15;149,45;136,5;134,07;52,55;258,86;185,93
2022-12-12;259,36;319,51;179,5;53,6;105,25;98,71;62,29;69,87;150,51;86,48;38,88;126,29;36,8;336,05;82,96;359,85;47,26;46,4;148,06;137,13;132,32;52,26;253,88;184,14
2022-12-09;253,25;314,41;177,73;53,56;102,36;98,7;62,99;68,89;150,35;85,17;38,59;126,6;36,08;332,21;81,46;356,94;46,81;46,4;147,07;135,11;130,41;50,78;252,88;182,45
2022-12-08;256,03;319,86;179,22;53,89;101,18;100,14;63,74;69,85;149,17;85,26;39,86;127,99;36,17;334,63;81,58;357,71;47;47,12;150,85;135,96;130,36;51,66;254,45;182,81
2022-12-07;257,61;315,58;191,76;52,49;101,91;100,52;63,76;69,7;147,97;84,75;38,55;127,92;36,15;331,4;81,67;352,5;47,33;47,19;149,8;135,2;129,44;52,39;251,12;179,1
2022-12-06;257,99;312,1;190,98;54,8;104,81;101,5;63,66;69,97;148,43;85,11;38,46;127,94;36,42;331,5;82,3;349,99;47,71;47,12;152,98;134,83;132,04;52,76;253,46;177,95
2022-12-05;265,23;314,97;191,36;54,35;108,38;103,48;64,36;70,42;150,45;86,08;38,86;130,73;36,52;334,26;83,47;353,27;48,19;47,47;151,01;135,58;134,59;53,29;253,59;179
2022-12-02;284,28;318,44;192,6;55,81;109,11;104,39;67,31;71,56;151,36;87,52;40,22;134,36;37,1;337,35;84,9;365,73;49,31;48,67;154,2;137,82;137,3;53,51;257,75;184,49
2022-12-01;275,29;312,04;193,17;55,85;107,49;103,64;66,25;70,42;151,94;86,42;39,57;130,03;37,39;337,26;84,64;365,38;49,1;48,57;149,25;136,16;134,96;52,81;251,61;183,83
2022-11-30;277,99;310,16;193,33;56,08;107,3;108,19;67,16;70,51;149,83;86,62;39,8;130,64;37,12;336,48;85,01;366,48;51,3;47,47;149,95;135,89;135,22;53,23;249,18;183,33
2022-11-29;270,02;302,18;188,42;54,74;105,55;106,4;65,57;69,46;144,91;85,25;37,51;127,71;36,33;331,97;84,84;357,54;50,73;45,76;146,99;132,69;131,83;52,03;241,57;178,45
2022-11-28;266,11;304,46;187,73;55,18;100,77;104,4;64,93;69,35;145,48;84,47;36,19;127,04;35,78;337,7;83,75;359,41;50,26;44,32;147,53;130,1;130,3;51,57;245,56;179,68
2022-11-25;272,82;309,91;192,36;56,17;104,64;108,62;66,33;71,25;148,95;86,98;37,15;129,18;36,72;344,42;86,79;367,59;51,77;45,85;149,19;132,97;133,36;52,31;249,52;183,34
2022-11-23;283,9;308,15;193,01;56,12;104,22;106,31;65,8;71,81;150,06;86,88;38,04;128,25;36,81;342,86;88,09;365,32;50,6;46,25;149,73;133,35;133,06;52,08;250;182,28
